Hs-TCF12,2000,1000,T044823-TCF12,"p3@TCF12"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T186101,2010,1.0000,p10@PREX2,e:80243,h:22950,"Q70Z35,F8WD63",PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2","gene with protein product"
2,T177156,2008,1.0000,p1@GTF2I,e:2969,h:4659,"B4DH52,P78347,Q499G6,Q86U51",GTF2I,"general transcription factor IIi","gene with protein product"
3,T184000,2006,0.9990,p2@HMBOX1,e:79618,h:26137,E5RGZ2,HMBOX1,"homeobox containing 1","gene with protein product"
4,T044822,2005,0.9990,p1@TCF12,e:6938,h:11623,"Q99081,E9PGY0",TCF12,"transcription factor 12","gene with protein product"
5,T043674,2004,0.9990,p5@STARD9,e:57519,h:19162,Q9P2P6,STARD9,"StAR related lipid transfer domain containing 9","gene with protein product"
6,T129435,2004,0.9990,p3@STAG1,e:10274,h:11354,C9JJQ0,STAG1,"stromal antigen 1","gene with protein product"
7,T194199,2009,0.9985,p2@GNAQ,e:2776,h:4390,P50148,GNAQ,"G protein subunit alpha q","gene with protein product"
8,T073666,2005,0.9985,p2@ZNF569,e:148266,h:24737,Q5MCW4,ZNF569,"zinc finger protein 569","gene with protein product"
9,T031405,2005,0.9985,p8@CARS2,e:79587,h:25695,,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)","gene with protein product"
10,T131824,2008,0.9980,p1@NAALADL2,e:254827,h:23219,C9JQ86,NAALADL2,"N-acetylated alpha-linked acidic dipeptidase like 2","gene with protein product"
11,T070037,2007,0.9980,p2@ZNF709,e:163051,h:20629,"A8K4E6,Q8N972",ZNF709,"zinc finger protein 709","gene with protein product"
12,T113121,2006,0.9980,p6@MBD5,e:55777,h:20444,,MBD5,"methyl-CpG binding domain protein 5","gene with protein product"
13,T078613,2002,0.9980,p1@ZNF418,e:147686,h:20647,"Q8TF45,B7Z993",ZNF418,"zinc finger protein 418","gene with protein product"
14,T156218,2002,0.9980,p1@SSBP2,e:23635,h:15831,"B7Z1J2,E9PDA8",SSBP2,"single stranded DNA binding protein 2","gene with protein product"
15,T072013,2005,0.9975,p5@ZNF737,e:100129842,h:32468,C9JHM3,ZNF737,"zinc finger protein 737","gene with protein product"
16,T141193,2002,0.9970,p2@C4orf46,e:201725,h:27320,Q504U0,C4orf46,"chromosome 4 open reading frame 46","gene with protein product"
17,T075269,2002,0.9970,p1@ZNF235,e:9310,h:12866,Q14590,ZNF235,"zinc finger protein 235","gene with protein product"
18,T200850,2000,0.9970,p2@MED12,e:9968,h:11957,Q93074,MED12,"mediator complex subunit 12","gene with protein product"
19,T147469,1999,0.9970,p5@FBXL17,e:64839,h:13615,Q9UF56,FBXL17,"F-box and leucine rich repeat protein 17","gene with protein product"
20,T128475,2002,0.9965,p6@ZNF148,e:7707,h:12933,Q9UQR1,ZNF148,"zinc finger protein 148","gene with protein product"
21,T051880,2005,0.9960,p3@BRD7,e:29117,h:14310,Q9NPI1,BRD7,"bromodomain containing 7","gene with protein product"
22,T043676,2004,0.9960,p3@STARD9,e:57519,h:19162,Q9P2P6,STARD9,"StAR related lipid transfer domain containing 9","gene with protein product"
23,T161063,2000,0.9955,p1@ARID1B,e:57492,h:18040,Q8NFD5,ARID1B,"AT-rich interaction domain 1B","gene with protein product"
