Hs-LARP1,2000,1000,T151215-LARP1,"p69@LARP1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T105391,2002,0.9965,p2@FAM3B,e:54097,h:1253,P58499,FAM3B,"family with sequence similarity 3 member B","gene with protein product"
2,T085536,1988,0.9881,p1@FMO6P,e:388714,h:24024,B5MDN4,FMO6P,"flavin containing monooxygenase 6 pseudogene",pseudogene
3,T154287,1978,0.9851,p2@CCL28,e:56477,h:17700,"Q9NRJ3,A0N0Q3",CCL28,"C-C motif chemokine ligand 28","gene with protein product"
4,T001067,1981,0.9846,p7@RBM20,e:282996,h:27424,,RBM20,"RNA binding motif protein 20","gene with protein product"
5,T033615,1979,0.9841,p4@FNDC3A,e:22862,h:20296,,FNDC3A,"fibronectin type III domain containing 3A","gene with protein product"
6,T175970,1975,0.9836,p4@TNS3,e:64759,h:21616,C9JWN9,TNS3,"tensin 3","gene with protein product"
7,T105392,1968,0.9801,p4@FAM3B,e:54097,h:1253,P58499,FAM3B,"family with sequence similarity 3 member B","gene with protein product"
8,T041408,1962,0.9781,p2@TC2N,e:123036,h:19859,Q8N9U0,TC2N,"tandem C2 domains, nuclear","gene with protein product"
9,T019005,1965,0.9771,p2@EFCAB4A,e:283229,h:28703,"E9PRE5,E9PK04",CRACR2B,"calcium release activated channel regulator 2B","gene with protein product"
10,T089723,1959,0.9746,p9@ESRRG,e:2104,h:3474,"B3KY84,C0SQ93,E9PGB7,P62508,F1D8R6",ESRRG,"estrogen related receptor gamma","gene with protein product"
11,T136722,1953,0.9726,p1@FAM3D,e:131177,h:18665,C9J5Z5,FAM3D,"family with sequence similarity 3 member D","gene with protein product"
12,T036373,1946,0.9720,p58@NDRG2,e:57447,h:14460,,NDRG2,"NDRG family member 2","gene with protein product"
13,T153132,1948,0.9687,p4@SCGB3A1,e:92304,h:18384,Q96QR1,SCGB3A1,"secretoglobin family 3A member 1","gene with protein product"
14,T009979,1947,0.9682,p3@FAM55B,e:120406,h:26331,,NXPE2,"neurexophilin and PC-esterase domain family member 2","gene with protein product"
15,T120502,1942,0.9652,p21@SH3BP4,e:23677,h:10826,C9JRG1,SH3BP4,"SH3 domain binding protein 4","gene with protein product"
