Hs-PLOD2,2000,1000,T129922-PLOD2,"p37@PLOD2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T171304,2006,1.0000,p23@CALD1,e:800,h:1441,,CALD1,"caldesmon 1","gene with protein product"
2,T108350,2019,1.0000,p34@MYH9,e:4627,h:7579,,MYH9,"myosin heavy chain 9","gene with protein product"
3,T138009,2008,1.0000,p51@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
4,T138023,2013,1.0000,p53@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
5,T129921,2006,1.0000,p8@PLOD2,e:5352,h:9082,,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","gene with protein product"
6,T092452,2013,1.0000,p22@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
7,T162535,2012,1.0000,p5@SOX4,e:6659,h:11200,,SOX4,"SRY-box 4","gene with protein product"
8,T138039,2011,0.9995,p20@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
9,T165330,2009,0.9990,p1@C6orf89,e:221477,h:21114,,C6orf89,"chromosome 6 open reading frame 89","gene with protein product"
10,T138024,2008,0.9990,p26@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
11,T090318,2008,0.9990,p13@DEGS1,e:8560,h:13709,,DEGS1,"delta 4-desaturase, sphingolipid 1","gene with protein product"
12,T092461,2007,0.9990,p24@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
13,T092463,2006,0.9990,p26@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
14,T138003,2006,0.9990,p30@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
15,T066330,2006,0.9990,p1@SS18,e:6760,h:11340,"F5GWN1,B4DR34,B4E2J6",SS18,"SS18, nBAF chromatin remodeling complex subunit","gene with protein product"
16,T092462,2006,0.9990,p25@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
17,T092464,2006,0.9990,p27@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
18,T056586,2005,0.9990,p2@SARM1,e:23098,h:17074,"E9PFZ9,Q6SZW1",SARM1,"sterile alpha and TIR motif containing 1","gene with protein product"
19,T108303,2004,0.9990,p60@MYH9,e:4627,h:7579,,MYH9,"myosin heavy chain 9","gene with protein product"
20,T159049,2004,0.9990,p30@CTGF,e:1490,h:2500,,CTGF,"connective tissue growth factor","gene with protein product"
21,T104234,2004,0.9990,p11@APP,e:351,h:620,,APP,"amyloid beta precursor protein","gene with protein product"
22,T017851,2003,0.9990,p5@CCND1,e:595,h:1582,,CCND1,"cyclin D1","gene with protein product"
23,T179133,2002,0.9990,p13@PABPC1,e:26986,h:8554,,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
24,T040418,2009,0.9985,p27@LTBP2,e:4053,h:6715,,LTBP2,"latent transforming growth factor beta binding protein 2","gene with protein product"
25,T018330,2008,0.9985,p7@RAB6A,e:5870,h:9786,,RAB6A,"RAB6A, member RAS oncogene family","gene with protein product"
26,T159050,2006,0.9985,p12@CTGF,e:1490,h:2500,,CTGF,"connective tissue growth factor","gene with protein product"
27,T192601,2004,0.9985,p14@B4GALT1,e:2683,h:924,,B4GALT1,"beta-1,4-galactosyltransferase 1","gene with protein product"
28,T166001,2004,0.9985,p2@C6orf108,e:10591,h:21218,,DNPH1,"2'-deoxynucleoside 5'-phosphate N-hydrolase 1","gene with protein product"
29,T045300,2007,0.9980,p25@TPM1,e:7168,h:12010,,TPM1,"tropomyosin 1 (alpha)","gene with protein product"
30,T159131,2004,0.9980,p7@VNN1,e:8876,h:12705,,VNN1,"vanin 1","gene with protein product"
31,T131939,2004,0.9980,p5@ZMAT3,e:64393,h:29983,,ZMAT3,"zinc finger matrin-type 3","gene with protein product"
32,T138040,2001,0.9980,p54@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
33,T166099,2009,0.9975,p15@VEGFA,e:7422,h:12680,,VEGFA,"vascular endothelial growth factor A","gene with protein product"
34,T138022,2007,0.9975,p23@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
35,T045313,2005,0.9975,p20@TPM1,e:7168,h:12010,,TPM1,"tropomyosin 1 (alpha)","gene with protein product"
36,T057181,2004,0.9975,p2@CCL2,e:6347,h:10618,,CCL2,"C-C motif chemokine ligand 2","gene with protein product"
37,T121129,2003,0.9975,p2@SEPT2,e:4735,h:7729,"B5MD47,C9JT15,C9JFT1",SEPT2,"septin 2","gene with protein product"
38,T176398,2003,0.9975,p8@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
39,T000504,2002,0.9975,p3@TRIM8,e:81603,h:15579,,TRIM8,"tripartite motif containing 8","gene with protein product"
40,T043264,2002,0.9975,p39@THBS1,e:7057,h:11785,,THBS1,"thrombospondin 1","gene with protein product"
41,T138038,2005,0.9970,p12@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
42,T159048,2004,0.9970,p7@CTGF,e:1490,h:2500,,CTGF,"connective tissue growth factor","gene with protein product"
43,T186244,2004,0.9970,p19@TRAM1,e:23471,h:20568,,TRAM1,"translocation associated membrane protein 1","gene with protein product"
44,T118388,2001,0.9965,p74@FN1,e:2335,h:3778,,FN1,"fibronectin 1","gene with protein product"
45,T018259,2003,0.9960,p14@P2RY6,e:5031,h:8543,Q15077,P2RY6,"pyrimidinergic receptor P2Y6","gene with protein product"
46,T138021,2001,0.9960,p10@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
47,T085610,2002,0.9955,p2@PFN1P1,,h:42989,,PFN1P1,"profilin 1 pseudogene 1",pseudogene
48,T092451,2001,0.9955,p4@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
49,T011019,1999,0.9955,p10@HSPA8,e:3312,h:5241,E9PS65,HSPA8,"heat shock protein family A (Hsp70) member 8","gene with protein product"
50,T177614,1998,0.9955,p2@SEMA3C,e:10512,h:10725,,SEMA3C,"semaphorin 3C","gene with protein product"
51,T127338,1997,0.9955,p2@PHLDB2,e:90102,h:29573,Q86SQ0,PHLDB2,"pleckstrin homology like domain family B member 2","gene with protein product"
52,T116287,2003,0.9950,p9@ITGAV,e:3685,h:6150,,ITGAV,"integrin subunit alpha V","gene with protein product"
53,T031699,2000,0.9950,p4@GAS6,e:2621,h:4168,Q14393,GAS6,"growth arrest specific 6","gene with protein product"
54,T171302,1999,0.9950,p55@CALD1,e:800,h:1441,,CALD1,"caldesmon 1","gene with protein product"
