Hs-ANO6,2000,1000,T025115-ANO6,"p20@ANO6"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T022322,2012,1.0000,p4@HCAR1,e:27198,h:4532,Q9BXC0,HCAR1,"hydroxycarboxylic acid receptor 1","gene with protein product"
2,T027680,2008,1.0000,p16@SLC16A7,e:9194,h:10928,F8W0N3,SLC16A7,"solute carrier family 16 member 7","gene with protein product"
3,T026427,2011,0.9990,p7@CSAD,e:51380,h:18966,B4DL84,CSAD,"cysteine sulfinic acid decarboxylase","gene with protein product"
4,T156987,2009,0.9990,p22@LNPEP,e:4012,h:6656,,LNPEP,"leucyl and cystinyl aminopeptidase","gene with protein product"
5,T025114,2009,0.9990,p10@ANO6,e:196527,h:25240,"B3KX12,Q4KMQ2,E9PCT2,B9EGG0",ANO6,"anoctamin 6","gene with protein product"
6,T143689,2009,0.9990,p7@KLB,e:152831,h:15527,B4DYH5,KLB,"klotho beta","gene with protein product"
7,T145736,2008,0.9990,"p7@FAM47E,p14@STBD1","e:100129583,e:100631383,e:8987","h:34343,h:24854","C9JTC9,Q6ZV65",FAM47E,"family with sequence similarity 47 member E","gene with protein product"
8,T025113,2008,0.9990,p7@ANO6,e:196527,h:25240,"B3KX12,Q4KMQ2,E9PCT2,B9EGG0",ANO6,"anoctamin 6","gene with protein product"
9,T085124,2007,0.9985,p13@RXRG,e:6258,h:10479,,RXRG,"retinoid X receptor gamma","gene with protein product"
10,T014557,2005,0.9985,p6@AMBRA1,e:55626,h:25990,E9PL55,AMBRA1,"autophagy and beclin 1 regulator 1","gene with protein product"
11,T197415,2003,0.9985,p17@FHL1,e:2273,h:3702,"Q6IB30,Q13642",FHL1,"four and a half LIM domains 1","gene with protein product"
12,T025116,1999,0.9985,p19@ANO6,e:196527,h:25240,"B3KX12,Q4KMQ2,E9PCT2,B9EGG0",ANO6,"anoctamin 6","gene with protein product"
13,T192653,2010,0.9980,p2@AQP7,"e:100509620,e:364",h:640,,AQP7,"aquaporin 7","gene with protein product"
14,T020819,2003,0.9980,p25@ACACB,e:32,h:85,,ACACB,"acetyl-CoA carboxylase beta","gene with protein product"
15,T137872,2005,0.9975,p13@EPHA6,e:285220,h:19296,F5H0Z8,EPHA6,"EPH receptor A6","gene with protein product"
16,T082054,2002,0.9970,p8@VPS45,e:11311,h:14579,F5H8K1,VPS45,"vacuolar protein sorting 45 homolog","gene with protein product"
17,T026883,2001,0.9965,p21@ITGA7,e:3679,h:6143,G3V3L8,ITGA7,"integrin subunit alpha 7","gene with protein product"
18,T176684,2000,0.9965,p1@VKORC1L1,e:154807,h:21492,Q8N0U8,VKORC1L1,"vitamin K epoxide reductase complex subunit 1 like 1","gene with protein product"
19,T130716,1995,0.9965,p15@MME,e:4311,h:7154,P08473,MME,"membrane metalloendopeptidase","gene with protein product"
20,T065084,2000,0.9960,p5@RAC3,e:5881,h:9803,P60763,RAC3,"ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)","gene with protein product"
21,T145957,1999,0.9960,p5@ANXA3,e:306,h:541,D6RCA8,ANXA3,"annexin A3","gene with protein product"
22,T177564,2005,0.9955,p19@CD36,e:948,h:1663,"A4D1B1,P16671",CD36,"CD36 molecule","gene with protein product"
23,T095179,1998,0.9955,p12@CDKN2C,e:1031,h:1789,"P42773,Q6ICV4",CDKN2C,"cyclin dependent kinase inhibitor 2C","gene with protein product"
24,T055993,1997,0.9950,p10@RAI1,e:10743,h:9834,Q7Z5J4,RAI1,"retinoic acid induced 1","gene with protein product"
25,T029480,1996,0.9950,p31@PPP1R12A,e:4659,h:7618,,PPP1R12A,"protein phosphatase 1 regulatory subunit 12A","gene with protein product"
26,T143690,1995,0.9950,p6@KLB,e:152831,h:15527,B4DYH5,KLB,"klotho beta","gene with protein product"
27,T019340,1995,0.9925,p5@TMEM135,e:65084,h:26167,F5H254,TMEM135,"transmembrane protein 135","gene with protein product"
28,T009763,1992,0.9920,p9@DLAT,e:1737,h:2896,F5H7M3,DLAT,"dihydrolipoamide S-acetyltransferase","gene with protein product"
29,T009753,1989,0.9920,p27@DIXDC1,e:85458,h:23695,,DIXDC1,"DIX domain containing 1","gene with protein product"
