Hs-ABCC1,2000,1000,T049255-ABCC1,"p19@ABCC1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T109110,2008,0.9995,p4@ADSL,e:158,h:291,,ADSL,"adenylosuccinate lyase","gene with protein product"
2,T120334,2003,0.9990,p2@UGT1A8,e:54576,h:12540,"Q9HAW9,Q5DSZ6",UGT1A8,"UDP glucuronosyltransferase family 1 member A8","complex locus constituent"
3,T013194,2003,0.9985,p3@MUC15,e:143662,h:14956,E9PII6,MUC15,"mucin 15, cell surface associated","gene with protein product"
4,T113125,2002,0.9970,p22@TPO,e:7173,h:12015,,TPO,"thyroid peroxidase","gene with protein product"
5,T113976,2001,0.9965,p8@ITGB6,e:3694,h:6161,,ITGB6,"integrin subunit beta 6","gene with protein product"
6,T134444,2002,0.9960,p4@ITGA9,e:3680,h:6145,,ITGA9,"integrin subunit alpha 9","gene with protein product"
7,T111377,1996,0.9940,p15@PAX8,e:7849,h:8622,G3V463,PAX8,"paired box 8","gene with protein product"
8,T013195,1991,0.9915,p1@MUC15,e:143662,h:14956,"E9PII6,Q8N387,F8W945",MUC15,"mucin 15, cell surface associated","gene with protein product"
9,T037112,1989,0.9900,p4@MYH6,e:4624,h:7576,P13533,MYH6,"myosin heavy chain 6","gene with protein product"
10,T166493,1981,0.9851,p6@GPR110,e:266977,h:18990,,ADGRF1,"adhesion G protein-coupled receptor F1","gene with protein product"
11,T037084,1979,0.9851,p3@MYH6,e:4624,h:7576,Q1ED46,MYH6,"myosin heavy chain 6","gene with protein product"
12,T137184,1974,0.9850,p19@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
13,T146831,1973,0.9840,p41@FAM13A,e:10144,h:19367,,FAM13A,"family with sequence similarity 13 member A","gene with protein product"
14,T146829,1972,0.9835,p42@FAM13A,e:10144,h:19367,,FAM13A,"family with sequence similarity 13 member A","gene with protein product"
15,T088794,1974,0.9826,p5@PFKFB2,e:5208,h:8873,B4DI16,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","gene with protein product"
16,T112665,1971,0.9816,p1@TPO,e:7173,h:12015,"P07202,C9JFW0,E9PFM6,F5H3F2,Q502Y3,Q6P534",TPO,"thyroid peroxidase","gene with protein product"
17,T137182,1970,0.9791,p20@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
18,T105622,1960,0.9766,p6@PKNOX1,e:5316,h:9022,,PKNOX1,"PBX/knotted 1 homeobox 1","gene with protein product"
19,T127582,1957,0.9751,p2@CNTN6,e:27255,h:2176,Q9UQ52,CNTN6,"contactin 6","gene with protein product"
20,T179692,1960,0.9746,p1@PKHD1L1,e:93035,h:20313,Q86WI1,PKHD1L1,"polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1","gene with protein product"
21,T081198,1960,0.9746,p10@NPPA,e:4878,h:7939,P01160,NPPA,"natriuretic peptide A","gene with protein product"
22,T169544,1956,0.9731,p7@SLC26A4,e:5172,h:8818,C9JQG1,SLC26A4,"solute carrier family 26 member 4","gene with protein product"
23,T148266,1954,0.9731,p27@GRAMD3,e:65983,h:24911,B7Z4W8,GRAMD3,"GRAM domain containing 3","gene with protein product"
24,T137183,1960,0.9727,p9@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
25,T040948,1949,0.9716,p5@TSHR,e:7253,h:12373,"P16473,F5GYU5,A0PJU7,G3V2A9",TSHR,"thyroid stimulating hormone receptor","gene with protein product"
26,T137185,1950,0.9711,p10@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
27,T011983,1951,0.9697,p2@PTH,e:5741,h:9606,P01270,PTH,"parathyroid hormone","gene with protein product"
28,T093038,1941,0.9676,p4@SMPDL3B,e:27293,h:21416,"B4DE65,F8VWW8",SMPDL3B,"sphingomyelin phosphodiesterase acid like 3B","gene with protein product"
29,T105621,1943,0.9667,p8@PKNOX1,e:5316,h:9022,,PKNOX1,"PBX/knotted 1 homeobox 1","gene with protein product"
30,T112679,1942,0.9657,p5@TPO,e:7173,h:12015,P07202,TPO,"thyroid peroxidase","gene with protein product"
31,T169607,1938,0.9656,p3@LAMB4,e:22798,h:6491,,LAMB4,"laminin subunit beta 4","gene with protein product"
32,T160597,1932,0.9641,p1@IYD,e:389434,h:21071,"C9JXJ9,F6VN83",IYD,"iodotyrosine deiodinase","gene with protein product"
33,T137196,1938,0.9637,p3@MITF,e:4286,h:7105,,MITF,"melanogenesis associated transcription factor","gene with protein product"
34,T137187,1938,0.9632,p8@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
35,T067554,1936,0.9632,p5@LIPG,e:9388,h:6623,,LIPG,"lipase G, endothelial type","gene with protein product"
36,T169640,1935,0.9632,p10@NRCAM,e:4897,h:7994,C9JF43,NRCAM,"neuronal cell adhesion molecule","gene with protein product"
37,T067552,1930,0.9621,p2@LIPG,e:9388,h:6623,,LIPG,"lipase G, endothelial type","gene with protein product"
38,T193323,1937,0.9613,p1@GLIS3-AS1,e:84850,h:28260,,GLIS3-AS1,"GLIS3 antisense RNA 1","RNA, long non-coding"
39,T049253,1933,0.9612,p20@ABCC1,e:4363,h:51,F5GXL7,ABCC1,"ATP binding cassette subfamily C member 1","gene with protein product"
40,T011982,1928,0.9602,p1@PTH,e:5741,h:9606,P01270,PTH,"parathyroid hormone","gene with protein product"
41,T169546,1928,0.9597,p14@SLC26A4,e:5172,h:8818,C9JQG1,SLC26A4,"solute carrier family 26 member 4","gene with protein product"
42,T169543,1926,0.9592,p5@SLC26A4,e:5172,h:8818,C9JQG1,SLC26A4,"solute carrier family 26 member 4","gene with protein product"
43,T188307,1920,0.9576,p2@C9orf5,e:23731,h:1363,B4DSW7,TMEM245,"transmembrane protein 245","gene with protein product"
44,T114721,1925,0.9572,p11@DCAF17,e:80067,h:25784,,DCAF17,"DDB1 and CUL4 associated factor 17","gene with protein product"
45,T169547,1918,0.9561,p12@SLC26A4,e:5172,h:8818,C9JQG1,SLC26A4,"solute carrier family 26 member 4","gene with protein product"
46,T040939,1913,0.9527,p13@TSHR,e:7253,h:12373,,TSHR,"thyroid stimulating hormone receptor","gene with protein product"
47,T170209,1913,0.9513,p12@TSPAN12,e:23554,h:21641,O95859,TSPAN12,"tetraspanin 12","gene with protein product"
48,T024641,1907,0.9506,p22@SLC6A12,e:6539,h:11045,F5H2T6,SLC6A12,"solute carrier family 6 member 12","gene with protein product"
