Hs-ACSL3,2000,1000,T119425-ACSL3,"p5@ACSL3"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T147592,2007,1.0000,p5@TSLP,e:85480,h:30743,Q96AU7,TSLP,"thymic stromal lymphopoietin","gene with protein product"
2,T119422,2012,1.0000,p3@ACSL3,e:2181,h:3570,"B3KMA6,O95573",ACSL3,"acyl-CoA synthetase long-chain family member 3","gene with protein product"
3,T009407,2013,1.0000,p13@EXPH5,e:23086,h:30578,"E7ENT4,E9PPH6",EXPH5,"exophilin 5","gene with protein product"
4,T196874,2010,0.9990,p8@GRIA3,e:2892,h:4573,Q4TT43,GRIA3,"glutamate ionotropic receptor AMPA type subunit 3","gene with protein product"
5,T008976,2010,0.9990,p1@MMP27,e:64066,h:14250,Q9H306,MMP27,"matrix metallopeptidase 27","gene with protein product"
6,T085618,2008,0.9990,p7@VAMP4,e:8674,h:12645,"O75379,Q6IAZ3",VAMP4,"vesicle associated membrane protein 4","gene with protein product"
7,T155811,2007,0.9990,p15@IQGAP2,e:10788,h:6111,,IQGAP2,"IQ motif containing GTPase activating protein 2","gene with protein product"
8,T123189,2007,0.9990,p10@EPAS1,e:2034,h:3374,,EPAS1,"endothelial PAS domain protein 1","gene with protein product"
9,T155810,2006,0.9990,p19@IQGAP2,e:10788,h:6111,,IQGAP2,"IQ motif containing GTPase activating protein 2","gene with protein product"
10,T113249,2006,0.9990,p1@RND3,e:390,h:671,P61587,RND3,"Rho family GTPase 3","gene with protein product"
11,T189323,2005,0.9990,p1@OR1J2,e:26740,h:8209,B3KVN8,OR1J2,"olfactory receptor family 1 subfamily J member 2","gene with protein product"
12,T157062,2003,0.9990,p21@RGMB,e:285704,h:26896,,RGMB,"repulsive guidance molecule family member b","gene with protein product"
13,T119423,2000,0.9990,p1@ACSL3,e:2181,h:3570,"F5H062,B3KMA6,O95573",ACSL3,"acyl-CoA synthetase long-chain family member 3","gene with protein product"
14,T185790,2011,0.9985,p3@YTHDF3,e:253943,h:26465,Q7Z739,YTHDF3,"YTH N6-methyladenosine RNA binding protein 3","gene with protein product"
15,T093336,2009,0.9985,p3@FABP3,e:2170,h:3557,,FABP3,"fatty acid binding protein 3","gene with protein product"
16,T143205,2007,0.9985,p11@RBPJ,e:3516,h:5724,D6RE93,RBPJ,"recombination signal binding protein for immunoglobulin kappa J region","gene with protein product"
17,T019887,2003,0.9985,p2@SBF2,e:81846,h:2135,,SBF2,"SET binding factor 2","gene with protein product"
18,T005766,2007,0.9980,p7@ARID5B,e:84159,h:17362,Q14865,ARID5B,"AT-rich interaction domain 5B","gene with protein product"
19,T081833,2004,0.9980,p13@RNF115,e:27246,h:18154,Q9Y4L5,RNF115,"ring finger protein 115","gene with protein product"
20,T005725,2006,0.9975,p15@ARID5B,e:84159,h:17362,Q14865,ARID5B,"AT-rich interaction domain 5B","gene with protein product"
