Hs-ADAMTS1,2000,1000,T104309-ADAMTS1,"p6@ADAMTS1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T104310,2008,1.0000,p12@ADAMTS1,e:9510,h:217,E5RI60,ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif 1","gene with protein product"
2,T098295,2004,1.0000,p14@CTNNBIP1,e:56998,h:16913,"Q5T4V2,Q9NSA3",CTNNBIP1,"catenin beta interacting protein 1","gene with protein product"
3,T089271,2009,0.9990,p6@HHAT,e:55733,h:18270,B1AK61,HHAT,"hedgehog acyltransferase","gene with protein product"
4,T077208,2006,0.9990,p6@KLK3,e:354,h:6364,Q8NCW4,KLK3,"kallikrein related peptidase 3","gene with protein product"
5,T200571,2005,0.9990,p2@ZXDB,e:158586,h:13199,P98169,ZXDB,"zinc finger, X-linked, duplicated B","gene with protein product"
6,T092558,2004,0.9990,p5@TMEM57,e:55219,h:25572,Q8N5G2,TMEM57,"transmembrane protein 57","gene with protein product"
7,T110271,2004,0.9990,p16@AFF3,e:3899,h:6473,C9JZ66,AFF3,"AF4/FMR2 family member 3","gene with protein product"
8,T093692,2002,0.9990,p8@MEGF6,e:1953,h:3232,,MEGF6,"multiple EGF like domains 6","gene with protein product"
9,T124213,2005,0.9985,p14@WDPCP,e:51057,h:28027,,WDPCP,"WD repeat containing planar cell polarity effector","gene with protein product"
10,T124211,2002,0.9985,p15@WDPCP,e:51057,h:28027,,WDPCP,"WD repeat containing planar cell polarity effector","gene with protein product"
11,T003848,2005,0.9980,p4@MKX,e:283078,h:23729,Q8IYA7,MKX,"mohawk homeobox","gene with protein product"
12,T119242,2004,0.9980,p17@SPEG,e:10290,h:16901,Q15772,SPEG,"SPEG complex locus","gene with protein product"
13,T188351,2007,0.9975,"p12@PALM2,p25@PALM2-AKAP2","e:445815,e:114299","h:33529,h:15845","Q9Y2D5,Q8IXS6",PALM2-AKAP2,"PALM2-AKAP2 readthrough",readthrough
14,T020484,2006,0.9975,p13@NUAK1,e:9891,h:14311,"F8VXF0,F8VZ96",NUAK1,"NUAK family kinase 1","gene with protein product"
15,T196277,2002,0.9975,p7@COL4A6,e:1288,h:2208,"F5H3Q5,F5H851",COL4A6,"collagen type IV alpha 6 chain","gene with protein product"
16,T001090,2006,0.9970,p2@BBIP1,e:92482,h:28093,"E9PM41,A8MTZ0,E9PRI7,E9PIY9",BBIP1,"BBSome interacting protein 1","gene with protein product"
17,T077211,2003,0.9970,p3@KLK2,e:3817,h:6363,,KLK2,"kallikrein related peptidase 2","gene with protein product"
18,T008330,2001,0.9965,p10@PLCE1,e:51196,h:17175,Q9P212,PLCE1,"phospholipase C epsilon 1","gene with protein product"
19,T153929,1996,0.9965,p12@LIFR,e:3977,h:6597,D6RJ94,LIFR,"leukemia inhibitory factor receptor alpha","gene with protein product"
20,T160092,1998,0.9960,p8@AIG1,e:51390,h:21607,Q5T2H0,AIG1,"androgen induced 1","gene with protein product"
21,T166899,2002,0.9955,p25@DST,"e:100652766,e:667",h:1090,,DST,dystonin,"gene with protein product"
22,T028203,2001,0.9955,p4@CHD4,e:1108,h:1919,F5H596,CHD4,"chromodomain helicase DNA binding protein 4","gene with protein product"
23,T185043,2000,0.9955,p26@KIAA0146,e:23514,h:28971,B3KP42,SPIDR,"scaffolding protein involved in DNA repair","gene with protein product"
24,T194921,1998,0.9955,p10@ECM2,e:1842,h:3154,O94769,ECM2,"extracellular matrix protein 2","gene with protein product"
25,T149474,1993,0.9945,p2@NRG2,e:9542,h:7998,,NRG2,"neuregulin 2","gene with protein product"
26,T136977,1993,0.9945,p3@ADAMTS9-AS2,,h:42435,,ADAMTS9-AS2,"ADAMTS9 antisense RNA 2","RNA, long non-coding"
27,T154866,1996,0.9930,p9@PDE4D,e:5144,h:8783,Q08499,PDE4D,"phosphodiesterase 4D","gene with protein product"
28,T027521,1993,0.9925,p3@B4GALNT1,e:2583,h:4117,"B4DE26,F8VSE0,F8W1A7",B4GALNT1,"beta-1,4-N-acetyl-galactosaminyltransferase 1","gene with protein product"
29,T056636,1998,0.9921,p14@PIGS,e:94005,h:14937,,PIGS,"phosphatidylinositol glycan anchor biosynthesis class S","gene with protein product"
30,T200730,1990,0.9915,p3@AR,e:367,h:644,"F5H341,P10275",AR,"androgen receptor","gene with protein product"
31,T145768,1984,0.9905,p9@SHROOM3,e:57619,h:30422,,SHROOM3,"shroom family member 3","gene with protein product"
32,T197864,1990,0.9886,p1@SPANXN1,e:494118,h:33174,Q5VSR9,SPANXN1,"SPANX family member N1","gene with protein product"
33,T137925,1983,0.9885,p5@OGG1,e:4968,h:8125,F8WA07,OGG1,"8-oxoguanine DNA glycosylase","gene with protein product"
34,T030135,1982,0.9875,p1@EPYC,e:1833,h:3053,"Q99645,F8VSI4",EPYC,epiphycan,"gene with protein product"
35,T122172,1982,0.9875,p4@SRD5A2,,h:11285,P31213,SRD5A2,"steroid 5 alpha-reductase 2","gene with protein product"
36,T020485,1984,0.9871,p16@NUAK1,e:9891,h:14311,F8VXF0,NUAK1,"NUAK family kinase 1","gene with protein product"
37,T084095,1982,0.9871,p9@CASP9,e:842,h:1511,,CASP9,"caspase 9","gene with protein product"
38,T119244,1982,0.9861,p11@SPEG,e:10290,h:16901,Q15772,SPEG,"SPEG complex locus","gene with protein product"
39,T200580,1981,0.9861,p3@ZXDA,e:7789,h:13198,P98168,ZXDA,"zinc finger, X-linked, duplicated A","gene with protein product"
40,T070725,1979,0.9860,p5@TECR,e:9524,h:4551,Q9NZ01,TECR,"trans-2,3-enoyl-CoA reductase","gene with protein product"
41,T102994,1976,0.9850,p3@CDH26,e:60437,h:15902,,CDH26,"cadherin 26","gene with protein product"
