Hs-AKAP9,2000,1000,T178082-AKAP9,"p19@AKAP9"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T130943,2008,1.0000,p6@VEPH1,e:79674,h:25735,Q14D04,VEPH1,"ventricular zone expressed PH domain containing 1","gene with protein product"
2,T010519,2012,0.9990,p7@UPK2,e:7379,h:12579,O00526,UPK2,"uroplakin 2","gene with protein product"
3,T173789,2008,0.9990,p1@DNAH11,e:8701,h:2942,"Q96DT5,Q96NT7",DNAH11,"dynein axonemal heavy chain 11","gene with protein product"
4,T136559,2006,0.9990,p1@DNAH12,e:201625,h:2943,"Q6ZR08,E9PG32",DNAH12,"dynein axonemal heavy chain 12","gene with protein product"
5,T151535,2006,0.9985,p4@FABP6,e:2172,h:3561,P51161,FABP6,"fatty acid binding protein 6","gene with protein product"
6,T021250,2003,0.9985,p2@CCDC42B,e:387885,h:37100,A6NFT4,CFAP73,"cilia and flagella associated protein 73","gene with protein product"
7,T033096,2001,0.9975,p3@C13orf30,e:144809,h:26883,Q8N7L0,FAM216B,"family with sequence similarity 216 member B","gene with protein product"
8,T059718,2004,0.9970,p2@LRRC46,e:90506,h:25047,,LRRC46,"leucine rich repeat containing 46","gene with protein product"
9,T169293,1997,0.9965,p7@CDHR3,e:222256,h:26308,Q6ZTQ4,CDHR3,"cadherin related family member 3","gene with protein product"
10,T094581,1999,0.9955,p1@FAM183A,e:440585,h:34347,"A6NL82,B7ZBL7,B7ZBL9",FAM183A,"family with sequence similarity 183 member A","gene with protein product"
11,T198945,2001,0.9945,p6@PHEX,e:5251,h:8918,P78562,PHEX,"phosphate regulating endopeptidase homolog, X-linked","gene with protein product"
12,T046406,1998,0.9940,p1@CCDC33,e:80125,h:26552,Q8N5R6,CCDC33,"coiled-coil domain containing 33","gene with protein product"
13,T024205,2000,0.9935,p1@IFLTD1,e:160492,h:26683,"Q8N9Z9,F5H5I3,F5H8G2",LMNTD1,"lamin tail domain containing 1","gene with protein product"
14,T033097,2003,0.9931,p2@C13orf30,e:144809,h:26883,Q8N7L0,FAM216B,"family with sequence similarity 216 member B","gene with protein product"
15,T153744,1993,0.9930,p2@SPEF2,e:79925,h:26293,,SPEF2,"sperm flagellar 2","gene with protein product"
16,T199359,1993,0.9930,p2@CXorf22,e:170063,h:28546,Q6ZTR5,NA,NA,NA
17,T022528,1991,0.9930,p1@DNAH10,e:196385,h:2941,"Q8IVF4,B0I1S1",DNAH10,"dynein axonemal heavy chain 10","gene with protein product"
18,T033844,1991,0.9925,p1@NEK5,e:341676,h:7748,Q6P3R8,NEK5,"NIMA related kinase 5","gene with protein product"
19,T121927,1994,0.9906,p2@FAM179A,e:165186,h:33715,"Q6ZUX3,F8W8E4",TOGARAM2,"TOG array regulator of axonemal microtubules 2","gene with protein product"
20,T095765,1986,0.9900,p1@C1orf87,e:127795,h:28547,Q8N0U7,C1orf87,"chromosome 1 open reading frame 87","gene with protein product"
21,T168081,1993,0.9896,p3@UBE2CBP,e:90025,h:21381,Q7Z6J8,UBE3D,"ubiquitin protein ligase E3D","gene with protein product"
22,T054606,1989,0.9891,p1@FAM92B,e:339145,h:24781,Q6ZTR7,FAM92B,"family with sequence similarity 92 member B","gene with protein product"
23,T160289,1987,0.9890,p2@C6orf103,e:79747,h:21212,"E5RFN4,E5RIM8",ADGB,androglobin,"gene with protein product"
24,T010521,1985,0.9890,p10@UPK2,e:7379,h:12579,O00526,UPK2,"uroplakin 2","gene with protein product"
