Hs-CENPF,2000,1000,T089579-CENPF,"p7@CENPF"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T089580,2009,1.0000,p4@CENPF,e:1063,h:1857,P49454,CENPF,"centromere protein F","gene with protein product"
2,T124093,2005,1.0000,p10@XPO1,e:7514,h:12825,,XPO1,"exportin 1","gene with protein product"
3,T141451,2009,1.0000,p4@TRIM61,e:391712,h:24339,Q5EBN2,TRIM61,"tripartite motif containing 61","gene with protein product"
4,T144489,2005,1.0000,p13@PAICS,e:10606,h:8587,,PAICS,"phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","gene with protein product"
5,T171099,2008,1.0000,p14@PODXL,e:5420,h:9171,,PODXL,"podocalyxin like","gene with protein product"
6,T140491,2002,1.0000,p11@MAB21L2,e:10586,h:6758,Q9Y586,MAB21L2,"mab-21 like 2","gene with protein product"
7,T047959,2009,1.0000,p8@PRC1,e:9055,h:9341,,PRC1,"protein regulator of cytokinesis 1","gene with protein product"
8,T131136,2012,1.0000,p7@SMC4,e:10051,h:14013,,SMC4,"structural maintenance of chromosomes 4","gene with protein product"
9,T185607,2008,1.0000,p30@RAB2A,e:5862,h:9763,,RAB2A,"RAB2A, member RAS oncogene family","gene with protein product"
10,T146266,2008,0.9995,p5@HNRNPD,e:3184,h:5036,,HNRNPD,"heterogeneous nuclear ribonucleoprotein D","gene with protein product"
11,T149243,2003,0.9995,p4@KIF20A,e:10112,h:9787,,KIF20A,"kinesin family member 20A","gene with protein product"
12,T044714,2011,0.9990,p4@PRTG,e:283659,h:26373,,PRTG,protogenin,"gene with protein product"
13,T069420,2011,0.9990,p3@DNMT1,e:1786,h:2976,,DNMT1,"DNA methyltransferase 1","gene with protein product"
14,T045037,2011,0.9990,p7@SLTM,e:79811,h:20709,,SLTM,"SAFB like transcription modulator","gene with protein product"
15,T058936,2011,0.9990,p6@BRCA1,e:672,h:1100,"E7EWN5,E7ENB7",BRCA1,"BRCA1, DNA repair associated","gene with protein product"
16,T149229,2010,0.9990,p2@WNT8A,e:7478,h:12788,Q9H1J5,WNT8A,"Wnt family member 8A","gene with protein product"
17,T174200,2009,0.9990,p38@HNRNPA2B1,e:3181,h:5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
18,T128097,2008,0.9990,p4@GOLGB1,e:2804,h:4429,,GOLGB1,"golgin B1","gene with protein product"
19,T120056,2008,0.9990,p2@SNORD20,e:6082,h:10143,,SNORD20,"small nucleolar RNA, C/D box 20","RNA, small nucleolar"
20,T039481,2008,0.9990,p4@SYNE2,e:23224,h:17084,,SYNE2,"spectrin repeat containing nuclear envelope protein 2","gene with protein product"
21,T030586,2007,0.9990,p2@SNRPF,e:6636,h:11162,P62306,SNRPF,"small nuclear ribonucleoprotein polypeptide F","gene with protein product"
22,T094906,2007,0.9990,p3@NASP,e:4678,h:7644,Q6PJY7,NASP,"nuclear autoantigenic sperm protein","gene with protein product"
23,T089582,2006,0.9990,p6@CENPF,e:1063,h:1857,,CENPF,"centromere protein F","gene with protein product"
24,T013247,2006,0.9990,p5@CCDC34,e:91057,h:25079,,CCDC34,"coiled-coil domain containing 34","gene with protein product"
25,T057804,2006,0.9990,p2@MED1,e:5469,h:9234,Q15648,MED1,"mediator complex subunit 1","gene with protein product"
