Hs-CHPF,2000,1000,T119259-CHPF,"p4@CHPF"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T200311,2012,1.0000,p9@MAGED1,e:9500,h:6813,,MAGED1,"MAGE family member D1","gene with protein product"
2,T134970,2009,1.0000,p3@TMEM158,e:25907,h:30293,Q8WZ71,TMEM158,"transmembrane protein 158 (gene/pseudogene)","gene with protein product"
3,T014931,2005,1.0000,p2@UBQLN3,e:50613,h:12510,,UBQLN3,"ubiquilin 3","gene with protein product"
4,T034790,2007,0.9995,p22@DZIP1,e:22873,h:20908,,DZIP1,"DAZ interacting zinc finger protein 1","gene with protein product"
5,T089280,2013,0.9990,p11@HP1BP3,e:50809,h:24973,,HP1BP3,"heterochromatin protein 1 binding protein 3","gene with protein product"
6,T119263,2012,0.9990,p1@CHPF,e:79586,h:24291,Q8IZ52,CHPF,"chondroitin polymerizing factor","gene with protein product"
7,T084499,2010,0.9990,p3@NCSTN,e:23385,h:17091,,NCSTN,nicastrin,"gene with protein product"
8,T013616,2009,0.9990,p4@TCP11L1,e:55346,h:25655,Q9NUJ3,TCP11L1,"t-complex 11 like 1","gene with protein product"
9,T153241,2007,0.9990,p17@GNB2L1,e:10399,h:4399,,RACK1,"receptor for activated C kinase 1","gene with protein product"
10,T153007,2006,0.9990,p10@MGAT4B,e:11282,h:7048,,MGAT4B,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B","gene with protein product"
11,T148268,2005,0.9990,p15@GRAMD3,e:65983,h:24911,,GRAMD3,"GRAM domain containing 3","gene with protein product"
12,T168955,2005,0.9990,p7@PLOD3,e:8985,h:9083,,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","gene with protein product"
13,T165244,2004,0.9990,p3@CDKN1A,e:1026,h:1784,"P38936,Q6FI05",CDKN1A,"cyclin dependent kinase inhibitor 1A","gene with protein product"
14,T120932,2003,0.9990,p19@GPC1,e:2817,h:4449,,GPC1,"glypican 1","gene with protein product"
15,T084498,2003,0.9990,p8@NCSTN,e:23385,h:17091,,NCSTN,nicastrin,"gene with protein product"
16,T064947,2001,0.9990,p11@ARHGDIA,e:396,h:678,,ARHGDIA,"Rho GDP dissociation inhibitor alpha","gene with protein product"
17,T165965,2005,0.9985,p25@PTK7,e:5754,h:9618,,PTK7,"protein tyrosine kinase 7 (inactive)","gene with protein product"
18,T045369,2002,0.9985,p3@CA12,e:771,h:1371,O43570,CA12,"carbonic anhydrase 12","gene with protein product"
19,T020440,2007,0.9980,p6@ALDH1L2,e:160428,h:26777,Q3SY69,ALDH1L2,"aldehyde dehydrogenase 1 family member L2","gene with protein product"
20,T104326,2006,0.9980,p14@ADAMTS5,e:11096,h:221,Q9UNA0,ADAMTS5,"ADAM metallopeptidase with thrombospondin type 1 motif 5","gene with protein product"
21,T050762,2002,0.9980,p34@ALDOA,e:226,h:414,,ALDOA,"aldolase, fructose-bisphosphate A","gene with protein product"
22,T027538,2008,0.9975,p4@OS9,e:10956,h:16994,,OS9,"OS9, endoplasmic reticulum lectin","gene with protein product"
23,T123114,2005,0.9975,p4@SIX2,e:10736,h:10888,Q9NPC8,SIX2,"SIX homeobox 2","gene with protein product"
24,T100295,1998,0.9975,p10@MYL9,e:10398,h:15754,Q6IBG1,MYL9,"myosin light chain 9","gene with protein product"
25,T074021,2005,0.9970,p19@EEF2,e:1938,h:3214,P13639,EEF2,"eukaryotic translation elongation factor 2","gene with protein product"
26,T170024,2003,0.9970,p13@MET,e:4233,h:7029,,MET,"MET proto-oncogene, receptor tyrosine kinase","gene with protein product"
27,T010193,2001,0.9970,p14@BACE1,e:23621,h:933,,BACE1,"beta-secretase 1","gene with protein product"
28,T012369,2001,0.9970,p14@CTSD,e:1509,h:2529,P07339,CTSD,"cathepsin D","gene with protein product"
29,T006601,1996,0.9970,p4@CHST3,e:9469,h:1971,Q7LGC8,CHST3,"carbohydrate sulfotransferase 3","gene with protein product"
30,T020449,2001,0.9965,p6@APPL2,e:55198,h:18242,,APPL2,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2","gene with protein product"
31,T079805,1995,0.9960,p3@DPH5,e:51611,h:24270,,DPH5,"diphthamide biosynthesis 5","gene with protein product"
32,T084497,2003,0.9955,p14@NCSTN,e:23385,h:17091,,NCSTN,nicastrin,"gene with protein product"
33,T019170,1998,0.9950,p8@TSPAN4,e:7106,h:11859,"O14817,E9PN41",TSPAN4,"tetraspanin 4","gene with protein product"
34,T200337,2000,0.9945,"p2@FAM156A,p2@FAM156B","e:29057,e:727866","h:30114,h:31962",,FAM156A,"family with sequence similarity 156 member A","gene with protein product"
35,T076918,1997,0.9945,p9@AKT1S1,e:84335,h:28426,Q96B36,AKT1S1,"AKT1 substrate 1","gene with protein product"
36,T178380,1995,0.9945,p26@COL1A2,e:1278,h:2198,,COL1A2,"collagen type I alpha 2 chain","gene with protein product"
37,T015691,2002,0.9935,p14@FADS1,e:3992,h:3574,O60427,FADS1,"fatty acid desaturase 1","gene with protein product"
38,T060399,1994,0.9935,p58@COL1A1,e:1277,h:2197,,COL1A1,"collagen type I alpha 1 chain","gene with protein product"
39,T153780,1996,0.9930,p5@IRX1,e:79192,h:14358,P78414,IRX1,"iroquois homeobox 1","gene with protein product"
40,T157063,1996,0.9925,p22@RGMB,e:285704,h:26896,,RGMB,"repulsive guidance molecule family member b","gene with protein product"
41,T078550,1991,0.9925,p1@VN1R1,e:57191,h:13548,Q9GZP7,VN1R1,"vomeronasal 1 receptor 1","gene with protein product"
42,T067535,1990,0.9925,p2@DYM,e:54808,h:21317,A5XEI3,DYM,dymeclin,"gene with protein product"
43,T125706,1994,0.9920,p6@TMEM150A,e:129303,h:24677,Q86TG1,TMEM150A,"transmembrane protein 150A","gene with protein product"
44,T038689,1993,0.9920,p3@GNPNAT1,e:64841,h:19980,Q96EK6,GNPNAT1,"glucosamine-phosphate N-acetyltransferase 1","gene with protein product"
45,T023063,1990,0.9920,p3@HEBP1,e:50865,h:17176,F5GWX2,HEBP1,"heme binding protein 1","gene with protein product"
46,T084459,1991,0.9915,p12@PEA15,e:8682,h:8822,Q14801,PEA15,"phosphoprotein enriched in astrocytes 15","gene with protein product"
47,T125274,1989,0.9915,p3@PCGF1,e:84759,h:17615,,PCGF1,"polycomb group ring finger 1","gene with protein product"
48,T121114,1994,0.9911,p7@HDLBP,e:3069,h:4857,,HDLBP,"high density lipoprotein binding protein","gene with protein product"
49,T092895,1994,0.9911,p7@MAP3K6,e:9064,h:6858,O95382,MAP3K6,"mitogen-activated protein kinase kinase kinase 6","gene with protein product"
50,T127473,1993,0.9910,p30@CCDC80,e:151887,h:30649,,CCDC80,"coiled-coil domain containing 80","gene with protein product"
51,T007736,1991,0.9910,p2@MINPP1,e:9562,h:7102,"Q9UNW1,B4E394",MINPP1,"multiple inositol-polyphosphate phosphatase 1","gene with protein product"
52,T197827,1989,0.9910,p11@LDOC1,e:23641,h:6548,O95751,LDOC1,"leucine zipper down-regulated in cancer 1","gene with protein product"
53,T174409,1994,0.9906,p8@HOXA7,e:3204,h:5108,,HOXA7,"homeobox A7","gene with protein product"
54,T073529,1987,0.9900,p3@COX7A1,e:1346,h:2287,"P24310,Q6FGI7",COX7A1,"cytochrome c oxidase subunit 7A1","gene with protein product"
55,T195908,1990,0.9896,p2@ARMCX5,e:64860,h:25772,,ARMCX5,"armadillo repeat containing, X-linked 5","gene with protein product"
56,T134228,1990,0.9896,p4@CRTAP,e:10491,h:2379,O75718,CRTAP,"cartilage associated protein","gene with protein product"
57,T028486,1987,0.9895,p4@LEPREL2,e:10536,h:19318,,P3H3,"prolyl 3-hydroxylase 3","gene with protein product"
58,T119262,1987,0.9890,p2@CHPF,e:79586,h:24291,F8W6H2,CHPF,"chondroitin polymerizing factor","gene with protein product"
59,T009388,1985,0.9890,p70@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
60,T166752,1988,0.9881,p7@ELOVL5,e:60481,h:21308,,ELOVL5,"ELOVL fatty acid elongase 5","gene with protein product"
61,T120934,1986,0.9881,p21@GPC1,e:2817,h:4449,,GPC1,"glypican 1","gene with protein product"
62,T072880,1984,0.9880,p4@WTIP,e:126374,h:20964,,WTIP,"Wilms tumor 1 interacting protein","gene with protein product"
63,T102855,1982,0.9880,p15@GNAS,e:2778,h:4392,,GNAS,"GNAS complex locus","gene with protein product"
64,T165971,1980,0.9880,p28@PTK7,e:5754,h:9618,,PTK7,"protein tyrosine kinase 7 (inactive)","gene with protein product"
65,T037046,1987,0.9876,p17@PABPN1,e:8106,h:8565,B4DEH8,PABPN1,"poly(A) binding protein nuclear 1","gene with protein product"
66,T129876,1985,0.9876,p18@C3orf58,e:205428,h:28490,,C3orf58,"chromosome 3 open reading frame 58","gene with protein product"
67,T119964,1982,0.9875,p12@ITM2C,e:81618,h:6175,Q96JS4,ITM2C,"integral membrane protein 2C","gene with protein product"
68,T025136,1979,0.9875,p21@ANO6,e:196527,h:25240,,ANO6,"anoctamin 6","gene with protein product"
69,T198450,1983,0.9871,p9@ATP6AP1,e:537,h:868,,ATP6AP1,"ATPase H+ transporting accessory protein 1","gene with protein product"
70,T178384,1983,0.9871,p8@COL1A2,e:1278,h:2198,,COL1A2,"collagen type I alpha 2 chain","gene with protein product"
71,T134925,1981,0.9870,p2@ZDHHC3,e:51304,h:18470,,ZDHHC3,"zinc finger DHHC-type containing 3","gene with protein product"
72,T064910,1981,0.9870,p3@P4HB,e:5034,h:8548,Q96C96,P4HB,"prolyl 4-hydroxylase subunit beta","gene with protein product"
73,T042995,1978,0.9865,p10@C15orf41,e:84529,h:26929,Q9Y2V0,C15orf41,"chromosome 15 open reading frame 41","gene with protein product"
74,T041419,1982,0.9861,p17@FBLN5,e:10516,h:3602,,FBLN5,"fibulin 5","gene with protein product"
75,T036922,1986,0.9856,p12@LRP10,e:26020,h:14553,,LRP10,"LDL receptor related protein 10","gene with protein product"
76,T118350,1982,0.9856,p76@FN1,e:2335,h:3778,,FN1,"fibronectin 1","gene with protein product"
