Hs-ERC1,2000,1000,T021757-ERC1,"p6@ERC1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T134347,2007,1.0000,p15@ARPP21,e:10777,h:16968,C9JI74,ARPP21,"cAMP regulated phosphoprotein 21","gene with protein product"
2,T067885,2004,1.0000,p8@ST8SIA3,e:51046,h:14269,"O43173,Q59GW3",ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","gene with protein product"
3,T141426,2009,0.9990,p19@MARCH1,e:55016,h:26077,Q8TCQ1,MARCH1,"membrane associated ring-CH-type finger 1","gene with protein product"
4,T103773,2008,0.9990,p10@LAMP5,e:24141,h:16097,Q9UJQ1,LAMP5,"lysosomal associated membrane protein family member 5","gene with protein product"
5,T179734,2007,0.9990,p16@SYBU,e:55638,h:26011,"Q9NX95,E9PNN9",SYBU,syntabulin,"gene with protein product"
6,T158751,2001,0.9990,p12@PHACTR1,e:221692,h:20990,,PHACTR1,"phosphatase and actin regulator 1","gene with protein product"
7,T030882,2002,0.9980,p22@ANKS1B,e:56899,h:24600,Q7Z6G8,ANKS1B,"ankyrin repeat and sterile alpha motif domain containing 1B","gene with protein product"
8,T130673,2005,0.9975,p1@GPR149,e:344758,h:23627,"Q86SP6,Q2MKA6",GPR149,"G protein-coupled receptor 149","gene with protein product"
9,T134658,2006,0.9965,p46@CTNNB1,e:1499,h:2514,C9IZ65,CTNNB1,"catenin beta 1","gene with protein product"
10,T019091,1999,0.9965,p23@DLG2,e:1740,h:2901,"B5MCC5,F8W9V6,Q15700,Q5H9Q4",DLG2,"discs large MAGUK scaffold protein 2","gene with protein product"
11,T136882,1998,0.9965,p2@SYNPR,e:132204,h:16507,"B3KVD8,C9J976,F8WDB8,C9J0A2",SYNPR,synaptoporin,"gene with protein product"
12,T067887,1999,0.9960,p3@ST8SIA3,e:51046,h:14269,"O43173,Q59GW3",ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","gene with protein product"
13,T103774,2003,0.9955,p6@LAMP5,e:24141,h:16097,Q9UJQ1,LAMP5,"lysosomal associated membrane protein family member 5","gene with protein product"
14,T065772,2000,0.9940,p13@GNAL,e:2774,h:4388,"P38405,A8K1Y9,Q86XU3,Q8N2B4",GNAL,"G protein subunit alpha L","gene with protein product"
15,T096615,1997,0.9935,p2@NEGR1,e:257194,h:17302,Q7Z3B1,NEGR1,"neuronal growth regulator 1","gene with protein product"
16,T145225,1998,0.9930,p14@SLC4A4,e:8671,h:11030,,SLC4A4,"solute carrier family 4 member 4","gene with protein product"
17,T065771,1994,0.9930,p17@GNAL,e:2774,h:4388,"P38405,A8K1Y9,Q86XU3,Q8N2B4",GNAL,"G protein subunit alpha L","gene with protein product"
18,T023607,1995,0.9920,p16@LMO3,e:55885,h:6643,"Q05D86,B4DG90",LMO3,"LIM domain only 3","gene with protein product"
19,T067884,1989,0.9910,p6@ST8SIA3,e:51046,h:14269,"O43173,Q59GW3",ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","gene with protein product"
20,T172416,1992,0.9891,p5@DGKB,e:1607,h:2850,C9JTC0,DGKB,"diacylglycerol kinase beta","gene with protein product"
21,T129498,1988,0.9886,p10@MRAS,e:22808,h:7227,O14807,MRAS,"muscle RAS oncogene homolog","gene with protein product"
22,T178496,1988,0.9886,p11@PPP1R9A,e:55607,h:14946,C9J730,PPP1R9A,"protein phosphatase 1 regulatory subunit 9A","gene with protein product"
23,T002950,1985,0.9885,p4@NMT2,e:9397,h:7858,,NMT2,"N-myristoyltransferase 2","gene with protein product"
24,T033818,1982,0.9875,p2@LINC00282,e:283521,h:26737,,LINC00282,"long intergenic non-protein coding RNA 282","RNA, long non-coding"
25,T136881,1980,0.9870,p10@SYNPR,e:132204,h:16507,F8WDB8,SYNPR,synaptoporin,"gene with protein product"
26,T049735,1983,0.9861,p1@CRYM,e:1428,h:2418,Q14894,CRYM,"crystallin mu","gene with protein product"
27,T072662,1980,0.9846,p2@CELF5,e:60680,h:14058,B4DFI3,CELF5,"CUGBP Elav-like family member 5","gene with protein product"
28,T033061,1972,0.9835,p2@DGKH,e:160851,h:2854,,DGKH,"diacylglycerol kinase eta","gene with protein product"
29,T036925,1972,0.9821,p1@REM2,e:161253,h:20248,"B7Z5P1,Q8IYK8",REM2,"RRAD and GEM like GTPase 2","gene with protein product"
30,T120159,1972,0.9821,p18@MYT1L,e:23040,h:7623,,MYT1L,"myelin transcription factor 1 like","gene with protein product"
31,T098831,1970,0.9821,p1@PDYN,e:5173,h:8820,P01213,PDYN,prodynorphin,"gene with protein product"
32,T172417,1973,0.9811,p7@DGKB,e:1607,h:2850,,DGKB,"diacylglycerol kinase beta","gene with protein product"
33,T172982,1969,0.9811,p4@DPP6,e:1804,h:3010,P42658,DPP6,"dipeptidyl peptidase like 6","gene with protein product"
34,T043019,1969,0.9796,p10@MEIS2,e:4212,h:7001,,MEIS2,"Meis homeobox 2","gene with protein product"
35,T185125,1964,0.9781,p4@SNTG1,e:54212,h:13740,,SNTG1,"syntrophin gamma 1","gene with protein product"
36,T130672,1962,0.9761,p3@GPR149,e:344758,h:23627,"Q86SP6,Q2MKA6",GPR149,"G protein-coupled receptor 149","gene with protein product"
37,T034286,1957,0.9756,p23@LMO7,e:4008,h:6646,,LMO7,"LIM domain 7","gene with protein product"
38,T136883,1952,0.9750,p3@SYNPR,e:132204,h:16507,C9J976,SYNPR,synaptoporin,"gene with protein product"
39,T172979,1953,0.9741,p7@DPP6,e:1804,h:3010,P42658,DPP6,"dipeptidyl peptidase like 6","gene with protein product"
40,T033931,1957,0.9736,p5@PCDH17,e:27253,h:14267,,PCDH17,"protocadherin 17","gene with protein product"
41,T117898,1955,0.9736,p4@MAP2,e:4133,h:6839,A8MZ31,MAP2,"microtubule associated protein 2","gene with protein product"
42,T152441,1952,0.9736,p6@CPEB4,e:80315,h:21747,,CPEB4,"cytoplasmic polyadenylation element binding protein 4","gene with protein product"
43,T196618,1955,0.9726,p4@KLHL13,e:90293,h:22931,,KLHL13,"kelch like family member 13","gene with protein product"
44,T141556,1948,0.9706,p9@SPOCK3,e:50859,h:13565,,SPOCK3,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3","gene with protein product"
45,T154663,1945,0.9701,p2@ANKRD55,e:79722,h:25681,D6R9N4,ANKRD55,"ankyrin repeat domain 55","gene with protein product"
46,T067886,1948,0.9696,p9@ST8SIA3,e:51046,h:14269,"O43173,Q59GW3",ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","gene with protein product"
47,T140124,1946,0.9677,p7@RNF150,e:57484,h:23138,Q9ULK6,RNF150,"ring finger protein 150","gene with protein product"
48,T195821,1940,0.9676,p4@DRP2,e:1821,h:3032,Q13474,DRP2,"dystrophin related protein 2","gene with protein product"
49,T049734,1943,0.9667,p4@CRYM,e:1428,h:2418,Q14894,CRYM,"crystallin mu","gene with protein product"
50,T158750,1940,0.9647,p18@PHACTR1,e:221692,h:20990,,PHACTR1,"phosphatase and actin regulator 1","gene with protein product"
51,T065773,1935,0.9632,p4@GNAL,e:2774,h:4388,"P38405,A8K1Y9,Q86XU3,Q8N2B4",GNAL,"G protein subunit alpha L","gene with protein product"
52,T023851,1935,0.9622,p1@SLCO1C1,e:53919,h:13819,F5GZD6,SLCO1C1,"solute carrier organic anion transporter family member 1C1","gene with protein product"
53,T046830,1931,0.9621,p7@DNAJA4,e:55466,h:14885,"Q69YX3,Q8WW22",DNAJA4,"DnaJ heat shock protein family (Hsp40) member A4","gene with protein product"
54,T056152,1924,0.9606,p7@RNF112,e:7732,h:12968,Q7Z5V9,RNF112,"ring finger protein 112","gene with protein product"
55,T132525,1923,0.9601,p2@MAP3K13,e:9175,h:6852,,MAP3K13,"mitogen-activated protein kinase kinase kinase 13","gene with protein product"
56,T200268,1921,0.9571,p2@DGKK,e:139189,h:32395,Q5KSL6,DGKK,"diacylglycerol kinase kappa","gene with protein product"
57,T145228,1920,0.9552,p15@SLC4A4,e:8671,h:11030,,SLC4A4,"solute carrier family 4 member 4","gene with protein product"
58,T021756,1914,0.9532,p23@ERC1,e:23085,h:17072,,ERC1,"ELKS/RAB6-interacting/CAST family member 1","gene with protein product"
59,T065779,1916,0.9528,p10@GNAL,e:2774,h:4388,P38405,GNAL,"G protein subunit alpha L","gene with protein product"
60,T136880,1913,0.9517,p7@SYNPR,e:132204,h:16507,F8WDB8,SYNPR,synaptoporin,"gene with protein product"
61,T172978,1909,0.9512,p3@DPP6,e:1804,h:3010,,DPP6,"dipeptidyl peptidase like 6","gene with protein product"
62,T016008,1905,0.9506,p6@BSCL2,e:26580,h:15832,,BSCL2,"BSCL2, seipin lipid droplet biogenesis associated","gene with protein product"
63,T136879,1904,0.9506,p4@SYNPR,e:132204,h:16507,F8WDB8,SYNPR,synaptoporin,"gene with protein product"
64,T156807,1907,0.9502,p3@MCTP1,e:79772,h:26183,E5RJR1,MCTP1,"multiple C2 and transmembrane domain containing 1","gene with protein product"
65,T143465,1904,0.9492,p36@RGS12,e:6002,h:9994,A8K440,RGS12,"regulator of G-protein signaling 12","gene with protein product"
66,T032658,1902,0.9486,p11@STARD13,e:90627,h:19164,"B3KRK6,Q9Y3M8,B2R789",STARD13,"StAR related lipid transfer domain containing 13","gene with protein product"
67,T134345,1899,0.9452,p1@ARPP21,e:10777,h:16968,"A8K1F3,Q9UBL0",ARPP21,"cAMP regulated phosphoprotein 21","gene with protein product"
