Hs-ERLEC1,2000,1000,T123518-ERLEC1,"p6@ERLEC1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T118891,2008,0.9990,p13@TMBIM1,e:64114,h:23410,Q969X1,TMBIM1,"transmembrane BAX inhibitor motif containing 1","gene with protein product"
2,T135527,2005,0.9990,p1@C3orf71,e:646450,h:34425,Q8N7S6,ARIH2OS,"ariadne homolog 2 opposite strand","gene with protein product"
3,T102265,2005,0.9990,p8@NFATC2,e:4773,h:7776,,NFATC2,"nuclear factor of activated T-cells 2","gene with protein product"
4,T131256,2004,0.9990,p8@OXNAD1,e:92106,h:25128,F8WB50,OXNAD1,"oxidoreductase NAD binding domain containing 1","gene with protein product"
5,T045190,2002,0.9990,p1@RORA,e:6095,h:10258,P35398,RORA,"RAR related orphan receptor A","gene with protein product"
6,T051288,2002,0.9990,p2@KIAA0664L3,,h:28447,,CLUHP3,"clustered mitochondria homolog pseudogene 3",pseudogene
7,T139109,2005,0.9985,p13@CAMK2D,e:817,h:1462,Q13557,CAMK2D,"calcium/calmodulin dependent protein kinase II delta","gene with protein product"
8,T062469,2004,0.9980,p12@C17orf49,e:124944,h:28737,,C17orf49,"chromosome 17 open reading frame 49","gene with protein product"
9,T043739,2001,0.9980,p5@TP53BP1,e:7158,h:11999,C9JXV0,TP53BP1,"tumor protein p53 binding protein 1","gene with protein product"
10,T160638,2002,0.9970,p18@MTHFD1L,e:25902,h:21055,Q6UB35,MTHFD1L,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","gene with protein product"
11,T007753,1999,0.9970,p3@CFL1P1,,h:28560,,CFL1P1,"cofilin 1 pseudogene 1",pseudogene
12,T015840,1999,0.9965,p4@CDHR5,e:53841,h:7521,,CDHR5,"cadherin related family member 5","gene with protein product"
13,T000761,1997,0.9965,p1@MIR4482-1,e:100616323,h:41792,,MIR4482,"microRNA 4482","RNA, micro"
14,T159396,1997,0.9950,p3@AHI1,e:54806,h:21575,Q9NQN3,AHI1,"Abelson helper integration site 1","gene with protein product"
15,T193545,1998,0.9945,p7@UHRF2,e:115426,h:12557,Q96PU4,UHRF2,"ubiquitin like with PHD and ring finger domains 2","gene with protein product"
16,T045178,1998,0.9945,p10@RORA,e:6095,h:10258,,RORA,"RAR related orphan receptor A","gene with protein product"
17,T054235,1996,0.9945,p2@C16orf61,e:56942,h:24447,,CMC2,"C-X9-C motif containing 2","gene with protein product"
18,T120118,1995,0.9945,p5@PTMA,"e:100506248,e:5757,e:728026",h:9623,,PTMA,"prothymosin, alpha","gene with protein product"
19,T113645,1995,0.9940,p25@NR4A2,e:4929,h:7981,,NR4A2,"nuclear receptor subfamily 4 group A member 2","gene with protein product"
20,T080369,1995,0.9930,p2@KCNC4,e:3749,h:6236,Q03721,KCNC4,"potassium voltage-gated channel subfamily C member 4","gene with protein product"
21,T050218,1994,0.9930,p1@IL21R,e:50615,h:6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
22,T188836,1993,0.9930,p1@DFNB31,e:25861,h:16361,"B9EGE6,Q9P202",WHRN,whirlin,"gene with protein product"
23,T062164,1994,0.9925,p7@AMZ2,e:51321,h:28041,"A6NLD9,Q86W34,A8MZ48",AMZ2,"archaelysin family metallopeptidase 2","gene with protein product"
24,T168415,1992,0.9915,p7@BACH2,e:60468,h:14078,"Q9BYV9,Q7Z6Q0",BACH2,"BTB domain and CNC homolog 2","gene with protein product"
25,T124034,1988,0.9910,p5@REL,e:5966,h:9954,Q17RU2,REL,"REL proto-oncogene, NF-kB subunit","gene with protein product"
26,T179131,1986,0.9910,p25@PABPC1,e:26986,h:8554,,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
27,T179066,1994,0.9906,p8@SPAG1,e:6674,h:11212,Q07617,SPAG1,"sperm associated antigen 1","gene with protein product"
28,T103323,1987,0.9886,p2@HAR1B,,h:33118,,HAR1B,"highly accelerated region 1B (non-protein coding)","RNA, long non-coding"
29,T050222,1982,0.9885,p4@IL21R,e:50615,h:6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
30,T125289,1984,0.9880,p13@AUP1,e:550,h:891,,AUP1,"ancient ubiquitous protein 1","gene with protein product"
31,T108221,1983,0.9875,p5@APOL6,e:80830,h:14870,"B3KTP4,Q9BWW8",APOL6,"apolipoprotein L6","gene with protein product"
32,T062064,1982,0.9875,p4@TXNDC17,e:84817,h:28218,Q9BRA2,TXNDC17,"thioredoxin domain containing 17","gene with protein product"
33,T057917,1979,0.9875,p16@IKZF3,e:22806,h:13178,,IKZF3,"IKAROS family zinc finger 3","gene with protein product"
34,T167384,1982,0.9866,p10@LMBRD1,e:55788,h:23038,,LMBRD1,"LMBR1 domain containing 1","gene with protein product"
35,T179309,1981,0.9851,p18@UBR5,e:51366,h:16806,O95071,UBR5,"ubiquitin protein ligase E3 component n-recognin 5","gene with protein product"
36,T050219,1983,0.9846,p2@IL21R,e:50615,h:6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
37,T088304,1978,0.9846,p3@PPP1R15B,e:84919,h:14951,Q5SWA1,PPP1R15B,"protein phosphatase 1 regulatory subunit 15B","gene with protein product"
38,T059493,1973,0.9840,p30@FMNL1,e:752,h:1212,,FMNL1,"formin like 1","gene with protein product"
39,T081086,1976,0.9836,p3@TTF2,e:8458,h:12398,,TTF2,"transcription termination factor 2","gene with protein product"
40,T052990,1974,0.9836,p2@FBXL8,e:55336,h:17875,Q96CD0,FBXL8,"F-box and leucine rich repeat protein 8","gene with protein product"
41,T071891,1972,0.9831,p1@PBX4,e:80714,h:13403,,PBX4,"PBX homeobox 4","gene with protein product"
42,T188835,1971,0.9821,p2@DFNB31,e:25861,h:16361,"B9EGE6,Q9P202",WHRN,whirlin,"gene with protein product"
43,T092795,1972,0.9811,p4@ARID1A,e:8289,h:11110,O14497,ARID1A,"AT-rich interaction domain 1A","gene with protein product"
44,T004989,1969,0.9811,p18@FRMPD2,e:143162,h:28572,"F8WCT2,Q68DX3",FRMPD2,"FERM and PDZ domain containing 2","gene with protein product"
45,T097941,1976,0.9806,p2@DR1,e:1810,h:3017,Q01658,DR1,"down-regulator of transcription 1","gene with protein product"
46,T087161,1970,0.9801,p1@IFFO2,e:126917,h:27006,Q5TF58,IFFO2,"intermediate filament family orphan 2","gene with protein product"
47,T156026,1970,0.9791,p2@JMY,e:133746,h:28916,Q8N9B5,JMY,"junction mediating and regulatory protein, p53 cofactor","gene with protein product"
48,T050225,1968,0.9791,p8@IL21R,e:50615,h:6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
49,T143059,1968,0.9791,p2@ZFYVE28,e:57732,h:29334,E9PG77,ZFYVE28,"zinc finger FYVE-type containing 28","gene with protein product"
50,T071890,1960,0.9776,p2@PBX4,e:80714,h:13403,,PBX4,"PBX homeobox 4","gene with protein product"
51,T081155,1963,0.9771,p3@WDR3,e:10885,h:12755,,WDR3,"WD repeat domain 3","gene with protein product"
52,T046247,1960,0.9771,p2@ARIH1,e:25820,h:689,,ARIH1,"ariadne RBR E3 ubiquitin protein ligase 1","gene with protein product"
53,T108366,1961,0.9761,p36@MYH9,e:4627,h:7579,B1AH99,MYH9,"myosin heavy chain 9","gene with protein product"
54,T186653,1961,0.9756,p8@ZBTB10,e:65986,h:30953,"Q96DT7,Q9H9H3",ZBTB10,"zinc finger and BTB domain containing 10","gene with protein product"
55,T139784,1959,0.9751,p3@NKX3-2,e:579,h:951,P78367,NKX3-2,"NK3 homeobox 2","gene with protein product"
56,T069590,1953,0.9731,p13@HMHA1,e:23526,h:17102,,ARHGAP45,"Rho GTPase activating protein 45","gene with protein product"
57,T180321,1950,0.9721,p10@ZHX2,e:22882,h:18513,Q9Y6X8,ZHX2,"zinc fingers and homeoboxes 2","gene with protein product"
58,T033785,1950,0.9716,p8@INTS6,e:26512,h:14879,,INTS6,"integrator complex subunit 6","gene with protein product"
59,T033783,1942,0.9676,p7@INTS6,e:26512,h:14879,B4E1J5,INTS6,"integrator complex subunit 6","gene with protein product"
60,T124019,1950,0.9673,p2@PAPOLG,e:64895,h:14982,F8WAT4,PAPOLG,"poly(A) polymerase gamma","gene with protein product"
61,T093024,1941,0.9671,p11@C1orf38,e:9473,h:16839,,THEMIS2,"thymocyte selection associated family member 2","gene with protein product"
62,T009348,1940,0.9671,p17@ATM,e:472,h:795,E9PIN0,ATM,"ATM serine/threonine kinase","gene with protein product"
63,T025430,1939,0.9661,p7@PFKM,e:5213,h:8877,F8VW30,PFKM,"phosphofructokinase, muscle","gene with protein product"
64,T065788,1936,0.9637,p5@CHMP1B,e:57132,h:24287,Q7LBR1,CHMP1B,"charged multivesicular body protein 1B","gene with protein product"
65,T067508,1932,0.9636,p4@SMAD7,e:4092,h:6773,O15105,SMAD7,"SMAD family member 7","gene with protein product"
66,T119138,1937,0.9632,p6@TUBA4A,e:7277,h:12407,A8MUB1,TUBA4A,"tubulin alpha 4a","gene with protein product"
67,T119137,1931,0.9631,p27@TUBA4A,e:7277,h:12407,A8MUB1,TUBA4A,"tubulin alpha 4a","gene with protein product"
68,T014562,1931,0.9631,p2@ATG13,e:9776,h:29091,"O75143,A8K0S6,E9PQZ8,Q53EN6,B4DFI4",ATG13,"autophagy related 13","gene with protein product"
69,T163938,1938,0.9627,p12@LTA,e:4049,h:6709,,LTA,"lymphotoxin alpha","gene with protein product"
70,T087162,1931,0.9621,p3@IFFO2,e:126917,h:27006,Q5TF58,IFFO2,"intermediate filament family orphan 2","gene with protein product"
71,T095282,1927,0.9601,p2@KTI12,e:112970,h:25160,,KTI12,"KTI12 chromatin associated homolog","gene with protein product"
72,T008927,1921,0.9581,p8@BIRC2,e:329,h:590,,BIRC2,"baculoviral IAP repeat containing 2","gene with protein product"
73,T087186,1920,0.9562,p19@TROVE2,e:6738,h:11313,D6RDN1,TROVE2,"TROVE domain family member 2","gene with protein product"
74,T074514,1918,0.9561,p19@HNRNPUL1,e:11100,h:17011,,HNRNPUL1,"heterogeneous nuclear ribonucleoprotein U like 1","gene with protein product"
75,T105031,1920,0.9552,p4@DYRK1A,e:1859,h:3091,,DYRK1A,"dual specificity tyrosine phosphorylation regulated kinase 1A","gene with protein product"
76,T039175,1919,0.9552,p17@PPM1A,e:5494,h:9275,"P35813,B2R8E4",PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A","gene with protein product"
77,T070659,1917,0.9547,p6@CD97,e:976,h:1711,P48960,ADGRE5,"adhesion G protein-coupled receptor E5","gene with protein product"
78,T184521,1913,0.9532,p1@LETM2,e:137994,h:14648,"Q2VYF4,E5RJN4,E5RK40,E9PMA4,A8K1M9",LETM2,"leucine zipper and EF-hand containing transmembrane protein 2","gene with protein product"
79,T152752,1916,0.9528,p5@PRR7,e:80758,h:28130,C9JL33,PRR7,"proline rich 7, synaptic","gene with protein product"
80,T136795,1912,0.9522,p12@PTPRG,e:5793,h:9671,"P23470,Q49A02",PTPRG,"protein tyrosine phosphatase, receptor type G","gene with protein product"
81,T180320,1911,0.9517,p18@ZHX2,e:22882,h:18513,Q9Y6X8,ZHX2,"zinc fingers and homeoboxes 2","gene with protein product"
82,T149278,1911,0.9498,p8@EGR1,e:1958,h:3238,"B4DNX4,F5H5Y6",EGR1,"early growth response 1","gene with protein product"
83,T156047,1911,0.9498,p1@HOMER1,e:9456,h:17512,Q86YM7,HOMER1,"homer scaffolding protein 1","gene with protein product"
84,T092492,1904,0.9482,p5@RUNX3,e:864,h:10473,Q13761,RUNX3,"runt related transcription factor 3","gene with protein product"
85,T200125,1899,0.9471,p5@PIM2,e:11040,h:8987,Q9P1W9,PIM2,"Pim-2 proto-oncogene, serine/threonine kinase","gene with protein product"
86,T080470,1901,0.9467,p4@KCNA3,e:3738,h:6221,P22001,KCNA3,"potassium voltage-gated channel subfamily A member 3","gene with protein product"
87,T193447,1897,0.9466,p12@C9orf46,e:55848,h:23633,Q9HBL7,PLGRKT,"plasminogen receptor with a C-terminal lysine","gene with protein product"
88,T101320,1900,0.9443,p4@WFDC3,e:140686,h:15957,,WFDC3,"WAP four-disulfide core domain 3","gene with protein product"
89,T008485,1896,0.9442,p3@TCTN3,e:26123,h:24519,,TCTN3,"tectonic family member 3","gene with protein product"
90,T050220,1891,0.9422,p5@IL21R,e:50615,h:6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
91,T201654,1891,0.9417,p2@UTY,e:7404,h:12638,,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked","gene with protein product"
92,T038830,1882,0.9391,p5@SOCS4,e:122809,h:19392,,SOCS4,"suppressor of cytokine signaling 4","gene with protein product"
93,T158160,1880,0.9381,p4@TSPYL1,e:7259,h:12382,B4DN10,TSPYL1,"TSPY like 1","gene with protein product"
94,T143195,1884,0.9378,p26@RBPJ,e:3516,h:5724,D6RIZ8,RBPJ,"recombination signal binding protein for immunoglobulin kappa J region","gene with protein product"
95,T143194,1885,0.9373,p30@RBPJ,e:3516,h:5724,D6RIZ8,RBPJ,"recombination signal binding protein for immunoglobulin kappa J region","gene with protein product"
96,T074136,1880,0.9367,p5@SUPT5H,e:6829,h:11469,O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit","gene with protein product"
97,T059702,1880,0.9358,p2@TBX21,e:30009,h:11599,Q9UL17,TBX21,"T-box 21","gene with protein product"
98,T045648,1879,0.9348,p5@DENND4A,e:10260,h:24321,"Q7Z401,E7EPL3,Q05C90",DENND4A,"DENN domain containing 4A","gene with protein product"
99,T077464,1876,0.9347,p1@HAS1,e:3036,h:4818,"E9PC78,E9PC77",HAS1,"hyaluronan synthase 1","gene with protein product"
100,T180322,1873,0.9342,p19@ZHX2,e:22882,h:18513,Q9Y6X8,ZHX2,"zinc fingers and homeoboxes 2","gene with protein product"
101,T005905,1875,0.9338,p2@EGR2,e:1959,h:3239,P11161,EGR2,"early growth response 2","gene with protein product"
