Hs-EXOSC3,2000,1000,T193263-EXOSC3,"p4@EXOSC3"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T012245,2005,1.0000,p9@NUCB2,e:4925,h:8044,,NUCB2,"nucleobindin 2","gene with protein product"
2,T116585,2006,1.0000,p3@TMEM194B,e:100131211,h:33700,F8VWJ7,NEMP2,"nuclear envelope integral membrane protein 2","gene with protein product"
3,T078170,2011,0.9995,p3@PPP6R1,e:22870,h:29195,B4DLT9,PPP6R1,"protein phosphatase 6 regulatory subunit 1","gene with protein product"
4,T178193,2008,0.9995,p8@CDK6,e:1021,h:1777,Q00534,CDK6,"cyclin dependent kinase 6","gene with protein product"
5,T193907,2007,0.9995,p3@FAM108B1,e:51104,h:24278,Q5VST6,ABHD17B,"abhydrolase domain containing 17B","gene with protein product"
6,T120755,2009,0.9990,p9@UBE2F,e:140739,h:12480,,UBE2F,"ubiquitin conjugating enzyme E2 F (putative)","gene with protein product"
7,T195813,2009,0.9990,p2@TRMT2B,e:79979,h:25748,,TRMT2B,"tRNA methyltransferase 2 homolog B","gene with protein product"
8,T120752,2007,0.9990,p5@UBE2F,e:140739,h:12480,C9J9P8,UBE2F,"ubiquitin conjugating enzyme E2 F (putative)","gene with protein product"
9,T185532,2006,0.9990,p9@NSMAF,e:8439,h:8017,,NSMAF,"neutral sphingomyelinase activation associated factor","gene with protein product"
10,T075244,2003,0.9990,p3@ZNF224,e:7767,h:13017,Q9NZL3,ZNF224,"zinc finger protein 224","gene with protein product"
11,T062344,2002,0.9990,p2@ALOX12P2,e:245,h:432,,ALOX12P2,"arachidonate 12-lipoxygenase pseudogene 2",pseudogene
12,T120751,2006,0.9985,p4@UBE2F,e:140739,h:12480,C9J9P8,UBE2F,"ubiquitin conjugating enzyme E2 F (putative)","gene with protein product"
13,T155041,2008,0.9980,p3@MED10,e:84246,h:28760,Q9BTT4,MED10,"mediator complex subunit 10","gene with protein product"
14,T148981,2006,0.9980,p6@H2AFY,e:9555,h:4740,,H2AFY,"H2A histone family member Y","gene with protein product"
15,T162991,2003,0.9980,p9@HIST1H2BI,e:8346,h:4756,,HIST1H2BI,"histone cluster 1 H2B family member i","gene with protein product"
16,T153074,1997,0.9970,p11@RNF130,e:55819,h:18280,Q86XS8,RNF130,"ring finger protein 130","gene with protein product"
17,T120754,2003,0.9965,p7@UBE2F,e:140739,h:12480,,UBE2F,"ubiquitin conjugating enzyme E2 F (putative)","gene with protein product"
18,T187744,2001,0.9965,p3@TRIM14,e:9830,h:16283,F2Z2M2,TRIM14,"tripartite motif containing 14","gene with protein product"
19,T096374,2002,0.9960,p4@TCTEX1D1,e:200132,h:26882,Q8N7M0,TCTEX1D1,"Tctex1 domain containing 1","gene with protein product"
20,T159367,2002,0.9960,p1@MYB,e:4602,h:7545,E9PLN0,MYB,"MYB proto-oncogene, transcription factor","gene with protein product"
21,T167552,2001,0.9960,p1@KCNQ5,e:56479,h:6299,,KCNQ5,"potassium voltage-gated channel subfamily Q member 5","gene with protein product"
22,T159366,1999,0.9960,p3@MYB,e:4602,h:7545,P10242,MYB,"MYB proto-oncogene, transcription factor","gene with protein product"
23,T157644,1995,0.9960,p5@CD164,e:8763,h:1632,D6R9B4,CD164,"CD164 molecule","gene with protein product"
24,T159853,1999,0.9955,p8@C6orf115,e:58527,h:21230,Q5SZC9,ABRACL,"ABRA C-terminal like","gene with protein product"
25,T080093,1997,0.9945,p2@HENMT1,e:113802,h:26400,Q5T8I9,HENMT1,"HEN1 methyltransferase homolog 1","gene with protein product"
26,T038196,1995,0.9945,p13@CTAGE5,e:4253,h:7057,,CTAGE5,"CTAGE family member 5, ER export factor","gene with protein product"
27,T196934,1996,0.9940,p9@SH2D1A,e:4068,h:10820,O60880,SH2D1A,"SH2 domain containing 1A","gene with protein product"
28,T065402,1997,0.9925,p3@B3GNTL1,e:146712,h:21727,Q67FW5,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1","gene with protein product"
29,T118985,1994,0.9925,p3@ZNF142,e:7701,h:12927,C9J055,ZNF142,"zinc finger protein 142","gene with protein product"
30,T013689,1992,0.9925,p6@LMO2,e:4005,h:6642,P25791,LMO2,"LIM domain only 2","gene with protein product"
31,T187331,1987,0.9910,p2@C8orf38,e:137682,h:28625,B4DW83,NDUFAF6,"NADH:ubiquinone oxidoreductase complex assembly factor 6","gene with protein product"
