Hs-FKBP10,2000,1000,T058584-FKBP10,"p3@FKBP10"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T106641,2006,1.0000,p8@COMT,e:1312,h:2228,P21964,COMT,catechol-O-methyltransferase,"gene with protein product"
2,T120511,2011,1.0000,p4@SH3BP4,e:23677,h:10826,Q9P0V3,SH3BP4,"SH3 domain binding protein 4","gene with protein product"
3,T058589,2011,1.0000,p4@FKBP10,e:60681,h:18169,Q9H6J3,FKBP10,"FK506 binding protein 10","gene with protein product"
4,T130257,2007,1.0000,p5@WWTR1,e:25937,h:24042,Q9GZV5,WWTR1,"WW domain containing transcription regulator 1","gene with protein product"
5,T058592,2003,1.0000,p12@FKBP10,e:60681,h:18169,,FKBP10,"FK506 binding protein 10","gene with protein product"
6,T106235,2009,1.0000,p8@COL6A2,e:1292,h:2212,,COL6A2,"collagen type VI alpha 2 chain","gene with protein product"
7,T028744,2005,1.0000,p2@C12orf57,e:113246,h:29521,Q99622,C12orf57,"chromosome 12 open reading frame 57","gene with protein product"
8,T028488,2009,0.9995,p1@LEPREL2,e:10536,h:19318,Q8IVL6,P3H3,"prolyl 3-hydroxylase 3","gene with protein product"
9,T105263,2008,0.9995,p2@WRB,e:7485,h:12790,"A8MQ44,C9JLV3",WRB,"tryptophan rich basic protein","gene with protein product"
10,T106180,2008,0.9995,p3@COL6A1,e:1291,h:2211,,COL6A1,"collagen type VI alpha 1 chain","gene with protein product"
11,T106251,2007,0.9995,p22@COL6A2,e:1292,h:2212,,COL6A2,"collagen type VI alpha 2 chain","gene with protein product"
12,T183427,2007,0.9995,p4@LOXL2,e:4017,h:6666,Q9Y4K0,LOXL2,"lysyl oxidase like 2","gene with protein product"
13,T058587,2014,0.9990,p17@FKBP10,e:60681,h:18169,,FKBP10,"FK506 binding protein 10","gene with protein product"
14,T085743,2009,0.9990,p6@MFAP2,e:4237,h:7033,,MFAP2,"microfibrillar associated protein 2","gene with protein product"
15,T152766,2008,0.9990,p3@DBN1,e:1627,h:2695,,DBN1,"drebrin 1","gene with protein product"
16,T134065,2008,0.9990,p5@TGFBR2,e:7048,h:11773,E9PDS4,TGFBR2,"transforming growth factor beta receptor 2","gene with protein product"
17,T136223,2007,0.9990,p17@NT5DC2,e:64943,h:25717,,NT5DC2,"5'-nucleotidase domain containing 2","gene with protein product"
18,T010142,2007,0.9990,p3@TAGLN,e:6876,h:11553,,TAGLN,transgelin,"gene with protein product"
19,T106250,2006,0.9990,p42@COL6A2,e:1292,h:2212,,COL6A2,"collagen type VI alpha 2 chain","gene with protein product"
20,T076204,2005,0.9990,p2@EHD2,e:30846,h:3243,,EHD2,"EH domain containing 2","gene with protein product"
21,T149085,2005,0.9990,p7@TGFBI,e:7045,h:11771,,TGFBI,"transforming growth factor beta induced","gene with protein product"
22,T189023,2005,0.9990,p10@PAPPA,e:5069,h:8602,Q7Z613,PAPPA,"pappalysin 1","gene with protein product"
23,T070223,2005,0.9990,p2@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
24,T017101,2004,0.9990,p19@EFEMP2,e:30008,h:3219,,EFEMP2,"EGF containing fibulin like extracellular matrix protein 2","gene with protein product"
25,T081278,2004,0.9990,p2@PLOD1,e:5351,h:9081,,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","gene with protein product"
26,T017322,2004,0.9990,p18@ILK,e:3611,h:6040,,ILK,"integrin linked kinase","gene with protein product"
27,T008997,2003,0.9990,p2@MMP1,e:4312,h:7155,Q96DZ4,MMP1,"matrix metallopeptidase 1","gene with protein product"
28,T170631,2002,0.9990,p6@CALU,e:813,h:1458,,CALU,calumenin,"gene with protein product"
29,T106249,2012,0.9985,p15@COL6A2,e:1292,h:2212,,COL6A2,"collagen type VI alpha 2 chain","gene with protein product"
30,T017967,2009,0.9985,p15@CTTN,e:2017,h:3338,,CTTN,cortactin,"gene with protein product"
31,T149104,2008,0.9985,p10@TGFBI,e:7045,h:11771,,TGFBI,"transforming growth factor beta induced","gene with protein product"
32,T199942,2007,0.9985,p5@TIMP1,e:7076,h:11820,Q6FGX5,TIMP1,"TIMP metallopeptidase inhibitor 1","gene with protein product"
33,T192806,2006,0.9985,p3@SIGMAR1,e:10280,h:8157,,SIGMAR1,"sigma non-opioid intracellular receptor 1","gene with protein product"
34,T043793,2006,0.9985,p3@PDIA3,e:2923,h:4606,,PDIA3,"protein disulfide isomerase family A member 3","gene with protein product"
35,T189004,2006,0.9985,p50@PAPPA,e:5069,h:8602,,PAPPA,"pappalysin 1","gene with protein product"
36,T106255,2005,0.9985,p26@COL6A2,e:1292,h:2212,,COL6A2,"collagen type VI alpha 2 chain","gene with protein product"
37,T121586,2005,0.9985,p4@EMILIN1,e:11117,h:19880,Q96IH6,EMILIN1,"elastin microfibril interfacer 1","gene with protein product"
38,T100900,2005,0.9985,p5@TOX2,e:84969,h:16095,,TOX2,"TOX high mobility group box family member 2","gene with protein product"
39,T069444,2005,0.9985,p2@CNN2,e:1265,h:2156,,CNN2,"calponin 2","gene with protein product"
40,T106239,2004,0.9985,p17@COL6A2,e:1292,h:2212,Q9BUM6,COL6A2,"collagen type VI alpha 2 chain","gene with protein product"
41,T087326,2002,0.9985,p21@CAPZB,e:832,h:1491,P47756,CAPZB,"capping actin protein of muscle Z-line beta subunit","gene with protein product"
42,T169095,2002,0.9985,p5@LRRC17,e:10234,h:16895,,LRRC17,"leucine rich repeat containing 17","gene with protein product"
