Hs-GNB1,2000,1000,T085972-GNB1,"p4@GNB1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T167871,2007,0.9985,p6@IMPG1,e:3617,h:6055,"Q17R60,Q68D53",IMPG1,"interphotoreceptor matrix proteoglycan 1","gene with protein product"
2,T128931,2006,0.9985,p1@RHO,e:6010,h:10012,P08100,RHO,rhodopsin,"gene with protein product"
3,T144139,2005,0.9975,p11@CNGA1,e:1259,h:2148,P29973,CNGA1,"cyclic nucleotide gated channel alpha 1","gene with protein product"
4,T120301,1999,0.9950,p1@SAG,e:6295,h:10521,C9JSX4,SAG,"S-antigen visual arrestin","gene with protein product"
5,T056628,1994,0.9930,p6@UNC119,e:9094,h:12565,,UNC119,"unc-119 lipid binding chaperone","gene with protein product"
6,T198771,1987,0.9920,p1@RS1,e:6247,h:10457,"O15537,Q0QD39",RS1,"retinoschisin 1","gene with protein product"
7,T167870,1985,0.9890,p1@IMPG1,e:3617,h:6055,"Q17R60,Q68D53",IMPG1,"interphotoreceptor matrix proteoglycan 1","gene with protein product"
8,T017606,1987,0.9871,p4@CABP4,e:57010,h:1386,F5H3E8,CABP4,"calcium binding protein 4","gene with protein product"
9,T070182,1985,0.9871,p11@RTBDN,e:83546,h:30310,Q9BSG5,RTBDN,retbindin,"gene with protein product"
10,T129523,1979,0.9870,p19@FAIM,e:55179,h:18703,Q9NVQ4,FAIM,"Fas apoptotic inhibitory molecule","gene with protein product"
11,T085973,1973,0.9831,p11@GNB1,e:2782,h:4396,B1AKQ8,GNB1,"G protein subunit beta 1","gene with protein product"
12,T093866,1977,0.9826,p5@CLSPN,e:63967,h:19715,,CLSPN,claspin,"gene with protein product"
13,T164773,1967,0.9810,p14@DAXX,e:1616,h:2681,,DAXX,"death domain associated protein","gene with protein product"
14,T098222,1971,0.9791,p33@CLSTN1,e:22883,h:17447,,CLSTN1,"calsyntenin 1","gene with protein product"
15,T198350,1965,0.9791,p2@OPN1LW,e:5956,h:9936,P04000,OPN1LW,"opsin 1, long wave sensitive","gene with protein product"
16,T120302,1963,0.9781,p7@SAG,e:6295,h:10521,C9JSX4,SAG,"S-antigen visual arrestin","gene with protein product"
