Hs-GPX1,2000,1000,T135633-GPX1,"p5@GPX1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T028137,2007,1.0000,p8@GAPDH,e:2597,h:4141,Q5ZEY3,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
2,T059035,2010,1.0000,p4@DUSP3,e:1845,h:3069,,DUSP3,"dual specificity phosphatase 3","gene with protein product"
3,T109484,2007,1.0000,p7@TSPO,e:706,h:1158,O76068,TSPO,"translocator protein","gene with protein product"
4,T163447,2011,1.0000,p5@HLA-A,e:3105,h:4931,,HLA-A,"major histocompatibility complex, class I, A","gene with protein product"
5,T199794,2015,1.0000,p2@GAPDHP65,,h:4143,,GAPDHP65,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 65",pseudogene
6,T108639,2008,0.9995,p2@LGALS1,e:3956,h:6561,Q15954,LGALS1,"galectin 1","gene with protein product"
7,T071614,2013,0.9990,p4@UBA52,e:7311,h:12458,P62987,UBA52,"ubiquitin A-52 residue ribosomal protein fusion product 1","gene with protein product"
8,T064821,2012,0.9990,p14@ACTG1,e:71,h:144,Q6PJ43,ACTG1,"actin gamma 1","gene with protein product"
9,T197115,2012,0.9990,p5@TMSB4X,e:7114,h:11881,,TMSB4X,"thymosin beta 4, X-linked","gene with protein product"
10,T197336,2010,0.9990,p1@GPX1P1,,h:4560,,GPX1P1,"glutathione peroxidase pseudogene 1",pseudogene
11,T153045,2009,0.9990,p9@SQSTM1,e:8878,h:11280,,SQSTM1,"sequestosome 1","gene with protein product"
12,T028588,2009,0.9990,p1@TPI1,e:7167,h:12009,"P60174,Q53HE2",TPI1,"triosephosphate isomerase 1","gene with protein product"
13,T104059,2009,0.9990,p1@PPIAP22,,h:17236,,PPIAP22,"peptidylprolyl isomerase A pseudogene 22",pseudogene
14,T028141,2008,0.9990,p43@GAPDH,e:2597,h:4141,Q5ZEY3,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
15,T028135,2007,0.9990,p13@GAPDH,e:2597,h:4141,,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
16,T136088,2007,0.9990,p21@DUSP7,e:1849,h:3073,,DUSP7,"dual specificity phosphatase 7","gene with protein product"
17,T138038,2007,0.9990,p12@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
18,T045969,2007,0.9990,p1@RPLP1,e:6176,h:10372,"A6NIB2,P05386",RPLP1,"ribosomal protein lateral stalk subunit P1","gene with protein product"
19,T146943,2007,0.9990,p2@TMSL3,,h:11885,P62328,TMSB4XP8,"thymosin beta 4, X-linked pseudogene 8",pseudogene
20,T017071,2005,0.9990,p11@CFL1,e:1072,h:1874,,CFL1,"cofilin 1","gene with protein product"
21,T070251,2005,0.9990,p22@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
22,T013677,2005,0.9990,p9@CD59,e:966,h:1689,P13987,CD59,"CD59 molecule","gene with protein product"
23,T017322,2004,0.9990,p18@ILK,e:3611,h:6040,,ILK,"integrin linked kinase","gene with protein product"
24,T158627,2001,0.9990,p1@RPL15P3,,h:21538,,RPL15P3,"ribosomal protein L15 pseudogene 3",pseudogene
25,T084322,2001,0.9990,p6@TAGLN2,e:8407,h:11554,,TAGLN2,"transgelin 2","gene with protein product"
26,T024130,2001,0.9990,p1@DAD1P1,e:56286,h:18295,,DAD1P1,"defender against cell death 1 pseudogene 1",pseudogene
27,T166842,2008,0.9985,p1@KRASP1,,h:6406,,KRASP1,"KRAS proto-oncogene, GTPase pseudogene 1",pseudogene
28,T064818,2007,0.9985,p6@ACTG1,e:71,h:144,Q96DE1,ACTG1,"actin gamma 1","gene with protein product"
29,T028136,2006,0.9985,p40@GAPDH,e:2597,h:4141,,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
30,T146610,2005,0.9985,p16@AFF1,e:4299,h:7135,,AFF1,"AF4/FMR2 family member 1","gene with protein product"
31,T138631,2003,0.9985,p1@PPA2,e:27068,h:28883,"Q9H2U2,F8W7R6,E2QRM6,F8WDN9,D6RGV9,D6R967,D6RAD3",PPA2,"pyrophosphatase (inorganic) 2","gene with protein product"
32,T192681,2004,0.9980,p3@ANXA2P2,,h:539,,ANXA2P2,"annexin A2 pseudogene 2",pseudogene
33,T119723,2002,0.9980,p1@MFF,e:56947,h:24858,"Q9GZY8,C9JHF5,E9PPW6,E9PPR7,E9PK16,E9PQX8,E9PKS0",MFF,"mitochondrial fission factor","gene with protein product"
34,T132338,2008,0.9975,p9@AP2M1,e:1173,h:564,,AP2M1,"adaptor related protein complex 2 mu 1 subunit","gene with protein product"
35,T176415,2005,0.9975,p18@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
36,T125608,2004,0.9965,p2@TMSB10,e:9168,h:11879,,TMSB10,"thymosin beta 10","gene with protein product"
37,T192286,2002,0.9965,p1@UBA52P6,,h:36763,,UBA52P6,"ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 6",pseudogene
38,T135634,2002,0.9965,p2@GPX1,,h:4553,E9PAS1,GPX1,"glutathione peroxidase 1","gene with protein product"
39,T141004,1999,0.9965,p1@FAM200B,e:285550,h:27740,,FAM200B,"family with sequence similarity 200 member B","gene with protein product"
40,T022500,1999,0.9965,p3@TMED2,e:10959,h:16996,,TMED2,"transmembrane p24 trafficking protein 2","gene with protein product"
41,T176412,1998,0.9965,p21@ACTB,e:60,h:132,A4UCT3,ACTB,"actin beta","gene with protein product"
42,T028450,1998,0.9965,p5@MDM2,e:4193,h:6973,,MDM2,"MDM2 proto-oncogene","gene with protein product"
43,T097168,1998,0.9965,p3@GNG5,e:2787,h:4408,P63218,GNG5,"G protein subunit gamma 5","gene with protein product"
44,T155476,2003,0.9960,p33@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
45,T015767,2001,0.9955,p2@FTH1,e:2495,h:3976,,FTH1,"ferritin heavy chain 1","gene with protein product"
46,T050693,2001,0.9950,p1@TMEM219,e:124446,h:25201,"Q86XT9,D5FK14",TMEM219,"transmembrane protein 219","gene with protein product"
47,T109483,1997,0.9945,p6@TSPO,e:706,h:1158,O76068,TSPO,"translocator protein","gene with protein product"
48,T109251,1996,0.9945,p10@NHP2L1,e:4809,h:7819,"P55769,Q6FHM6",SNU13,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)","gene with protein product"
49,T039380,1994,0.9945,p4@HIF1A,e:3091,h:4910,,HIF1A,"hypoxia inducible factor 1 alpha subunit","gene with protein product"
50,T197908,1997,0.9940,p3@FTH1P8,,h:3995,,FTH1P8,"ferritin heavy chain 1 pseudogene 8",pseudogene
51,T039035,1997,0.9935,p1@UBA52P3,,h:20056,,UBA52P3,"ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 3",pseudogene
52,T157064,1997,0.9935,p10@RGMB,e:285704,h:26896,,RGMB,"repulsive guidance molecule family member b","gene with protein product"
53,T046189,1998,0.9930,p38@PKM2,e:5315,h:9021,,PKM,"pyruvate kinase, muscle","gene with protein product"
54,T108996,1994,0.9930,p15@RPL3,e:6122,h:10332,,RPL3,"ribosomal protein L3","gene with protein product"
55,T091696,1992,0.9930,p3@LYPLA2,e:11313,h:6738,Q5QPQ3,LYPLA2,"lysophospholipase II","gene with protein product"
56,T154370,1991,0.9930,p7@EMB,e:133418,h:30465,,EMB,embigin,"gene with protein product"
57,T071865,1996,0.9920,p9@GATAD2A,e:54815,h:29989,,GATAD2A,"GATA zinc finger domain containing 2A","gene with protein product"
58,T178713,1993,0.9920,p7@BRI3,e:25798,h:1109,,BRI3,"brain protein I3","gene with protein product"
59,T176419,1992,0.9920,p42@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
60,T057782,1987,0.9900,p1@RPL19,e:6143,h:10312,Q8IWR8,RPL19,"ribosomal protein L19","gene with protein product"
61,T084323,1986,0.9895,p9@TAGLN2,e:8407,h:11554,,TAGLN2,"transgelin 2","gene with protein product"
62,T144872,1987,0.9890,p2@MT1P2,,h:31864,,MT1HL1,"metallothionein 1H like 1","gene with protein product"
63,T176398,1982,0.9890,p8@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
64,T056042,1988,0.9881,p24@ALKBH5,e:54890,h:25996,,ALKBH5,"alkB homolog 5, RNA demethylase","gene with protein product"
65,T003128,1982,0.9880,p3@VIM,e:7431,h:12692,,VIM,vimentin,"gene with protein product"
66,T081354,1980,0.9880,p2@EMBP1,e:647121,h:38661,,EMBP1,"embigin pseudogene 1",pseudogene
67,T154371,1985,0.9876,p18@EMB,e:133418,h:30465,,EMB,embigin,"gene with protein product"
68,T020345,1983,0.9875,p2@RPL18AP3,,h:31387,,RPL18AP3,"ribosomal protein L18a pseudogene 3",pseudogene
69,T064804,1988,0.9871,p8@ACTG1,e:71,h:144,Q96DE1,ACTG1,"actin gamma 1","gene with protein product"
70,T178150,1979,0.9865,p15@CDK6,e:1021,h:1777,,CDK6,"cyclin dependent kinase 6","gene with protein product"
71,T028138,1980,0.9856,p41@GAPDH,e:2597,h:4141,Q5ZEY3,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
72,T062456,1979,0.9856,p7@C17orf49,e:124944,h:28737,,C17orf49,"chromosome 17 open reading frame 49","gene with protein product"
73,T170675,1982,0.9851,p4@ATP6V1F,e:9296,h:16832,Q16864,ATP6V1F,"ATPase H+ transporting V1 subunit F","gene with protein product"
74,T028140,1978,0.9851,p42@GAPDH,e:2597,h:4141,Q5ZEY3,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
75,T176416,1979,0.9846,p41@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
76,T141005,1978,0.9841,p1@CTSO,e:1519,h:2542,P43234,CTSO,"cathepsin O","gene with protein product"
77,T143877,1974,0.9836,p6@UCHL1,e:7345,h:12513,,UCHL1,"ubiquitin C-terminal hydrolase L1","gene with protein product"
78,T176409,1977,0.9826,p11@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
79,T175239,1972,0.9826,p1@STARD3NL,e:83930,h:19169,"O95772,C9JPX5,C9J3F5,C9JJ39",STARD3NL,"STARD3 N-terminal like","gene with protein product"
80,T083780,1971,0.9826,p8@HDGF,e:3068,h:4856,"Q5SZ08,P51858",HDGF,"hepatoma-derived growth factor","gene with protein product"
81,T149576,1973,0.9821,p1@NDUFA2,e:4695,h:7685,D6RJD6,NDUFA2,"NADH:ubiquinone oxidoreductase subunit A2","gene with protein product"
82,T100785,1972,0.9811,p2@FTLP3,,h:4000,,FTLP3,"ferritin light chain pseudogene 3",pseudogene
83,T128047,1966,0.9805,p1@NDUFB4,e:4710,h:7699,"F2Z3P9,B2RUY3,C9JXQ9",NDUFB4,"NADH:ubiquinone oxidoreductase subunit B4","gene with protein product"
84,T192949,1969,0.9801,p17@RUSC2,e:9853,h:23625,Q8N2Y8,RUSC2,"RUN and SH3 domain containing 2","gene with protein product"
85,T175132,1971,0.9796,p1@NPM1P18,,h:7920,,NPM1P18,"nucleophosmin 1 pseudogene 18",pseudogene
86,T076408,1967,0.9796,p7@RPL18,e:6141,h:10310,,RPL18,"ribosomal protein L18","gene with protein product"
87,T137425,1967,0.9791,p3@FTH1P23,,h:37641,,FTH1P23,"ferritin heavy chain 1 pseudogene 23",pseudogene
88,T192682,1966,0.9786,p4@ANXA2P2,,h:539,,ANXA2P2,"annexin A2 pseudogene 2",pseudogene
89,T063069,1969,0.9781,p1@NLGN2,e:57555,h:14290,Q8NFZ4,NLGN2,"neuroligin 2","gene with protein product"
90,T054785,1966,0.9781,p1@FOXL1,e:2300,h:3817,"Q12952,Q498Y4",FOXL1,"forkhead box L1","gene with protein product"
91,T093421,1965,0.9781,p5@PTP4A2,e:8073,h:9635,E9PRR9,PTP4A2,"protein tyrosine phosphatase type IVA, member 2","gene with protein product"
92,T199296,1964,0.9781,p1@TBCAP1,,h:42630,,TBCAP1,"tubulin folding cofactor A pseudogene 1",pseudogene
93,T199342,1963,0.9781,p4@TMEM47,e:83604,h:18515,,TMEM47,"transmembrane protein 47","gene with protein product"
94,T197335,1964,0.9766,p2@GPX1P1,,h:4560,,GPX1P1,"glutathione peroxidase pseudogene 1",pseudogene
95,T016292,1962,0.9766,p1@COX8A,e:1351,h:2294,"P10176,Q53XN1",COX8A,"cytochrome c oxidase subunit 8A","gene with protein product"
96,T138045,1961,0.9761,p56@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
97,T038365,1957,0.9756,p8@ARF6,e:382,h:659,,ARF6,"ADP ribosylation factor 6","gene with protein product"
98,T070066,1959,0.9751,p6@C19orf24,e:55009,h:26073,,C19orf24,"chromosome 19 open reading frame 24","gene with protein product"
99,T064806,1956,0.9746,p15@ACTG1,e:71,h:144,Q96FU6,ACTG1,"actin gamma 1","gene with protein product"
100,T028142,1959,0.9741,p44@GAPDH,e:2597,h:4141,Q16768,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
101,T017070,1954,0.9741,p3@CFL1,e:1072,h:1874,,CFL1,"cofilin 1","gene with protein product"
102,T197106,1955,0.9736,"p1@TMSB4X,p1@TMSL3","e:7114,e:7117","h:11881,h:11885","P62328,A2VCK8,Q0P5T0",TMSB4X,"thymosin beta 4, X-linked","gene with protein product"
103,T025703,1953,0.9736,p7@TMBIM6,e:7009,h:11723,,TMBIM6,"transmembrane BAX inhibitor motif containing 6","gene with protein product"
104,T064807,1952,0.9736,p5@ACTG1,e:71,h:144,,ACTG1,"actin gamma 1","gene with protein product"
105,T033263,1953,0.9731,p4@TPT1,e:7178,h:12022,,TPT1,"tumor protein, translationally-controlled 1","gene with protein product"
106,T046235,1953,0.9721,p2@HEXA,e:3073,h:4878,E9PGL4,HEXA,"hexosaminidase subunit alpha","gene with protein product"
107,T077798,1947,0.9720,p39@MYADM,e:91663,h:7544,,MYADM,"myeloid associated differentiation marker","gene with protein product"
108,T029122,1946,0.9711,p9@GLIPR1,e:11010,h:17001,F8VUC2,GLIPR1,"GLI pathogenesis related 1","gene with protein product"
109,T064811,1951,0.9706,p7@ACTG1,e:71,h:144,P63261,ACTG1,"actin gamma 1","gene with protein product"
110,T055792,1949,0.9701,p6@UBB,e:7314,h:12463,Q5U5U6,UBB,"ubiquitin B","gene with protein product"
111,T124814,1950,0.9697,p45@PCBP1-AS1,,h:42948,,PCBP1-AS1,"PCBP1 antisense RNA 1","RNA, long non-coding"
112,T028437,1941,0.9681,p4@MDM2,e:4193,h:6973,"Q00987,Q9H4C5,E5RHE2,E5RJQ0,Q96DS5,Q9H4C3,F5H1M7,F5H4Q8,F5GZC3,F5GWH7,F5GZB0",MDM2,"MDM2 proto-oncogene","gene with protein product"
113,T020118,1944,0.9676,p1@DRAM1,e:55332,h:25645,B7Z4T0,DRAM1,"DNA damage regulated autophagy modulator 1","gene with protein product"
114,T009369,1941,0.9676,p67@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
115,T084463,1943,0.9667,p11@PEA15,e:8682,h:8822,Q14801,PEA15,"phosphoprotein enriched in astrocytes 15","gene with protein product"
116,T179132,1940,0.9652,p12@PABPC1,e:26986,h:8554,,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
117,T192678,1938,0.9651,p1@ANXA2P2,e:304,h:539,,ANXA2P2,"annexin A2 pseudogene 2",pseudogene
118,T030640,1935,0.9651,p6@ELK3,e:2004,h:3325,,ELK3,"ELK3, ETS transcription factor","gene with protein product"
119,T082434,1932,0.9622,p3@OAZ3,e:51686,h:8097,"Q6GMR0,A2A457,Q9UMX2",OAZ3,"ornithine decarboxylase antizyme 3","gene with protein product"
120,T064810,1924,0.9601,p4@ACTG1,e:71,h:144,,ACTG1,"actin gamma 1","gene with protein product"
121,T018941,1917,0.9566,p5@RPLP2,e:6181,h:10377,,RPLP2,"ribosomal protein lateral stalk subunit P2","gene with protein product"
122,T013919,1918,0.9557,p32@CD44,e:960,h:1681,,CD44,"CD44 molecule (Indian blood group)","gene with protein product"
123,T070250,1918,0.9557,p14@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
124,T019104,1913,0.9541,p20@CD151,e:977,h:1630,,CD151,"CD151 molecule (Raph blood group)","gene with protein product"
125,T148175,1918,0.9538,p4@CSNK1G3,e:1456,h:2456,,CSNK1G3,"casein kinase 1 gamma 3","gene with protein product"
126,T020119,1916,0.9537,p5@DRAM1,e:55332,h:25645,,DRAM1,"DNA damage regulated autophagy modulator 1","gene with protein product"
127,T042879,1916,0.9532,p1@NOP10,e:55505,h:14378,Q9NPE3,NOP10,"NOP10 ribonucleoprotein","gene with protein product"
128,T041683,1909,0.9516,p6@IFI27L2,e:83982,h:19753,,IFI27L2,"interferon alpha inducible protein 27 like 2","gene with protein product"
