Hs-LOX,2000,1000,T148109-LOX,"p3@LOX"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T148101,2008,1.0000,p5@LOX,e:4015,h:6664,,LOX,"lysyl oxidase","gene with protein product"
2,T148110,2010,0.9990,p2@LOX,e:4015,h:6664,"D0PNI2,P28300",LOX,"lysyl oxidase","gene with protein product"
3,T148106,2009,0.9990,p7@LOX,e:4015,h:6664,B4DQF8,LOX,"lysyl oxidase","gene with protein product"
4,T058375,2007,0.9990,p1@KRT34,"e:100653049,e:3885",h:6452,C4AMA3,KRT34,"keratin 34","gene with protein product"
5,T148111,2005,0.9990,p10@LOX,e:4015,h:6664,"D0PNI2,P28300",LOX,"lysyl oxidase","gene with protein product"
6,T013283,2005,0.9990,p11@BDNF,e:627,h:1033,P23560,BDNF,"brain derived neurotrophic factor","gene with protein product"
7,T148107,2004,0.9990,p1@LOX,e:4015,h:6664,B4DQF8,LOX,"lysyl oxidase","gene with protein product"
8,T193762,2007,0.9985,p3@MAMDC2,e:256691,h:23673,Q7Z304,MAMDC2,"MAM domain containing 2","gene with protein product"
9,T070250,2008,0.9970,p14@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
10,T012027,1998,0.9965,p4@RRAS2,e:22800,h:17271,E9PQ87,RRAS2,"related RAS viral (r-ras) oncogene homolog 2","gene with protein product"
11,T058371,1996,0.9955,p1@KRT33B,e:3884,h:6451,Q14525,KRT33B,"keratin 33B","gene with protein product"
12,T024253,1995,0.9955,p2@SSPN,e:8082,h:11322,B3KS67,SSPN,sarcospan,"gene with protein product"
13,T085165,1997,0.9945,p4@UCK2,e:7371,h:12562,,UCK2,"uridine-cytidine kinase 2","gene with protein product"
14,T155087,1995,0.9945,p1@ADAMTS6,e:11174,h:222,"C9JX62,Q5IR90,Q9UKP5",ADAMTS6,"ADAM metallopeptidase with thrombospondin type 1 motif 6","gene with protein product"
15,T060265,1999,0.9940,p2@SGCA,e:6442,h:10805,,SGCA,"sarcoglycan alpha","gene with protein product"
16,T070247,1997,0.9930,p3@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
17,T122242,1992,0.9930,p6@LTBP1,e:4052,h:6714,,LTBP1,"latent transforming growth factor beta binding protein 1","gene with protein product"
18,T070249,1991,0.9930,p9@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
19,T081206,1994,0.9915,p2@NPPB,e:4879,h:7940,P16860,NPPB,"natriuretic peptide B","gene with protein product"
20,T200667,1991,0.9905,p1@MSN,e:4478,h:7373,P26038,MSN,moesin,"gene with protein product"
21,T089784,1988,0.9895,p5@TGFB2,e:7042,h:11768,P61812,TGFB2,"transforming growth factor beta 2","gene with protein product"
22,T018257,1988,0.9895,p3@P2RY6,e:5031,h:8543,,P2RY6,"pyrimidinergic receptor P2Y6","gene with protein product"
23,T193757,1985,0.9895,p7@MAMDC2,e:256691,h:23673,Q7Z304,MAMDC2,"MAM domain containing 2","gene with protein product"
24,T089783,1988,0.9891,p8@TGFB2,e:7042,h:11768,P61812,TGFB2,"transforming growth factor beta 2","gene with protein product"
25,T102782,1988,0.9886,p1@APCDD1L,e:164284,h:26892,A2A2P3,APCDD1L,"APC down-regulated 1 like","gene with protein product"
26,T135355,1986,0.9886,p1@EGOT,e:100126791,h:37129,,EGOT,"eosinophil granule ontogeny transcript (non-protein coding)","RNA, long non-coding"
27,T168830,1985,0.9876,p3@SERPINE1,e:5054,h:8583,,SERPINE1,"serpin family E member 1","gene with protein product"
28,T070248,1981,0.9875,p19@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
29,T187545,1983,0.9861,p3@MATN2,e:4147,h:6908,,MATN2,"matrilin 2","gene with protein product"
30,T044160,1982,0.9856,p2@FBN1,e:2200,h:3603,Q75N89,FBN1,"fibrillin 1","gene with protein product"
31,T149096,1979,0.9856,p8@TGFBI,e:7045,h:11771,,TGFBI,"transforming growth factor beta induced","gene with protein product"
32,T168836,1986,0.9851,p4@SERPINE1,e:5054,h:8583,P05121,SERPINE1,"serpin family E member 1","gene with protein product"
33,T058376,1974,0.9850,p2@KRT34,"e:100653049,e:3885",h:6452,"O76011,C4AMA3",KRT34,"keratin 34","gene with protein product"
34,T054785,1975,0.9845,p1@FOXL1,e:2300,h:3817,"Q12952,Q498Y4",FOXL1,"forkhead box L1","gene with protein product"
35,T148108,1978,0.9841,p4@LOX,e:4015,h:6664,P28300,LOX,"lysyl oxidase","gene with protein product"
36,T029309,1977,0.9841,p4@NAV3,e:89795,h:15998,,NAV3,"neuron navigator 3","gene with protein product"
37,T068027,1975,0.9826,p9@ALPK2,e:115701,h:20565,Q86TB3,ALPK2,"alpha kinase 2","gene with protein product"
38,T157040,1969,0.9820,p28@RGMB,e:285704,h:26896,,RGMB,"repulsive guidance molecule family member b","gene with protein product"
39,T155086,1969,0.9820,p4@ADAMTS6,e:11174,h:222,"C9JX62,Q5IR90,Q9UKP5",ADAMTS6,"ADAM metallopeptidase with thrombospondin type 1 motif 6","gene with protein product"
40,T064232,1968,0.9815,p3@C1QTNF1,e:114897,h:14324,Q9BXJ1,C1QTNF1,"C1q and tumor necrosis factor related protein 1","gene with protein product"
41,T158277,1975,0.9811,p3@DCBLD1,e:285761,h:21479,Q8N8Z6,DCBLD1,"discoidin, CUB and LCCL domain containing 1","gene with protein product"
42,T118314,1967,0.9810,p79@FN1,e:2335,h:3778,,FN1,"fibronectin 1","gene with protein product"
43,T193764,1969,0.9801,p2@MAMDC2,e:256691,h:23673,Q7Z304,MAMDC2,"MAM domain containing 2","gene with protein product"
44,T001415,1968,0.9796,p4@GFRA1,e:2674,h:4243,P56159,GFRA1,"GDNF family receptor alpha 1","gene with protein product"
45,T190467,1965,0.9796,p9@ABL1,e:25,h:76,P00519,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase","gene with protein product"
46,T097296,1967,0.9791,p12@DDAH1,e:23576,h:2715,"Q5HYC8,B4E3V1",DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
47,T018258,1961,0.9785,p8@P2RY6,e:5031,h:8543,Q15077,P2RY6,"pyrimidinergic receptor P2Y6","gene with protein product"
48,T148096,1965,0.9781,p9@LOX,e:4015,h:6664,,LOX,"lysyl oxidase","gene with protein product"
49,T066452,1965,0.9771,p5@CDH2,e:1000,h:1759,P19022,CDH2,"cadherin 2","gene with protein product"
50,T148742,1960,0.9771,p1@C5orf15,e:56951,h:20656,B4DPV8,C5orf15,"chromosome 5 open reading frame 15","gene with protein product"
51,T006736,1968,0.9767,p1@P4HA1,e:5033,h:8546,P13674,P4HA1,"prolyl 4-hydroxylase subunit alpha 1","gene with protein product"
52,T168827,1963,0.9766,p1@SERPINE1,e:5054,h:8583,"P05121,C9J272,F8WD53,B7Z1D9,B7Z4S0",SERPINE1,"serpin family E member 1","gene with protein product"
53,T193763,1960,0.9766,p1@MAMDC2,e:256691,h:23673,Q7Z304,MAMDC2,"MAM domain containing 2","gene with protein product"
54,T089772,1954,0.9750,p28@TGFB2,e:7042,h:11768,P61812,TGFB2,"transforming growth factor beta 2","gene with protein product"
55,T157035,1955,0.9746,p9@RGMB,e:285704,h:26896,,RGMB,"repulsive guidance molecule family member b","gene with protein product"
56,T148528,1954,0.9746,p1@P4HA2,e:8974,h:8547,"O15460,C9JIG4,C9JX45,Q05DA4",P4HA2,"prolyl 4-hydroxylase subunit alpha 2","gene with protein product"
57,T044159,1956,0.9741,p3@FBN1,e:2200,h:3603,Q75N89,FBN1,"fibrillin 1","gene with protein product"
58,T029477,1960,0.9737,p14@PAWR,e:5074,h:8614,Q96IZ0,PAWR,"pro-apoptotic WT1 regulator","gene with protein product"
59,T157032,1954,0.9736,p13@RGMB,e:285704,h:26896,,RGMB,"repulsive guidance molecule family member b","gene with protein product"
