Hs-MARK2,2000,1000,T016273-MARK2,"p3@MARK2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T090139,2012,0.9990,p4@BROX,e:148362,h:26512,Q5VW33,BROX,"BRO1 domain and CAAX motif containing","gene with protein product"
2,T140043,2009,0.9990,p5@MAML3,e:55534,h:16272,,MAML3,"mastermind like transcriptional coactivator 3","gene with protein product"
3,T164085,2007,0.9990,p7@BAG6,e:7917,h:13919,,BAG6,"BCL2 associated athanogene 6","gene with protein product"
4,T017469,2004,0.9990,p1@KDM2A,e:22992,h:13606,Q9Y2K7,KDM2A,"lysine demethylase 2A","gene with protein product"
5,T094874,2004,0.9990,p1@TESK2,e:10420,h:11732,"Q96S53,Q5T422",TESK2,"testis-specific kinase 2","gene with protein product"
6,T053479,2006,0.9985,p1@WWP2,e:11060,h:16804,"O00308,F5H5M4,Q6ZTQ5",WWP2,"WW domain containing E3 ubiquitin protein ligase 2","gene with protein product"
7,T018392,2004,0.9980,p4@C2CD3,e:26005,h:24564,,C2CD3,"C2 calcium dependent domain containing 3","gene with protein product"
8,T102763,2003,0.9980,p1@PPP4R1L,e:55370,h:15755,"Q4VXE9,B4DRM4,Q96LY6",PPP4R1L,"protein phosphatase 4 regulatory subunit 1 like (pseudogene)",pseudogene
9,T189121,2003,0.9980,p2@FBXW2,e:26190,h:13608,,FBXW2,"F-box and WD repeat domain containing 2","gene with protein product"
10,T058030,2012,0.9975,p1@WIPF2,e:147179,h:30923,Q8TF74,WIPF2,"WAS/WASL interacting protein family member 2","gene with protein product"
11,T054921,2001,0.9970,p1@BANP,e:54971,h:13450,"Q8N9N5,Q9H8C5,B4DNJ9,C9JGM9,C9J811,C9JLS0,E9PIP2,E9PJI6,B2RCF7,B3KM38,B4DE54,Q9NSS6",BANP,"BTG3 associated nuclear protein","gene with protein product"
12,T199705,2007,0.9965,p2@KDM6A,e:7403,h:12637,"E7EWN2,O15550,Q59HG3",KDM6A,"lysine demethylase 6A","gene with protein product"
13,T113899,2001,0.9960,p1@BAZ2B,e:29994,h:963,"F6VJC3,F5H6H2,Q9UIF8",BAZ2B,"bromodomain adjacent to zinc finger domain 2B","gene with protein product"
14,T132787,2001,0.9931,p2@BCL6,e:604,h:1001,,BCL6,"B-cell CLL/lymphoma 6","gene with protein product"
15,T134853,1990,0.9910,p1@ABHD5,e:51099,h:21396,F8W7B5,ABHD5,"abhydrolase domain containing 5","gene with protein product"
16,T086756,1987,0.9905,p4@SWT1,e:54823,h:16785,Q5T5J6,SWT1,"SWT1, RNA endoribonuclease homolog","gene with protein product"
17,T086583,1986,0.9881,p14@NCF2,e:4688,h:7661,"E9PHX3,E9PHJ2,P19878,B4DKQ7,B4DQA7",NCF2,"neutrophil cytosolic factor 2","gene with protein product"
18,T178842,1980,0.9875,p7@ZNF655,e:79027,h:30899,,ZNF655,"zinc finger protein 655","gene with protein product"
19,T055684,1979,0.9851,p2@SLC43A2,e:124935,h:23087,,SLC43A2,"solute carrier family 43 member 2","gene with protein product"
20,T117212,1976,0.9826,p6@CFLAR,e:8837,h:1876,,CFLAR,"CASP8 and FADD like apoptosis regulator","gene with protein product"
21,T108159,1970,0.9825,p4@TOM1,e:10043,h:11982,,TOM1,"target of myb1 membrane trafficking protein","gene with protein product"
22,T050952,1970,0.9811,p5@FBRS,e:64319,h:20442,Q9HAH7,FBRS,fibrosin,"gene with protein product"
23,T144794,1967,0.9796,p3@KIAA0232,e:9778,h:28992,D6REK0,KIAA0232,KIAA0232,"gene with protein product"
24,T076111,1965,0.9786,p2@C5AR1,e:728,h:1338,P21730,C5AR1,"complement C5a receptor 1","gene with protein product"
25,T035463,1966,0.9781,p3@TECPR2,e:9895,h:19957,"O15040,A5PKY3",TECPR2,"tectonin beta-propeller repeat containing 2","gene with protein product"
26,T125918,1964,0.9776,"p2@CHMP3,p2@RNF103-CHMP3","e:100526767,e:51652","h:29865,h:38847",Q9Y3E7,CHMP3,"charged multivesicular body protein 3","gene with protein product"
27,T014812,1963,0.9776,p4@PTPRJ,e:5795,h:9673,,PTPRJ,"protein tyrosine phosphatase, receptor type J","gene with protein product"
28,T112625,1959,0.9751,p2@SPOPL,e:339745,h:27934,F8WBB7,SPOPL,"speckle type BTB/POZ protein like","gene with protein product"
29,T115283,1949,0.9726,p1@PRKRA,e:8575,h:9438,"G5E9Q4,B4DJC7",PRKRA,"protein activator of interferon induced protein kinase EIF2AK2","gene with protein product"
30,T090191,1948,0.9706,p1@TLR5,e:7100,h:11851,B1AZ06,TLR5,"toll like receptor 5","gene with protein product"
31,T002077,1945,0.9706,p6@CHST15,e:51363,h:18137,Q7LFX5,CHST15,"carbohydrate sulfotransferase 15","gene with protein product"
32,T149873,1949,0.9701,p2@ARHGAP26,e:23092,h:17073,Q9UNA1,ARHGAP26,"Rho GTPase activating protein 26","gene with protein product"
33,T133677,1948,0.9696,p4@RAB5A,e:5868,h:9783,F8WCY6,RAB5A,"RAB5A, member RAS oncogene family","gene with protein product"
34,T135105,1947,0.9687,p6@CCR3,e:1232,h:1604,"F5GWL6,Q8TDP4,P51677,Q8TDP5,Q8TDP6",CCR3,"C-C motif chemokine receptor 3","gene with protein product"
35,T189066,1945,0.9677,p10@TLR4,e:7099,h:11850,,TLR4,"toll like receptor 4","gene with protein product"
36,T165860,1939,0.9671,p2@UBR2,e:23304,h:21289,"Q8IWV8,B3KXG6",UBR2,"ubiquitin protein ligase E3 component n-recognin 2","gene with protein product"
37,T119098,1943,0.9657,p5@CNPPD1,e:27013,h:25220,,CNPPD1,"cyclin Pas1/PHO80 domain containing 1","gene with protein product"
38,T130524,1931,0.9641,p9@MBNL1,e:4154,h:6923,,MBNL1,"muscleblind like splicing regulator 1","gene with protein product"
39,T117793,1921,0.9557,p3@METTL21A,e:151194,h:30476,Q8WXB1,METTL21A,"methyltransferase like 21A","gene with protein product"
40,T135623,1911,0.9531,p6@USP4,e:7375,h:12627,,USP4,"ubiquitin specific peptidase 4","gene with protein product"
41,T184509,1913,0.9513,p6@WHSC1L1,e:54904,h:12767,Q9BZ95,NSD3,"nuclear receptor binding SET domain protein 3","gene with protein product"
42,T089359,1908,0.9511,p2@LPGAT1,e:9926,h:28985,Q92604,LPGAT1,"lysophosphatidylglycerol acyltransferase 1","gene with protein product"
43,T083445,1913,0.9508,p4@ARHGEF2,e:9181,h:682,Q92974,ARHGEF2,"Rho/Rac guanine nucleotide exchange factor 2","gene with protein product"
44,T124932,1903,0.9472,p7@NAGK,e:55577,h:17174,,NAGK,"N-acetylglucosamine kinase","gene with protein product"
45,T074102,1890,0.9422,p1@MIR4530,e:100616163,h:41764,,MIR4530,"microRNA 4530","RNA, micro"
46,T054922,1887,0.9402,p2@BANP,e:54971,h:13450,,BANP,"BTG3 associated nuclear protein","gene with protein product"
47,T132205,1889,0.9398,p14@B3GNT5,e:84002,h:15684,Q9BYG0,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5","gene with protein product"
48,T042592,1887,0.9388,p3@MTMR10,e:54893,h:25999,"A6NGL9,Q9NXD2,Q0IJ45",MTMR10,"myotubularin related protein 10","gene with protein product"
49,T016275,1883,0.9387,p1@MARK2,e:2011,h:3332,Q5DNC6,MARK2,"microtubule affinity regulating kinase 2","gene with protein product"
50,T163592,1883,0.9373,p2@PPP1R10,e:5514,h:9284,Q96QC0,PPP1R10,"protein phosphatase 1 regulatory subunit 10","gene with protein product"
51,T051482,1878,0.9362,p1@CREBBP,e:1387,h:2348,Q92793,CREBBP,"CREB binding protein","gene with protein product"
52,T142389,1882,0.9321,p1@IRF2,e:3660,h:6117,"D6R9N5,D6RB34",IRF2,"interferon regulatory factor 2","gene with protein product"
53,T051798,1870,0.9317,p12@UBN1,e:29855,h:12506,Q9NPG3,UBN1,"ubinuclein 1","gene with protein product"
54,T077015,1875,0.9301,p4@KCNC3,e:3748,h:6235,E7EV19,KCNC3,"potassium voltage-gated channel subfamily C member 3","gene with protein product"
55,T053695,1865,0.9297,p2@AP1G1,e:164,h:555,"O43747,E7EUH1,B3KXW5,Q8IY97",AP1G1,"adaptor related protein complex 1 gamma 1 subunit","gene with protein product"
56,T149751,1862,0.9282,p1@ARAP3,e:64411,h:24097,"Q8WWN8,Q05CH1,Q9H7C1",ARAP3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3","gene with protein product"
57,T173426,1860,0.9268,p3@SNX13,e:23161,h:21335,,SNX13,"sorting nexin 13","gene with protein product"
58,T098182,1857,0.9253,p2@PIK3CD,e:5293,h:8977,,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","gene with protein product"
59,T077915,1855,0.9220,p3@LILRB2,e:10288,h:6606,,LILRB2,"leukocyte immunoglobulin like receptor B2","gene with protein product"
60,T168324,1850,0.9213,p6@PNRC1,e:10957,h:17278,Q9BXV2,PNRC1,"proline rich nuclear receptor coactivator 1","gene with protein product"
61,T041342,1851,0.9200,p12@C14orf159,e:80017,h:20498,E5RIL4,C14orf159,"chromosome 14 open reading frame 159","gene with protein product"
62,T016989,1847,0.9189,p1@MAP3K11,e:4296,h:6850,"Q16584,E9PRQ2,E9PLB1",MAP3K11,"mitogen-activated protein kinase kinase kinase 11","gene with protein product"
63,T032593,1847,0.9184,p1@FRY,e:10129,h:20367,,FRY,"FRY microtubule binding protein","gene with protein product"
64,T054066,1837,0.9158,p2@MON1B,e:22879,h:25020,"Q7L1V2,B7WPE4,Q6ZR87",MON1B,"MON1 homolog B, secretory trafficking associated","gene with protein product"
65,T064222,1840,0.9154,p4@CANT1,e:124583,h:19721,F5H7Z7,CANT1,"calcium activated nucleotidase 1","gene with protein product"
66,T025475,1838,0.9144,p2@CCNT1,e:904,h:1599,O60563,CCNT1,"cyclin T1","gene with protein product"
67,T139692,1829,0.9122,p4@SCLT1,e:132320,h:26406,D6RBP0,SCLT1,"sodium channel and clathrin linker 1","gene with protein product"
68,T164225,1831,0.9100,p3@HSPA1B,e:3304,h:5233,,HSPA1B,"heat shock protein family A (Hsp70) member 1B","gene with protein product"
69,T152605,1828,0.9095,p12@RNF44,e:22838,h:19180,,RNF44,"ring finger protein 44","gene with protein product"
70,T015752,1824,0.9079,p2@BEST1,e:7439,h:12703,,BEST1,"bestrophin 1","gene with protein product"
71,T071354,1824,0.9075,p1@ARRDC2,e:27106,h:25225,Q8TBH0,ARRDC2,"arrestin domain containing 2","gene with protein product"
72,T194073,1820,0.9068,p1@TRPM6,e:140803,h:17995,Q9BX84,TRPM6,"transient receptor potential cation channel subfamily M member 6","gene with protein product"
73,T096380,1811,0.9046,p7@MIER1,e:57708,h:29657,Q5TAD1,MIER1,"MIER1 transcriptional regulator","gene with protein product"
74,T094923,1816,0.9044,p1@GPBP1L1,e:60313,h:28843,Q9HC44,GPBP1L1,"GC-rich promoter binding protein 1 like 1","gene with protein product"
75,T167466,1805,0.8994,p2@OGFRL1,e:79627,h:21378,Q5TC84,OGFRL1,"opioid growth factor receptor like 1","gene with protein product"
76,T015342,1800,0.8964,p1@STX3,e:6809,h:11438,"E7ET77,E9PQJ8",STX3,"syntaxin 3","gene with protein product"
