Hs-MIPOL1,2000,1000,T038093-MIPOL1,"p7@MIPOL1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T157442,2003,0.9990,p25@AIM1,e:202,h:356,Q9Y4K1,AIM1,"absent in melanoma 1","gene with protein product"
2,T120096,2008,0.9975,p2@C2orf57,e:165100,h:28563,Q53QW1,TEX44,"testis expressed 44","gene with protein product"
3,T052314,1997,0.9970,p1@MT4,e:84560,h:18705,P47944,MT4,"metallothionein 4","gene with protein product"
4,T085877,2001,0.9965,p56@RABGAP1L,e:9910,h:24663,,RABGAP1L,"RAB GTPase activating protein 1 like","gene with protein product"
5,T012841,1993,0.9901,p4@SLC6A5,e:9152,h:11051,,SLC6A5,"solute carrier family 6 member 5","gene with protein product"
6,T007622,1985,0.9890,p16@FAM190B,e:54462,h:29197,,CCSER2,"coiled-coil serine rich protein 2","gene with protein product"
7,T018685,1983,0.9846,p8@CYB5R2,e:51700,h:24376,Q6BCY4,CYB5R2,"cytochrome b5 reductase 2","gene with protein product"
8,T057997,1970,0.9816,p3@NR1D1,e:9572,h:7962,"F1D8S3,P20393",NR1D1,"nuclear receptor subfamily 1 group D member 1","gene with protein product"
9,T177371,1971,0.9811,p6@CCDC146,e:57639,h:29296,,CCDC146,"coiled-coil domain containing 146","gene with protein product"
10,T166807,1975,0.9787,p8@LRRC1,e:55227,h:14307,Q5T0G3,LRRC1,"leucine rich repeat containing 1","gene with protein product"
11,T071868,1963,0.9766,p3@NDUFA13,e:51079,h:17194,Q9P0J0,NDUFA13,"NADH:ubiquinone oxidoreductase subunit A13","gene with protein product"
12,T005594,1965,0.9762,p64@ANK3,e:288,h:494,,ANK3,"ankyrin 3","gene with protein product"
13,T012603,1952,0.9745,p22@LSP1,e:4046,h:6707,"E9PBV6,P33241",LSP1,"lymphocyte-specific protein 1","gene with protein product"
14,T049905,1957,0.9727,p2@SCNN1G,e:6340,h:10602,"P51170,A5X2V1",SCNN1G,"sodium channel epithelial 1 gamma subunit","gene with protein product"
15,T180060,1949,0.9726,p31@RAD21,e:5885,h:9811,O60216,RAD21,"RAD21 cohesin complex component","gene with protein product"
16,T201641,1950,0.9721,p4@DDX3Y,e:8653,h:2699,B4DXX7,DDX3Y,"DEAD-box helicase 3, Y-linked","gene with protein product"
17,T042112,1949,0.9716,p7@CERS3,e:204219,h:23752,,CERS3,"ceramide synthase 3","gene with protein product"
18,T114791,1949,0.9706,p15@ITGA6,e:3655,h:6142,C9JXX7,ITGA6,"integrin subunit alpha 6","gene with protein product"
19,T125939,1945,0.9691,p16@RMND5A,e:64795,h:25850,,RMND5A,"required for meiotic nuclear division 5 homolog A","gene with protein product"
20,T070090,1936,0.9641,p15@TNPO2,e:30000,h:19998,,TNPO2,"transportin 2","gene with protein product"
21,T168509,1929,0.9611,p6@FHL5,e:9457,h:17371,Q5TD97,FHL5,"four and a half LIM domains 5","gene with protein product"
22,T012602,1931,0.9607,p10@LSP1,e:4046,h:6707,E9PBD8,LSP1,"lymphocyte-specific protein 1","gene with protein product"
23,T043602,1926,0.9606,p1@PLA2G4F,e:255189,h:27396,"C9J2U1,Q68DD2,C9J281,E7EWV5,A5PKZ7",PLA2G4F,"phospholipase A2 group IVF","gene with protein product"
24,T075192,1928,0.9592,p6@LYPD5,e:284348,h:26397,,LYPD5,"LY6/PLAUR domain containing 5","gene with protein product"
25,T167526,1928,0.9578,p20@RIMS1,e:22999,h:17282,,RIMS1,"regulating synaptic membrane exocytosis 1","gene with protein product"
26,T190490,1925,0.9577,p1@LAMC3,e:10319,h:6494,,LAMC3,"laminin subunit gamma 3","gene with protein product"
27,T120136,1921,0.9548,p3@PDE6D,e:5147,h:8788,O43924,PDE6D,"phosphodiesterase 6D","gene with protein product"
28,T110482,1912,0.9536,p6@IL1R1,e:3554,h:5993,"B8ZZ73,P14778",IL1R1,"interleukin 1 receptor type 1","gene with protein product"
29,T005543,1910,0.9531,p10@SLC16A9,e:220963,h:23520,E5RID1,SLC16A9,"solute carrier family 16 member 9","gene with protein product"
30,T174854,1912,0.9522,p2@CCDC129,e:223075,h:27363,"B8ZZ49,E7EQ43",CCDC129,"coiled-coil domain containing 129","gene with protein product"
31,T002920,1896,0.9452,p2@SUV39H2,e:79723,h:17287,Q9H5I1,SUV39H2,"suppressor of variegation 3-9 homolog 2","gene with protein product"
