Hs-PCNT,2000,1000,T106315-PCNT,"p8@PCNT"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T156067,2008,0.9995,p3@CMYA5,e:202333,h:14305,Q8N3K9,CMYA5,"cardiomyopathy associated 5","gene with protein product"
2,T106314,2008,0.9990,p10@PCNT,e:5116,h:16068,,PCNT,pericentrin,"gene with protein product"
3,T020801,2008,0.9990,p4@ACACB,e:32,h:85,,ACACB,"acetyl-CoA carboxylase beta","gene with protein product"
4,T137189,2003,0.9985,p22@MITF,e:4286,h:7105,"Q8WYR3,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
5,T121650,2005,0.9980,p3@TRIM54,e:57159,h:16008,Q9BYV2,TRIM54,"tripartite motif containing 54","gene with protein product"
6,T094940,2005,0.9980,p3@MAST2,e:23139,h:19035,,MAST2,"microtubule associated serine/threonine kinase 2","gene with protein product"
7,T115427,2000,0.9970,p96@TTN,e:7273,h:12403,,TTN,titin,"gene with protein product"
8,T105268,1999,0.9970,p9@SH3BGR,e:6450,h:10822,P55822,SH3BGR,"SH3 domain binding glutamate rich protein","gene with protein product"
9,T117230,1998,0.9970,p25@CFLAR,e:8837,h:1876,F8WBH9,CFLAR,"CASP8 and FADD like apoptosis regulator","gene with protein product"
10,T115909,2007,0.9965,p2@TTN,e:7273,h:12403,,TTN,titin,"gene with protein product"
11,T106316,1996,0.9960,p3@PCNT,e:5116,h:16068,,PCNT,pericentrin,"gene with protein product"
12,T126457,1994,0.9950,p10@ANKRD23,e:200539,h:24470,Q86SG2,ANKRD23,"ankyrin repeat domain 23","gene with protein product"
13,T115340,1999,0.9945,p147@TTN,e:7273,h:12403,Q8WZ42,TTN,titin,"gene with protein product"
14,T003605,1992,0.9935,p7@KIAA1217,e:56243,h:25428,,KIAA1217,KIAA1217,"gene with protein product"
15,T115913,1993,0.9910,p72@TTN,e:7273,h:12403,,TTN,titin,"gene with protein product"
16,T182299,1986,0.9905,p89@PLEC,e:5339,h:9069,Q15149,PLEC,plectin,"gene with protein product"
17,T115345,1986,0.9900,p133@TTN,e:7273,h:12403,Q8WZ42,TTN,titin,"gene with protein product"
18,T198342,1984,0.9895,p2@ASB11,e:140456,h:17186,"E9PEN1,Q7Z667,Q7Z670,Q8WXH4",ASB11,"ankyrin repeat and SOCS box containing 11","gene with protein product"
19,T114423,1987,0.9881,p45@XIRP2,e:129446,h:14303,A4UGR9,XIRP2,"xin actin binding repeat containing 2","gene with protein product"
20,T140559,1977,0.9865,p3@FAM160A1,e:729830,h:34237,"Q05DH4,D6RBF5",FAM160A1,"family with sequence similarity 160 member A1","gene with protein product"
21,T113329,1977,0.9860,p12@NEB,e:4703,h:7720,,NEB,nebulin,"gene with protein product"
22,T166820,1980,0.9851,p17@MLIP,e:90523,h:21355,,MLIP,"muscular LMNA interacting protein","gene with protein product"
23,T009707,1974,0.9816,p1@CRYAB,e:1410,h:2389,P02511,CRYAB,"crystallin alpha B","gene with protein product"
