Hs-PLAT,2000,1000,T184844-PLAT,"p10@PLAT"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T184846,2009,1.0000,p9@PLAT,e:5327,h:9051,,PLAT,"plasminogen activator, tissue type","gene with protein product"
2,T008159,2006,1.0000,p3@PPP1R3C,e:5507,h:9293,,PPP1R3C,"protein phosphatase 1 regulatory subunit 3C","gene with protein product"
3,T127784,2006,1.0000,p33@VGLL4,e:9686,h:28966,"G5E9M7,Q14135",VGLL4,"vestigial like family member 4","gene with protein product"
4,T138026,2006,1.0000,p39@DCBLD2,e:131566,h:24627,,DCBLD2,"discoidin, CUB and LCCL domain containing 2","gene with protein product"
5,T144215,2007,1.0000,p11@OCIAD1,e:54940,h:16074,"D6RI08,D6RF07",OCIAD1,"OCIA domain containing 1","gene with protein product"
6,T082715,2012,1.0000,p1@PRR9,e:574414,h:32057,Q5T870,PRR9,"proline rich 9","gene with protein product"
7,T200910,2007,1.0000,p18@STS,e:412,h:11425,Q0W975,STS,"steroid sulfatase","gene with protein product"
8,T109585,2004,0.9995,p1@KIAA1644,e:85352,h:29335,Q3SXP7,KIAA1644,KIAA1644,"gene with protein product"
9,T101716,2009,0.9990,p8@PRNP,e:5621,h:9449,P04156,PRNP,"prion protein","gene with protein product"
10,T009883,2009,0.9990,p3@DRD2,e:1813,h:3023,P14416,DRD2,"dopamine receptor D2","gene with protein product"
11,T091309,2009,0.9990,p5@GNG4,e:2786,h:4407,,GNG4,"G protein subunit gamma 4","gene with protein product"
12,T147269,2008,0.9990,p3@C5orf30,e:90355,h:25052,Q96GV9,C5orf30,"chromosome 5 open reading frame 30","gene with protein product"
13,T101729,2008,0.9990,p12@PRNP,e:5621,h:9449,,PRNP,"prion protein","gene with protein product"
14,T184849,2007,0.9990,p6@PLAT,e:5327,h:9051,,PLAT,"plasminogen activator, tissue type","gene with protein product"
15,T002993,2007,0.9990,p3@FAM188A,e:80013,h:23578,,FAM188A,"family with sequence similarity 188 member A","gene with protein product"
16,T184843,2006,0.9990,p3@PLAT,e:5327,h:9051,,PLAT,"plasminogen activator, tissue type","gene with protein product"
17,T154455,2006,0.9990,p5@ITGA2,e:3673,h:6137,P17301,ITGA2,"integrin subunit alpha 2","gene with protein product"
18,T109584,2006,0.9990,p3@KIAA1644,e:85352,h:29335,Q3SXP7,KIAA1644,KIAA1644,"gene with protein product"
19,T183427,2006,0.9990,p4@LOXL2,e:4017,h:6666,Q9Y4K0,LOXL2,"lysyl oxidase like 2","gene with protein product"
