Hs-PRIM1,2000,1000,T027239-PRIM1,"p1@PRIM1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T166675,2009,1.0000,p1@MCM3,e:4172,h:6945,"P25205,E9PF11",MCM3,"minichromosome maintenance complex component 3","gene with protein product"
2,T022310,2013,1.0000,p1@KNTC1,e:9735,h:17255,"P50748,E7ES84",KNTC1,"kinetochore associated 1","gene with protein product"
3,T011348,2012,0.9995,p1@CHEK1,e:1111,h:1925,"O14757,F5H7S4",CHEK1,"checkpoint kinase 1","gene with protein product"
4,T126786,2009,0.9995,p1@FANCD2,e:2177,h:3585,"Q9BXW9,F8WE37",FANCD2,"Fanconi anemia complementation group D2","gene with protein product"
5,T177347,2004,0.9995,p2@RPA3,e:6119,h:10291,,RPA3,"replication protein A3","gene with protein product"
6,T123325,2004,0.9995,p1@MSH6,e:2956,h:7329,,MSH6,"mutS homolog 6","gene with protein product"
7,T198757,2011,0.9990,p1@SCML2,e:10389,h:10581,B4DZR9,SCML2,"sex comb on midleg-like 2 (Drosophila)","gene with protein product"
8,T168534,2009,0.9990,p1@MMS22L,e:253714,h:21475,Q6ZRQ5,MMS22L,"MMS22 like, DNA repair protein","gene with protein product"
9,T112501,2008,0.9990,p1@MCM6,e:4175,h:6949,Q14566,MCM6,"minichromosome maintenance complex component 6","gene with protein product"
10,T090486,2008,0.9990,p1@LIN9,e:286826,h:30830,,LIN9,"lin-9 DREAM MuvB core complex component","gene with protein product"
11,T132672,2008,0.9990,p1@RFC4,e:5984,h:9972,"P35249,C9J8M3,F8WE44",RFC4,"replication factor C subunit 4","gene with protein product"
12,T089372,2007,0.9990,p1@DTL,e:51514,h:30288,"E7ERQ0,F5GZ90",DTL,"denticleless E3 ubiquitin protein ligase homolog","gene with protein product"
13,T038329,2007,0.9990,p1@POLE2,e:5427,h:9178,A4FU92,POLE2,"DNA polymerase epsilon 2, accessory subunit","gene with protein product"
14,T172928,2006,0.9990,p1@XRCC2,e:7516,h:12829,O43543,XRCC2,"X-ray repair cross complementing 2","gene with protein product"
15,T027240,2006,0.9990,p2@PRIM1,e:5557,h:9369,F8VSB2,PRIM1,"primase (DNA) subunit 1","gene with protein product"
16,T097769,2006,0.9990,p1@CDC7,e:8317,h:1745,"O00311,F8W802",CDC7,"cell division cycle 7","gene with protein product"
17,T095998,2006,0.9990,p1@ITGB3BP,e:23421,h:6157,Q13352,ITGB3BP,"integrin subunit beta 3 binding protein","gene with protein product"
18,T194378,2006,0.9990,p1@RMI1,e:80010,h:25764,Q9H9A7,RMI1,"RecQ mediated genome instability 1","gene with protein product"
19,T020140,2005,0.9990,p2@C12orf48,e:55010,h:26074,,PARPBP,"PARP1 binding protein","gene with protein product"
20,T006145,2005,0.9990,p1@DNA2,e:1763,h:2939,"F8VPM6,F8VR31,P51530",DNA2,"DNA replication helicase/nuclease 2","gene with protein product"
21,T047618,2004,0.9990,p1@FANCI,e:55215,h:25568,"Q9NVI1,F8W7R3,B3KNW8",FANCI,"Fanconi anemia complementation group I","gene with protein product"
22,T043528,2004,0.9990,p1@NUSAP1,e:51203,h:18538,E7ERR5,NUSAP1,"nucleolar and spindle associated protein 1","gene with protein product"
23,T195805,2003,0.9990,p1@CSTF2,e:1478,h:2484,"P33240,E7EWR4,B4DUD5,E9PID8",CSTF2,"cleavage stimulation factor subunit 2","gene with protein product"
24,T123314,2003,0.9990,p1@MSH2,e:4436,h:7325,"E9PHA6,E9PCI8,E7EU21,E7EQQ1,P43246,Q53RU4,Q0ZAJ2",MSH2,"mutS homolog 2","gene with protein product"
25,T140669,2003,0.9990,p1@MND1,e:84057,h:24839,D6RIA0,MND1,"meiotic nuclear divisions 1","gene with protein product"
26,T002526,2007,0.9985,p1@MCM10,e:55388,h:18043,"Q7L590,C9J600,Q5T670",MCM10,"minichromosome maintenance 10 replication initiation factor","gene with protein product"
27,T123916,2006,0.9985,p1@FANCL,e:55120,h:20748,"Q9NW38,B5MC31,C9JPN7,C9J512,C9JZA9,B4DN24",FANCL,"Fanconi anemia complementation group L","gene with protein product"
28,T043816,2005,0.9985,p1@WDR76,e:79968,h:25773,"Q9H967,C9JE56",WDR76,"WD repeat domain 76","gene with protein product"
29,T001284,2002,0.9985,p1@DCLRE1A,e:9937,h:17660,Q6PJP8,DCLRE1A,"DNA cross-link repair 1A","gene with protein product"
30,T056647,2004,0.9980,p1@SPAG5,e:10615,h:13452,"F5GZT2,Q96R06",SPAG5,"sperm associated antigen 5","gene with protein product"
31,T142401,2002,0.9980,p1@MLF1IP,e:79682,h:21348,Q09GN2,CENPU,"centromere protein U","gene with protein product"
32,T028419,2006,0.9975,p1@NUP107,e:57122,h:29914,"Q6PJE1,G3V1T4",NUP107,"nucleoporin 107","gene with protein product"
