Hs-PSMD8,2000,1000,T073789-PSMD8,"p8@PSMD8"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T015687,2008,0.9995,p4@C11orf10,e:746,h:1164,F5H7Z5,TMEM258,"transmembrane protein 258","gene with protein product"
2,T073790,2010,0.9990,p2@PSMD8,e:5714,h:9566,P48556,PSMD8,"proteasome 26S subunit, non-ATPase 8","gene with protein product"
3,T033644,2007,0.9990,p14@CAB39L,e:81617,h:20290,B7ZBJ7,CAB39L,"calcium binding protein 39 like","gene with protein product"
4,T033298,2005,0.9990,p5@SPERT,e:220082,h:30720,Q8NA61,SPERT,"spermatid associated","gene with protein product"
5,T152729,2000,0.9990,p1@PFN3,e:345456,h:18627,P60673,PFN3,"profilin 3","gene with protein product"
6,T196649,2007,0.9985,p1@RBBP8P1,,h:39583,,RBBP8P1,"RB binding protein 8 pseudogene 1",pseudogene
7,T002216,2002,0.9980,p4@C10orf137,e:26098,h:24640,"Q3B7T1,F8W695",EDRF1,"erythroid differentiation regulatory factor 1","gene with protein product"
8,T106751,1976,0.9841,p12@SNAP29,e:9342,h:11133,C9JAF7,SNAP29,"synaptosome associated protein 29","gene with protein product"
9,T144468,1963,0.9795,p8@KIAA1211,e:57482,h:29219,,KIAA1211,KIAA1211,"gene with protein product"
10,T078833,1955,0.9731,p2@ALKBH7,e:84266,h:21306,Q9BT30,ALKBH7,"alkB homolog 7","gene with protein product"
11,T058992,1956,0.9727,p2@ARL4D,e:379,h:656,P49703,ARL4D,"ADP ribosylation factor like GTPase 4D","gene with protein product"
12,T121913,1946,0.9691,p1@SPDYA,e:245711,h:30613,Q5MJ70,SPDYA,"speedy/RINGO cell cycle regulator family member A","gene with protein product"
13,T121561,1943,0.9667,p10@MAPRE3,e:22924,h:6892,,MAPRE3,"microtubule associated protein RP/EB family member 3","gene with protein product"
14,T073791,1940,0.9657,p3@PSMD8,e:5714,h:9566,P48556,PSMD8,"proteasome 26S subunit, non-ATPase 8","gene with protein product"
15,T078411,1929,0.9597,p4@C19orf70,e:125988,h:33702,Q5XKP0,C19orf70,"chromosome 19 open reading frame 70","gene with protein product"
16,T151399,1915,0.9532,p1@C5orf52,e:100190949,h:35121,A6NGY3,C5orf52,"chromosome 5 open reading frame 52","gene with protein product"
17,T106528,1899,0.9476,p8@DGCR5,,h:16757,,DGCR5,"DiGeorge syndrome critical region gene 5 (non-protein coding)","RNA, long non-coding"
18,T058677,1901,0.9453,p1@HSPB9,e:94086,h:30589,Q9BQS6,HSPB9,"heat shock protein family B (small) member 9","gene with protein product"
19,T191160,1895,0.9447,p5@C9orf116,e:138162,h:28435,,C9orf116,"chromosome 9 open reading frame 116","gene with protein product"
20,T093007,1895,0.9433,p3@FAM76A,e:199870,h:28530,"Q8TAV0,B4DWT3",FAM76A,"family with sequence similarity 76 member A","gene with protein product"
21,T069706,1884,0.9382,p6@GPX4,e:2879,h:4556,P36969,GPX4,"glutathione peroxidase 4","gene with protein product"
22,T080155,1882,0.9377,p6@KIAA1324,e:57535,h:29618,"E9PLY8,B4DWM4,Q6UXG2",KIAA1324,KIAA1324,"gene with protein product"
23,T192934,1878,0.9357,p19@RUSC2,e:9853,h:23625,Q8N2Y8,RUSC2,"RUN and SH3 domain containing 2","gene with protein product"
24,T084409,1877,0.9348,p6@PLEKHM2,e:23207,h:29131,,PLEKHM2,"pleckstrin homology and RUN domain containing M2","gene with protein product"
25,T058856,1870,0.9303,p6@CNTD1,e:124817,h:26847,,CNTD1,"cyclin N-terminal domain containing 1","gene with protein product"
26,T063078,1848,0.9203,p4@HN1,e:51155,h:14569,,HN1,"hematological and neurological expressed 1","gene with protein product"
27,T028133,1844,0.9165,p39@GAPDH,e:2597,h:4141,E7EUT4,GAPDH,"glyceraldehyde-3-phosphate dehydrogenase","gene with protein product"
28,T187241,1827,0.9112,p10@PDP1,e:54704,h:9279,Q9P0J1,PDP1,"pyruvate dehyrogenase phosphatase catalytic subunit 1","gene with protein product"
29,T127290,1824,0.9106,p11@PVRL3,e:25945,h:17664,,NECTIN3,"nectin cell adhesion molecule 3","gene with protein product"
30,T117204,1824,0.9084,p5@NDUFB3,e:4709,h:7698,"O43676,Q6IB80",NDUFB3,"NADH:ubiquinone oxidoreductase subunit B3","gene with protein product"
31,T067924,1806,0.8994,p6@EPB41L3,e:23136,h:3380,"Q9Y2J2,F5GX05",EPB41L3,"erythrocyte membrane protein band 4.1 like 3","gene with protein product"
32,T002590,1781,0.8870,p8@LRRC27,e:80313,h:29346,"B3KUK5,Q9C0I9",LRRC27,"leucine rich repeat containing 27","gene with protein product"
33,T018689,1756,0.8749,p24@CYB5R2,e:51700,h:24376,E9PRM4,CYB5R2,"cytochrome b5 reductase 2","gene with protein product"
34,T092638,1737,0.8663,p21@STMN1,e:3925,h:6510,P16949,STMN1,"stathmin 1","gene with protein product"
35,T017235,1740,0.8652,p5@CNIH2,e:254263,h:28744,,CNIH2,"cornichon family AMPA receptor auxiliary protein 2","gene with protein product"
