Hs-RAB2A,2000,1000,T185611-RAB2A,"p7@RAB2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T092460,2005,1.0000,p23@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
2,T027984,2006,1.0000,p1@SRP14P1,e:390284,h:33181,,SRP14P1,"signal recognition particle 14 pseudogene 1",pseudogene
3,T152965,2013,1.0000,p4@CANX,e:821,h:1473,,CANX,calnexin,"gene with protein product"
4,T121474,2009,1.0000,p6@RAB10,e:10890,h:9759,Q9UL28,RAB10,"RAB10, member RAS oncogene family","gene with protein product"
5,T171455,2009,1.0000,p7@CREB3L2,e:64764,h:23720,,CREB3L2,"cAMP responsive element binding protein 3 like 2","gene with protein product"
6,T155473,2008,1.0000,p51@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
7,T032882,2012,0.9995,p3@UFM1,e:51569,h:20597,Q96JQ7,UFM1,"ubiquitin fold modifier 1","gene with protein product"
8,T121921,2012,0.9990,p2@WDR43,e:23160,h:28945,Q8TB67,WDR43,"WD repeat domain 43","gene with protein product"
9,T144300,2011,0.9990,p10@FIP1L1,e:81608,h:19124,,FIP1L1,"factor interacting with PAPOLA and CPSF1","gene with protein product"
10,T128815,2010,0.9990,p4@RAB7A,e:7879,h:9788,,RAB7A,"RAB7A, member RAS oncogene family","gene with protein product"
11,T055809,2008,0.9990,p1@SNORD65,e:692106,h:32726,,SNORD65,"small nucleolar RNA, C/D box 65","RNA, small nucleolar"
12,T121109,2008,0.9990,p9@HDLBP,e:3069,h:4857,,HDLBP,"high density lipoprotein binding protein","gene with protein product"
13,T041207,2008,0.9990,p4@FOXN3,e:1112,h:1928,,FOXN3,"forkhead box N3","gene with protein product"
14,T017852,2007,0.9990,p12@CCND1,e:595,h:1582,,CCND1,"cyclin D1","gene with protein product"
15,T040075,2007,0.9990,p12@SRSF5,e:6430,h:10787,,SRSF5,"serine and arginine rich splicing factor 5","gene with protein product"
16,T021959,2006,0.9990,p4@DYNLL1,e:8655,h:15476,"P63167,Q6FGH9",DYNLL1,"dynein light chain LC8-type 1","gene with protein product"
17,T062246,2005,0.9990,p4@PRKAR1A,e:5573,h:9388,,PRKAR1A,"protein kinase cAMP-dependent type I regulatory subunit alpha","gene with protein product"
18,T145722,2005,0.9990,p9@SCARB2,e:950,h:1665,,SCARB2,"scavenger receptor class B member 2","gene with protein product"
19,T152978,2005,0.9990,p24@CANX,e:821,h:1473,,CANX,calnexin,"gene with protein product"
20,T184945,2004,0.9990,p8@HGSNAT,e:138050,h:26527,,HGSNAT,"heparan-alpha-glucosaminide N-acetyltransferase","gene with protein product"
21,T018330,2004,0.9990,p7@RAB6A,e:5870,h:9786,,RAB6A,"RAB6A, member RAS oncogene family","gene with protein product"
22,T187307,2003,0.9990,p4@DPY19L4,e:286148,h:27829,,DPY19L4,"dpy-19 like 4 (C. elegans)","gene with protein product"
23,T021173,2003,0.9990,p4@PTPN11,e:5781,h:9644,,PTPN11,"protein tyrosine phosphatase, non-receptor type 11","gene with protein product"
24,T084462,2002,0.9990,p24@PEA15,e:8682,h:8822,Q14801,PEA15,"phosphoprotein enriched in astrocytes 15","gene with protein product"
25,T104224,2002,0.9990,p3@APP,e:351,h:620,,APP,"amyloid beta precursor protein","gene with protein product"
26,T155475,2007,0.9985,p24@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
27,T148341,2002,0.9985,p4@PRRC1,e:133619,h:28164,,PRRC1,"proline rich coiled-coil 1","gene with protein product"
28,T148145,2006,0.9980,p3@SNX2,e:6643,h:11173,,SNX2,"sorting nexin 2","gene with protein product"
29,T037781,2005,0.9980,p18@CFL2,e:1073,h:1875,,CFL2,"cofilin 2","gene with protein product"
30,T052914,2004,0.9980,p3@DYNC1LI2,e:1783,h:2966,,DYNC1LI2,"dynein cytoplasmic 1 light intermediate chain 2","gene with protein product"
31,T197972,2004,0.9980,p16@IDS,e:3423,h:5389,B4DIX1,IDS,"iduronate 2-sulfatase","gene with protein product"
32,T178003,2001,0.9980,p6@CLDN12,e:9069,h:2034,Q6FIF6,CLDN12,"claudin 12","gene with protein product"
33,T155516,2007,0.9975,p28@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
34,T155515,2005,0.9975,p31@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
35,T013913,2003,0.9975,p23@CD44,e:960,h:1681,,CD44,"CD44 molecule (Indian blood group)","gene with protein product"
36,T152971,2001,0.9975,p8@CANX,e:821,h:1473,,CANX,calnexin,"gene with protein product"
37,T097239,2005,0.9970,p21@DDAH1,e:23576,h:2715,,DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
38,T155502,2003,0.9970,p30@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
39,T022841,2002,0.9970,p5@CREBL2,e:1389,h:2350,,CREBL2,"cAMP responsive element binding protein like 2","gene with protein product"
40,T081806,2003,0.9965,p4@LIX1L,e:128077,h:28715,,LIX1L,"limb and CNS expressed 1 like","gene with protein product"
41,T101732,2002,0.9965,p10@PRNP,e:5621,h:9449,,PRNP,"prion protein","gene with protein product"
42,T195982,2001,0.9965,p8@TCEAL4,e:79921,h:26121,,TCEAL4,"transcription elongation factor A like 4","gene with protein product"
43,T085508,1999,0.9965,p27@PRRX1,e:5396,h:9142,,PRRX1,"paired related homeobox 1","gene with protein product"
44,T018329,1997,0.9965,p8@RAB6A,e:5870,h:9786,,RAB6A,"RAB6A, member RAS oncogene family","gene with protein product"
45,T121141,1999,0.9960,p10@SEPT2,e:4735,h:7729,,SEPT2,"septin 2","gene with protein product"
46,T092459,1997,0.9960,p3@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
47,T176529,2007,0.9955,p3@AIMP2,e:7965,h:20609,Q13155,AIMP2,"aminoacyl tRNA synthetase complex interacting multifunctional protein 2","gene with protein product"
48,T040065,1999,0.9950,p8@SRSF5,e:6430,h:10787,,SRSF5,"serine and arginine rich splicing factor 5","gene with protein product"
49,T011721,1998,0.9945,p4@APLP2,e:334,h:598,Q06481,APLP2,"amyloid beta precursor like protein 2","gene with protein product"
50,T009377,1993,0.9945,p1@SNORD97,e:692223,h:32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
51,T005773,1991,0.9940,p12@ARID5B,e:84159,h:17362,Q14865,ARID5B,"AT-rich interaction domain 5B","gene with protein product"
52,T148940,1995,0.9935,p3@MIR4461,e:100616209,h:41656,,MIR4461,"microRNA 4461","RNA, micro"
53,T092456,1992,0.9935,p9@CLIC4,e:25932,h:13518,,CLIC4,"chloride intracellular channel 4","gene with protein product"
54,T123668,1997,0.9930,p11@RTN4,e:57142,h:14085,,RTN4,"reticulon 4","gene with protein product"
55,T040030,1996,0.9930,p3@SLC39A9,e:55334,h:20182,,SLC39A9,"solute carrier family 39 member 9","gene with protein product"
56,T033519,1995,0.9930,p5@ITM2B,e:9445,h:6174,,ITM2B,"integral membrane protein 2B","gene with protein product"
57,T110409,1994,0.9930,p6@MAP4K4,e:9448,h:6866,O95819,MAP4K4,"mitogen-activated protein kinase kinase kinase kinase 4","gene with protein product"
58,T155477,1991,0.9920,p32@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
59,T126511,1988,0.9920,p3@YWHAQ,e:10971,h:12854,,YWHAQ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta","gene with protein product"
60,T146334,1989,0.9915,p3@SEC31A,e:22872,h:17052,,SEC31A,"SEC31 homolog A, COPII coat complex component","gene with protein product"
61,T067691,1988,0.9910,p11@MBD2,e:8932,h:6917,Q69YZ5,MBD2,"methyl-CpG binding domain protein 2","gene with protein product"
62,T145273,1987,0.9905,p6@ANKRD17,e:26057,h:23575,O75179,ANKRD17,"ankyrin repeat domain 17","gene with protein product"
63,T020026,1993,0.9896,p3@WNK1,e:65125,h:14540,,WNK1,"WNK lysine deficient protein kinase 1","gene with protein product"
64,T108080,1985,0.9890,p14@TIMP3,e:7078,h:11822,,TIMP3,"TIMP metallopeptidase inhibitor 3","gene with protein product"
65,T155505,1985,0.9885,p22@MAP1B,e:4131,h:6836,,MAP1B,"microtubule associated protein 1B","gene with protein product"
66,T123667,1983,0.9880,p12@RTN4,e:57142,h:14085,,RTN4,"reticulon 4","gene with protein product"
67,T169993,1982,0.9880,p47@CAV1,e:857,h:1527,,CAV1,"caveolin 1","gene with protein product"
68,T185690,1980,0.9880,p5@ASPH,e:444,h:757,,ASPH,"aspartate beta-hydroxylase","gene with protein product"
69,T186659,1989,0.9876,p17@ZBTB10,e:65986,h:30953,Q96DT7,ZBTB10,"zinc finger and BTB domain containing 10","gene with protein product"
70,T024094,1985,0.9876,p18@BCAT1,e:586,h:976,,BCAT1,"branched chain amino acid transaminase 1","gene with protein product"
71,T009382,1979,0.9875,p7@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
72,T153549,1984,0.9871,p7@ZFR,e:51663,h:17277,Q96KR1,ZFR,"zinc finger RNA binding protein","gene with protein product"
73,T156854,1981,0.9870,p15@RHOBTB3,e:22836,h:18757,,RHOBTB3,"Rho related BTB domain containing 3","gene with protein product"
