Hs-SIGMAR1,2000,1000,T192808-SIGMAR1,"p1@SIGMAR1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T199867,2009,1.0000,p2@UBA1,e:7317,h:12469,P22314,UBA1,"ubiquitin like modifier activating enzyme 1","gene with protein product"
2,T093993,2010,1.0000,p1@MRPS15,e:64960,h:14504,,MRPS15,"mitochondrial ribosomal protein S15","gene with protein product"
3,T153116,2004,1.0000,p1@MRPL36,e:64979,h:14490,Q9P0J6,MRPL36,"mitochondrial ribosomal protein L36","gene with protein product"
4,T071513,2008,1.0000,p3@LSM4,e:25804,h:17259,Q9Y4Z0,LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated","gene with protein product"
5,T136321,2010,1.0000,p1@RFT1,e:91869,h:30220,"Q96AA3,B5MDE0,C9JP01",RFT1,"RFT1 homolog","gene with protein product"
6,T175389,2007,0.9995,p1@C7orf11,e:136647,h:16002,"A4D1W6,Q8TAP9",MPLKIP,"M-phase specific PLK1 interacting protein","gene with protein product"
7,T094980,2005,0.9995,p3@LRRC41,e:10489,h:16917,Q15345,LRRC41,"leucine rich repeat containing 41","gene with protein product"
8,T166217,2010,0.9990,p1@SLC35B2,e:347734,h:16872,"B4DDM2,F5H7Y9",SLC35B2,"solute carrier family 35 member B2","gene with protein product"
9,T162792,2010,0.9990,p1@PPIAP29,,h:43021,,PPIAP29,"peptidylprolyl isomerase A pseudogene 29",pseudogene
10,T028323,2010,0.9990,p1@MLF2,e:8079,h:7126,,MLF2,"myeloid leukemia factor 2","gene with protein product"
11,T200035,2009,0.9990,p1@FTSJ1,e:24140,h:13254,B7Z4K4,FTSJ1,"FtsJ RNA methyltransferase homolog 1 (E. coli)","gene with protein product"
12,T055957,2009,0.9990,p1@PEMT,e:10400,h:8830,"Q9UBM1,A8MZ66,D3YTC7",PEMT,"phosphatidylethanolamine N-methyltransferase","gene with protein product"
13,T018656,2008,0.9990,p3@TSKU,e:25987,h:28850,"Q8WUA8,B3KRF9",TSKU,"tsukushi, small leucine rich proteoglycan","gene with protein product"
