Hs-SLC44A2,2000,1000,T069608-SLC44A2,"p1@SLC44A2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T017000,2006,1.0000,p1@SIPA1,e:6494,h:10885,"E9PIB3,Q96FS4",SIPA1,"signal-induced proliferation-associated 1","gene with protein product"
2,T069595,2007,0.9990,p4@CDKN2D,e:1032,h:1790,P55273,CDKN2D,"cyclin dependent kinase inhibitor 2D","gene with protein product"
3,T016592,2009,0.9985,p1@MAP4K2,e:5871,h:6864,"F2Z2B3,C9JCU6",MAP4K2,"mitogen-activated protein kinase kinase kinase kinase 2","gene with protein product"
4,T093702,2003,0.9985,p1@MEGF6,e:1953,h:3232,,MEGF6,"multiple EGF like domains 6","gene with protein product"
5,T118953,2002,0.9985,p3@CTDSP1,e:58190,h:21614,,CTDSP1,"CTD small phosphatase 1","gene with protein product"
6,T124573,2002,0.9985,p2@ARHGAP25,e:9938,h:28951,,ARHGAP25,"Rho GTPase activating protein 25","gene with protein product"
7,T201571,2004,0.9980,p1@WWC3,e:55841,h:29237,Q9ULE0,WWC3,"WWC family member 3","gene with protein product"
8,T000378,1999,0.9980,p4@LDB1,e:8861,h:6532,,LDB1,"LIM domain binding 1","gene with protein product"
9,T058011,2001,0.9975,p2@MSL1,e:339287,h:27905,Q68DK7,MSL1,"male specific lethal 1 homolog","gene with protein product"
10,T092878,2005,0.9970,p1@WDTC1,e:23038,h:29175,,WDTC1,"WD and tetratricopeptide repeats 1","gene with protein product"
11,T193038,1995,0.9970,p3@TLN1,e:7094,h:11845,"Q9Y490,Q5TCU6",TLN1,"talin 1","gene with protein product"
12,T020538,2000,0.9955,p2@TCP11L2,e:255394,h:28627,"Q8N4U5,G3V1Y9",TCP11L2,"t-complex 11 like 2","gene with protein product"
13,T128634,2000,0.9935,p1@ABTB1,e:80325,h:18275,"Q969K4,C9JBQ0,F2Z3F5",ABTB1,"ankyrin repeat and BTB domain containing 1","gene with protein product"
14,T050938,1992,0.9906,p6@PRR14,e:78994,h:28458,,PRR14,"proline rich 14","gene with protein product"
15,T027421,1987,0.9895,p3@ARHGAP9,e:64333,h:14130,,ARHGAP9,"Rho GTPase activating protein 9","gene with protein product"
16,T006357,1983,0.9890,p1@PPA1,e:5464,h:9226,Q15181,PPA1,"pyrophosphatase (inorganic) 1","gene with protein product"
17,T055591,1986,0.9876,p3@INPP5K,e:51763,h:33882,,INPP5K,"inositol polyphosphate-5-phosphatase K","gene with protein product"
