Hs-TAPT1,2000,1000,T141351-TAPT1,"p4@TAPT1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T020987,2009,1.0000,p7@RAD9B,e:144715,h:21700,B4DX60,RAD9B,"RAD9 checkpoint clamp component B","gene with protein product"
2,T000990,2012,1.0000,p20@CELF2,e:10659,h:2550,,CELF2,"CUGBP Elav-like family member 2","gene with protein product"
3,T147525,2012,1.0000,p6@PJA2,e:9867,h:17481,,PJA2,"praja ring finger ubiquitin ligase 2","gene with protein product"
4,T050454,2007,1.0000,p9@SH2B1,e:25970,h:30417,,SH2B1,"SH2B adaptor protein 1","gene with protein product"
5,T035893,2013,0.9995,p11@CRIP1,e:1396,h:2360,P50238,CRIP1,"cysteine rich protein 1","gene with protein product"
6,T095065,2007,0.9995,p15@TAL1,e:6886,h:11556,,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor","gene with protein product"
7,T156990,2007,0.9995,p7@LNPEP,e:4012,h:6656,,LNPEP,"leucyl and cystinyl aminopeptidase","gene with protein product"
8,T166601,2009,0.9990,p5@CRISP3,e:10321,h:16904,P54108,CRISP3,"cysteine rich secretory protein 3","gene with protein product"
9,T164733,2006,0.9990,p12@RGL2,e:5863,h:9769,O15211,RGL2,"ral guanine nucleotide dissociation stimulator like 2","gene with protein product"
10,T080802,2006,0.9990,p5@HIPK1,e:204851,h:19006,"Q5SQL3,Q86Z02,B4DZ33",HIPK1,"homeodomain interacting protein kinase 1","gene with protein product"
11,T061278,2005,0.9990,p2@DHX40,e:79665,h:18018,,DHX40,"DEAH-box helicase 40","gene with protein product"
12,T096721,2005,0.9990,p1@LINC00115,e:79854,h:26211,,LINC00115,"long intergenic non-protein coding RNA 115","RNA, long non-coding"
13,T138670,2005,0.9990,p10@AIMP1,e:9255,h:10648,Q12904,AIMP1,"aminoacyl tRNA synthetase complex interacting multifunctional protein 1","gene with protein product"
14,T148165,2005,0.9990,p8@CEP120,e:153241,h:26690,Q8N960,CEP120,"centrosomal protein 120","gene with protein product"
15,T085300,2004,0.9990,p12@BRP44,e:25874,h:24515,,MPC2,"mitochondrial pyruvate carrier 2","gene with protein product"
16,T184105,2004,0.9990,p10@TMEM66,e:51669,h:28789,E5RHW0,SARAF,"store-operated calcium entry associated regulatory factor","gene with protein product"
17,T071138,2003,0.9990,p7@F2RL3,e:9002,h:3540,Q96RI0,F2RL3,"F2R like thrombin/trypsin receptor 3","gene with protein product"
18,T158283,2002,0.9990,p8@GOPC,e:57120,h:17643,Q9HD26,GOPC,"golgi associated PDZ and coiled-coil motif containing","gene with protein product"
19,T184999,2001,0.9990,p4@KIAA0146,e:23514,h:28971,E5RGX8,SPIDR,"scaffolding protein involved in DNA repair","gene with protein product"
20,T076835,2008,0.9985,p4@SCAF1,e:58506,h:30403,Q9H7N4,SCAF1,"SR-related CTD associated factor 1","gene with protein product"
21,T125309,2007,0.9985,p24@HTRA2,e:27429,h:14348,,HTRA2,"HtrA serine peptidase 2","gene with protein product"
22,T135588,2006,0.9985,p7@QRICH1,e:54870,h:24713,"Q2TAL8,C9JIA8",QRICH1,"glutamine rich 1","gene with protein product"
23,T188802,2005,0.9985,p26@AKNA,e:80709,h:24108,,AKNA,"AT-hook transcription factor","gene with protein product"
24,T011701,2004,0.9985,p2@PRDM10,e:56980,h:13995,E9PIB4,PRDM10,"PR/SET domain 10","gene with protein product"
25,T162158,2002,0.9985,p1@C6orf70,e:55780,h:21056,"Q5T6L9,F8WAF1",ERMARD,"ER membrane associated RNA degradation","gene with protein product"
26,T189951,2008,0.9980,p11@SLC25A25,e:114789,h:20663,Q6KCM7,SLC25A25,"solute carrier family 25 member 25","gene with protein product"
27,T040990,2007,0.9980,p9@GTF2A1,e:2957,h:4646,,GTF2A1,"general transcription factor IIA subunit 1","gene with protein product"
28,T014276,2006,0.9980,p5@ACCS,e:84680,h:23989,B4E219,ACCS,"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)","gene with protein product"
29,T187743,2004,0.9980,p2@TRIM14,e:9830,h:16283,F2Z2M2,TRIM14,"tripartite motif containing 14","gene with protein product"
30,T079733,2004,0.9980,p2@DBT,e:1629,h:2698,P11182,DBT,"dihydrolipoamide branched chain transacylase E2","gene with protein product"
31,T096862,2001,0.9980,p5@FUBP1,e:8880,h:4004,C9JSZ1,FUBP1,"far upstream element binding protein 1","gene with protein product"
32,T159384,2006,0.9975,p12@AHI1,e:54806,h:21575,,AHI1,"Abelson helper integration site 1","gene with protein product"
33,T025642,2005,0.9975,p2@DNAJC22,e:79962,h:25802,,DNAJC22,"DnaJ heat shock protein family (Hsp40) member C22","gene with protein product"
34,T079762,2004,0.9975,p3@UBE4B,e:10277,h:12500,"A8K8S9,O95155",UBE4B,"ubiquitination factor E4B","gene with protein product"
35,T056774,2004,0.9975,p8@MYO18A,e:399687,h:31104,Q92614,MYO18A,"myosin XVIIIA","gene with protein product"
36,T051019,2001,0.9975,p5@PHKG2,e:5261,h:8931,P15735,PHKG2,"phosphorylase kinase catalytic subunit gamma 2","gene with protein product"
37,T066671,2001,0.9975,p8@LPIN2,e:9663,h:14450,C9JPF4,LPIN2,"lipin 2","gene with protein product"
38,T076359,2001,0.9975,p4@CYTH2,e:9266,h:9502,Q99418,CYTH2,"cytohesin 2","gene with protein product"
39,T004881,1999,0.9975,p2@ZFAND4,e:93550,h:23504,,ZFAND4,"zinc finger AN1-type containing 4","gene with protein product"
40,T134060,1997,0.9975,p9@TGFBR2,e:7048,h:11773,"P37173,D2JYI1,A3QNQ0",TGFBR2,"transforming growth factor beta receptor 2","gene with protein product"
41,T187355,2007,0.9970,p2@C8orf37,e:157657,h:27232,"F4Y588,Q96NL8",C8orf37,"chromosome 8 open reading frame 37","gene with protein product"
42,T070576,2001,0.9965,p2@IL27RA,e:9466,h:17290,Q6UWB1,IL27RA,"interleukin 27 receptor subunit alpha","gene with protein product"
43,T000306,1997,0.9965,p3@BTRC,e:8945,h:1144,Q9Y297,BTRC,"beta-transducin repeat containing E3 ubiquitin protein ligase","gene with protein product"
44,T099262,1999,0.9960,p1@SNORD119,,h:33558,,SNORD119,"small nucleolar RNA, C/D box 119","RNA, small nucleolar"
45,T071301,2003,0.9955,p4@ATP8B3,e:148229,h:13535,,ATP8B3,"ATPase phospholipid transporting 8B3","gene with protein product"
46,T026355,2000,0.9950,p12@KRT8,e:3856,h:6446,F8VQY3,KRT8,"keratin 8","gene with protein product"
47,T158338,1998,0.9950,p1@MCM9,e:254394,h:21484,Q9NXL9,MCM9,"minichromosome maintenance 9 homologous recombination repair factor","gene with protein product"
48,T180371,1997,0.9950,p8@FAM83A,e:84985,h:28210,,FAM83A,"family with sequence similarity 83 member A","gene with protein product"
49,T138639,1998,0.9945,p1@INTS12,e:57117,h:25067,"Q96CB8,C9J0M6,C9JDP3,E9PGI3,D6R9Y5",INTS12,"integrator complex subunit 12","gene with protein product"
50,T057553,1996,0.9945,p3@DUSP14,e:11072,h:17007,O95147,DUSP14,"dual specificity phosphatase 14","gene with protein product"
51,T073118,2001,0.9940,p6@USF2,e:7392,h:12594,"Q15853,Q6YI47",USF2,"upstream transcription factor 2, c-fos interacting","gene with protein product"
52,T004967,1995,0.9940,p4@AKR1E2,e:83592,h:23437,G3V1C1,AKR1E2,"aldo-keto reductase family 1 member E2","gene with protein product"
53,T097507,1992,0.9940,p3@ENO1-IT1,,h:41331,,ENO1-IT1,"ENO1 intronic transcript 1","RNA, long non-coding"
54,T016369,1994,0.9935,p11@FKBP2,e:2286,h:3718,"P26885,Q53XJ5",FKBP2,"FK506 binding protein 2","gene with protein product"
55,T193745,2001,0.9931,p3@PTAR1,e:375743,h:30449,Q7Z6K3,PTAR1,"protein prenyltransferase alpha subunit repeat containing 1","gene with protein product"
56,T114718,1993,0.9930,p4@DCAF17,e:80067,h:25784,"Q5H9S7,F5H7W1",DCAF17,"DDB1 and CUL4 associated factor 17","gene with protein product"
57,T086745,1991,0.9930,p3@TMEM52,e:339456,h:27916,,TMEM52,"transmembrane protein 52","gene with protein product"
58,T109391,1995,0.9920,p3@POLDIP3,e:84271,h:23782,"Q6R954,F8WEE2",POLDIP3,"DNA polymerase delta interacting protein 3","gene with protein product"
59,T092127,1993,0.9915,p10@SMYD3,e:64754,h:15513,A8MXR1,SMYD3,"SET and MYND domain containing 3","gene with protein product"
60,T179173,1991,0.9910,p23@YWHAZ,e:7534,h:12855,"D0PNI1,P63104",YWHAZ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta","gene with protein product"
61,T018171,1999,0.9906,p14@ARAP1,e:116985,h:16925,Q96P48,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1","gene with protein product"
62,T138739,1983,0.9895,p3@HADH,e:3033,h:4799,Q16836,HADH,"hydroxyacyl-CoA dehydrogenase","gene with protein product"
63,T173139,1987,0.9890,p3@RNF32,e:140545,h:17118,C9JXI4,RNF32,"ring finger protein 32","gene with protein product"
64,T018661,1987,0.9886,p17@PPFIBP2,e:8495,h:9250,,PPFIBP2,"PPFIA binding protein 2","gene with protein product"
65,T184784,1986,0.9881,p11@ANK1,e:286,h:492,"P16157,E7EVX7,B3KX39",ANK1,"ankyrin 1","gene with protein product"
66,T065734,1982,0.9880,p1@PIEZO2,e:63895,h:26270,,PIEZO2,"piezo type mechanosensitive ion channel component 2","gene with protein product"
67,T126266,1980,0.9880,p6@MRPS5,e:64969,h:14498,P82675,MRPS5,"mitochondrial ribosomal protein S5","gene with protein product"
68,T122730,1987,0.9876,p2@THUMPD2,e:80745,h:14890,E7EUG5,THUMPD2,"THUMP domain containing 2","gene with protein product"
69,T004411,1981,0.9875,p12@CREM,e:1390,h:2352,Q96AG7,CREM,"cAMP responsive element modulator","gene with protein product"
70,T041385,1983,0.9871,p2@CCDC88C,e:440193,h:19967,,CCDC88C,"coiled-coil domain containing 88C","gene with protein product"
71,T071400,1979,0.9870,p10@IFI30,e:10437,h:5398,,IFI30,"IFI30, lysosomal thiol reductase","gene with protein product"
72,T132487,1988,0.9866,p18@SATB1,e:6304,h:10541,C9JLL5,SATB1,"SATB homeobox 1","gene with protein product"
73,T103325,1983,0.9866,p1@HAR1B,e:768097,h:33118,,HAR1B,"highly accelerated region 1B (non-protein coding)","RNA, long non-coding"
74,T184230,1980,0.9865,p3@UBXN8,,h:30307,,UBXN8,"UBX domain protein 8","gene with protein product"
75,T193059,1976,0.9865,p2@MSMP,e:692094,h:29663,,MSMP,"microseminoprotein, prostate associated","gene with protein product"
76,T106728,1985,0.9861,p5@PI4KA,e:5297,h:8983,,PI4KA,"phosphatidylinositol 4-kinase alpha","gene with protein product"
77,T156570,1979,0.9856,p4@BRD9,e:65980,h:25818,F2Z2E8,BRD9,"bromodomain containing 9","gene with protein product"
78,T076499,1979,0.9851,p1@PLEKHA4,e:57664,h:14339,Q9H4M7,PLEKHA4,"pleckstrin homology domain containing A4","gene with protein product"
79,T067545,1978,0.9851,p1@SNORD58A,e:26791,h:10208,,SNORD58A,"small nucleolar RNA, C/D box 58A","RNA, small nucleolar"
80,T053750,1979,0.9846,p1@TXNL4B,e:54957,h:26041,Q9NX01,TXNL4B,"thioredoxin like 4B","gene with protein product"
81,T156645,1977,0.9836,p11@ARRDC3,e:57561,h:29263,,ARRDC3,"arrestin domain containing 3","gene with protein product"
82,T145626,1981,0.9822,p2@THAP6,e:152815,h:23189,"D6REQ5,Q5JPC6,Q8TBB0",THAP6,"THAP domain containing 6","gene with protein product"
83,T193542,1978,0.9821,p3@UHRF2,e:115426,h:12557,,UHRF2,"ubiquitin like with PHD and ring finger domains 2","gene with protein product"
84,T187666,1970,0.9821,p6@NCBP1,e:4686,h:7658,Q09161,NCBP1,"nuclear cap binding protein subunit 1","gene with protein product"
85,T047165,1970,0.9816,p4@MEX3B,e:84206,h:25297,Q6ZN04,MEX3B,"mex-3 RNA binding family member B","gene with protein product"
86,T101357,1967,0.9815,p2@ZSWIM1,e:90204,h:16155,Q9BR11,ZSWIM1,"zinc finger SWIM-type containing 1","gene with protein product"
87,T055801,1968,0.9811,p4@WDR81,e:124997,h:26600,,WDR81,"WD repeat domain 81","gene with protein product"
88,T113737,1972,0.9801,p6@GALNT5,e:11227,h:4127,Q7Z7M9,GALNT5,"polypeptide N-acetylgalactosaminyltransferase 5","gene with protein product"
89,T020318,1970,0.9801,p4@C12orf73,e:728568,h:34450,,C12orf73,"chromosome 12 open reading frame 73","gene with protein product"
90,T004599,1968,0.9801,p1@SEPT7L,e:285961,h:30810,F2Z3D3,SEPT7P9,"septin 7 pseudogene 9",pseudogene
91,T079482,1968,0.9791,p4@ELANE,e:1991,h:3309,P08246,ELANE,"elastase, neutrophil expressed","gene with protein product"
92,T025638,1967,0.9791,p2@TROAP,e:10024,h:12327,F8W1E3,TROAP,"trophinin associated protein","gene with protein product"
93,T118906,1964,0.9791,p9@PNKD,e:25953,h:9153,,PNKD,"paroxysmal nonkinesigenic dyskinesia","gene with protein product"
94,T044224,1969,0.9786,p3@C15orf33,e:196951,h:26543,Q96M60,FAM227B,"family with sequence similarity 227 member B","gene with protein product"
95,T137417,1965,0.9786,p2@SHQ1,e:55164,h:25543,F8WDZ9,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor","gene with protein product"
96,T025154,1964,0.9786,p4@ARID2,e:196528,h:18037,E7ENG3,ARID2,"AT-rich interaction domain 2","gene with protein product"
97,T004258,1962,0.9786,p5@EPC1,e:80314,h:19876,,EPC1,"enhancer of polycomb homolog 1","gene with protein product"
98,T065896,1963,0.9781,p3@CEP192,e:55125,h:25515,"Q8TEP8,E9PF99,B7ZMF0,Q9HCK3",CEP192,"centrosomal protein 192","gene with protein product"
99,T127204,1958,0.9780,p2@KIAA1524,e:57650,h:29302,Q8TCG1,KIAA1524,KIAA1524,"gene with protein product"
100,T196646,1970,0.9777,p5@MSL3,e:10943,h:7370,B7Z227,MSL3,"male-specific lethal 3 homolog (Drosophila)","gene with protein product"
101,T152705,1968,0.9776,p2@RAB24,e:53917,h:9765,"D6RFW3,Q969Q5",RAB24,"RAB24, member RAS oncogene family","gene with protein product"
102,T161155,1966,0.9776,p18@SYNJ2,e:8871,h:11504,O15056,SYNJ2,"synaptojanin 2","gene with protein product"
103,T027773,1966,0.9776,p1@MIRLET7I,e:406891,h:31486,,MIRLET7I,"microRNA let-7i","RNA, micro"
104,T199899,1965,0.9766,p9@CDK16,e:5127,h:8749,,CDK16,"cyclin dependent kinase 16","gene with protein product"
105,T024337,1961,0.9766,p3@KLHDC5,e:57542,h:29252,Q9P2K6,KLHL42,"kelch like family member 42","gene with protein product"
106,T060039,1960,0.9761,p15@UBE2Z,e:65264,h:25847,Q9H832,UBE2Z,"ubiquitin conjugating enzyme E2 Z","gene with protein product"
107,T193037,1960,0.9761,p4@TLN1,e:7094,h:11845,,TLN1,"talin 1","gene with protein product"
108,T148322,1959,0.9756,p3@MARCH3,e:115123,h:28728,Q86UD3,MARCH3,"membrane associated ring-CH-type finger 3","gene with protein product"
109,T195210,1955,0.9751,p20@PTCH1,e:5727,h:9585,"Q13635,F5H3A7,Q59FG5",PTCH1,"patched 1","gene with protein product"
110,T048669,1953,0.9750,p2@RMI2,e:116028,h:28349,Q96E14,RMI2,"RecQ mediated genome instability 2","gene with protein product"
111,T153556,1952,0.9741,p6@ZFR,e:51663,h:17277,,ZFR,"zinc finger RNA binding protein","gene with protein product"
112,T187713,1959,0.9737,p5@ANP32B,e:10541,h:16677,,ANP32B,"acidic nuclear phosphoprotein 32 family member B","gene with protein product"
113,T097906,1955,0.9736,p6@HES4,e:57801,h:24149,,HES4,"hes family bHLH transcription factor 4","gene with protein product"
114,T160095,1955,0.9731,p13@AIG1,e:51390,h:21607,,AIG1,"androgen induced 1","gene with protein product"
115,T031656,1952,0.9731,p2@DCUN1D2,e:55208,h:20328,"Q6PH85,C9J2J1",DCUN1D2,"defective in cullin neddylation 1 domain containing 2","gene with protein product"
116,T106887,1954,0.9721,p2@ZNF280B,e:140883,h:23022,Q86YH2,ZNF280B,"zinc finger protein 280B","gene with protein product"
117,T109610,1945,0.9710,p15@PRR5,e:55615,h:31682,,PRR5,"proline rich 5","gene with protein product"
118,T126785,1950,0.9706,p2@FANCD2,e:2177,h:3585,Q9BXW9,FANCD2,"Fanconi anemia complementation group D2","gene with protein product"
119,T082163,1948,0.9696,p3@ADAMTSL4,e:54507,h:19706,,ADAMTSL4,"ADAMTS like 4","gene with protein product"
120,T172205,1948,0.9696,p24@ZYX,e:7791,h:13200,,ZYX,zyxin,"gene with protein product"
121,T062031,1946,0.9696,p16@HELZ,e:9931,h:16878,,HELZ,"helicase with zinc finger","gene with protein product"
122,T190973,1948,0.9692,p2@LINC00094,e:266655,h:24742,,LINC00094,"long intergenic non-protein coding RNA 94","RNA, long non-coding"
123,T144536,1946,0.9691,p2@REST,e:5978,h:9966,Q13127,REST,"RE1 silencing transcription factor","gene with protein product"
124,T196791,1946,0.9691,p2@NKAPP1,e:158801,h:26706,,NKAPP1,"NFKB activating protein pseudogene 1",pseudogene
125,T200456,1947,0.9687,p2@GNL3L,e:54552,h:25553,,GNL3L,"G protein nucleolar 3 like","gene with protein product"
126,T192752,1946,0.9682,p3@NUDT2,e:318,h:8049,P50583,NUDT2,"nudix hydrolase 2","gene with protein product"
127,T168288,1943,0.9681,p2@RNGTT,e:8732,h:10073,Q5TCW7,RNGTT,"RNA guanylyltransferase and 5'-phosphatase","gene with protein product"
128,T041009,1941,0.9671,p5@STON2,e:85439,h:30652,"G3V2T7,Q59H11",STON2,"stonin 2","gene with protein product"
129,T158204,1941,0.9671,p5@RWDD1,e:51389,h:20993,E5RGQ3,RWDD1,"RWD domain containing 1","gene with protein product"
130,T080803,1937,0.9661,p3@HIPK1,e:204851,h:19006,"Q5SQL3,Q86Z02,B4DZ33",HIPK1,"homeodomain interacting protein kinase 1","gene with protein product"
131,T030400,1944,0.9657,p15@SOCS2,e:8835,h:19382,O14508,SOCS2,"suppressor of cytokine signaling 2","gene with protein product"
132,T008524,1942,0.9652,p4@ZNF518A,e:9849,h:29009,NA,ZNF518A,"zinc finger protein 518A","gene with protein product"
133,T163546,1938,0.9651,p9@HCG18,e:414777,h:31337,,HCG18,"HLA complex group 18 (non-protein coding)","RNA, long non-coding"
134,T091063,1939,0.9647,p8@KCNK1,e:3775,h:6272,,KCNK1,"potassium two pore domain channel subfamily K member 1","gene with protein product"
135,T079239,1936,0.9637,p2@C19orf59,e:199675,h:27291,Q8IX19,MCEMP1,"mast cell expressed membrane protein 1","gene with protein product"
136,T051483,1936,0.9627,p2@CREBBP,e:1387,h:2348,Q92793,CREBBP,"CREB binding protein","gene with protein product"
137,T008349,1935,0.9622,p3@NOC3L,e:64318,h:24034,,NOC3L,"NOC3 like DNA replication regulator","gene with protein product"
138,T190981,1929,0.9621,p4@BRD3,e:8019,h:1104,Q15059,BRD3,"bromodomain containing 3","gene with protein product"
139,T038257,1929,0.9607,p3@FANCM,e:57697,h:23168,B2RTQ9,FANCM,"Fanconi anemia complementation group M","gene with protein product"
140,T104998,1932,0.9602,p7@PIGP,e:51227,h:3046,P57054,PIGP,"phosphatidylinositol glycan anchor biosynthesis class P","gene with protein product"
141,T110686,1928,0.9602,p8@ODC1,e:4953,h:8109,C9JG30,ODC1,"ornithine decarboxylase 1","gene with protein product"
142,T043654,1927,0.9601,p38@ZFP106,e:64397,h:23240,,NA,NA,NA
143,T132508,1925,0.9596,p4@SATB1,e:6304,h:10541,C9JGL9,SATB1,"SATB homeobox 1","gene with protein product"
144,T060705,1923,0.9591,p3@ZFP3,e:124961,h:12861,Q96NJ6,ZFP3,"ZFP3 zinc finger protein","gene with protein product"
145,T073093,1927,0.9587,p5@HMG20B,e:10362,h:5002,,HMG20B,"high mobility group 20B","gene with protein product"
146,T086255,1926,0.9587,p5@XPR1,e:9213,h:12827,,XPR1,"xenotropic and polytropic retrovirus receptor 1","gene with protein product"
147,T002104,1923,0.9586,p5@OAT,e:4942,h:8091,,OAT,"ornithine aminotransferase","gene with protein product"
148,T170591,1923,0.9586,p3@PRRT4,e:401399,h:37280,"C9JH25,C9JWH6",PRRT4,"proline rich transmembrane protein 4","gene with protein product"
149,T080851,1924,0.9572,p2@TRIM33,e:51592,h:16290,"Q9UPN9,B3KN30",TRIM33,"tripartite motif containing 33","gene with protein product"
