Hs-TMEM39B,2000,1000,T093440-TMEM39B,"p2@TMEM39B"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T056274,2008,1.0000,p4@USP22,e:23326,h:12621,Q9UPT9,USP22,"ubiquitin specific peptidase 22","gene with protein product"
2,T140258,2006,1.0000,p7@HHIP,e:64399,h:14866,,HHIP,"hedgehog interacting protein","gene with protein product"
3,T065594,2011,1.0000,p1@TIMM22,e:29928,h:17317,Q9Y584,TIMM22,"translocase of inner mitochondrial membrane 22","gene with protein product"
4,T021854,2004,0.9995,p2@GCN1L1,e:10985,h:4199,Q92616,GCN1,"GCN1, eIF2 alpha kinase activator homolog","gene with protein product"
5,T168626,2004,0.9995,p3@PPP1R35,e:221908,h:28320,,PPP1R35,"protein phosphatase 1 regulatory subunit 35","gene with protein product"
6,T032612,2003,0.9995,p9@FRY,e:10129,h:20367,F5H4D2,FRY,"FRY microtubule binding protein","gene with protein product"
7,T089643,2013,0.9990,p7@ECE1,e:1889,h:3146,,ECE1,"endothelin converting enzyme 1","gene with protein product"
8,T083317,2008,0.9990,p4@FDPS,e:2224,h:3631,P14324,FDPS,"farnesyl diphosphate synthase","gene with protein product"
9,T015479,2008,0.9990,p2@PRPF19,e:27339,h:17896,F5H2I0,PRPF19,"pre-mRNA processing factor 19","gene with protein product"
10,T040490,2002,0.9990,p1@EIF2B2,e:8892,h:3258,"P49770,G3V5E5,Q53XC2",EIF2B2,"eukaryotic translation initiation factor 2B subunit beta","gene with protein product"
11,T096128,2001,0.9990,p2@PLEKHG5,e:57449,h:29105,F5GZ21,PLEKHG5,"pleckstrin homology and RhoGEF domain containing G5","gene with protein product"
12,T015488,2010,0.9985,p6@TMEM109,e:79073,h:28771,Q9BVC6,TMEM109,"transmembrane protein 109","gene with protein product"
13,T140257,2001,0.9985,p1@HHIP,e:64399,h:14866,,HHIP,"hedgehog interacting protein","gene with protein product"
14,T107187,2006,0.9980,p4@C22orf13,e:83606,h:14237,B5MCF3,GUCD1,"guanylyl cyclase domain containing 1","gene with protein product"
15,T022376,2003,0.9980,p4@ARL6IP4,e:51329,h:18076,"Q66PJ3,B3V0L0",ARL6IP4,"ADP ribosylation factor like GTPase 6 interacting protein 4","gene with protein product"
16,T075868,2002,0.9980,p1@PPP5C,e:5536,h:9322,B4DDZ8,PPP5C,"protein phosphatase 5 catalytic subunit","gene with protein product"
17,T011270,2002,0.9975,p1@ROBO4,e:54538,h:17985,"F8W857,B4DYV8",ROBO4,"roundabout guidance receptor 4","gene with protein product"
18,T029465,2005,0.9970,p17@PAWR,e:5074,h:8614,,PAWR,"pro-apoptotic WT1 regulator","gene with protein product"
19,T061788,2003,0.9970,p2@ICAM2,e:3384,h:5345,"P13598,Q6FHE2",ICAM2,"intercellular adhesion molecule 2","gene with protein product"
20,T089006,2002,0.9970,p2@PLXNA2,e:5362,h:9100,O75051,PLXNA2,"plexin A2","gene with protein product"
21,T071080,2000,0.9970,p2@TCF3,e:6929,h:11633,P15923,TCF3,"transcription factor 3","gene with protein product"
22,T061953,2004,0.9965,p3@FAM57A,e:79850,h:29646,,FAM57A,"family with sequence similarity 57 member A","gene with protein product"
23,T133321,2000,0.9965,p1@FAM43A,e:131583,h:26888,Q8N2R8,FAM43A,"family with sequence similarity 43 member A","gene with protein product"
24,T026468,1998,0.9965,p2@C12orf10,e:60314,h:17590,F8VQQ3,C12orf10,"chromosome 12 open reading frame 10","gene with protein product"
25,T071604,1997,0.9965,p4@KXD1,e:79036,h:28420,,KXD1,"KxDL motif containing 1","gene with protein product"
26,T174410,2000,0.9960,p3@HOXA7,e:3204,h:5108,,HOXA7,"homeobox A7","gene with protein product"
27,T188712,2000,0.9955,p2@RGS3,e:5998,h:9999,B3KUB2,RGS3,"regulator of G-protein signaling 3","gene with protein product"
28,T002739,2000,0.9955,p3@MTG1,e:92170,h:32159,Q9BT17,MTG1,"mitochondrial ribosome associated GTPase 1","gene with protein product"
29,T133346,1996,0.9945,p2@XXYLT1,e:152002,h:26639,Q8NBI6,XXYLT1,"xyloside xylosyltransferase 1","gene with protein product"
30,T030612,1996,0.9945,p3@ELK3,e:2004,h:3325,F8VUJ0,ELK3,"ELK3, ETS transcription factor","gene with protein product"
31,T106619,1995,0.9940,p3@TXNRD2,,h:18155,,TXNRD2,"thioredoxin reductase 2","gene with protein product"
32,T063881,1993,0.9935,p1@TP53,e:7157,h:11998,"E7ERV1,P04637,E7ESS1",TP53,"tumor protein p53","gene with protein product"
33,T015916,1993,0.9930,p2@EEF1G,e:1937,h:3213,"P26641,Q53YD7",EEF1G,"eukaryotic translation elongation factor 1 gamma","gene with protein product"
34,T140250,1995,0.9925,p10@HHIP,e:64399,h:14866,Q96QV1,HHIP,"hedgehog interacting protein","gene with protein product"
35,T052855,1994,0.9925,p3@CDH5,e:1003,h:1764,P33151,CDH5,"cadherin 5","gene with protein product"
36,T021853,1989,0.9920,p3@GCN1L1,e:10985,h:4199,Q92616,GCN1,"GCN1, eIF2 alpha kinase activator homolog","gene with protein product"
37,T164906,1992,0.9915,p3@HMGA1,"e:100130009,e:3159",h:5010,,HMGA1,"high mobility group AT-hook 1","gene with protein product"
38,T082823,1990,0.9915,p4@S100A16,e:140576,h:20441,Q96FQ6,S100A16,"S100 calcium binding protein A16","gene with protein product"
39,T081976,1993,0.9910,p2@HIST2H2BF,e:440689,h:24700,Q5QNW6,HIST2H2BF,"histone cluster 2 H2B family member f","gene with protein product"
40,T149416,1991,0.9910,p1@ECSCR,e:641700,h:35454,"Q19T08,C3RSF2",ECSCR,"endothelial cell surface expressed chemotaxis and apoptosis regulator","gene with protein product"
41,T175353,1984,0.9900,p6@RALA,e:5898,h:9839,P11233,RALA,"RAS like proto-oncogene A","gene with protein product"
42,T094608,1996,0.9896,p1@TIE1,e:7075,h:11809,Q9HBS4,TIE1,"tyrosine kinase with immunoglobulin like and EGF like domains 1","gene with protein product"
43,T093441,1989,0.9881,p1@TMEM39B,e:55116,h:25510,"Q5VVU5,B4DQE6,B4DTN8,F8WB89,B4DKN8",TMEM39B,"transmembrane protein 39B","gene with protein product"
44,T015490,1980,0.9880,p2@TMEM109,e:79073,h:28771,E7ETZ3,TMEM109,"transmembrane protein 109","gene with protein product"
45,T052854,1980,0.9880,p2@CDH5,e:1003,h:1764,P33151,CDH5,"cadherin 5","gene with protein product"
46,T006748,1979,0.9870,p2@DNAJC9,e:23234,h:19123,"B2RMW6,Q8WXX5",DNAJC9,"DnaJ heat shock protein family (Hsp40) member C9","gene with protein product"
47,T053969,1982,0.9856,p4@BCAR1,e:9564,h:971,"F8WA69,P56945,Q6QEF7,B2RBL9,B4DIW5",BCAR1,"BCAR1, Cas family scaffolding protein","gene with protein product"
48,T057256,1975,0.9855,p2@RAD51D,e:5892,h:9823,,RAD51D,"RAD51 paralog D","gene with protein product"
49,T056176,1975,0.9850,p2@OVCA2,e:124641,h:24203,Q8WZ82,OVCA2,"ovarian tumor suppressor candidate 2","gene with protein product"
50,T052671,1982,0.9841,p1@GINS3,e:64785,h:25851,Q9BRX5,GINS3,"GINS complex subunit 3","gene with protein product"
51,T068487,1973,0.9826,p1@TYMS,e:7298,h:12441,"Q8WYK3,Q8WYK4",TYMS,"thymidylate synthetase","gene with protein product"
52,T140251,1968,0.9825,p15@HHIP,e:64399,h:14866,Q96QV1,HHIP,"hedgehog interacting protein","gene with protein product"
53,T060099,1974,0.9821,p2@ABI3,e:51225,h:29859,Q9P2A4,ABI3,"ABI family member 3","gene with protein product"
54,T167876,1968,0.9820,p1@BMP6,e:654,h:1073,B4DUF7,BMP6,"bone morphogenetic protein 6","gene with protein product"
55,T083165,1972,0.9816,p19@SHC1,e:6464,h:10840,Q5T188,SHC1,"SHC adaptor protein 1","gene with protein product"
56,T070081,1974,0.9811,p4@DHPS,e:1725,h:2869,,DHPS,"deoxyhypusine synthase","gene with protein product"
57,T140264,1972,0.9811,p8@HHIP,e:64399,h:14866,,HHIP,"hedgehog interacting protein","gene with protein product"
58,T089645,1970,0.9811,p9@ECE1,e:1889,h:3146,P42892,ECE1,"endothelin converting enzyme 1","gene with protein product"
59,T133320,1964,0.9810,p2@FAM43A,e:131583,h:26888,Q8N2R8,FAM43A,"family with sequence similarity 43 member A","gene with protein product"
60,T076470,1971,0.9801,p2@RASIP1,e:54922,h:24716,"Q5U651,Q7L251,Q8IUR2",RASIP1,"Ras interacting protein 1","gene with protein product"
61,T071815,1966,0.9801,p5@RFXANK,e:8625,h:9987,,RFXANK,"regulatory factor X associated ankyrin containing protein","gene with protein product"
62,T093203,1969,0.9791,p3@SRSF4,e:6429,h:10786,Q08170,SRSF4,"serine and arginine rich splicing factor 4","gene with protein product"
63,T167086,1963,0.9781,p2@NRN1,e:51299,h:17972,,NRN1,"neuritin 1","gene with protein product"
64,T198589,1968,0.9772,p2@BMX,e:660,h:1079,P51813,BMX,"BMX non-receptor tyrosine kinase","gene with protein product"
65,T074126,1965,0.9771,p2@RPS16,e:6217,h:10396,Q6IPX4,RPS16,"ribosomal protein S16","gene with protein product"
66,T005057,1965,0.9752,p7@WDFY4,e:57705,h:29323,,WDFY4,"WDFY family member 4","gene with protein product"
67,T011271,1953,0.9736,p3@ROBO4,e:54538,h:17985,Q8WZ75,ROBO4,"roundabout guidance receptor 4","gene with protein product"
68,T045853,1964,0.9732,p2@FEM1B,e:10116,h:3649,Q9UK73,FEM1B,"fem-1 homolog B","gene with protein product"
69,T149415,1951,0.9721,p2@ECSCR,e:641700,h:35454,"C3RSF2,Q19T08",ECSCR,"endothelial cell surface expressed chemotaxis and apoptosis regulator","gene with protein product"
70,T015462,1949,0.9721,p1@CCDC86,e:79080,h:28359,,CCDC86,"coiled-coil domain containing 86","gene with protein product"
71,T189832,1947,0.9711,p1@SH2D3C,e:10044,h:16884,,SH2D3C,"SH2 domain containing 3C","gene with protein product"
72,T015491,1951,0.9706,p1@TMEM109,e:79073,h:28771,"E7ETZ3,F5H679",TMEM109,"transmembrane protein 109","gene with protein product"
73,T015919,1950,0.9701,p3@EEF1G,e:1937,h:3213,B4DTG2,EEF1G,"eukaryotic translation elongation factor 1 gamma","gene with protein product"
74,T082875,1948,0.9701,p2@ILF2,e:3608,h:6037,,ILF2,"interleukin enhancer binding factor 2","gene with protein product"
75,T053007,1951,0.9692,p3@NOL3,e:8996,h:7869,Q5TZN6,NOL3,"nucleolar protein 3","gene with protein product"
76,T133313,1946,0.9682,p1@TMEM44,e:93109,h:25120,"Q2T9K0,F8WCY1,B7ZLZ5,E9PGA9",TMEM44,"transmembrane protein 44","gene with protein product"
77,T076053,1939,0.9676,p2@SAE1,e:10055,h:30660,B3KNJ4,SAE1,"SUMO1 activating enzyme subunit 1","gene with protein product"
78,T061787,1943,0.9671,p5@ICAM2,e:3384,h:5345,"P13598,Q6FHE2",ICAM2,"intercellular adhesion molecule 2","gene with protein product"
79,T140259,1943,0.9671,p6@HHIP,e:64399,h:14866,,HHIP,"hedgehog interacting protein","gene with protein product"
80,T140256,1940,0.9666,p3@HHIP,e:64399,h:14866,,HHIP,"hedgehog interacting protein","gene with protein product"
81,T078327,1941,0.9657,p4@ZNF580,e:51157,h:29473,Q9UK33,ZNF580,"zinc finger protein 580","gene with protein product"
82,T047501,1938,0.9656,p3@AEN,e:64782,h:25722,,AEN,"apoptosis enhancing nuclease","gene with protein product"
83,T050719,1941,0.9652,p2@INO80E,e:283899,h:26905,Q6Y2K3,INO80E,"INO80 complex subunit E","gene with protein product"
84,T172658,1935,0.9646,p10@NOS3,e:4846,h:7876,,NOS3,"nitric oxide synthase 3","gene with protein product"
85,T190016,1935,0.9641,p2@CIZ1,e:25792,h:16744,F6VD24,CIZ1,"CDKN1A interacting zinc finger protein 1","gene with protein product"
86,T104216,1933,0.9626,p8@ATP5J,e:522,h:847,P18859,ATP5J,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6","gene with protein product"
87,T162907,1936,0.9622,p1@HIST1H2BB,e:3018,h:4751,P33778,HIST1H2BB,"histone cluster 1 H2B family member b","gene with protein product"
88,T063635,1929,0.9621,p1@EIF4A1,e:1973,h:3282,"B4E102,B4DKP9",EIF4A1,"eukaryotic translation initiation factor 4A1","gene with protein product"
89,T172556,1927,0.9616,p8@GIMAP6,e:474344,h:21918,"C9J7B6,B4DH95,Q6P9H5",GIMAP6,"GTPase, IMAP family member 6","gene with protein product"
90,T178824,1935,0.9613,p4@BUD31,e:8896,h:29629,P41223,BUD31,"BUD31 homolog","gene with protein product"
91,T100075,1932,0.9612,p5@PROCR,e:10544,h:9452,Q9UNN8,PROCR,"protein C receptor","gene with protein product"
92,T094616,1926,0.9606,p4@CDC20,e:991,h:1723,,CDC20,"cell division cycle 20","gene with protein product"
93,T135538,1927,0.9597,p3@WDR6,e:11180,h:12758,E5RFX3,WDR6,"WD repeat domain 6","gene with protein product"
94,T128338,1926,0.9587,p46@MYLK,e:4638,h:7590,,MYLK,"myosin light chain kinase","gene with protein product"
95,T178287,1924,0.9586,p3@GNG11,e:2791,h:4403,"P61952,Q53Y01",GNG11,"G protein subunit gamma 11","gene with protein product"
96,T167085,1924,0.9586,p3@NRN1,e:51299,h:17972,,NRN1,"neuritin 1","gene with protein product"
97,T050942,1928,0.9583,p1@PRR14,e:78994,h:28458,Q9BWN1,PRR14,"proline rich 14","gene with protein product"
98,T002417,1925,0.9577,p14@PTPRE,e:5791,h:9669,B4DRZ3,PTPRE,"protein tyrosine phosphatase, receptor type E","gene with protein product"
99,T100890,1921,0.9567,p2@TOX2,e:84969,h:16095,,TOX2,"TOX high mobility group box family member 2","gene with protein product"
100,T005058,1922,0.9562,p6@WDFY4,e:57705,h:29323,,WDFY4,"WDFY family member 4","gene with protein product"
101,T130264,1924,0.9558,p40@WWTR1,e:25937,h:24042,,WWTR1,"WW domain containing transcription regulator 1","gene with protein product"
102,T135879,1923,0.9558,p3@HYAL2,e:8692,h:5321,Q12891,HYAL2,"hyaluronoglucosaminidase 2","gene with protein product"
103,T103586,1917,0.9547,p1@SOX18,e:54345,h:11194,P35713,SOX18,"SRY-box 18","gene with protein product"
104,T178912,1914,0.9537,p2@COPS6,e:10980,h:21749,,COPS6,"COP9 signalosome subunit 6","gene with protein product"
105,T029464,1912,0.9536,p40@PAWR,e:5074,h:8614,,PAWR,"pro-apoptotic WT1 regulator","gene with protein product"
106,T095443,1916,0.9532,p1@YIPF1,e:54432,h:25231,Q9Y548,YIPF1,"Yip1 domain family member 1","gene with protein product"
107,T089642,1912,0.9531,p5@ECE1,e:1889,h:3146,,ECE1,"endothelin converting enzyme 1","gene with protein product"
108,T099271,1917,0.9523,p2@SNRPB,e:6628,h:11153,,SNRPB,"small nuclear ribonucleoprotein polypeptides B and B1","gene with protein product"
