Hs-SPG20,2000,1000,T032766-SPG20,"p21@SPG20"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T083683,2010,1.0000,p5@HAPLN2,e:60484,h:17410,"Q9GZV7,Q5T3J0",HAPLN2,"hyaluronan and proteoglycan link protein 2","gene with protein product"
2,T185188,2007,1.0000,p7@ST18,e:9705,h:18695,E5RHS3,ST18,"ST18, C2H2C-type zinc finger","gene with protein product"
3,T100000,2013,0.9990,p19@TP53INP2,e:58476,h:16104,,TP53INP2,"tumor protein p53 inducible nuclear protein 2","gene with protein product"
4,T035845,2007,0.9990,p4@PACS2,e:23241,h:23794,,PACS2,"phosphofurin acidic cluster sorting protein 2","gene with protein product"
5,T181918,2003,0.9990,p9@PTK2,e:5747,h:9611,,PTK2,"protein tyrosine kinase 2","gene with protein product"
6,T046931,2003,0.9990,p4@RASGRF1,e:5923,h:9875,,RASGRF1,"Ras protein specific guanine nucleotide releasing factor 1","gene with protein product"
7,T082048,2006,0.9985,p5@OTUD7B,e:56957,h:16683,Q6GQQ9,OTUD7B,"OTU deubiquitinase 7B","gene with protein product"
8,T139151,2002,0.9985,p5@UGT8,e:7368,h:12555,D6RFW2,UGT8,"UDP glycosyltransferase 8","gene with protein product"
9,T125228,2000,0.9985,p10@RTKN,e:6242,h:10466,,RTKN,rhotekin,"gene with protein product"
10,T130764,2002,0.9980,p4@COLQ,e:8292,h:2226,F8WA67,COLQ,"collagen like tail subunit of asymmetric acetylcholinesterase","gene with protein product"
11,T053482,2011,0.9975,p5@WWP2,e:11060,h:16804,F5H4W2,WWP2,"WW domain containing E3 ubiquitin protein ligase 2","gene with protein product"
12,T142334,2010,0.9975,p2@ENPP6,e:133121,h:23409,Q6UWR7,ENPP6,"ectonucleotide pyrophosphatase/phosphodiesterase 6","gene with protein product"
13,T009580,2004,0.9975,p5@C11orf93,e:120376,h:26978,E9PMJ8,COLCA2,"colorectal cancer associated 2","gene with protein product"
14,T100588,2002,0.9975,p1@SIGLEC1,e:6614,h:11127,Q9BZZ2,SIGLEC1,"sialic acid binding Ig like lectin 1","gene with protein product"
15,T009700,2002,0.9975,p10@CRYAB,e:1410,h:2389,E9PNH7,CRYAB,"crystallin alpha B","gene with protein product"
16,T104581,2003,0.9970,p3@URB1,e:9875,h:17344,,URB1,"URB1 ribosome biogenesis 1 homolog (S. cerevisiae)","gene with protein product"
17,T200277,2002,0.9965,p5@SHROOM4,e:57477,h:29215,Q9ULL8,SHROOM4,"shroom family member 4","gene with protein product"
18,T170437,1999,0.9965,p16@GPR37,e:2861,h:4494,"O15354,A4D0Y6",GPR37,"G protein-coupled receptor 37","gene with protein product"
19,T091839,1997,0.9965,p21@CEP170,e:9859,h:28920,,CEP170,"centrosomal protein 170","gene with protein product"
20,T034431,2004,0.9960,p5@SLAIN1,e:122060,h:26387,C9JP03,SLAIN1,"SLAIN motif family member 1","gene with protein product"
21,T031471,2003,0.9960,p7@ARHGEF7,e:8874,h:15607,E9PDQ5,ARHGEF7,"Rho guanine nucleotide exchange factor 7","gene with protein product"
22,T150420,1997,0.9960,p3@SH3TC2,e:79628,h:29427,Q14CC0,SH3TC2,"SH3 domain and tetratricopeptide repeats 2","gene with protein product"
23,T147988,1999,0.9955,p4@HSD17B4,e:3295,h:5213,,HSD17B4,"hydroxysteroid 17-beta dehydrogenase 4","gene with protein product"
24,T065675,1998,0.9955,p20@GAS7,e:8522,h:4169,"A8KAC2,O60861",GAS7,"growth arrest specific 7","gene with protein product"
25,T005628,1997,0.9955,p59@ANK3,e:288,h:494,Q12955,ANK3,"ankyrin 3","gene with protein product"
26,T039721,1995,0.9955,p6@GPHN,e:10243,h:15465,,GPHN,gephyrin,"gene with protein product"
27,T190120,2000,0.9950,p6@MPDZ,e:8777,h:7208,,MPDZ,"multiple PDZ domain crumbs cell polarity complex component","gene with protein product"
28,T059320,1999,0.9950,p51@GFAP,e:2670,h:4235,,GFAP,"glial fibrillary acidic protein","gene with protein product"
29,T194328,1997,0.9950,p12@FRMD3,e:257019,h:24125,A2A2Y4,FRMD3,"FERM domain containing 3","gene with protein product"
30,T133388,1996,0.9950,p1@APOD,e:347,h:612,"C9JF17,C9JX71",APOD,"apolipoprotein D","gene with protein product"
31,T020919,1999,0.9945,p4@C12orf76,e:400073,h:33790,,C12orf76,"chromosome 12 open reading frame 76","gene with protein product"
32,T002889,1994,0.9940,p6@FAM107B,e:83641,h:23726,Q9H098,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
33,T051852,1995,0.9935,p3@SEC14L5,e:9717,h:29032,,SEC14L5,"SEC14 like lipid binding 5","gene with protein product"
34,T065673,1992,0.9930,p22@GAS7,e:8522,h:4169,"A8KAC2,O60861",GAS7,"growth arrest specific 7","gene with protein product"
35,T151597,1993,0.9925,p1@ATP10B,e:23120,h:13543,O94823,ATP10B,"ATPase phospholipid transporting 10B (putative)","gene with protein product"
36,T119593,1990,0.9910,p8@DOCK10,e:55619,h:23479,,DOCK10,"dedicator of cytokinesis 10","gene with protein product"
37,T083434,1989,0.9910,p35@ARHGEF2,e:9181,h:682,Q5VY93,ARHGEF2,"Rho/Rac guanine nucleotide exchange factor 2","gene with protein product"
38,T062288,1992,0.9906,p4@ABCA8,e:10351,h:38,F5H6Z4,ABCA8,"ATP binding cassette subfamily A member 8","gene with protein product"
39,T170441,1988,0.9905,p6@GPR37,e:2861,h:4494,"O15354,A4D0Y6",GPR37,"G protein-coupled receptor 37","gene with protein product"
40,T039775,1993,0.9901,p3@PLEKHH1,e:57475,h:17733,Q9ULM0,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1","gene with protein product"
41,T183401,1982,0.9885,p2@R3HCC1,e:203069,h:27329,,R3HCC1,"R3H domain and coiled-coil containing 1","gene with protein product"
42,T150419,1985,0.9881,p1@SH3TC2,e:79628,h:29427,"Q8TF17,C9JLC3,D6RFX2,D6RA65",SH3TC2,"SH3 domain and tetratricopeptide repeats 2","gene with protein product"
43,T006061,1982,0.9880,p1@CTNNA3,e:29119,h:2511,"Q5SW23,F2Z2R0,A8K141,Q9UI47,Q8WW10",CTNNA3,"catenin alpha 3","gene with protein product"
44,T039777,1982,0.9875,p4@PLEKHH1,e:57475,h:17733,Q9ULM0,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1","gene with protein product"
45,T063945,1982,0.9875,p6@TMEM235,e:283999,h:27563,,TMEM235,"transmembrane protein 235","gene with protein product"
46,T057247,1982,0.9875,p7@RFFL,e:117584,h:24821,,RFFL,"ring finger and FYVE like domain containing E3 ubiquitin protein ligase","gene with protein product"
47,T092405,1983,0.9871,p5@C1orf130,e:400746,h:29332,,NCMAP,"non-compact myelin associated protein","gene with protein product"
48,T171223,1980,0.9870,p85@CALD1,e:800,h:1441,C9J813,CALD1,"caldesmon 1","gene with protein product"
49,T008331,1980,0.9870,p5@PLCE1,e:51196,h:17175,Q9P212,PLCE1,"phospholipase C epsilon 1","gene with protein product"
50,T083433,1977,0.9860,p8@ARHGEF2,e:9181,h:682,Q5VY93,ARHGEF2,"Rho/Rac guanine nucleotide exchange factor 2","gene with protein product"
51,T189651,1977,0.9860,p7@FAM125B,e:89853,h:23368,Q9H7P6,MVB12B,"multivesicular body subunit 12B","gene with protein product"
52,T125227,1974,0.9855,p4@RTKN,e:6242,h:10466,,RTKN,rhotekin,"gene with protein product"
53,T083687,1979,0.9851,p4@HAPLN2,e:60484,h:17410,,HAPLN2,"hyaluronan and proteoglycan link protein 2","gene with protein product"
