id,label
STOM,STOM
ATP6V1A,ATP6V1A
RAB18,RAB18
RAB1A,RAB1A
BCS1L,BCS1L
ECSIT,ECSIT
RRP9,RRP9
TRMT1,TRMT1
AATF,AATF
DDX21,DDX21
PRIM1,PRIM1
POLA1,POLA1
RNF41,RNF41
RTN4,RTN4
CHPF2,CHPF2
CHPF,CHPF
SRP72,SRP72
SRP19,SRP19
RAB14,RAB14
STC2,STC2
FBN1,FBN1
RAB5C,RAB5C
RAB8A,RAB8A
POFUT1,POFUT1
KDELC1,KDELC1
KDELC2,KDELC2
FKBP7,FKBP7
PPIL3,PPIL3
RBM28,RBM28
DDX10,DDX10
MPHOSPH10,MPHOSPH10
ACTB,ACTB
RHOA,RHOA
ARHGDIA,ARHGDIA
BCKDK,BCKDK
ALDOA,ALDOA
MDN1,MDN1
PLOD2,PLOD2
LOX,LOX
TIMM10,TIMM10
ATP5L,ATP5L
TIMM8B,TIMM8B
NUP88,NUP88
NUP210,NUP210
P4HB,P4HB
FKBP10,FKBP10
SIL1,SIL1
CENPF,CENPF
DNMT1,DNMT1
COL6A1,COL6A1
