"V1","V2"
"BANF2",29.1413
"MAS1",21.8566
"LOC100996579",14.7109
"TRPC5OS",14.2203
"ELSPBP1",10.8707
"UNQ6494",9.538
"TECTB",8.88843
"C3ORF62",8.02582
"LRRC31",7.99129
"CCDC11",7.70955
"MFI2",6.9717
"ZFP1",6.2699
"CNTN3",6.09481
"NTN5",5.98788
"ASCL3",5.96669
"CYP3A4",5.90673
"SPDYE5",5.62445
"SMEK2",5.49374
"PCDHAC1",5.34473
"GHRLOS",5.17347
"CCK",5.04896
"SELV",4.95317
"RRN3P1",4.90726
"LECT2",4.77359
"CCDC42B",4.61092
"C18ORF49",4.59487
"C22ORF24",4.54154
"SPACA7",4.46009
"LOC100506469",4.39987
"DNASE1L2",4.32811
"DEFB123",4.25969
"POTEC",4.1747
"TTTY5",4.06943
"F13B",3.97589
"LOC286382",3.96497
"TULP2",3.95396
"MYLK2",3.81673
"FERD3L",3.67065
"HSD17B7",3.65195
"C19ORF66",3.64261
"STOML3",3.58728
"PCNXL3",3.52088
"FLJ34503",3.5157
"RRAD",3.47942
"ADCK4",3.44932
"RET",3.41178
"KIAA1661",3.39906
"LYG2",3.29183
"LRRC55",3.26233
"C11ORF44",3.21142
"ZFHX4-AS1",3.17664
"ASB17",3.12777
"GBP5",3.11701
"SPDYE7P",3.07765
"AGPAT9",3.0725
"LGALS9C",3.0525
"NEUROD4",3.03993
"FOXD4",2.99713
"GGT2",2.95663
"LOC100505878",2.94184
"C17ORF98",2.92651
"SLC26A3",2.91309
"HYAL4",2.89933
"SLCO1B7",2.89715
"PRO1804",2.88686
"RPA4",2.86682
"LOC100133131",2.86072
"LINC00518",2.79198
"CSAG2",2.74395
"IFITM4P",2.74308
"ZNF541",2.66347
"METTL2A",2.66256
"CCDC67",2.62398
"LOC729652",2.57263
"GAGE7",2.52567
"APOF",2.51432
"FLJ21408",2.45894
"GFRA4",2.44348
"CLDND2",2.41458
"TPTE2P2",2.40551
"PRO2852",2.38193
"LOC644135",2.36542
"LOC388242",2.36532
"LOC100507217",2.30496
"LOC100131929",2.2915
"C4ORF22",2.25797
"BLID",2.20815
"SUN5",2.17446
"LOC100505592",2.16723
"RNF183",2.13921
"LOC100507639",2.13036
"LOC158960",2.12023
"LOC389705",2.1076
"LOC100131510",2.0698
"FHDC1",2.0457
"TAC3",2.04518
"DPCR1",2.01136
"TRIM64",2.00832
"GPR116",1.99342
"KLHDC7B",1.98214
