Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,modularity_class,clustering,triangles,Weighted Degree
6880,STOM,,6,0.284307,0.303234,610587.901166,105,20,0,0,1
1233,CEP112,,7,0.257912,0.270801,19146.465646,11,21,0,0,1
5599,RAB18,,6,0.310184,0.330396,841176.823596,169,4,0.003099,44,5
6145,SCAP,,6,0.314694,0.335613,873287.383044,183,0,0.003303,55,5
7313,TMEM39B,,6,0.316443,0.334099,827241.525059,176,0,0.000065,1,3
4470,NDUFAF1,,7,0.286561,0.303182,309414.588778,71,6,0.00161,4,2
1894,DNAJC11,,6,0.324206,0.343146,917452.005802,180,6,0.003042,49,6
5584,QSOX2,,7,0.300582,0.318226,491871.189723,110,17,0.001668,10,4
2786,GORASP1,,6,0.305296,0.32511,825619.433651,173,2,0.000067,1,3
860,C20orf4,,7,0.259726,0.273585,7943.767124,14,0,0,0,2
678,BCS1L,,6,0.330182,0.352242,1141371.762596,216,0,0.005082,118,9
7003,TARS2,,6,0.290112,0.306208,276457.106586,75,17,0,0,0
7407,TOR1A,,7,0.324827,0.345711,1210134.051617,206,2,0.0018,38,4
6054,RRP9,,5,0.324852,0.345101,945665.416143,202,0,0.003547,72,7
6097,SAAL1,,5,0.299111,0.317477,450764.858031,119,17,0.007121,50,3
6451,SLC30A9,,6,0.320964,0.340297,983280.205657,159,7,0.002468,31,6
12,AASS,,7,0.238899,0.252217,185057.343045,36,11,0,0,0
13,AATF,,6,0.302375,0.317942,470118.327432,95,6,0.006047,27,3
202,AGPS,,6,0.29245,0.309849,506596.273198,86,3,0.008208,30,3
1766,DDX21,,6,0.294762,0.31023,343288.387073,83,6,0.004996,17,3
2869,GRPEL1,,6,0.307056,0.322618,584503.028851,111,6,0.002621,16,5
2043,ECSIT,,6,0.31941,0.34138,1106475.40795,223,0,0.001737,43,3
5202,PMPCA,,6,0.301695,0.317122,408004.16003,76,0,0.003158,9,2
5378,PRIM1,,6,0.306411,0.328563,925582.709051,186,17,0.004301,74,5
1250,CEP68,,6,0.304458,0.323871,1034937.889426,172,11,0,0,0
7742,UPF1,,6,0.314753,0.337173,982531.852411,200,2,0.003317,66,5
5507,PTBP2,,6,0.311965,0.330905,900842.905467,150,7,0.002953,33,5
7839,VPS11,,5,0.326345,0.348422,1688337.799914,273,2,0.000215,8,2
2608,FYCO1,,7,0.250181,0.264462,137331.25574,31,6,0,0,0
5885,RNF41,,7,0.324637,0.342879,1141716.752031,200,20,0.001156,23,10
5203,PMPCB,,5,0.310613,0.329477,1105258.071336,185,8,0.000118,2,2
5090,PIGO,,7,0.302002,0.320009,478462.032495,121,2,0.002342,17,3
1310,CHPF2,,7,0.337557,0.361904,1603412.861073,300,20,0.004482,201,14
3661,LMAN2,,7,0.322934,0.343144,1150088.295035,217,10,0.002091,49,7
5741,RBX1,,6,0.294741,0.314716,741717.553755,140,12,0.000308,3,1
1653,CYB5B,,6,0.281381,0.298057,252690.950557,67,12,0,0,1
2562,FOXRED2,,7,0.27996,0.293816,99673.258046,31,0,0.030108,14,2
6146,SCARB1,,7,0.285302,0.299609,98621.949752,32,2,0.028226,14,3
6783,SRP72,,7,0.299208,0.317382,447893.974868,124,7,0.003672,28,4
270,ALG8,,6,0.299532,0.315548,362846.40195,90,17,0.001748,7,4
2340,FAM162A,,6,0.315805,0.334689,1098065.75862,185,5,0.000059,1,3
3248,IL17RA,,6,0.267078,0.285523,494852.549685,92,3,0.003344,14,1
7643,TYSND1,,7,0.253453,0.266163,101795.624031,25,10,0.01,3,1
4280,MTCH1,,5,0.329006,0.349495,1490685.738691,262,10,0.001111,38,12
7054,TCEB2,,7,0.299176,0.32137,923233.123493,184,10,0.000535,9,3
3998,MFGE8,,7,0.252414,0.266853,102610.137143,35,20,0.016807,10,3
5600,RAB1A,,6,0.304647,0.321573,491862.337965,111,4,0.006552,40,4
2602,FXC1,,5,0.327915,0.346232,1250212.413438,199,8,0.000457,9,4
4642,NPTX1,,7,0.240252,0.256578,398420.247184,62,21,0,0,0
