Source,Target,Type,Id,Label,timeset,Weight
13,202,Undirected,15667,,,1
13,1766,Undirected,15688,,,1
13,2869,Undirected,15701,,,1
103,1310,Undirected,15915,,,1
103,2521,Undirected,15916,,,1
103,4280,Undirected,15917,,,1
103,4598,Undirected,15918,,,1
103,4749,Undirected,15919,,,1
103,4999,Undirected,15920,,,1
103,5122,Undirected,15921,,,1
103,5203,Undirected,15922,,,1
103,5621,Undirected,15923,,,1
103,5812,Undirected,15924,,,1
124,6070,Undirected,15992,,,1
125,5142,Undirected,16013,,,1
125,5546,Undirected,16014,,,1
125,6859,Undirected,16018,,,1
125,8217,Undirected,16019,,,1
202,3248,Undirected,16171,,,1
202,7611,Undirected,16216,,,1
234,7742,Undirected,16304,,,1
234,6614,Undirected,16310,,,1
235,4025,Undirected,16431,,,1
235,5507,Undirected,16451,,,1
235,7742,Undirected,16481,,,1
261,569,Undirected,16528,,,1
261,662,Undirected,16529,,,1
261,852,Undirected,16530,,,1
261,2340,Undirected,16531,,,1
261,4237,Undirected,16532,,,1
261,4280,Undirected,16533,,,1
261,5966,Undirected,16534,,,1
261,7313,Undirected,16535,,,1
261,7742,Undirected,16536,,,1
261,7054,Undirected,16537,,,1
268,2231,Undirected,16568,,,1
268,2257,Undirected,16569,,,1
268,4839,Undirected,16592,,,1
268,6348,Undirected,16623,,,1
268,6495,Undirected,16628,,,1
268,7710,Undirected,16649,,,1
270,2613,Undirected,16683,,,1
270,6488,Undirected,16730,,,1
270,7336,Undirected,16737,,,1
270,7710,Undirected,16740,,,1
362,4839,Undirected,16918,,,1
362,1310,Undirected,16921,,,1
362,2521,Undirected,16923,,,1
362,2678,Undirected,16924,,,1
362,4280,Undirected,16925,,,1
362,4999,Undirected,16926,,,1
427,569,Undirected,17028,,,1
427,1310,Undirected,17029,,,1
427,2521,Undirected,17031,,,1
427,4280,Undirected,17032,,,1
427,5122,Undirected,17034,,,1
427,5621,Undirected,17035,,,1
427,5812,Undirected,17036,,,1
427,5885,Undirected,17037,,,1
427,7996,Undirected,17038,,,1
566,4749,Undirected,17301,,,1
566,5563,Undirected,17302,,,1
566,5966,Undirected,17303,,,1
566,7164,Undirected,17304,,,1
569,2793,Undirected,17343,,,1
569,4280,Undirected,17344,,,1
569,4508,Undirected,17345,,,1
569,4736,Undirected,17346,,,1
576,5600,Undirected,17365,,,1
576,6451,Undirected,17366,,,1
576,6880,Undirected,17367,,,1
678,1068,Undirected,17659,,,1
678,1967,Undirected,17670,,,1
678,2043,Undirected,17672,,,1
678,3276,Undirected,17699,,,1
678,5966,Undirected,17757,,,1
678,6054,Undirected,17760,,,1
678,6347,Undirected,17765,,,1
678,2283,Undirected,17806,,,1
678,6488,Undirected,17835,,,1
735,3095,Undirected,17980,,,1
735,6614,Undirected,17998,,,1
769,5132,Undirected,18127,,,1
852,4237,Undirected,18320,,,1
860,1068,Undirected,18362,,,1
860,7996,Undirected,18369,,,1
1068,5563,Undirected,18724,,,1
1068,5966,Undirected,18725,,,1
1068,6054,Undirected,18726,,,1
1068,6882,Undirected,18727,,,1
1068,7164,Undirected,18728,,,1
1068,7313,Undirected,18729,,,1
1219,1926,Undirected,19003,,,1
1219,5225,Undirected,19024,,,1
1219,5379,Undirected,19061,,,1
1219,6578,Undirected,19062,,,1
1219,7660,Undirected,19063,,,1
1233,5225,Undirected,19098,,,1
1242,5721,Undirected,19135,,,1
1309,2793,Undirected,19408,,,1
1309,4839,Undirected,19414,,,1
1309,3998,Undirected,19424,,,1
1309,1310,Undirected,19431,,,1
1309,5221,Undirected,19432,,,1
1310,2514,Undirected,19453,,,1
1310,5221,Undirected,19496,,,1
1310,7407,Undirected,19528,,,1
1310,7996,Undirected,19535,,,1
1310,1967,Undirected,19559,,,1
1310,2521,Undirected,19568,,,1
1310,3095,Undirected,19576,,,1
1310,4839,Undirected,19610,,,1
1310,5301,Undirected,19625,,,1
1310,5546,Undirected,19631,,,1
1456,2514,Undirected,19948,,,1
1456,2521,Undirected,19961,,,1
1577,5766,Undirected,20168,,,1
1577,4280,Undirected,20175,,,1
1644,6070,Undirected,20299,,,1
1644,5507,Undirected,20306,,,1
1644,5726,Undirected,20307,,,1
1644,6451,Undirected,20308,,,1
1644,6780,Undirected,20309,,,1
1644,6783,Undirected,20310,,,1
1653,5625,Undirected,20328,,,1
1655,5546,Undirected,20377,,,1
1655,2786,Undirected,20378,,,1
1655,3998,Undirected,20379,,,1
1655,5812,Undirected,20380,,,1
1655,5885,Undirected,20381,,,1
1655,6347,Undirected,20382,,,1
1655,7944,Undirected,20383,,,1
1725,1894,Undirected,20501,,,1
1725,2240,Undirected,20502,,,1
1725,6145,Undirected,20503,,,1
1743,7164,Undirected,20631,,,1
1759,6488,Undirected,20687,,,1
1759,3930,Undirected,20711,,,1
1759,5721,Undirected,20712,,,1
1759,5885,Undirected,20713,,,1
1766,6488,Undirected,20792,,,1
1766,2869,Undirected,20796,,,1
1894,3095,Undirected,21112,,,1
1894,3176,Undirected,21113,,,1
1894,4246,Undirected,21120,,,1
1894,5721,Undirected,21138,,,1
1894,7660,Undirected,21156,,,1
1926,3095,Undirected,21245,,,1
1926,4246,Undirected,21248,,,1
1926,1967,Undirected,21262,,,1
1926,2280,Undirected,21268,,,1
1926,5225,Undirected,21269,,,1
1926,5721,Undirected,21270,,,1
1967,2402,Undirected,21337,,,1
1967,2869,Undirected,21338,,,1
1967,4471,Undirected,21339,,,1
1967,5142,Undirected,21340,,,1
1967,5221,Undirected,21341,,,1
1967,5379,Undirected,21342,,,1
1967,5812,Undirected,21343,,,1
2043,2283,Undirected,21537,,,1
2043,7510,Undirected,21615,,,1
2048,7854,Undirected,21657,,,1
2224,5142,Undirected,21954,,,1
2224,2397,Undirected,21955,,,1
2224,2793,Undirected,21956,,,1
2224,3661,Undirected,21957,,,1
2224,5885,Undirected,21958,,,1
2224,6347,Undirected,21959,,,1
2231,2238,Undirected,21977,,,1
2240,4239,Undirected,22016,,,1
2240,3461,Undirected,22061,,,1
2257,2704,Undirected,22086,,,1
2280,5378,Undirected,22231,,,1
2280,5379,Undirected,22232,,,1
2283,5378,Undirected,22319,,,1
2283,5563,Undirected,22323,,,1
2283,6488,Undirected,22341,,,1
2286,6488,Undirected,22376,,,1
2286,5378,Undirected,22386,,,1
2299,3342,Undirected,22414,,,1
2340,4628,Undirected,22570,,,1
2340,8054,Undirected,22604,,,1
2402,5178,Undirected,22845,,,1
2402,5379,Undirected,22846,,,1
2433,3998,Undirected,22932,,,1
2435,2521,Undirected,22953,,,1
2435,6859,Undirected,22954,,,1
2440,2869,Undirected,22967,,,1
2514,4839,Undirected,23076,,,1
2514,5546,Undirected,23089,,,1
2514,6183,Undirected,23090,,,1
