"entrezgene_id","hgnc_id","uniprot_id","gene_name","description","type"
"e:4745","h:7750","","NELL1","neural EGFL like 1","gene with protein product"
"e:9472","h:376","G3V3H6","AKAP6","A-kinase anchoring protein 6","gene with protein product"
"e:5860","h:9752","","QDPR","quinoid dihydropteridine reductase","gene with protein product"
"e:400451","h:34339","","FAM174B","family with sequence similarity 174 member B","gene with protein product"
"e:1130","h:1968","","LYST","lysosomal trafficking regulator","gene with protein product"
"e:158326","h:23399","","FREM1","FRAS1 related extracellular matrix 1","gene with protein product"
"e:79444","h:13702","Q96CA5,Q6R308","BIRC7","baculoviral IAP repeat containing 7","gene with protein product"
"e:9659","h:15580","","PDE4DIP","phosphodiesterase 4D interacting protein","gene with protein product"
"e:22996","h:18657","","TTC39A","tetratricopeptide repeat domain 39A","gene with protein product"
"e:79054","h:17961","","TRPM8","transient receptor potential cation channel subfamily M member 8","gene with protein product"
"e:11009","h:11346","","IL24","interleukin 24","gene with protein product"
"e:1638","h:2709","Q09GT4,P40126","DCT","dopachrome tautomerase","gene with protein product"
"e:84913","h:24126","","ATOH8","atonal bHLH transcription factor 8","gene with protein product"
"e:9162","h:2855","","DGKI","diacylglycerol kinase iota","gene with protein product"
"e:1130","h:1968","Q99698","LYST","lysosomal trafficking regulator","gene with protein product"
"e:1827","h:3040","","RCAN1","regulator of calcineurin 1","gene with protein product"
"e:10788","h:6111","","IQGAP2","IQ motif containing GTPase activating protein 2","gene with protein product"
"e:5602","h:6872","","MAPK10","mitogen-activated protein kinase 10","gene with protein product"
"e:1130","h:1968","F5H074","LYST","lysosomal trafficking regulator","gene with protein product"
"e:10947","h:570","","AP3M2","adaptor related protein complex 3 mu 2 subunit","gene with protein product"
"e:1312","h:2228","P21964","COMT","catechol-O-methyltransferase","gene with protein product"
"e:10000","h:393","","AKT3","AKT serine/threonine kinase 3","gene with protein product"
"e:118611","h:26563","","C10orf90","chromosome 10 open reading frame 90","gene with protein product"
"e:3428","h:5395","","IFI16","interferon gamma inducible protein 16","gene with protein product"
"e:1369","h:2312","B1AP58","CPN1","carboxypeptidase N subunit 1","gene with protein product"
"e:11009","h:11346","Q13007,Q2YHE5,E7ER64,Q53XZ7,Q5YLN8","IL24","interleukin 24","gene with protein product"
"e:152926","h:25415","","PPM1K","protein phosphatase, Mg2+/Mn2+ dependent 1K","gene with protein product"
"e:23483","h:20324","","TGDS","TDP-glucose 4,6-dehydratase","gene with protein product"
"e:22901","h:24102","","ARSG","arylsulfatase G","gene with protein product"
"e:967","h:1692","F8VZE2","CD63","CD63 molecule","gene with protein product"
"e:7077","h:11821","","TIMP2","TIMP metallopeptidase inhibitor 2","gene with protein product"
"e:5349","h:4027","F8WB34,C9JDU2,F5H174,Q14802","FXYD3","FXYD domain containing ion transport regulator 3","gene with protein product"
"e:8821","h:6075","","INPP4B","inositol polyphosphate-4-phosphatase type II B","gene with protein product"
"e:4163","h:6935","","MCC","mutated in colorectal cancers","gene with protein product"
"e:54828","h:14347","","BCAS3","BCAS3, microtubule associated cell migration factor","gene with protein product"
"e:1638","h:2709","","DCT","dopachrome tautomerase","gene with protein product"
"e:79444","h:13702","Q96CA5","BIRC7","baculoviral IAP repeat containing 7","gene with protein product"
"e:55328","h:25641","","RNLS","renalase, FAD dependent amine oxidase","gene with protein product"
"e:7425","h:12684","","VGF","VGF nerve growth factor inducible","gene with protein product"
"e:55916","h:18151","Q9NPJ8","NXT2","nuclear transport factor 2 like export factor 2","gene with protein product"
"e:4773","h:7776","F8W8G4","NFATC2","nuclear factor of activated T-cells 2","gene with protein product"
"e:83943","h:14598","C9JQE1","IMMP2L","inner mitochondrial membrane peptidase subunit 2","gene with protein product"
"e:5834","h:9723","","PYGB","glycogen phosphorylase B","gene with protein product"
"e:125228","h:28346","Q96ND0","FAM210A","family with sequence similarity 210 member A","gene with protein product"
"e:340273","h:46","Q2M3G0","ABCB5","ATP binding cassette subfamily B member 5","gene with protein product"
"e:8854","h:15472","","ALDH1A2","aldehyde dehydrogenase 1 family member A2","gene with protein product"
"e:23189","h:19309","A2A2W8,Q8WUM7","KANK1","KN motif and ankyrin repeat domains 1","gene with protein product"
"e:6271","h:10486","B2R5D9,P23297","S100A1","S100 calcium binding protein A1","gene with protein product"
"e:9518","h:30142","Q99988","GDF15","growth differentiation factor 15","gene with protein product"
"e:10683","h:2909","Q9NYJ7,E9PFG2,Q8NBS4","DLL3","delta like canonical Notch ligand 3","gene with protein product"
"e:2705","h:4283","P08034","GJB1","gap junction protein beta 1","gene with protein product"
"e:6446","h:10810","","SGK1","serum/glucocorticoid regulated kinase 1","gene with protein product"
"e:3200","h:5104","","HOXA3","homeobox A3","gene with protein product"
"e:11252","h:8571","Q9UNF0","PACSIN2","protein kinase C and casein kinase substrate in neurons 2","gene with protein product"
"e:6319","h:10571","O00767","SCD","stearoyl-CoA desaturase","gene with protein product"
"e:7425","h:12684","O15240","VGF","VGF nerve growth factor inducible","gene with protein product"
"e:6840","h:11480","","SVIL","supervillin","gene with protein product"
"e:23530","h:7863","Q13423,D6RHU2,D6RAI5,B4DMN9","NNT","nicotinamide nucleotide transhydrogenase","gene with protein product"
"e:11252","h:8571","Q9UNF0,B0QYG9,Q6FIA3","PACSIN2","protein kinase C and casein kinase substrate in neurons 2","gene with protein product"
"e:8764","h:11912","","TNFRSF14","TNF receptor superfamily member 14","gene with protein product"
"e:121506","h:26495","F5GYS6","ERP27","endoplasmic reticulum protein 27","gene with protein product"
"e:7448","h:12724","","VTN","vitronectin","gene with protein product"
"e:9472","h:376","G3V569","AKAP6","A-kinase anchoring protein 6","gene with protein product"
"e:58473","h:19079","","PLEKHB1","pleckstrin homology domain containing B1","gene with protein product"
"e:64393","h:29983","C9J8H5","ZMAT3","zinc finger matrin-type 3","gene with protein product"
"e:3603","h:5980","","IL16","interleukin 16","gene with protein product"
"e:23243","h:29024","","ANKRD28","ankyrin repeat domain 28","gene with protein product"
"e:55553","h:16421","","SOX6","SRY-box 6","gene with protein product"
"e:79731","h:26274","Q96I59","NARS2","asparaginyl-tRNA synthetase 2, mitochondrial (putative)","gene with protein product"
"e:55026","h:26086","Q5JRV8","TMEM255A","transmembrane protein 255A","gene with protein product"
"e:4286","h:7105","","MITF","melanogenesis associated transcription factor","gene with protein product"
"e:57698","h:29319","","SHTN1","shootin 1","gene with protein product"
"e:23532","h:9336","P78395","PRAME","preferentially expressed antigen in melanoma","gene with protein product"
"e:54880","h:20893","C9JHP3","BCOR","BCL6 corepressor","gene with protein product"
"e:4983","h:8148","","OPHN1","oligophrenin 1","gene with protein product"
"e:1017","h:1771","","CDK2","cyclin dependent kinase 2","gene with protein product"
"e:9277","h:13923","","WDR46","WD repeat domain 46","gene with protein product"
"e:199720","h:18869","","GGN","gametogenetin","gene with protein product"
"e:5873","h:9766","P51159,A2RU94","RAB27A","RAB27A, member RAS oncogene family","gene with protein product"
"e:7453","h:12729","G3V2Y7","WARS","tryptophanyl-tRNA synthetase","gene with protein product"
"e:1638","h:2709","P40126","DCT","dopachrome tautomerase","gene with protein product"
"e:431707","h:28838","","LHX8","LIM homeobox 8","gene with protein product"
"e:10580","h:14565","","SORBS1","sorbin and SH3 domain containing 1","gene with protein product"
"e:6490","h:10880","","PMEL","premelanosome protein","gene with protein product"
"e:5869","h:9784","","RAB5B","RAB5B, member RAS oncogene family","gene with protein product"
"e:23189","h:19309","A2A2W8","KANK1","KN motif and ankyrin repeat domains 1","gene with protein product"
"e:3221","h:5126","","HOXC4","homeobox C4","gene with protein product"
"e:25937","h:24042","C9J038","WWTR1","WW domain containing transcription regulator 1","gene with protein product"
"e:10363","h:5001","","HMG20A","high mobility group 20A","gene with protein product"
"e:5575","h:9390","Q6NS41","PRKAR1B","protein kinase cAMP-dependent type I regulatory subunit beta","gene with protein product"
"e:4359","h:7225","","MPZ","myelin protein zero","gene with protein product"
"e:80349","h:30300","Q9GZS3","WDR61","WD repeat domain 61","gene with protein product"
"e:54457","h:11548","Q5H9L4","TAF7L","TATA-box binding protein associated factor 7 like","gene with protein product"
"e:22876","h:17054","Q9Y2H2","INPP5F","inositol polyphosphate-5-phosphatase F","gene with protein product"
