id,label
1,A4GALT
2,AAAS
3,AAMDC
4,AAMP
5,AANAT
6,AAR2
7,AARS
8,AARS2
9,AARSD1
10,AASDH
11,AASDHPPT
12,AASS
13,AATF
14,AATK
15,ABCA10
16,ABCA11P
17,ABCA3
18,ABCA7
19,ABCA9
20,ABCB1
21,ABCB10
22,ABCB5
23,ABCB6
24,ABCB7
25,ABCB8
26,ABCB9
27,ABCC1
28,ABCC10
29,ABCC13
30,ABCC2
31,ABCC3
32,ABCD3
33,ABCD4
34,ABCE1
35,ABCF1
36,ABCF2
37,ABCG1
38,ABHD10
39,ABHD11
40,ABHD13
41,ABHD14A
42,ABHD14B
43,ABHD15
44,ABHD16A
45,ABHD17A
46,ABHD18
47,ABHD4
48,ABHD5
49,ABHD6
50,ABHD8
51,ABI1
52,ABI3
53,ABI3BP
54,ABL2
55,ABLIM1
56,ABLIM2
57,ABR
58,ABRACL
59,ACAA2
60,ACACB
61,ACAD10
62,ACAD11
63,ACAD8
64,ACAD9
65,ACADM
66,ACADS
67,ACADSB
68,ACADVL
69,ACAN
70,ACAP2
71,ACAT1
72,ACAT2
73,ACBD5
74,ACBD6
75,ACBD7
76,ACCS
77,ACD
78,ACER2
79,ACHE
80,ACIN1
81,ACKR3
82,ACKR4
83,ACO2
84,ACOT13
85,ACOT2
86,ACOT7
87,ACOX1
88,ACOXL
89,ACP1
90,ACP2
91,ACP5
92,ACP6
93,ACPP
94,ACSL1
95,ACSL3
96,ACSL5
97,ACSM3
98,ACSS1
99,ACSS2
100,ACSS3
101,ACTA1
102,ACTA2
103,ACTB
104,ACTBL2
105,ACTG1
106,ACTL6A
107,ACTN1
108,ACTN4
109,ACTR1A
110,ACTR2
111,ACTR3
112,ACTR3B
113,ACTR5
114,ACTR6
115,ACVR1
116,ACVR1B
117,ACY3
118,ACYP2
119,ADAL
120,ADAM10
121,ADAM11
122,ADAM12
123,ADAM15
124,ADAM9
125,ADAMTS1
126,ADAMTS12
127,ADAMTS14
128,ADAMTS17
129,ADAMTS19
130,ADAMTS2
131,ADAMTS6
132,ADAMTS7
133,ADAMTSL1
134,ADAMTSL5
135,ADAP1
136,ADAP2
137,ADAR
138,ADARB2-AS1
139,ADAT2
140,ADAT3
141,ADCK1
142,ADCK4
143,ADCK5
144,ADCY2
145,ADCY7
146,ADCY9
147,ADD1
148,ADD3
149,ADGRA1
150,ADGRA2
151,ADGRA3
152,ADGRD1
153,ADGRE1
154,ADGRE2
155,ADGRF1
156,ADGRF3
157,ADGRL4
158,ADGRV1
159,ADIPOR1
160,ADIPOR2
161,ADIRF
162,ADK
163,ADM
164,ADM2
165,ADNP
166,ADNP2
167,ADO
168,ADORA1
