Source,Target
1,6880
2,1233
2,5599
2,6145
2,7313
3,4470
4,1894
5,5584
6,2786
6,860
7,678
7,7003
7,7407
8,2786
9,678
9,6054
9,6097
10,6451
11,6451
12,100
12,137
12,1205
12,1212
12,1407
12,1557
12,1958
12,2118
12,2671
12,2829
12,2920
12,3000
12,3070
12,3198
12,3363
12,3637
12,3942
12,4279
12,4904
12,5052
12,5360
12,5740
12,6103
12,6125
12,6156
12,6233
12,6365
12,6657
12,6962
12,7088
12,7186
12,7723
12,7783
12,7895
12,8028
12,8224
13,35
13,202
13,206
13,216
13,416
13,507
13,580
13,638
13,672
13,738
13,743
13,862
13,928
13,1006
13,1325
13,1370
13,1383
13,1462
13,1602
13,1611
13,1699
13,1714
13,1766
13,1767
13,1769
13,1791
13,1798
13,1834
13,1840
13,1844
13,1931
13,1983
13,2109
13,2758
13,2839
13,2869
13,2914
13,3027
13,3059
13,3094
13,3331
13,3386
13,3771
13,3802
13,3806
13,3890
13,4477
13,4559
13,4604
13,4608
13,4610
13,4676
13,4820
13,4840
13,4896
13,5023
13,5214
13,5342
13,5424
13,5523
13,5532
13,5593
13,5661
13,5716
13,5717
13,5723
13,5775
13,5847
13,5855
13,6025
13,6050
13,6067
13,6101
13,6244
13,6277
13,6280
13,6552
13,6640
13,6748
13,6912
13,6930
13,6976
13,6981
13,7047
13,7076
13,7184
13,7241
13,7374
13,7434
13,7438
13,7624
13,7797
13,7799
13,7812
13,8318
14,2043
15,5202
16,5378
17,1250
17,2043
18,7742
19,5202
20,5507
21,7839
22,2608
23,5885
24,5203
25,2786
25,4470
25,5090
26,678
27,4257
28,1310
28,3661
29,5741
30,1653
31,2562
31,6145
31,6146
32,6451
33,5090
34,6783
35,1766
36,678
36,1894
37,270
37,2869
38,2340
38,6451
39,6054
40,3248
40,5203
41,2043
42,2043
42,6145
43,7643
44,4280
44,7839
45,7054
46,5507
47,3998
48,5600
49,2602
50,4642
51,2862
51,5599
51,3461
52,2980
52,7313
53,125
53,6859
54,2900
55,7407
56,6578
57,2786
57,4642
57,5621
58,3880
58,4628
58,5741
59,2257
59,2340
59,5600
59,2332
60,1250
61,6145
62,2257
62,4508
62,7839
63,852
64,1430
65,75
65,328
65,564
65,1190
65,1510
65,2073
65,5124
65,5374
65,7569
66,852
66,2257
67,4471
67,6356
68,2257
68,3868
69,6578
70,3248
71,2257
72,1653
72,2602
73,3276
73,3583
73,5599
74,678
74,4280
74,5221
74,5584
76,2869
76,7839
77,678
77,2043
77,5584
77,7839
78,1310
78,2521
79,2786
80,1894
80,3276
81,6356
82,5379
83,2704
84,1310
84,2718
84,3880
84,5599
84,5721
85,2257
86,270
86,678
86,2562
86,3276
86,5599
86,6145
86,6780
86,2602
86,3461
87,5389
87,6356
88,5621
89,1901
90,7407
91,3075
91,5349
91,5621
92,6356
93,5621
94,2397
95,2858
95,5101
95,5623
95,6133
95,6735
96,1653
97,5202
98,7611
99,4545
101,5621
102,8217
103,1310
103,2521
103,4280
103,4598
103,4749
103,4999
103,5122
103,5203
103,5621
103,5812
104,2299
104,3427
105,362
105,2793
105,4280
106,1310
106,5379
106,7854
107,662
107,1310
107,4280
107,5203
108,268
108,6347
109,4280
109,4999
110,4470
110,5599
110,5600
110,3461
111,5599
111,3461
112,1250
112,3930
113,3930
113,5584
114,662
114,5203
115,1310
115,6495
116,2786
117,2043
118,4471
119,5721
120,124
120,5600
121,4642
122,2521
123,3661
124,249
124,975
124,1496
124,3311
124,3875
124,5284
124,5657
124,5887
124,7456
124,7717
124,349
124,477
124,501
124,544
124,979
124,1117
124,1202
124,2349
124,2543
124,2640
124,3237
124,3280
124,3515
124,3955
124,4255
124,4501
124,5527
124,5583
124,6070
124,6200
124,6309
124,7011
124,7110
124,7200
124,7220
124,7378
124,7637
124,2008
124,5682
124,6147
125,309
125,612
125,682
125,2068
125,2289
125,2504
125,2679
125,3230
125,3231
125,5142
125,5546
125,5795
125,6255
125,7549
125,6859
125,8217
126,5178
127,1310
128,235
129,7839
130,2433
130,1310
130,3998
131,3679
131,4471
132,1310
133,5379
134,5090
134,6356
135,5202
135,3868
136,1250
136,2980
136,5349
136,5621
138,6145
139,7839
140,7839
141,4237
142,4819
142,7472
142,5793
143,4237
144,7839
145,3461
146,7944
147,5885
147,7854
148,2397
148,2521
149,2043
150,3428
151,3427
152,5203
153,6880
154,2980
155,2299
156,7003
157,3427
158,2562
158,5507
158,6145
159,5741
160,3661
160,3868
161,3868
162,1310
162,5726
162,7611
163,5379
164,5885
165,7947
166,7611
167,7611
168,3868
169,1759
170,7034
171,7407
172,3868
173,1743
173,4508
174,3276
174,6097
174,7164
175,5203
176,7313
177,2043
177,4280
177,2332
178,5221
178,5564
178,5659
178,5885
179,3100
180,2397
180,4555
180,7660
181,2048
181,7611
182,4741
183,7164
184,2257
185,2283
186,4280
186,6145
187,268
187,2240
188,2043
189,2521
190,2786
190,2862
190,4280
190,7407
190,7839
191,1250
192,4237
193,6451
194,3100
195,6614
196,235
196,2048
196,2786
196,5507
196,6614
196,7696
197,569
197,1725
197,4280
197,6145
198,7054
198,3868
199,2862
200,4942
200,5507
201,4547
202,255
202,312
202,338
202,497
202,540
202,541
202,736
202,936
202,947
202,1006
202,1055
202,1370
202,1416
202,1524
202,1845
202,1896
202,2109
202,2122
202,2237
202,2265
202,2275
202,2487
202,2628
202,2640
202,2702
202,2760
202,2848
202,2883
202,2922
202,2930
202,2984
202,3139
202,3248
202,3312
202,3319
202,3460
202,3526
202,3923
202,3933
202,4283
202,4309
202,4436
202,4559
202,4604
202,4714
202,4798
202,4805
202,4820
202,4846
202,4903
202,5042
202,5223
202,5313
202,5336
202,5483
202,5543
202,5571
202,5725
202,5742
202,5772
202,5817
202,6025
202,6038
202,6074
202,6101
202,6266
202,6471
202,6482
202,6758
202,6792
202,6894
202,7118
202,7208
202,7273
202,7438
202,7505
202,7530
202,7611
202,7654
202,7776
202,7778
202,7787
202,7861
202,7862
202,7964
203,1894
204,4942
205,4517
206,5378
206,6614
206,7407
207,3661
208,7407
209,5202
209,5203
210,1250
211,2862
211,5203
212,2869
212,5721
213,4508
213,5885
214,4237
214,6356
214,2602
215,4628
216,270
216,2257
216,3661
217,2043
217,2980
218,5349
219,4581
219,7407
220,5203
221,1766
221,4280
221,4517
221,5379
221,5726
221,6780
221,6783
221,7164
222,5221
222,5885
223,6578
224,2283
224,5721
225,2257
225,2340
226,2340
226,2869
227,5379
227,3427
228,1250
228,4486
229,7854
230,6451
231,1310
231,2521
232,4237
233,5379
234,666
234,906
234,1092
234,1349
234,1374
234,1718
234,1770
234,1810
234,3385
234,4423
234,5109
234,5261
234,5435
234,5487
234,5713
234,5823
234,6048
234,6264
234,6306
234,6799
234,6979
234,6984
234,7388
234,7742
234,8005
234,8178
234,267
234,2746
234,7192
234,6614
235,522
235,600
235,672
235,733
235,812
235,829
235,1035
235,1141
235,1706
235,1712
235,1770
235,1937
235,2005
235,2026
235,2133
235,2652
235,2684
235,2752
235,2899
235,2902
235,2943
235,3158
235,3159
235,3181
235,3234
235,3286
235,3391
235,3507
235,3741
235,3760
235,3914
235,4046
235,4405
235,4431
235,4573
235,4612
235,4618
235,5208
235,5418
235,5582
235,5633
235,5668
235,5703
235,5781
235,5837
235,5980
235,5981
235,6028
235,6130
235,6136
235,6207
235,6268
235,6460
235,6610
235,6643
235,6795
235,6801
235,6997
235,7086
235,7134
235,7339
235,7480
235,7585
235,7620
235,7681
235,7901
235,8025
235,8070
235,8159
235,8208
235,8212
235,337
235,368
235,530
235,609
235,635
235,676
235,731
235,749
235,826
235,903
235,934
235,1049
235,1094
235,1182
235,1202
235,1331
235,1349
235,1373
235,1492
