Source,Target
SUFU,SEPHS1
SUFU,UCHL3
SUFU,PRMT7
SUFU,PLTP
SUFU,LYAR
SUFU,MXD3
SUFU,PCNP
SUFU,OCIAD2
SUFU,GTF2I
SEPHS1,HOXC5
SEPHS1,ZNF668
SEPHS1,LYAR
SEPHS1,ZNF282
SEPHS1,GTF2I
SEPHS1,PRMT7
SEPHS1,FANCL
SEPHS1,UCHL3
SEPHS1,MXD3
DCLRE1C,LRRC58
DCLRE1C,MXD3
DCLRE1C,ZNF282
DCLRE1C,DDX55
DCLRE1C,UCHL3
DCLRE1C,ARHGEF11
DCLRE1C,PCNP
DCLRE1C,CUX1
DCLRE1C,LYAR
MRGPRX3,UCHL3
MRGPRX3,OCIAD2
MRGPRX3,LRRC58
OAS1,HOXC5
OAS1,PRMT7
OAS1,ARHGEF11
OAS1,LYAR
OAS1,ZNF282
DDX55,PRMT7
DDX55,GNL2
DDX55,CUX1
DDX55,ZNF282
DDX55,ARHGEF11
DDX55,GTF2I
HOXC5,CUX1
HOXC5,UCHL3
HOXC5,ZNF668
HOXC5,PCNP
HOXC5,LRRC58
HOXC5,LYAR
HOXC5,OCIAD2
UCHL3,FANCL
UCHL3,LRRC58
UCHL3,LYAR
UCHL3,PLTP
UCHL3,ZNF282
UCHL3,ZNF668
UCHL3,ARHGEF11
UCHL3,OCIAD2
ZNF668,PCNP
ZNF668,PLTP
ZNF668,LRRC58
ZNF668,FANCL
ZNF668,GTF2I
ZNF668,PRMT7
ZNF668,OCIAD2
ZNF668,ZNF282
ZNF668,ARHGEF11
ZNF668,CUX1
PRMT7,ZNF282
PRMT7,SAGE1
PRMT7,ARHGEF11
PRMT7,PLTP
PRMT7,CUX1
PRMT7,FANCL
PRMT7,GTF2I
PRMT7,GNL2
PRMT7,MXD3
ARHGEF11,OAS1
ARHGEF11,MXD3
ARHGEF11,CUX1
ARHGEF11,ZNF282
ARHGEF11,GTF2I
ARHGEF11,OCIAD2
GNL2,LRRC58
GNL2,LYAR
PLTP,ZNF282
PLTP,SAGE1
PLTP,SUFU
PLTP,GTF2I
PLTP,LRRC58
PLTP,OCIAD2
PLTP,MXD3
FANCL,LRRC58
FANCL,MXD3
FANCL,GTF2I
PCNP,OCIAD2
PCNP,MXD3
PCNP,CUX1
PCNP,ZNF282
PCNP,GTF2I
LRRC58,LYAR
LRRC58,MXD3
LRRC58,OCIAD2
LRRC58,ZNF282
LRRC58,GTF2I
LYAR,SAGE1
LYAR,GNL2
OCIAD2,GTF2I
MXD3,CUX1
MXD3,ZNF282
ZNF282,DDX55
ZNF282,PRMT7
ZNF282,SAGE1
GTF2I,SAGE1
GTF2I,DDX55
