node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AATF,RBM28,9606.ENSP00000477848,9606.ENSP00000223073,0,0,0,0,896,0,0,0,896
AATF,RRP9,9606.ENSP00000477848,9606.ENSP00000232888,0,0,0,0,903,129,0,246,930
AATF,MPHOSPH10,9606.ENSP00000477848,9606.ENSP00000244230,0,0,0,0,853,889,0,414,989
AATF,DDX10,9606.ENSP00000477848,9606.ENSP00000314348,0,0,0,0,899,269,0,784,982
AATF,DDX21,9606.ENSP00000477848,9606.ENSP00000346120,0,0,0,0,436,116,0,80,501
AATF,NOL10,9606.ENSP00000477848,9606.ENSP00000371101,0,0,0,0,897,904,0,758,997
AATF,NGDN,9606.ENSP00000477848,9606.ENSP00000386134,0,0,0,0,905,445,0,700,982
AATF,TRMT1,9606.ENSP00000477848,9606.ENSP00000466967,0,0,0,0,536,0,0,0,536
ACTB,HMOX1,9606.ENSP00000349960,9606.ENSP00000216117,0,0,0,0,0,0,0,469,469
ACTB,RBX1,9606.ENSP00000349960,9606.ENSP00000216225,0,0,0,0,54,0,900,238,921
ACTB,LOX,9606.ENSP00000349960,9606.ENSP00000231004,0,0,0,0,61,0,0,465,476
ACTB,ARHGDIA,9606.ENSP00000349960,9606.ENSP00000269321,0,0,0,0,170,0,0,383,466
ACTB,AP2M1,9606.ENSP00000349960,9606.ENSP00000292807,0,0,0,0,184,195,0,289,493
ACTB,P4HB,9606.ENSP00000349960,9606.ENSP00000327801,0,0,0,0,110,81,0,406,473
ACTB,DDX21,9606.ENSP00000349960,9606.ENSP00000346120,0,0,0,0,0,50,900,123,909
ACTB,HDAC2,9606.ENSP00000349960,9606.ENSP00000430432,0,0,0,0,51,143,0,372,445
ACTB,DNMT1,9606.ENSP00000349960,9606.ENSP00000352516,0,0,0,0,62,0,0,454,466
ACTB,ALDOA,9606.ENSP00000349960,9606.ENSP00000378669,0,0,0,0,202,59,0,392,504
ACTB,ITGB1,9606.ENSP00000349960,9606.ENSP00000379350,0,0,0,0,62,186,600,429,802
ACTB,RHOA,9606.ENSP00000349960,9606.ENSP00000400175,0,0,0,0,185,76,900,538,960
