id,label
STOM,STOM
CEP112,CEP112
RAB18,RAB18
SCAP,SCAP
NDUFAF1,NDUFAF1
DNAJC11,DNAJC11
GORASP1,GORASP1
BCS1L,BCS1L
TARS2,TARS2
TOR1A,TOR1A
RRP9,RRP9
SLC30A9,SLC30A9
AATF,AATF
AGPS,AGPS
DDX21,DDX21
GRPEL1,GRPEL1
ECSIT,ECSIT
PMPCA,PMPCA
PRIM1,PRIM1
CEP68,CEP68
UPF1,UPF1
PTBP2,PTBP2
VPS11,VPS11
FYCO1,FYCO1
RNF41,RNF41
PMPCB,PMPCB
PIGO,PIGO
CHPF2,CHPF2
LMAN2,LMAN2
RBX1,RBX1
CYB5B,CYB5B
FOXRED2,FOXRED2
SCARB1,SCARB1
SRP72,SRP72
ALG8,ALG8
TYSND1,TYSND1
MTCH1,MTCH1
TCEB2,TCEB2
MFGE8,MFGE8
RAB1A,RAB1A
NPTX1,NPTX1
GRIPAP1,GRIPAP1
HEATR3,HEATR3
ADAMTS1,ADAMTS1
STC2,STC2
GTF2F2,GTF2F2
RAB5C,RAB5C
MAT2B,MAT2B
NPC2,NPC2
ETFA,ETFA
FAM134C,FAM134C
NEK9,NEK9
NDUFAF2,NDUFAF2
SIRT5,SIRT5
MARC1,MARC1
IMPDH2,IMPDH2
LARP7,LARP7
POFUT1,POFUT1
FKBP7,FKBP7
PRIM2,PRIM2
RBM28,RBM28
SRP19,SRP19
PRKAR2A,PRKAR2A
DNAJC19,DNAJC19
HMOX1,HMOX1
PPT1,PPT1
FAM8A1,FAM8A1
TUBGCP3,TUBGCP3
NGDN,NGDN
ACTB,ACTB
NOL10,NOL10
NUTF2,NUTF2
PITRM1,PITRM1
RHOA,RHOA
KDELC1,KDELC1
AP2M1,AP2M1
GPAA1,GPAA1
VPS39,VPS39
BCKDK,BCKDK
ALG5,ALG5
SIGMAR1,SIGMAR1
MDN1,MDN1
SLC44A2,SLC44A2
RTN4,RTN4
PLAT,PLAT
PTRF,PTRF
PLOD2,PLOD2
AKAP8L,AKAP8L
FBLN5,FBLN5
LOX,LOX
MRPS25,MRPS25
WFS1,WFS1
KDELC2,KDELC2
WHSC1,WHSC1
DDX10,DDX10
TBK1,TBK1
DCTPP1,DCTPP1
TIMM10,TIMM10
RALA,RALA
UBAP2,UBAP2
EDEM3,EDEM3
NUP88,NUP88
EXOSC5,EXOSC5
ERP44,ERP44
SNIP1,SNIP1
UBOX5,UBOX5
ATP6AP1,ATP6AP1
NGLY1,NGLY1
NEU1,NEU1
NLRX1,NLRX1
NDUFB9,NDUFB9
AKAP8,AKAP8
MIB1,MIB1
GCC1,GCC1
SLC9A3R1,SLC9A3R1
MPHOSPH10,MPHOSPH10
ALDOA,ALDOA
RPL36,RPL36
ERLEC1,ERLEC1
P4HB,P4HB
SIL1,SIL1
UBXN8,UBXN8
G3BP1,G3BP1
SLC3A2,SLC3A2
POLA1,POLA1
PUSL1,PUSL1
GCC2,GCC2
CWC27,CWC27
LARP4B,LARP4B
UGGT2,UGGT2
ERO1LB,ERO1LB
CENPF,CENPF
COL6A1,COL6A1
FAM98A,FAM98A
ZDHHC5,ZDHHC5
GDF15,GDF15
EXOSC2,EXOSC2
HSBP1,HSBP1
ERGIC1,ERGIC1
YIF1A,YIF1A
ARHGDIA,ARHGDIA
RAB8A,RAB8A
C19orf52,C19orf52
REEP5,REEP5
TBCA,TBCA
TOMM70A,TOMM70A
DCAF7,DCAF7
ITGB1,ITGB1
SLC30A6,SLC30A6
ZYG11B,ZYG11B
CYB5R3,CYB5R3
NUP210,NUP210
TIMM8B,TIMM8B
ATP5L,ATP5L
NUP54,NUP54
ATP6V1A,ATP6V1A
BRD4,BRD4
TLE1,TLE1
CHPF,CHPF
EXOSC8,EXOSC8
RIPK1,RIPK1
FBXL12,FBXL12
PPIL3,PPIL3
FKBP10,FKBP10
DNMT1,DNMT1
HNRNPUL1,HNRNPUL1
STOML2,STOML2
PKP2,PKP2
TRMT1,TRMT1
CEP250,CEP250
MRPS27,MRPS27
JAKMIP1,JAKMIP1
HYOU1,HYOU1
HDAC2,HDAC2
FBN1,FBN1
CHMP2A,CHMP2A
ZC3H18,ZC3H18
RAB14,RAB14
GOLGA2,GOLGA2
MRPS5,MRPS5
TIMM10B,TIMM10B
