Source,Target
STOM,ATP6V1A
STOM,STOML2
STOM,RAB5C
STOM,SLC44A2
STOM,RAB14
CEP112,PRIM2
RAB18,RAB8A
RAB18,RAB14
RAB18,RAB1A
RAB18,RAB5C
SCAP,NPC2
NDUFAF1,ETFA
NDUFAF1,NDUFB9
NDUFAF1,NDUFAF2
NDUFAF1,ECSIT
DNAJC11,PRIM1
GORASP1,AGPS
GORASP1,LMAN2
GORASP1,GCC2
GORASP1,GRIPAP1
GORASP1,TRMT1
GORASP1,GCC1
GORASP1,RAB1A
GORASP1,GOLGA2
BCS1L,PMPCB
BCS1L,TIMM10
BCS1L,GRPEL1
BCS1L,ECSIT
BCS1L,TOMM70A
BCS1L,NDUFAF2
BCS1L,DNAJC19
BCS1L,AKAP8L
BCS1L,TIMM8B
TARS2,MRPS5
TARS2,HEATR3
TOR1A,NPTX1
RRP9,EXOSC5
RRP9,RBM28
RRP9,POLA1
RRP9,UBAP2
RRP9,HEATR3
RRP9,DDX21
RRP9,DDX10
RRP9,EXOSC8
RRP9,TRMT1
RRP9,AATF
RRP9,EXOSC2
RRP9,NOL10
RRP9,NGDN
RRP9,MPHOSPH10
SLC30A9,SLC30A6
AATF,RBM28
AATF,MPHOSPH10
AATF,DDX10
AATF,DDX21
AATF,NOL10
AATF,NGDN
AATF,TRMT1
AGPS,TYSND1
DDX21,RBM28
DDX21,MPHOSPH10
DDX21,DDX10
DDX21,NOL10
DDX21,NGDN
DDX21,LARP7
DDX21,ACTB
GRPEL1,PMPCB
GRPEL1,TIMM10B
GRPEL1,TIMM10
GRPEL1,TIMM8B
GRPEL1,PITRM1
GRPEL1,NDUFB9
GRPEL1,TOMM70A
GRPEL1,HYOU1
GRPEL1,PMPCA
GRPEL1,DNAJC19
ECSIT,ITGB1
ECSIT,NDUFB9
ECSIT,NDUFAF2
PMPCA,PMPCB
PMPCA,TIMM10B
PMPCA,PITRM1
PMPCA,DNAJC19
PRIM1,DCTPP1
PRIM1,DNMT1
PRIM1,CENPF
PRIM1,POLA1
PRIM1,PRIM2
CEP68,WFS1
CEP68,PRKAR2A
CEP68,RAB1A
UPF1,DDX10
UPF1,PTBP2
UPF1,EXOSC2
UPF1,G3BP1
UPF1,RPL36
VPS11,ARHGDIA
VPS11,ATP6V1A
VPS11,VPS39
VPS11,RTN4
VPS11,RAB5C
VPS11,HYOU1
FYCO1,WFS1
RNF41,RBX1
RNF41,UBOX5
RNF41,FBXL12
RNF41,TCEB2
RNF41,TBK1
RNF41,RTN4
PMPCB,ETFA
PMPCB,STOML2
PMPCB,EXOSC2
PMPCB,PITRM1
PMPCB,ATP5L
PMPCB,ZYG11B
PMPCB,DNAJC19
PIGO,NPTX1
PIGO,GPAA1
CHPF2,CHPF
LMAN2,ERLEC1
LMAN2,ERP44
LMAN2,EDEM3
LMAN2,GOLGA2
LMAN2,RAB1A
RBX1,ZYG11B
RBX1,DCAF7
RBX1,UBOX5
RBX1,ACTB
RBX1,FBXL12
RBX1,TCEB2
CYB5B,ALG5
CYB5B,RAB1A
CYB5B,STOML2
CYB5B,MARC1
CYB5B,CYB5R3
FOXRED2,ERLEC1
FOXRED2,FKBP7
SCARB1,SLC9A3R1
SCARB1,NGDN
SRP72,RPL36
SRP72,SRP19
ALG8,ALG5
TYSND1,PLAT
MTCH1,UBXN8
TCEB2,UBOX5
TCEB2,FBXL12
TCEB2,ZYG11B
TCEB2,BRD4
TCEB2,GTF2F2
MFGE8,WFS1
MFGE8,STC2
MFGE8,P4HB
MFGE8,FBN1
RAB1A,ERP44
RAB1A,TOMM70A
RAB1A,RAB8A
RAB1A,VPS39
RAB1A,RAB14
RAB1A,YIF1A
RAB1A,ETFA
RAB1A,RAB5C
RAB1A,GOLGA2
GRIPAP1,PUSL1
ADAMTS1,FBN1
STC2,HMOX1
STC2,WFS1
STC2,P4HB
STC2,FBN1
GTF2F2,PPIL3
GTF2F2,FAM134C
GTF2F2,HNRNPUL1
GTF2F2,CWC27
RAB5C,AP2M1
RAB5C,RAB8A
RAB5C,VPS39
RAB5C,RAB14
RAB5C,YIF1A
MAT2B,SIGMAR1
MAT2B,TOMM70A
MAT2B,DNMT1
NPC2,CYB5R3
ETFA,NUP210
FAM134C,YIF1A
NEK9,NUP88
NEK9,NUP210
NEK9,NUP54
NDUFAF2,NDUFB9
SIRT5,BRD4
SIRT5,DNMT1
SIRT5,HDAC2
MARC1,CYB5R3
IMPDH2,NOL10
IMPDH2,PUSL1
LARP7,BRD4
LARP7,ZC3H18
LARP7,LARP4B
POFUT1,KDELC2
POFUT1,KDELC1
FKBP7,PPIL3
FKBP7,P4HB
FKBP7,SIL1
FKBP7,ALDOA
FKBP7,HYOU1
PRIM2,DCTPP1
PRIM2,POLA1
RBM28,MDN1
RBM28,TRMT1
RBM28,NOL10
RBM28,NGDN
RBM28,DDX10
RBM28,MPHOSPH10
SRP19,MRPS5
SRP19,REEP5
SRP19,RPL36
PRKAR2A,MIB1
PRKAR2A,SLC9A3R1
PRKAR2A,ITGB1
PRKAR2A,RHOA
PRKAR2A,AKAP8
DNAJC19,TIMM10B
DNAJC19,TIMM10
DNAJC19,TOMM70A
DNAJC19,TIMM8B
HMOX1,BRD4
HMOX1,ACTB
PPT1,ZDHHC5
PPT1,HYOU1
FAM8A1,ERLEC1
FAM8A1,NGLY1
TUBGCP3,POLA1
TUBGCP3,CEP250
NGDN,EXOSC5
NGDN,MPHOSPH10
NGDN,DDX10
NGDN,EXOSC2
NGDN,NOL10
NGDN,TRMT1
ACTB,LOX
ACTB,ARHGDIA
ACTB,AP2M1
ACTB,P4HB
ACTB,HDAC2
ACTB,DNMT1
ACTB,ALDOA
ACTB,ITGB1
ACTB,RHOA
NOL10,MPHOSPH10
NOL10,DDX10
NOL10,TRMT1
NUTF2,GCC2
NUTF2,RHOA
NUTF2,NUP88
NUTF2,HNRNPUL1
NUTF2,G3BP1
NUTF2,NUP210
NUTF2,NUP54
RHOA,RALA
RHOA,PKP2
RHOA,SLC9A3R1
RHOA,ARHGDIA
RHOA,P4HB
RHOA,RTN4
RHOA,ITGB1
AP2M1,VPS39
BCKDK,ALDOA
ALG5,EXOSC8
MDN1,MPHOSPH10
MDN1,DDX10
MDN1,RPL36
RTN4,ARHGDIA
RTN4,ERGIC1
RTN4,FBLN5
RTN4,REEP5
PTRF,COL6A1
PLOD2,LOX
PLOD2,PPIL3
PLOD2,WHSC1
PLOD2,FKBP10
PLOD2,COL6A1
AKAP8L,AKAP8
FBLN5,LOX
FBLN5,FBN1
LOX,FKBP10
LOX,COL6A1
LOX,GDF15
LOX,FBN1
MRPS25,MRPS27
MRPS25,MRPS5
WFS1,FBN1
WFS1,P4HB
WHSC1,BRD4
WHSC1,DNMT1
WHSC1,POLA1
WHSC1,HDAC2
DDX10,EXOSC5
DDX10,MPHOSPH10
DDX10,BRD4
DDX10,EXOSC2
DDX10,TRMT1
TBK1,RALA
TBK1,RIPK1
TBK1,MIB1
TBK1,TOMM70A
TBK1,RAB8A
TBK1,NLRX1
DCTPP1,POLA1
TIMM10,TIMM10B
TIMM10,ATP5L
TIMM10,C19orf52
TIMM10,TOMM70A
TIMM10,TIMM8B
RALA,RIPK1
RALA,ARHGDIA
RALA,RAB8A
RALA,RAB14
UBAP2,FAM98A
EDEM3,ERLEC1
EDEM3,ERP44
EDEM3,UGGT2
EDEM3,HYOU1
NUP88,NUP210
NUP88,NUP54
EXOSC5,ZDHHC5
EXOSC5,MPHOSPH10
EXOSC5,RPL36
EXOSC5,EXOSC2
EXOSC5,EXOSC8
ERP44,HYOU1
ERP44,ERO1LB
ERP44,NEU1
SNIP1,NUP54
SNIP1,PPIL3
SNIP1,CWC27
UBOX5,NGLY1
UBOX5,MPHOSPH10
UBOX5,UBXN8
UBOX5,MRPS27
UBOX5,FBXL12
ATP6AP1,ATP6V1A
ATP6AP1,ATP5L
NGLY1,ERLEC1
NDUFB9,STOML2
NDUFB9,ATP5L
AKAP8,JAKMIP1
GCC1,GCC2
GCC1,GOLGA2
SLC9A3R1,ARHGDIA
MPHOSPH10,CWC27
MPHOSPH10,TRMT1
MPHOSPH10,EXOSC8
MPHOSPH10,EXOSC2
ALDOA,ARHGDIA
ALDOA,P4HB
RPL36,FAM98A
RPL36,MRPS5
RPL36,EXOSC2
RPL36,EXOSC8
RPL36,SIL1
RPL36,LARP4B
ERLEC1,SIL1
ERLEC1,UGGT2
ERLEC1,HYOU1
ERLEC1,P4HB
P4HB,ARHGDIA
P4HB,FKBP10
P4HB,FBN1
P4HB,SIL1
P4HB,SLC3A2
P4HB,GOLGA2
P4HB,COL6A1
P4HB,ERO1LB
P4HB,HYOU1
SIL1,MRPS5
SIL1,FKBP10
SIL1,REEP5
SIL1,HYOU1
SLC3A2,ZDHHC5
SLC3A2,ZC3H18
SLC3A2,ITGB1
POLA1,DNMT1
POLA1,CENPF
GCC2,NUP54
GCC2,GOLGA2
CWC27,PPIL3
CWC27,HNRNPUL1
UGGT2,HYOU1
ERO1LB,HYOU1
COL6A1,FKBP10
COL6A1,FBN1
COL6A1,ITGB1
EXOSC2,EXOSC8
HSBP1,STOML2
YIF1A,REEP5
YIF1A,GOLGA2
RAB8A,GOLGA2
RAB8A,CEP250
RAB8A,RAB14
C19orf52,TIMM10B
C19orf52,TOMM70A
REEP5,NUP210
REEP5,CHMP2A
TBCA,MRPS27
TOMM70A,TIMM10B
TOMM70A,TIMM8B
ITGB1,FBN1
NUP210,NUP54
TIMM8B,TIMM10B
ATP5L,ATP6V1A
ATP5L,TLE1
BRD4,HDAC2
BRD4,ZC3H18
TLE1,HDAC2
PPIL3,HNRNPUL1
DNMT1,HDAC2
MRPS27,MRPS5
