Hs-LYAR,2000,1000,T143988-LYAR,"p15@LYAR"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T036237,t143988,2,011.0000,1.0,p5@PARP2,10038,272,,PARP2,"poly(ADP-ribose) polymerase 2","gene with protein product"
2,T143988,t191626,2,009.0000,1.0,p15@LYAR,55646,26021,D6RDJ1,LYAR,"Ly1 antibody reactive","gene with protein product"
3,T005671,t143988,2,008.0000,1.0,p7@RHOBTB1,9886,18738,O94844,RHOBTB1,"Rho related BTB domain containing 1","gene with protein product"
4,T027178,t143988,2,008.0000,1.0,p23@BAZ2A,11176,962,"F8VU39,Q9UIF9",BAZ2A,"bromodomain adjacent to zinc finger domain 2A","gene with protein product"
5,T097198,t143988,2,006.0000,1.0,p7@SSX2IP,117178,16509,Q9Y2D8,SSX2IP,"SSX family member 2 interacting protein","gene with protein product"
6,T029874,t143988,2,007.0000,0.999501992032,p9@RIMKLB,57494,29228,,RIMKLB,"ribosomal modification protein rimK like family member B","gene with protein product"
7,T143988,t183881,2,007.0000,0.999501992032,p15@LYAR,55646,26021,D6RDJ1,LYAR,"Ly1 antibody reactive","gene with protein product"
8,T136649,t143988,2,005.0000,0.999501495513,p3@RPP14,11102,30327,,RPP14,"ribonuclease P/MRP subunit p14","gene with protein product"
9,T133248,t143988,2,004.0000,0.999501246883,p4@GP5,2814,4443,,GP5,"glycoprotein V platelet","gene with protein product"
10,T104614,t143988,2,003.0000,0.999500998004,p5@C21orf59,56683,1301,"P57076,Q96NJ2",C21orf59,"chromosome 21 open reading frame 59","gene with protein product"
11,T143988,t166715,2,014.0000,0.999007936508,p15@LYAR,55646,26021,D6RDJ1,LYAR,"Ly1 antibody reactive","gene with protein product"
12,T031463,t143988,2,010.0000,0.999005964215,p21@ARHGEF7,8874,15607,B7Z6G2,ARHGEF7,"Rho guanine nucleotide exchange factor 7","gene with protein product"
13,T047364,t143988,2,010.0000,0.999005964215,p89@AKAP13,11214,371,,AKAP13,"A-kinase anchoring protein 13","gene with protein product"
14,T021251,t143988,2,010.0000,0.999005964215,p4@CCDC42B,387885,37100,,CFAP73,"cilia and flagella associated protein 73","gene with protein product"
15,T038341,t143988,2,010.0000,0.999005964215,p10@KLHDC2,23588,20231,G3V2H2,KLHDC2,"kelch domain containing 2","gene with protein product"
16,T024571,t143988,2,010.0000,0.999005964215,p10@FAM60A,58516,30702,Q9NP50,FAM60A,"family with sequence similarity 60 member A","gene with protein product"
17,T143988,t197323,2,010.0000,0.999005964215,p15@LYAR,55646,26021,D6RDJ1,LYAR,"Ly1 antibody reactive","gene with protein product"
18,T036575,t143988,2,009.0000,0.999005469915,p3@TRAV8-2,,12147,,TRAV8-2,"T cell receptor alpha variable 8-2","T cell receptor gene"
19,T077703,t143988,2,009.0000,0.999005469915,p27@ZNF331,55422,15489,,ZNF331,"zinc finger protein 331","gene with protein product"
20,T143988,t184430,2,008.0000,0.999004975124,p15@LYAR,55646,26021,D6RDJ1,LYAR,"Ly1 antibody reactive","gene with protein product"
21,T076982,t143988,2,008.0000,0.999004975124,p3@VRK3,51231,18996,Q8IV63,VRK3,"vaccinia related kinase 3","gene with protein product"
22,T028391,t143988,2,008.0000,0.999004975124,p11@LAG3,3902,6476,,LAG3,"lymphocyte activating 3","gene with protein product"
