Hs-LY6K,2000,1000,T182065-LY6K,"p1@LY6K"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T182064,t182065,2,006.0000,1.0,p4@LY6K,54742,24225,Q17RY6,LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
2,T125835,t182065,2,006.0000,1.0,p3@ATOH8,84913,24126,Q96SQ7,ATOH8,"atonal bHLH transcription factor 8","gene with protein product"
3,T047756,t182065,2,005.0000,1.0,p9@ANPEP,290,500,,ANPEP,"alanyl aminopeptidase, membrane","gene with protein product"
4,T083752,t182065,2,012.0000,0.999006951341,p2@MRPL24,79590,14037,Q96A35,MRPL24,"mitochondrial ribosomal protein L24","gene with protein product"
5,T132744,t182065,2,010.0000,0.999005964215,p1@RPL39L,116832,17094,Q96EH5,RPL39L,"ribosomal protein L39 like","gene with protein product"
6,T049733,t182065,2,009.0000,0.999005469915,p20@TSC2,7249,12363,P49815,TSC2,"tuberous sclerosis 2","gene with protein product"
7,T182060,t182065,2,005.0000,0.999003487793,p3@JRK,,6199,,JRK,"Jrk helix-turn-helix protein","gene with protein product"
8,T182065,t189275,2,004.0000,0.999002991027,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
9,T164906,t182065,2,003.0000,0.999002493766,p3@HMGA1,"100130009,3159",5010,,HMGA1,"high mobility group AT-hook 1","gene with protein product"
10,T062766,t182065,2,002.0000,0.999001996008,p5@EIF5A,1984,3300,P63241,EIF5A,"eukaryotic translation initiation factor 5A","gene with protein product"
11,T076398,t182065,2,009.0000,0.998508946322,p4@UHRF1,29128,12556,Q96T88,UHRF1,"ubiquitin like with PHD and ring finger domains 1","gene with protein product"
12,T182065,t183899,2,007.0000,0.998507462687,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
13,T082789,t182065,2,007.0000,0.998507462687,p3@S100A3,6274,10493,P33764,S100A3,"S100 calcium binding protein A3","gene with protein product"
14,T024483,t182065,2,004.0000,0.998007968127,p2@FOXM1,2305,3818,,FOXM1,"forkhead box M1","gene with protein product"
15,T113791,t182065,2,004.0000,0.998007968127,p4@CYTIP,9595,9506,"C9JRF8,B4DWH9",CYTIP,"cytohesin 1 interacting protein","gene with protein product"
16,T026443,t182065,2,003.0000,0.998006975585,p1@RARG,5916,9866,,RARG,"retinoic acid receptor gamma","gene with protein product"
17,T017138,t182065,2,001.0000,0.998004987531,p2@DRAP1,10589,3019,E9PNC7,DRAP1,"DR1 associated protein 1","gene with protein product"
18,T182065,t182304,2,003.0000,0.997509960159,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
19,T099337,t182065,2,003.0000,0.997509960159,p1@PYGB,5834,9723,P11216,PYGB,"glycogen phosphorylase B","gene with protein product"
20,T121193,t182065,2,003.0000,0.997509960159,p1@DTYMK,1841,3061,P23919,DTYMK,"deoxythymidylate kinase","gene with protein product"
21,T017155,t182065,2,000.0000,0.997506234414,p13@DRAP1,10589,3019,,DRAP1,"DR1 associated protein 1","gene with protein product"
22,T182065,t194671,1,999.0000,0.99750499002,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
23,T182065,t182291,2,004.0000,0.997014925373,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
24,T108735,t182065,1,999.0000,0.997007481297,p1@BAIAP2L2,80115,26203,,BAIAP2L2,"BAI1 associated protein 2 like 2","gene with protein product"
25,T182065,t189090,1,996.0000,0.996505242137,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
26,T074487,t182065,2,003.0000,0.996021879662,p3@AXL,558,905,P30530,AXL,"AXL receptor tyrosine kinase","gene with protein product"
27,T068139,t182065,2,000.0000,0.996015936255,p3@CCBE1,147372,29426,Q6UXH8,CCBE1,"collagen and calcium binding EGF domains 1","gene with protein product"
28,T051679,t182065,2,002.0000,0.995029821074,p1@NETO2,81831,14644,"Q8NC67,Q32NC3",NETO2,"neuropilin and tolloid like 2","gene with protein product"
29,T126288,t182065,1,998.0000,0.995019920319,p3@KCNIP3,30818,15523,Q9Y2W7,KCNIP3,"potassium voltage-gated channel interacting protein 3","gene with protein product"
30,T063731,t182065,1,997.0000,0.995017438964,p19@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
31,T182065,t193553,1,997.0000,0.995017438964,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
32,T053471,t182065,2,003.0000,0.994538232373,p1@NQO1,1728,2874,B4DLR8,NQO1,"NAD(P)H quinone dehydrogenase 1","gene with protein product"
33,T032418,t182065,1,993.0000,0.994510978044,p3@SLC7A1,6541,11057,P30825,SLC7A1,"solute carrier family 7 member 1","gene with protein product"
34,T100103,t182065,1,997.0000,0.994026879044,p3@UQCC,55245,15891,,UQCC1,"ubiquinol-cytochrome c reductase complex assembly factor 1","gene with protein product"
35,T082790,t182065,1,994.0000,0.994017946162,p2@S100A3,6274,10493,P33764,S100A3,"S100 calcium binding protein A3","gene with protein product"
36,T182065,t183253,1,991.0000,0.99400898652,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
37,T182065,t193084,1,990.0000,0.994005994006,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
38,T031603,t182065,1,993.0000,0.993519441675,p3@PCID2,55795,25653,,PCID2,"PCI domain containing 2","gene with protein product"
39,T083536,t182065,1,991.0000,0.993512974052,p10@LMNA,4000,6636,P02545,LMNA,"lamin A/C","gene with protein product"
40,T083663,t182065,1,991.0000,0.993512974052,p3@IQGAP3,128239,20669,"F2Z2E2,Q86VI3",IQGAP3,"IQ motif containing GTPase activating protein 3","gene with protein product"
41,T099007,t182065,1,992.0000,0.992526158445,p3@PAX1,5075,8615,P15863,PAX1,"paired box 1","gene with protein product"
42,T182065,t184788,1,991.0000,0.992522432702,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
43,T054774,t182065,1,990.0000,0.992518703242,p5@FOXC2,2303,3801,,FOXC2,"forkhead box C2","gene with protein product"
44,T069672,t182065,1,994.0000,0.992039800995,p5@MIR199A1,406976,31571,,MIR199A1,"microRNA 199a-1","RNA, micro"
45,T154621,t182065,1,989.0000,0.992019950125,p5@IL31RA,133396,18969,"B4DNJ2,Q8NI17",IL31RA,"interleukin 31 receptor A","gene with protein product"
46,T083751,t182065,1,988.0000,0.992015968064,p1@MRPL24,79590,14037,Q96A35,MRPL24,"mitochondrial ribosomal protein L24","gene with protein product"
47,T182061,t182065,1,991.0000,0.991533864542,p2@JRK,,6199,,JRK,"Jrk helix-turn-helix protein","gene with protein product"
48,T157854,t182065,1,987.0000,0.991516966068,p7@TRAF3IP2,10758,1343,"O43734,Q7Z6Q1",TRAF3IP2,"TRAF3 interacting protein 2","gene with protein product"
49,T102666,t182065,1,991.0000,0.991040318566,p4@RAE1,8480,9828,B0QZ37,RAE1,"ribonucleic acid export 1","gene with protein product"
50,T182065,t200185,1,988.0000,0.991026919242,p1@LY6K,54742,24225,"Q17RY6,E5RGJ8,G3V116",LY6K,"lymphocyte antigen 6 complex, locus K","gene with protein product"
51,T131645,t182065,1,991.0000,0.990547263682,p1@RPL22L1,200916,27610,"C9JYQ9,Q5JWX6",RPL22L1,"ribosomal protein L22 like 1","gene with protein product"
