Hs-PLTP,2000,1000,T101386-PLTP,"p4@PLTP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T057409,t101386,2,007.0000,1.0,p1@CCL23,6368,10622,P55773,CCL23,"C-C motif chemokine ligand 23","gene with protein product"
2,T101386,t102968,2,005.0000,1.0,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
3,T101386,t149420,2,011.0000,1.0,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
4,T101386,t157494,2,007.0000,0.999501992032,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
5,T083637,t101386,2,002.0000,0.999500748877,p12@MEF2D,4209,6997,,MEF2D,"myocyte enhancer factor 2D","gene with protein product"
6,T024047,t101386,2,008.0000,0.999004975124,p1@LINC00477,144360,26557,Q96M19,LINC00477,"long intergenic non-protein coding RNA 477","RNA, long non-coding"
7,T101386,t121873,2,007.0000,0.999004479841,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
8,T101386,t167853,2,004.0000,0.999002991027,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
9,T101386,t152765,2,001.0000,0.999001497753,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
10,T101386,t159377,1,999.0000,0.99900049975,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
11,T066308,t101386,2,000.0000,0.998003992016,p10@ZNF521,25925,24605,Q96K83,ZNF521,"zinc finger protein 521","gene with protein product"
12,T026782,t101386,2,005.0000,0.997512437811,p1@GTSF1,121355,26565,Q8WW33,GTSF1,"gametocyte specific factor 1","gene with protein product"
13,T077166,t101386,2,003.0000,0.997509960159,p3@CLEC11A,6320,10576,C9JXV2,CLEC11A,"C-type lectin domain family 11 member A","gene with protein product"
14,T094398,t101386,2,004.0000,0.996519144704,p1@NFYC,4802,7806,"B4DUS6,Q5T6K7,F8VWM3",NFYC,"nuclear transcription factor Y subunit gamma","gene with protein product"
15,T101386,t133753,2,000.0000,0.996015936255,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
16,T013698,t101386,1,999.0000,0.995517928287,p4@LMO2,4005,6642,P25791,LMO2,"LIM domain only 2","gene with protein product"
17,T071932,t101386,1,998.0000,0.995515695067,p4@ZNF93,81931,13169,"P35789,Q6NS90",ZNF93,"zinc finger protein 93","gene with protein product"
18,T101386,t121874,1,999.0000,0.995022399204,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
19,T093639,t101386,1,999.0000,0.995022399204,p1@AK2,204,362,"F8W1A4,G3V213,P54819",AK2,"adenylate kinase 2","gene with protein product"
20,T095172,t101386,1,997.0000,0.995017438964,p3@FAF1,11124,3578,F5GZD2,FAF1,"Fas associated factor 1","gene with protein product"
21,T004157,t101386,1,992.0000,0.995004995005,p14@ZNF438,220929,21029,,ZNF438,"zinc finger protein 438","gene with protein product"
22,T101386,t167852,1,996.0000,0.99451918286,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
23,T101386,t174416,1,993.0000,0.993519441675,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
24,T101386,t195934,1,996.0000,0.993034825871,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
25,T101386,t162950,1,995.0000,0.992537313433,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
26,T095183,t101386,1,990.0000,0.992518703242,p3@CDKN2C,1031,1789,"P42773,Q6ICV4",CDKN2C,"cyclin dependent kinase inhibitor 2C","gene with protein product"
27,T021132,t101386,1,997.0000,0.992051664183,p4@ERP29,10961,13799,F8W1G0,ERP29,"endoplasmic reticulum protein 29","gene with protein product"
28,T036259,t101386,1,995.0000,0.992043759324,p2@APEX1,328,587,,APEX1,"apurinic/apyrimidinic endodeoxyribonuclease 1","gene with protein product"
29,T101386,t121872,1,988.0000,0.990039840637,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
30,T101386,t106450,1,988.0000,0.990039840637,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
31,T079387,t101386,1,987.0000,0.990034877927,p2@MIR3187,79948,38319,Q6T4P5,MIR3187,"microRNA 3187","RNA, micro"
32,T101386,t126476,1,989.0000,0.989552238806,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
33,T101386,t135867,1,985.0000,0.989531405783,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
34,T101386,t182906,1,988.0000,0.989054726368,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
35,T019669,t101386,1,987.0000,0.989049278248,p4@FUT4,2526,4015,P22083,FUT4,"fucosyltransferase 4","gene with protein product"
36,T101386,t110024,1,983.0000,0.987549800797,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
37,T101386,t191284,1,989.0000,0.987096774194,p4@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
38,T089889,t101386,1,983.0000,0.987058237929,p2@LYPLAL1,127018,20440,Q5VWZ2,LYPLAL1,"lysophospholipase like 1","gene with protein product"
