Hs-MAMDC4,2000,1000,T191437-MAMDC4,"p5@MAMDC4"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T191437,t191438,2,003.0000,0.999002493766,p5@MAMDC4,158056,24083,Q6UXC1,MAMDC4,"MAM domain containing 4","gene with protein product"
2,T002774,t191437,2,007.0000,0.997514910537,p2@CYP2E1,1571,2631,,CYP2E1,"cytochrome P450 family 2 subfamily E member 1","gene with protein product"
3,T008305,t191437,1,998.0000,0.995515695067,p9@RBP4,5950,9922,,RBP4,"retinol binding protein 4","gene with protein product"
4,T055443,t191437,1,989.0000,0.990537848606,p1@TMEM220,388335,33757,Q6QAJ8,TMEM220,"transmembrane protein 220","gene with protein product"
5,T108467,t191437,1,988.0000,0.989547038328,p8@MPST,4357,7223,,MPST,"mercaptopyruvate sulfurtransferase","gene with protein product"
6,T027399,t191437,1,979.0000,0.985067197611,p4@INHBC,3626,6068,P55103,INHBC,"inhibin beta C subunit","gene with protein product"
7,T039517,t191437,1,972.0000,0.983541147132,p3@MTHFD1,4522,7432,G3V3L6,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1","gene with protein product"
8,T052237,t191437,1,978.0000,0.9826130154,p2@CES1,"100653057,1066",1863,B7Z795,CES1,"carboxylesterase 1","gene with protein product"
9,T089358,t191437,1,968.0000,0.982526210684,p18@LPGAT1,9926,28985,Q92604,LPGAT1,"lysophosphatidylglycerol acyltransferase 1","gene with protein product"
10,T108468,t191437,1,969.0000,0.97960199005,p3@MPST,4357,7223,E7ENL2,MPST,"mercaptopyruvate sulfurtransferase","gene with protein product"
11,T152854,t191437,1,969.0000,0.97960199005,p5@AGXT2L2,85007,28249,,PHYKPL,"5-phosphohydroxy-L-lysine phospho-lyase","gene with protein product"
12,T190204,t191437,1,963.0000,0.977103036336,p22@MPDZ,8777,7208,,MPDZ,"multiple PDZ domain crumbs cell polarity complex component","gene with protein product"
13,T173132,t191437,1,952.0000,0.973566084788,p5@AGMO,392636,33784,Q6ZNB7,AGMO,"alkylglycerol monooxygenase","gene with protein product"
14,T182801,t191437,1,953.0000,0.97212543554,p2@NAT2,10,7646,"P11245,A4Z6T7",NAT2,"N-acetyltransferase 2","gene with protein product"
15,T052238,t191437,1,952.0000,0.970178926441,p1@CES1,"100653057,1066",1863,B7Z795,CES1,"carboxylesterase 1","gene with protein product"
16,T050162,t191437,1,946.0000,0.969606377678,p12@JMJD5,79831,25840,,KDM8,"lysine demethylase 8","gene with protein product"
17,T153787,t191437,1,946.0000,0.969123505976,p2@UGT3A1,133688,26625,"B7Z8Q8,A8K444",UGT3A1,"UDP glycosyltransferase family 3 member A1","gene with protein product"
18,T090425,t191437,1,941.0000,0.966633466135,p9@EPHX1,2052,3401,P07099,EPHX1,"epoxide hydrolase 1","gene with protein product"
19,T002753,t191437,1,931.0000,0.962612163509,p1@CYP2E1,1571,2631,"P05181,Q59EW1,Q4LBD0",CYP2E1,"cytochrome P450 family 2 subfamily E member 1","gene with protein product"
