Hs-CUX1,2000,1000,T169045-CUX1,"p9@CUX1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T169045,t189014,2,007.0000,1.0,p9@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
2,T029084,t169045,2,007.0000,1.0,p1@CD163L1,283316,30375,,CD163L1,"CD163 molecule like 1","gene with protein product"
3,T111408,t169045,2,011.0000,1.0,p5@SLC35F5,80255,23617,,SLC35F5,"solute carrier family 35 member F5","gene with protein product"
4,T115297,t169045,2,010.0000,1.0,p7@GEN1,348654,26881,"Q17RS7,E9PLG0",GEN1,"GEN1, Holliday junction 5' flap endonuclease","gene with protein product"
5,T043813,t169045,2,009.0000,1.0,p3@MFAP1,4236,7032,P55081,MFAP1,"microfibrillar associated protein 1","gene with protein product"
6,T166506,t169045,2,010.0000,1.0,p22@TNFRSF21,27242,13469,O75509,TNFRSF21,"TNF receptor superfamily member 21","gene with protein product"
7,T026762,t169045,2,003.0000,1.0,p13@ITGA5,3678,6141,,ITGA5,"integrin subunit alpha 5","gene with protein product"
8,T141936,t169045,2,009.0000,1.0,p8@FBXO8,26269,13587,D6RJ92,FBXO8,"F-box protein 8","gene with protein product"
9,T038673,t169045,2,005.0000,1.0,p8@ERO1L,30001,13280,,ERO1A,"endoplasmic reticulum oxidoreductase 1 alpha","gene with protein product"
10,T016368,t169045,2,011.0000,1.0,p23@FKBP2,2286,3718,"P26885,Q53XJ5",FKBP2,"FK506 binding protein 2","gene with protein product"
11,T109251,t169045,2,006.0000,0.999501743896,p10@NHP2L1,4809,7819,"P55769,Q6FHM6",SNU13,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)","gene with protein product"
12,T042708,t169045,2,005.0000,0.999501495513,p27@GREM1,26585,2001,O60565,GREM1,"gremlin 1, DAN family BMP antagonist","gene with protein product"
13,T126976,t169045,2,011.0000,0.999006458023,p9@TATDN2,9797,28988,Q93075,TATDN2,"TatD DNase domain containing 2","gene with protein product"
14,T149338,t169045,2,011.0000,0.999006458023,p30@CTNNA1,1495,2509,,CTNNA1,"catenin alpha 1","gene with protein product"
15,T036982,t169045,2,010.0000,0.999005964215,p21@ACIN1,22985,17066,,ACIN1,"apoptotic chromatin condensation inducer 1","gene with protein product"
16,T045481,t169045,2,010.0000,0.999005964215,p3@TRIP4,9325,12310,,TRIP4,"thyroid hormone receptor interactor 4","gene with protein product"
17,T007575,t169045,2,010.0000,0.999005964215,p4@GHITM,27069,17281,Q658I8,GHITM,"growth hormone inducible transmembrane protein","gene with protein product"
18,T153045,t169045,2,009.0000,0.999005469915,p9@SQSTM1,8878,11280,,SQSTM1,"sequestosome 1","gene with protein product"
19,T169044,t169045,2,008.0000,0.999004975124,p6@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
20,T140063,t169045,2,008.0000,0.999004975124,p7@SCOC,60592,20335,Q9UIL1,SCOC,"short coiled-coil protein","gene with protein product"
21,T111078,t169045,2,008.0000,0.999004975124,p2@NT5DC4,284958,27678,,NT5DC4,"5'-nucleotidase domain containing 4","gene with protein product"
22,T096078,t169045,2,007.0000,0.999004479841,p2@ESPN,83715,13281,,ESPN,espin,"gene with protein product"
23,T042944,t169045,2,006.0000,0.999003984064,p7@AQR,9716,29513,,AQR,"aquarius intron-binding spliceosomal factor","gene with protein product"
24,T121969,t169045,2,006.0000,0.999003984064,p11@CLIP4,79745,26108,,CLIP4,"CAP-Gly domain containing linker protein family member 4","gene with protein product"
25,T042147,t169045,2,005.0000,0.999003487793,p2@ALDH1A3,220,409,,ALDH1A3,"aldehyde dehydrogenase 1 family member A3","gene with protein product"
26,T057567,t169045,2,005.0000,0.999003487793,p3@DDX52,11056,20038,,DDX52,"DExD-box helicase 52","gene with protein product"
27,T016994,t169045,2,005.0000,0.999003487793,p5@PCNXL3,399909,18760,Q9H6A9,PCNX3,"pecanex homolog 3 (Drosophila)","gene with protein product"
28,T151947,t169045,2,005.0000,0.999003487793,p23@MYO10,4651,7593,D6RGD1,MYO10,"myosin X","gene with protein product"
29,T169042,t169045,2,005.0000,0.999003487793,p3@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
30,T169045,t169046,2,004.0000,0.999002991027,p9@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
