Hs-GTF2I,2000,1000,T177163-GTF2I,"p10@GTF2I"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T063856,2004,1.0000,p7@TP53,7157,11998,,TP53,"tumor protein p53","gene with protein product"
2,T162435,2007,1.0000,p17@ID4,3400,5363,P47928,ID4,"inhibitor of DNA binding 4, HLH protein","gene with protein product"
3,T122831,2007,1.0000,p4@PKDCC,91461,25123,Q504Y2,PKDCC,"protein kinase domain containing, cytoplasmic","gene with protein product"
4,T164075,2008,1.0000,p17@BAG6,7917,13919,,BAG6,"BCL2 associated athanogene 6","gene with protein product"
5,T089739,2012,1.0000,p1@HS6ST1P1,,31835,,HS6ST1P1,"heparan sulfate 6-O-sulfotransferase 1 pseudogene 1",pseudogene
6,T130349,2009,0.9995,p12@TSC22D2,9819,29095,O75157,TSC22D2,"TSC22 domain family member 2","gene with protein product"
7,T076904,2013,0.9990,p8@PTOV1,53635,9632,,PTOV1,"prostate tumor overexpressed 1","gene with protein product"
8,T168253,2010,0.9990,p7@AKIRIN2,55122,21407,Q53H80,AKIRIN2,"akirin 2","gene with protein product"
9,T167593,2009,0.9990,"p2@KHDC1L,p2@KHDC1","80759,100129128","21366,37274","E9PEZ4,F5H697,Q4VXA5,Q5JSQ7",KHDC1,"KH homology domain containing 1","gene with protein product"
10,T153816,2009,0.9990,p16@NADKD1,133686,26404,D6RHI4,NADK2,"NAD kinase 2, mitochondrial","gene with protein product"
11,T166673,2008,0.9990,p2@MCM3,4172,6945,,MCM3,"minichromosome maintenance complex component 3","gene with protein product"
12,T062714,2008,0.9990,p6@CTDNEP1,23399,19085,O95476,CTDNEP1,"CTD nuclear envelope phosphatase 1","gene with protein product"
13,T145937,2007,0.9990,p3@FRAS1,80144,19185,"E9PHH6,E7EWM9,A2RRR8,Q86XX4",FRAS1,"Fraser extracellular matrix complex subunit 1","gene with protein product"
