Hs-IL18BP,2000,1000,T018059-IL18BP,"p10@IL18BP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T101458,2008,1.0000,p14@MMP9,4318,7176,F5H3W7,MMP9,"matrix metallopeptidase 9","gene with protein product"
2,T015050,2011,0.9995,p6@SLC43A3,29015,17466,,SLC43A3,"solute carrier family 43 member 3","gene with protein product"
3,T018060,2011,0.9990,p12@IL18BP,10068,5987,,IL18BP,"interleukin 18 binding protein","gene with protein product"
4,T173975,2008,0.9990,p4@GPNMB,10457,4462,,GPNMB,"glycoprotein nmb","gene with protein product"
5,T018058,2008,0.9990,p3@IL18BP,10068,5987,,IL18BP,"interleukin 18 binding protein","gene with protein product"
6,T032077,2006,0.9990,p20@SPATA13,221178,23222,E9PFR9,SPATA13,"spermatogenesis associated 13","gene with protein product"
7,T006527,2010,0.9985,p13@PSAP,5660,9498,,PSAP,prosaposin,"gene with protein product"
8,T178808,2005,0.9985,p6@ARPC1B,10095,704,C9JBJ7,ARPC1B,"actin related protein 2/3 complex subunit 1B","gene with protein product"
9,T183239,2003,0.9975,p50@SORBS3,10174,30907,,SORBS3,"sorbin and SH3 domain containing 3","gene with protein product"
10,T006545,1999,0.9975,p10@PSAP,5660,9498,P07602,PSAP,prosaposin,"gene with protein product"
11,T074321,2007,0.9970,p27@PLD3,23646,17158,,PLD3,"phospholipase D family member 3","gene with protein product"
12,T082225,2001,0.9965,p8@CTSS,1520,2545,,CTSS,"cathepsin S","gene with protein product"
13,T092781,1999,0.9960,p2@MIR1976,100302190,37064,,MIR1976,"microRNA 1976","RNA, micro"
14,T000806,2002,0.9955,p1@YWHAZP5,,30564,,YWHAZP5,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5",pseudogene
15,T170708,1995,0.9955,p7@IRF5,3663,6120,A9LSF3,IRF5,"interferon regulatory factor 5","gene with protein product"
16,T124357,1994,0.9950,p4@SLC1A4,6509,10942,,SLC1A4,"solute carrier family 1 member 4","gene with protein product"
