Hs-IFI16,2000,1000,T084156-IFI16,"p12@IFI16"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T037690,2005,1.0000,p21@AKAP6,9472,376,G3V3H6,AKAP6,"A-kinase anchoring protein 6","gene with protein product"
2,T084157,2010,1.0000,p7@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
3,T084159,2007,1.0000,p18@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
4,T084158,2003,1.0000,p4@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
5,T186756,2011,1.0000,p2@SLC10A5,347051,22981,Q5PT55,SLC10A5,"solute carrier family 10 member 5","gene with protein product"
6,T012851,2007,0.9990,p10@NELL1,4745,7750,,NELL1,"neural EGFL like 1","gene with protein product"
7,T012852,2005,0.9980,p11@NELL1,4745,7750,,NELL1,"neural EGFL like 1","gene with protein product"
8,T132597,1997,0.9955,p2@DGKG,1608,2853,,DGKG,"diacylglycerol kinase gamma","gene with protein product"
9,T182669,2001,0.9950,p4@VPS37A,137492,24928,,VPS37A,"VPS37A, ESCRT-I subunit","gene with protein product"
10,T129985,1994,0.9950,p7@PLSCR1,5359,9092,"O15162,C9JE06",PLSCR1,"phospholipid scramblase 1","gene with protein product"
11,T048173,1993,0.9925,p6@MCTP2,55784,25636,F5H415,MCTP2,"multiple C2 and transmembrane domain containing 2","gene with protein product"
12,T084160,1991,0.9915,p14@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
13,T091910,1986,0.9910,p10@AKT3,10000,393,,AKT3,"AKT serine/threonine kinase 3","gene with protein product"
14,T048183,1993,0.9906,p8@MCTP2,55784,25636,Q6DN12,MCTP2,"multiple C2 and transmembrane domain containing 2","gene with protein product"
15,T069017,1987,0.9895,p32@MBP,4155,6925,,MBP,"myelin basic protein","gene with protein product"
16,T120399,1984,0.9876,p12@TRPM8,79054,17961,,TRPM8,"transient receptor potential cation channel subfamily M member 8","gene with protein product"
17,T117282,1979,0.9870,p2@CASP10,843,1500,,CASP10,"caspase 10","gene with protein product"
18,T012454,1979,0.9870,p1@GTF2H1,2965,4655,"E9PL58,B3KXE0",GTF2H1,"general transcription factor IIH subunit 1","gene with protein product"
19,T053601,1981,0.9866,p2@VAC14,55697,25507,"Q08AM6,Q9NTB8",VAC14,"Vac14, PIKFYVE complex component","gene with protein product"
20,T085750,1981,0.9861,p8@TNFSF4,7292,11934,Q8IV74,TNFSF4,"tumor necrosis factor superfamily member 4","gene with protein product"
21,T037691,1978,0.9860,p19@AKAP6,9472,376,G3V3H6,AKAP6,"A-kinase anchoring protein 6","gene with protein product"
22,T037851,1983,0.9856,p6@PPP2R3C,55012,17485,,PPP2R3C,"protein phosphatase 2 regulatory subunit B''gamma","gene with protein product"
23,T048083,1979,0.9856,p22@FAM174B,400451,34339,,FAM174B,"family with sequence similarity 174 member B","gene with protein product"
24,T133512,1977,0.9851,p4@LRRC33,375387,24613,Q86YC3,NRROS,"negative regulator of reactive oxygen species","gene with protein product"
25,T097436,1977,0.9831,p15@LMO4,8543,6644,P61968,LMO4,"LIM domain only 4","gene with protein product"
26,T004156,1977,0.9821,p11@ZNF438,220929,21029,,ZNF438,"zinc finger protein 438","gene with protein product"
27,T081656,1973,0.9811,p72@PDE4DIP,9659,15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
28,T110376,1970,0.9806,p6@RFX8,731220,37253,"Q6ZV50,E9PDA6",RFX8,"RFX family member 8, lacking RFX DNA binding domain","gene with protein product"
29,T061902,1968,0.9801,p9@GNA13,10672,4381,Q14344,GNA13,"G protein subunit alpha 13","gene with protein product"
30,T143447,1963,0.9795,p34@RGS12,6002,9994,,RGS12,"regulator of G-protein signaling 12","gene with protein product"
31,T184804,1965,0.9791,p10@KAT6A,7994,13013,C9JJY6,KAT6A,"lysine acetyltransferase 6A","gene with protein product"
32,T191834,1971,0.9786,p17@FREM1,158326,23399,,FREM1,"FRAS1 related extracellular matrix 1","gene with protein product"
33,T087414,1964,0.9781,p24@NEK7,140609,13386,F8WAG2,NEK7,"NIMA related kinase 7","gene with protein product"
34,T105453,1962,0.9766,p2@C21orf128,150147,23821,Q8N2C9,UMODL1-AS1,"UMODL1 antisense RNA 1","RNA, long non-coding"
35,T081654,1962,0.9756,p74@PDE4DIP,9659,15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
36,T191835,1953,0.9746,p27@FREM1,158326,23399,,FREM1,"FRAS1 related extracellular matrix 1","gene with protein product"
37,T130149,1958,0.9732,p3@CPA3,1359,2298,P15088,CPA3,"carboxypeptidase A3","gene with protein product"
38,T081658,1948,0.9716,p61@PDE4DIP,9659,15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
39,T155810,1947,0.9691,p19@IQGAP2,10788,6111,,IQGAP2,"IQ motif containing GTPase activating protein 2","gene with protein product"
40,T084164,1943,0.9686,p20@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
41,T084139,1939,0.9671,p10@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
42,T182612,1935,0.9646,p12@MSR1,4481,7376,,MSR1,"macrophage scavenger receptor 1","gene with protein product"
43,T084163,1932,0.9641,p15@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
44,T015364,1935,0.9632,p1@MS4A2,2206,7316,Q01362,MS4A2,"membrane spanning 4-domains A2","gene with protein product"
45,T125840,1936,0.9627,p20@ATOH8,84913,24126,,ATOH8,"atonal bHLH transcription factor 8","gene with protein product"
46,T091375,1930,0.9616,p10@LYST,1130,1968,,LYST,"lysosomal trafficking regulator","gene with protein product"
47,T015122,1936,0.9608,p13@SERPING1,710,1228,"E9KL26,P05155",SERPING1,"serpin family G member 1","gene with protein product"
48,T095496,1922,0.9586,p10@SSBP3,23648,15674,,SSBP3,"single stranded DNA binding protein 3","gene with protein product"
49,T182611,1920,0.9562,p7@MSR1,4481,7376,,MSR1,"macrophage scavenger receptor 1","gene with protein product"
50,T117283,1920,0.9557,p1@CASP10,843,1500,"Q92851,B4E3T5",CASP10,"caspase 10","gene with protein product"
51,T128861,1916,0.9551,"p4@ISY1-RAB43,p4@ISY1","100534599,57461","29201,42969",,ISY1,"ISY1 splicing factor homolog","gene with protein product"
52,T081652,1916,0.9542,p71@PDE4DIP,9659,15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
53,T179453,1911,0.9526,p3@SLC25A32,81034,29683,B4DUQ5,SLC25A32,"solute carrier family 25 member 32","gene with protein product"
54,T081653,1905,0.9520,p78@PDE4DIP,9659,15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
55,T032994,1909,0.9516,p6@ELF1,1997,3316,P32519,ELF1,"E74 like ETS transcription factor 1","gene with protein product"
56,T120398,1911,0.9507,p13@TRPM8,79054,17961,,TRPM8,"transient receptor potential cation channel subfamily M member 8","gene with protein product"
57,T081655,1910,0.9507,p77@PDE4DIP,9659,15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
58,T009796,1907,0.9502,p2@IL18,3606,5986,"Q14116,Q6WWJ7",IL18,"interleukin 18","gene with protein product"
59,T145982,1905,0.9501,p3@BMP2K,55589,18041,,BMP2K,"BMP2 inducible kinase","gene with protein product"
60,T084161,1906,0.9487,p38@IFI16,3428,5395,,IFI16,"interferon gamma inducible protein 16","gene with protein product"
61,T141898,1901,0.9481,p10@QDPR,5860,9752,,QDPR,"quinoid dihydropteridine reductase","gene with protein product"
