Hs-PLXDC2,2000,1000,T003338-PLXDC2,"p12@PLXDC2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T152436,2007,1.0000,p10@CPEB4,80315,21747,B7ZLQ8,CPEB4,"cytoplasmic polyadenylation element binding protein 4","gene with protein product"
2,T073541,2010,1.0000,p5@ZNF146,7705,12931,,ZNF146,"zinc finger protein 146","gene with protein product"
3,T033518,2011,1.0000,p15@ITM2B,9445,6174,,ITM2B,"integral membrane protein 2B","gene with protein product"
4,T128292,2013,0.9990,p31@MYLK,4638,7590,,MYLK,"myosin light chain kinase","gene with protein product"
5,T010859,2012,0.9990,p15@SORL1,6653,11185,,SORL1,"sortilin related receptor 1","gene with protein product"
6,T169518,2008,0.9990,p3@HBP1,26959,23200,,HBP1,"HMG-box transcription factor 1","gene with protein product"
7,T028197,2006,0.9990,p10@CHD4,1108,1919,,CHD4,"chromodomain helicase DNA binding protein 4","gene with protein product"
8,T033519,2006,0.9990,p5@ITM2B,9445,6174,,ITM2B,"integral membrane protein 2B","gene with protein product"
9,T061833,2001,0.9990,p1@MIR3064,100616387,41652,,MIR3064,"microRNA 3064","RNA, micro"
10,T174179,2005,0.9985,p37@HNRNPA2B1,3181,5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
11,T040272,2005,0.9985,p2@PSEN1,5663,9508,E7ES96,PSEN1,"presenilin 1","gene with protein product"
12,T177403,2002,0.9985,p4@PTPN12,5782,9645,"A4D1C5,Q05209",PTPN12,"protein tyrosine phosphatase, non-receptor type 12","gene with protein product"
13,T020026,2002,0.9985,p3@WNK1,65125,14540,,WNK1,"WNK lysine deficient protein kinase 1","gene with protein product"
14,T130555,2007,0.9980,p13@MBNL1,4154,6923,"Q96RE3,E9PBW7,Q86UV8",MBNL1,"muscleblind like splicing regulator 1","gene with protein product"
15,T032895,2006,0.9980,p4@PROSER1,80209,20291,Q86XN7,PROSER1,"proline and serine rich 1","gene with protein product"
16,T097091,1999,0.9980,p4@TTLL7,79739,26242,F2Z2X2,TTLL7,"tubulin tyrosine ligase like 7","gene with protein product"
17,T152435,2003,0.9965,p7@CPEB4,80315,21747,B7ZLQ8,CPEB4,"cytoplasmic polyadenylation element binding protein 4","gene with protein product"
18,T180344,1999,0.9960,p7@ZHX2,22882,18513,,ZHX2,"zinc fingers and homeoboxes 2","gene with protein product"
19,T176396,2003,0.9955,p9@ACTB,60,132,,ACTB,"actin beta","gene with protein product"
20,T195982,1997,0.9955,p8@TCEAL4,79921,26121,,TCEAL4,"transcription elongation factor A like 4","gene with protein product"
21,T062111,1997,0.9950,p4@BPTF,2186,3581,E9PE19,BPTF,"bromodomain PHD finger transcription factor","gene with protein product"
22,T138609,1995,0.9950,p15@TET2,54790,25941,Q6N021,TET2,"tet methylcytosine dioxygenase 2","gene with protein product"
23,T044680,1996,0.9945,p5@CCPG1,9236,24227,Q9ULG6,CCPG1,"cell cycle progression 1","gene with protein product"
24,T092005,1995,0.9945,p1@HNRNPU-AS1,,27651,,NA,NA,NA
25,T157530,1994,0.9945,p6@SEC63,11231,21082,,SEC63,"SEC63 homolog, protein translocation regulator","gene with protein product"
26,T179620,1993,0.9945,p7@OXR1,55074,15822,Q8N573,OXR1,"oxidation resistance 1","gene with protein product"
27,T187826,1997,0.9935,p6@TGFBR1,7046,11772,,TGFBR1,"transforming growth factor beta receptor 1","gene with protein product"
28,T086373,1997,0.9935,p6@GLUL,2752,4341,,GLUL,"glutamate-ammonia ligase","gene with protein product"
29,T006539,1993,0.9925,p4@PSAP,5660,9498,,PSAP,prosaposin,"gene with protein product"
30,T043860,1991,0.9925,p4@SPG11,80208,11226,,SPG11,"spastic paraplegia 11 (autosomal recessive)","gene with protein product"
31,T140296,1996,0.9920,p2@RTN3P1,,19212,,RTN3P1,"reticulon 3 pseudogene 1",pseudogene
32,T113110,1993,0.9920,p3@ACVR2A,92,173,P27037,ACVR2A,"activin A receptor type 2A","gene with protein product"
33,T144865,1988,0.9900,p4@YTHDC1,91746,30626,,YTHDC1,"YTH domain containing 1","gene with protein product"
34,T177601,1986,0.9900,p8@SEMA3C,10512,10725,,SEMA3C,"semaphorin 3C","gene with protein product"
35,T152434,1988,0.9895,p8@CPEB4,80315,21747,B7ZLQ8,CPEB4,"cytoplasmic polyadenylation element binding protein 4","gene with protein product"
36,T084983,1987,0.9890,p5@RGS5,8490,10001,,RGS5,"regulator of G-protein signaling 5","gene with protein product"
37,T178003,1993,0.9886,p6@CLDN12,9069,2034,Q6FIF6,CLDN12,"claudin 12","gene with protein product"
38,T129352,1988,0.9886,p9@CEP63,80254,25815,,CEP63,"centrosomal protein 63","gene with protein product"
39,T159233,1984,0.9880,p29@SGK1,6446,10810,,SGK1,"serum/glucocorticoid regulated kinase 1","gene with protein product"
40,T100011,1981,0.9875,p7@NCOA6,23054,15936,,NCOA6,"nuclear receptor coactivator 6","gene with protein product"
41,T006376,1984,0.9866,p6@EIF4EBP2,1979,3289,,EIF4EBP2,"eukaryotic translation initiation factor 4E binding protein 2","gene with protein product"
42,T014654,1978,0.9846,p4@SLC39A13,91252,20859,,SLC39A13,"solute carrier family 39 member 13","gene with protein product"
43,T128800,1976,0.9836,p5@RAB7A,7879,9788,,RAB7A,"RAB7A, member RAS oncogene family","gene with protein product"
44,T016812,1974,0.9811,p8@NEAT1,283131,30815,,NEAT1,"nuclear paraspeckle assembly transcript 1 (non-protein coding)","RNA, long non-coding"
45,T074762,1969,0.9811,p15@ARHGEF1,9138,681,,ARHGEF1,"Rho guanine nucleotide exchange factor 1","gene with protein product"
46,T171642,1967,0.9810,p6@TBXAS1,6916,11609,,TBXAS1,"thromboxane A synthase 1","gene with protein product"
47,T123669,1969,0.9806,p14@RTN4,57142,14085,,RTN4,"reticulon 4","gene with protein product"
48,T069295,1970,0.9801,p11@RALBP1,10928,9841,Q5GJ68,RALBP1,"ralA binding protein 1","gene with protein product"
49,T018060,1965,0.9796,p12@IL18BP,10068,5987,,IL18BP,"interleukin 18 binding protein","gene with protein product"
50,T123678,1965,0.9796,p21@RTN4,57142,14085,Q9NQC3,RTN4,"reticulon 4","gene with protein product"
51,T034842,1962,0.9795,p4@MBNL2,10150,16746,B4E3F7,MBNL2,"muscleblind like splicing regulator 2","gene with protein product"
52,T047861,1971,0.9786,p3@IQGAP1,8826,6110,,IQGAP1,"IQ motif containing GTPase activating protein 1","gene with protein product"
53,T121900,1966,0.9786,p11@PPP1CB,5500,9282,,PPP1CB,"protein phosphatase 1 catalytic subunit beta","gene with protein product"
54,T056812,1962,0.9781,p1@TAOK1,57551,29259,,TAOK1,"TAO kinase 1","gene with protein product"
55,T040075,1959,0.9766,p12@SRSF5,6430,10787,,SRSF5,"serine and arginine rich splicing factor 5","gene with protein product"
