Hs-AIF1L,2000,1000,T190500-AIF1L,"p13@AIF1L"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T010231,2008,0.9995,p1@FXYD2,486,4026,"P54710,Q8N8W8",FXYD2,"FXYD domain containing ion transport regulator 2","gene with protein product"
2,T052932,2006,0.9995,p2@CDH16,1014,1755,,CDH16,"cadherin 16","gene with protein product"
3,T174443,2005,0.9995,p16@HOXA10,3206,5100,,HOXA10,"homeobox A10","gene with protein product"
4,T190502,2010,0.9990,p4@AIF1L,83543,28904,A6PVM9,AIF1L,"allograft inflammatory factor 1 like","gene with protein product"
5,T010416,2009,0.9990,p25@PHLDB1,23187,23697,Q86UU1,PHLDB1,"pleckstrin homology like domain family B member 1","gene with protein product"
6,T009728,2008,0.9990,p12@CRYAB,1410,2389,,CRYAB,"crystallin alpha B","gene with protein product"
7,T010417,2006,0.9990,p22@PHLDB1,23187,23697,Q86UU1,PHLDB1,"pleckstrin homology like domain family B member 1","gene with protein product"
8,T038441,2006,0.9990,p25@CDKL1,8814,1781,,CDKL1,"cyclin dependent kinase like 1","gene with protein product"
9,T008699,2005,0.9990,p5@PI4K2A,55361,30031,E9PAM4,PI4K2A,"phosphatidylinositol 4-kinase type 2 alpha","gene with protein product"
10,T190501,2005,0.9990,p7@AIF1L,83543,28904,A6PVM9,AIF1L,"allograft inflammatory factor 1 like","gene with protein product"
11,T190503,2002,0.9990,p3@AIF1L,83543,28904,A6PVM9,AIF1L,"allograft inflammatory factor 1 like","gene with protein product"
12,T039014,2006,0.9985,p2@C14orf105,55195,20189,"F5GWJ3,E9PSE9,Q05C89",C14orf105,"chromosome 14 open reading frame 105","gene with protein product"
13,T057583,2004,0.9985,p1@HNF1B,6928,11630,F5H7Y3,HNF1B,"HNF1 homeobox B","gene with protein product"
14,T045955,2003,0.9970,p2@PAQR5,54852,29645,Q9NXK6,PAQR5,"progestin and adipoQ receptor family member 5","gene with protein product"
15,T110811,2000,0.9955,p2@SULT1C2,6819,11456,"B8ZZF7,B4DLP0",SULT1C2,"sulfotransferase family 1C member 2","gene with protein product"
16,T062373,1995,0.9945,p1@KCNJ16,3773,6262,Q9NPI9,KCNJ16,"potassium voltage-gated channel subfamily J member 16","gene with protein product"
17,T123030,1991,0.9940,p4@SLC3A1,6519,11025,G3V1I5,SLC3A1,"solute carrier family 3 member 1","gene with protein product"
18,T170692,1998,0.9935,p1@KCP,375616,17585,Q6ZWJ8,KCP,"kielin/chordin-like protein","gene with protein product"
19,T174412,1995,0.9935,p2@HOXA7,3204,5108,P31268,HOXA7,"homeobox A7","gene with protein product"
20,T133032,1993,0.9930,p5@CLDN16,10686,2037,,CLDN16,"claudin 16","gene with protein product"
21,T133002,1992,0.9906,p3@LEPREL1,55214,19317,Q8IVL5,P3H2,"prolyl 3-hydroxylase 2","gene with protein product"
22,T052931,1987,0.9905,p1@CDH16,1014,1755,F5H184,CDH16,"cadherin 16","gene with protein product"
23,T133035,1988,0.9895,p4@CLDN16,10686,2037,A0SDD8,CLDN16,"claudin 16","gene with protein product"
24,T000241,1983,0.9885,p3@PAX2,5076,8616,G3V5U4,PAX2,"paired box 2","gene with protein product"
25,T179608,1987,0.9881,p14@OXR1,55074,15822,,OXR1,"oxidation resistance 1","gene with protein product"
26,T103096,1981,0.9861,p12@LRRN4,164312,16208,,LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
27,T174411,1978,0.9851,p5@HOXA7,3204,5108,P31268,HOXA7,"homeobox A7","gene with protein product"
28,T000227,1975,0.9836,p4@PAX2,5076,8616,G3V3X9,PAX2,"paired box 2","gene with protein product"
29,T122144,1973,0.9831,p1@GALNT14,79623,22946,Q96FL9,GALNT14,"polypeptide N-acetylgalactosaminyltransferase 14","gene with protein product"
30,T005464,1972,0.9821,p4@BICC1,80114,19351,Q9H694,BICC1,"BicC family RNA binding protein 1","gene with protein product"
31,T010230,1967,0.9820,p3@FXYD2,486,4026,,FXYD2,"FXYD domain containing ion transport regulator 2","gene with protein product"
32,T025378,1974,0.9806,p8@RAPGEF3,10411,16629,O95398,RAPGEF3,"Rap guanine nucleotide exchange factor 3","gene with protein product"
33,T133036,1969,0.9801,p2@CLDN16,10686,2037,A0SDD8,CLDN16,"claudin 16","gene with protein product"
34,T174360,1965,0.9791,p3@HOXA3,3200,5104,F2Z3A4,HOXA3,"homeobox A3","gene with protein product"
35,T069982,1963,0.9786,p5@ZNF44,51710,13110,,ZNF44,"zinc finger protein 44","gene with protein product"
36,T010863,1966,0.9762,p8@MICAL2,9645,24693,E9PNC3,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2","gene with protein product"
37,T025379,1958,0.9756,p2@RAPGEF3,10411,16629,,RAPGEF3,"Rap guanine nucleotide exchange factor 3","gene with protein product"
38,T130249,1956,0.9751,p21@WWTR1,25937,24042,,WWTR1,"WW domain containing transcription regulator 1","gene with protein product"
39,T083960,1955,0.9751,p1@KIRREL,55243,15734,"Q96J84,B4DN67",KIRREL,"kin of IRRE like (Drosophila)","gene with protein product"
40,T129674,1959,0.9746,p17@ZBTB38,253461,26636,"D6RE69,Q8NAP3,Q9H6F0",ZBTB38,"zinc finger and BTB domain containing 38","gene with protein product"
41,T111383,1958,0.9741,p1@PAX8,7849,8622,Q06710,PAX8,"paired box 8","gene with protein product"
42,T133003,1958,0.9736,p1@LEPREL1,55214,19317,Q8IVL5,P3H2,"prolyl 3-hydroxylase 2","gene with protein product"
43,T120355,1948,0.9725,p2@UGT1A6,54578,12538,"P19224,Q5DSZ8",UGT1A6,"UDP glucuronosyltransferase family 1 member A6","complex locus constituent"
44,T130248,1950,0.9711,p18@WWTR1,25937,24042,,WWTR1,"WW domain containing transcription regulator 1","gene with protein product"
45,T133033,1948,0.9706,p3@CLDN16,10686,2037,,CLDN16,"claudin 16","gene with protein product"
