Hs-CUX1,2000,1000,T169046-CUX1,"p13@CUX1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T194886,2003,1.0000,p14@IARS,3376,5330,,IARS,"isoleucyl-tRNA synthetase","gene with protein product"
2,T189007,2013,1.0000,p68@PAPPA,5069,8602,,PAPPA,"pappalysin 1","gene with protein product"
3,T078131,2006,1.0000,p5@C19orf51,352909,30492,,DNAAF3,"dynein axonemal assembly factor 3","gene with protein product"
4,T121969,2002,0.9995,p11@CLIP4,79745,26108,,CLIP4,"CAP-Gly domain containing linker protein family member 4","gene with protein product"
5,T169045,2010,0.9990,p9@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
6,T029084,2008,0.9990,p1@CD163L1,283316,30375,,CD163L1,"CD163 molecule like 1","gene with protein product"
7,T111078,2007,0.9990,p2@NT5DC4,284958,27678,,NT5DC4,"5'-nucleotidase domain containing 4","gene with protein product"
8,T000534,2006,0.9990,p20@C10orf26,54838,23510,Q9NX94,WBP1L,"WW domain binding protein 1-like","gene with protein product"
9,T169044,2004,0.9990,p6@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
10,T096078,2000,0.9990,p2@ESPN,83715,13281,,ESPN,espin,"gene with protein product"
11,T175062,2008,0.9985,p4@EEPD1,80820,22223,,EEPD1,"endonuclease/exonuclease/phosphatase family domain containing 1","gene with protein product"
12,T121967,2007,0.9985,p12@CLIP4,79745,26108,,CLIP4,"CAP-Gly domain containing linker protein family member 4","gene with protein product"
13,T131170,2002,0.9985,p2@ARL14,80117,22974,Q8N4G2,ARL14,"ADP ribosylation factor like GTPase 14","gene with protein product"
14,T015177,2001,0.9985,p4@CTNND1,1500,2515,E9PIE5,CTNND1,"catenin delta 1","gene with protein product"
15,T098892,2000,0.9985,p2@NAA20,51126,15908,"P61599,A6NHA3",NAA20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit","gene with protein product"
16,T006751,2004,0.9980,p3@MRPS16,51021,14048,,MRPS16,"mitochondrial ribosomal protein S16","gene with protein product"
17,T043838,2003,0.9980,p3@CASC4,113201,24892,,CASC4,"cancer susceptibility candidate 4","gene with protein product"
18,T172655,2002,0.9980,p7@NOS3,4846,7876,"E9PFF3,P29474",NOS3,"nitric oxide synthase 3","gene with protein product"
19,T023148,2002,0.9975,p4@GALNT9,50614,4131,,GALNT9,"polypeptide N-acetylgalactosaminyltransferase 9","gene with protein product"
20,T090349,2003,0.9960,p33@CNIH3,149111,26802,,CNIH3,"cornichon family AMPA receptor auxiliary protein 3","gene with protein product"
21,T024551,2001,0.9955,p5@DDX11,1663,2736,,DDX11,"DEAD/H-box helicase 11","gene with protein product"
22,T121968,1999,0.9955,p28@CLIP4,79745,26108,,CLIP4,"CAP-Gly domain containing linker protein family member 4","gene with protein product"
23,T169042,1998,0.9955,p3@CUX1,1523,2557,,CUX1,"cut like homeobox 1","gene with protein product"
24,T043813,2000,0.9950,p3@MFAP1,4236,7032,P55081,MFAP1,"microfibrillar associated protein 1","gene with protein product"
25,T042138,1997,0.9950,p8@ALDH1A3,220,409,,ALDH1A3,"aldehyde dehydrogenase 1 family member A3","gene with protein product"
