Hs-SYNPO2,2000,1000,T139299-SYNPO2,"p13@SYNPO2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T029543,2010,0.9995,p4@MYF6,4618,7566,P23409,MYF6,"myogenic factor 6","gene with protein product"
2,T125124,2008,0.9990,p2@ACTG2,72,145,,ACTG2,"actin, gamma 2, smooth muscle, enteric","gene with protein product"
3,T087190,2006,0.9990,p18@TROVE2,6738,11313,,TROVE2,"TROVE domain family member 2","gene with protein product"
4,T132875,2005,0.9990,p36@LPP,4026,6679,,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
5,T032952,2009,0.9985,p3@FOXO1,2308,3819,Q12778,FOXO1,"forkhead box O1","gene with protein product"
6,T012105,2008,0.9985,p2@MOB2,81532,24904,Q70IA6,MOB2,"MOB kinase activator 2","gene with protein product"
7,T179132,2004,0.9985,p12@PABPC1,26986,8554,,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
8,T087299,2003,0.9985,p2@CFH,3075,4883,"P08603,C9JYL1,F8WDX4",CFH,"complement factor H","gene with protein product"
9,T084205,2004,0.9980,p9@DARC,2532,4035,Q4VBN9,ACKR1,"atypical chemokine receptor 1 (Duffy blood group)","gene with protein product"
10,T100291,2003,0.9980,p3@MYL9,10398,15754,P24844,MYL9,"myosin light chain 9","gene with protein product"
11,T185037,2002,0.9975,p16@KIAA0146,23514,28971,B4DWT8,SPIDR,"scaffolding protein involved in DNA repair","gene with protein product"
12,T139528,1998,0.9970,p12@SPRY1,10252,11269,O43609,SPRY1,"sprouty RTK signaling antagonist 1","gene with protein product"
13,T168505,2001,0.9965,p5@FHL5,9457,17371,,FHL5,"four and a half LIM domains 5","gene with protein product"
14,T036234,1999,0.9965,p2@RPPH1,,19273,,RPPH1,"ribonuclease P RNA component H1","RNA, misc"
15,T131241,2003,0.9960,p5@GALNTL2,117248,21531,C9JGI4,GALNT15,"polypeptide N-acetylgalactosaminyltransferase 15","gene with protein product"
16,T090088,1995,0.9945,p11@HSPG2,3339,5273,,HSPG2,"heparan sulfate proteoglycan 2","gene with protein product"
17,T132857,1996,0.9940,p12@LPP,4026,6679,Q93052,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
18,T112021,1994,0.9940,p27@LIMS2,55679,16084,Q7Z4I7,LIMS2,"LIM zinc finger domain containing 2","gene with protein product"
19,T139275,1993,0.9925,p10@SYNPO2,171024,17732,,SYNPO2,"synaptopodin 2","gene with protein product"
20,T049131,1991,0.9915,p37@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
21,T049133,1990,0.9915,p15@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
22,T145910,1988,0.9915,p7@CNOT6L,246175,18042,,CNOT6L,"CCR4-NOT transcription complex subunit 6 like","gene with protein product"
23,T154119,1990,0.9900,p10@C6,729,1339,P13671,C6,"complement C6","gene with protein product"
24,T041436,1989,0.9900,p24@FBLN5,10516,3602,G3V4U0,FBLN5,"fibulin 5","gene with protein product"
25,T199597,1988,0.9900,p13@USP9X,8239,12632,,USP9X,"ubiquitin specific peptidase 9, X-linked","gene with protein product"
26,T015134,1986,0.9900,p22@SERPING1,710,1228,P05155,SERPING1,"serpin family G member 1","gene with protein product"
27,T044208,1985,0.9900,p7@FGF7,2252,3685,Q6FGV5,FGF7,"fibroblast growth factor 7","gene with protein product"
28,T132876,1990,0.9896,p14@LPP,4026,6679,,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
29,T139280,1986,0.9895,p4@SYNPO2,171024,17732,Q9UMS6,SYNPO2,"synaptopodin 2","gene with protein product"
30,T131237,1983,0.9895,p4@GALNTL2,117248,21531,Q8N3T1,GALNT15,"polypeptide N-acetylgalactosaminyltransferase 15","gene with protein product"
31,T123718,1989,0.9886,p6@C2orf63,130162,26453,E7EVC5,CLHC1,"clathrin heavy chain linker domain containing 1","gene with protein product"
32,T174800,1988,0.9886,"p1@INMT-FAM188B,p1@INMT,p2@FAM188B","11185,100526825,84182","6069,41995,21916","O95050,B8ZZ69,F8WBC2,Q3MIB5",INMT,"indolethylamine N-methyltransferase","gene with protein product"
33,T057995,1986,0.9886,p8@NR1D1,9572,7962,"F1D8S3,P20393",NR1D1,"nuclear receptor subfamily 1 group D member 1","gene with protein product"
34,T087929,1991,0.9881,p6@PPP1R12B,4660,7619,E1CKY7,PPP1R12B,"protein phosphatase 1 regulatory subunit 12B","gene with protein product"
35,T016953,1978,0.9880,p12@LTBP3,4054,6716,E7EWA3,LTBP3,"latent transforming growth factor beta binding protein 3","gene with protein product"
36,T139298,1985,0.9876,p16@SYNPO2,171024,17732,Q9UMS6,SYNPO2,"synaptopodin 2","gene with protein product"
37,T062308,1982,0.9875,p7@ABCA6,23460,36,Q8N139,ABCA6,"ATP binding cassette subfamily A member 6","gene with protein product"
38,T184196,1979,0.9865,p18@RBPMS,11030,19097,E5RFP4,RBPMS,"RNA binding protein with multiple splicing","gene with protein product"
39,T178544,1981,0.9861,p12@PDK4,5166,8812,,PDK4,"pyruvate dehydrogenase kinase 4","gene with protein product"
40,T117603,1981,0.9851,p9@RHOB,388,668,Q7Z4F6,RHOB,"ras homolog family member B","gene with protein product"
41,T140540,1978,0.9846,p11@SH3D19,152503,30418,B3KS04,SH3D19,"SH3 domain containing 19","gene with protein product"
42,T142572,1975,0.9845,p80@SORBS2,8470,24098,,SORBS2,"sorbin and SH3 domain containing 2","gene with protein product"
43,T048461,1981,0.9841,p27@SYNM,23336,24466,,SYNM,synemin,"gene with protein product"
44,T026393,1977,0.9841,p6@TENC1,23371,19737,F8VV64,TNS2,"tensin 2","gene with protein product"
45,T139522,1973,0.9826,p1@SPRY1,10252,11269,"O43609,D6REX7",SPRY1,"sprouty RTK signaling antagonist 1","gene with protein product"
46,T160807,1970,0.9816,p35@SYNE1,23345,17089,,SYNE1,"spectrin repeat containing nuclear envelope protein 1","gene with protein product"
47,T062307,1975,0.9811,p2@ABCA6,23460,36,Q8N139,ABCA6,"ATP binding cassette subfamily A member 6","gene with protein product"
48,T129723,1971,0.9801,p10@ZBTB38,253461,26636,D6R9U6,ZBTB38,"zinc finger and BTB domain containing 38","gene with protein product"
49,T199313,1967,0.9801,p38@DMD,1756,2928,,DMD,dystrophin,"gene with protein product"
50,T139282,1966,0.9801,p5@SYNPO2,171024,17732,B4DLE4,SYNPO2,"synaptopodin 2","gene with protein product"
51,T044893,1971,0.9796,p23@ALDH1A2,8854,15472,,ALDH1A2,"aldehyde dehydrogenase 1 family member A2","gene with protein product"
52,T049124,1970,0.9791,p9@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
53,T055828,1963,0.9791,p3@SERPINF2,5345,9075,P08697,SERPINF2,"serpin family F member 2","gene with protein product"
54,T139278,1969,0.9777,p3@SYNPO2,171024,17732,C6H0M7,SYNPO2,"synaptopodin 2","gene with protein product"
55,T062038,1963,0.9776,p9@KIAA0753,9851,29110,B7Z6L6,KIAA0753,KIAA0753,"gene with protein product"
56,T029541,1958,0.9770,p1@MYF6,4618,7566,P23409,MYF6,"myogenic factor 6","gene with protein product"
57,T168508,1958,0.9766,p4@FHL5,9457,17371,Q5TD97,FHL5,"four and a half LIM domains 5","gene with protein product"
58,T044234,1959,0.9761,p11@ATP8B4,79895,13536,,ATP8B4,"ATPase phospholipid transporting 8B4 (putative)","gene with protein product"
59,T041437,1957,0.9731,p13@FBLN5,10516,3602,G3V4U0,FBLN5,"fibulin 5","gene with protein product"
60,T061816,1956,0.9727,p4@TEX2,55852,30884,,TEX2,"testis expressed 2","gene with protein product"
61,T118343,1952,0.9716,p65@FN1,2335,3778,,FN1,"fibronectin 1","gene with protein product"
62,T177961,1950,0.9716,p2@STEAP4,79689,21923,Q687X5,STEAP4,"STEAP4 metalloreductase","gene with protein product"
63,T123789,1950,0.9716,p5@EFEMP1,2202,3218,,EFEMP1,"EGF containing fibulin like extracellular matrix protein 1","gene with protein product"
64,T169930,1947,0.9716,p9@TES,26136,14620,,TES,"testin LIM domain protein","gene with protein product"
65,T095820,1949,0.9692,p13@NFIA,4774,7784,,NFIA,"nuclear factor I A","gene with protein product"
66,T199316,1944,0.9686,p4@DMD,1756,2928,P11532,DMD,dystrophin,"gene with protein product"
67,T076151,1945,0.9681,p5@FEM1A,55527,16934,Q9BSK4,FEM1A,"fem-1 homolog A","gene with protein product"
68,T049128,1942,0.9681,p38@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
69,T090966,1946,0.9672,p4@EGLN1,54583,1232,"Q9GZT9,Q9NTU9",EGLN1,"egl-9 family hypoxia inducible factor 1","gene with protein product"
70,T132856,1937,0.9670,p24@LPP,4026,6679,Q93052,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
71,T020653,1937,0.9661,p26@CSDA,8531,2428,,YBX3,"Y-box binding protein 3","gene with protein product"
72,T084981,1943,0.9657,p9@RGS5,8490,10001,,RGS5,"regulator of G-protein signaling 5","gene with protein product"
73,T199314,1935,0.9636,p7@DMD,1756,2928,P11532,DMD,dystrophin,"gene with protein product"
74,T163019,1941,0.9633,p3@BTN2A1,11120,1136,E9PGR4,BTN2A1,"butyrophilin subfamily 2 member A1","gene with protein product"
75,T024657,1938,0.9632,p47@C12orf35,55196,25559,Q9HCM1,KIAA1551,KIAA1551,"gene with protein product"
76,T139281,1932,0.9631,p1@SYNPO2,171024,17732,B4DLE4,SYNPO2,"synaptopodin 2","gene with protein product"
77,T015126,1929,0.9631,p11@SERPING1,710,1228,P05155,SERPING1,"serpin family G member 1","gene with protein product"
78,T062306,1932,0.9626,p1@ABCA6,23460,36,Q8N139,ABCA6,"ATP binding cassette subfamily A member 6","gene with protein product"
79,T044210,1926,0.9611,p14@FGF7,2252,3685,Q6FGV5,FGF7,"fibroblast growth factor 7","gene with protein product"
80,T136592,1930,0.9607,p2@SLMAP,7871,16643,Q14BN4,SLMAP,"sarcolemma associated protein","gene with protein product"
81,T049156,1927,0.9597,p7@MYH11,4629,7569,P35749,MYH11,"myosin heavy chain 11","gene with protein product"
82,T074281,1926,0.9592,p25@AKT2,208,392,C9JHS6,AKT2,"AKT serine/threonine kinase 2","gene with protein product"
83,T084202,1925,0.9587,p1@DARC,2532,4035,Q5JY94,ACKR1,"atypical chemokine receptor 1 (Duffy blood group)","gene with protein product"
