Hs-LYAR,2000,1000,T143988-LYAR,"p15@LYAR"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T036237,2011,1.0000,p5@PARP2,10038,272,,PARP2,"poly(ADP-ribose) polymerase 2","gene with protein product"
2,T005671,2008,1.0000,p7@RHOBTB1,9886,18738,O94844,RHOBTB1,"Rho related BTB domain containing 1","gene with protein product"
3,T191626,2009,1.0000,p2@ANAPC2,29882,19989,Q9UJX6,ANAPC2,"anaphase promoting complex subunit 2","gene with protein product"
4,T097198,2006,1.0000,p7@SSX2IP,117178,16509,Q9Y2D8,SSX2IP,"SSX family member 2 interacting protein","gene with protein product"
5,T027178,2008,1.0000,p23@BAZ2A,11176,962,"F8VU39,Q9UIF9",BAZ2A,"bromodomain adjacent to zinc finger domain 2A","gene with protein product"
6,T183881,2007,0.9995,p27@CLU,1191,2095,P10909,CLU,clusterin,"gene with protein product"
7,T029874,2007,0.9995,p9@RIMKLB,57494,29228,,RIMKLB,"ribosomal modification protein rimK like family member B","gene with protein product"
8,T136649,2005,0.9995,p3@RPP14,11102,30327,,RPP14,"ribonuclease P/MRP subunit p14","gene with protein product"
9,T133248,2004,0.9995,p4@GP5,2814,4443,,GP5,"glycoprotein V platelet","gene with protein product"
10,T104614,2003,0.9995,p5@C21orf59,56683,1301,"P57076,Q96NJ2",C21orf59,"chromosome 21 open reading frame 59","gene with protein product"
11,T166715,2014,0.9990,p11@LYRM4,57128,21365,"Q9HD34,F5H189,C9JRX8",LYRM4,"LYR motif containing 4","gene with protein product"
12,T197323,2010,0.9990,p8@FAM122C,159091,25202,F5H036,FAM122C,"family with sequence similarity 122C","gene with protein product"
13,T024571,2010,0.9990,p10@FAM60A,58516,30702,Q9NP50,FAM60A,"family with sequence similarity 60 member A","gene with protein product"
14,T038341,2010,0.9990,p10@KLHDC2,23588,20231,G3V2H2,KLHDC2,"kelch domain containing 2","gene with protein product"
15,T031463,2010,0.9990,p21@ARHGEF7,8874,15607,B7Z6G2,ARHGEF7,"Rho guanine nucleotide exchange factor 7","gene with protein product"
16,T047364,2010,0.9990,p89@AKAP13,11214,371,,AKAP13,"A-kinase anchoring protein 13","gene with protein product"
17,T021251,2010,0.9990,p4@CCDC42B,387885,37100,,CFAP73,"cilia and flagella associated protein 73","gene with protein product"
18,T077703,2009,0.9990,p27@ZNF331,55422,15489,,ZNF331,"zinc finger protein 331","gene with protein product"
19,T036575,2009,0.9990,p3@TRAV8-2,,12147,,TRAV8-2,"T cell receptor alpha variable 8-2","T cell receptor gene"
20,T184430,2008,0.9990,p6@ERLIN2,11160,1356,E5RHW4,ERLIN2,"ER lipid raft associated 2","gene with protein product"
21,T188516,2008,0.9990,p15@KIAA0368,23392,29020,,KIAA0368,KIAA0368,"gene with protein product"
22,T028391,2008,0.9990,p11@LAG3,3902,6476,,LAG3,"lymphocyte activating 3","gene with protein product"
23,T076982,2008,0.9990,p3@VRK3,51231,18996,Q8IV63,VRK3,"vaccinia related kinase 3","gene with protein product"
24,T197326,2007,0.9990,p12@FAM122B,159090,30490,Q7Z309,FAM122B,"family with sequence similarity 122B","gene with protein product"
