Hs-ZNF668,2000,1000,T051118-ZNF668,"p16@ZNF668"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T078524,2008,1.0000,p11@ZNF460,10794,21628,Q14592,ZNF460,"zinc finger protein 460","gene with protein product"
2,T000614,2010,1.0000,p4@CALHM2,51063,23493,,CALHM2,"calcium homeostasis modulator 2","gene with protein product"
3,T119715,2007,1.0000,p5@COL4A3,1285,2204,"F8W841,E7ENN2,F8W849,F8W8L3,Q01955",COL4A3,"collagen type IV alpha 3 chain","gene with protein product"
4,T198618,2007,1.0000,p3@ASMTL,8623,751,"F5GXH4,B4DX75",ASMTL,"acetylserotonin O-methyltransferase-like","gene with protein product"
5,T096215,2007,1.0000,"p4@LEPROT,p9@LEPR","54741,3953","29477,6554",,LEPROT,"leptin receptor overlapping transcript","gene with protein product"
6,T000775,2007,1.0000,p12@ITPRIP,85450,29370,Q8IWB1,ITPRIP,"inositol 1,4,5-trisphosphate receptor interacting protein","gene with protein product"
7,T157642,2015,1.0000,p21@CD164,8763,1632,D6R9B4,CD164,"CD164 molecule","gene with protein product"
8,T087745,2010,1.0000,p11@PHLDA3,23612,8934,,PHLDA3,"pleckstrin homology like domain family A member 3","gene with protein product"
9,T120335,2008,1.0000,p1@UGT1A8,54576,12540,"Q9HAW9,Q5DSZ6",UGT1A8,"UDP glucuronosyltransferase family 1 member A8","complex locus constituent"
10,T012028,2002,1.0000,p5@RRAS2,22800,17271,E9PQ87,RRAS2,"related RAS viral (r-ras) oncogene homolog 2","gene with protein product"
11,T119534,2004,1.0000,p54@SERPINE2,5270,8951,P07093,SERPINE2,"serpin family E member 2","gene with protein product"
12,T197084,2010,1.0000,p4@ZNF280C,55609,25955,Q8ND82,ZNF280C,"zinc finger protein 280C","gene with protein product"
13,T082779,2008,0.9995,p4@S100A4,6275,10494,P26447,S100A4,"S100 calcium binding protein A4","gene with protein product"
14,T049918,2007,0.9995,p2@GGA2,23062,16064,Q9UJY4,GGA2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2","gene with protein product"
15,T152714,2005,0.9995,p2@LMAN2,10960,16986,Q12907,LMAN2,"lectin, mannose binding 2","gene with protein product"
16,T114484,2005,0.9995,p6@STK39,27347,17717,Q9UEW8,STK39,"serine/threonine kinase 39","gene with protein product"
17,T022549,2002,0.9995,p11@CCDC92,80212,29563,F5GXK2,CCDC92,"coiled-coil domain containing 92","gene with protein product"
18,T048587,2015,0.9990,p2@DEXI,28955,13267,O95424,DEXI,"Dexi homolog","gene with protein product"
19,T159981,2011,0.9990,p13@GPR126,57211,13841,Q86SQ4,ADGRG6,"adhesion G protein-coupled receptor G6","gene with protein product"
20,T121955,2011,0.9990,p20@CLIP4,79745,26108,Q8N3C7,CLIP4,"CAP-Gly domain containing linker protein family member 4","gene with protein product"
21,T089234,2010,0.9990,p8@KIF17,57576,19167,,KIF17,"kinesin family member 17","gene with protein product"
22,T071485,2010,0.9990,p9@JUND,3727,6206,,JUND,"JunD proto-oncogene, AP-1 transcription factor subunit","gene with protein product"
23,T068032,2010,0.9990,p27@ALPK2,115701,20565,Q86TB3,ALPK2,"alpha kinase 2","gene with protein product"
24,T194364,2009,0.9990,p3@C9orf64,84267,28144,Q5T6V5,C9orf64,"chromosome 9 open reading frame 64","gene with protein product"
25,T079748,2009,0.9990,p8@CDC14A,8556,1718,Q9UNH5,CDC14A,"cell division cycle 14A","gene with protein product"
26,T050793,2009,0.9990,p5@TBX6,6911,11605,O95947,TBX6,"T-box 6","gene with protein product"
27,T174435,2009,0.9990,p11@HOXA10,3206,5100,,HOXA10,"homeobox A10","gene with protein product"
28,T166215,2009,0.9990,p1@MIR4647,100616124,41594,,MIR4647,"microRNA 4647","RNA, micro"
29,T158686,2008,0.9990,p20@TPD52L1,7164,12006,,TPD52L1,"tumor protein D52-like 1","gene with protein product"
30,T028176,2008,0.9990,p11@IFFO1,25900,24970,,IFFO1,"intermediate filament family orphan 1","gene with protein product"
31,T197416,2008,0.9990,p54@FHL1,2273,3702,Q5JXH7,FHL1,"four and a half LIM domains 1","gene with protein product"
32,T123717,2007,0.9990,p9@C2orf63,130162,26453,,CLHC1,"clathrin heavy chain linker domain containing 1","gene with protein product"
33,T145499,2007,0.9990,p2@PF4V1,5197,8862,P10720,PF4V1,"platelet factor 4 variant 1","gene with protein product"
34,T125319,2007,0.9990,p20@LOXL3,84695,13869,E7END4,LOXL3,"lysyl oxidase like 3","gene with protein product"
35,T017199,2007,0.9990,p4@PACS1,55690,30032,Q6VY07,PACS1,"phosphofurin acidic cluster sorting protein 1","gene with protein product"
36,T158191,2007,0.9990,p3@FAM26E,254228,21568,Q8N5C1,FAM26E,"family with sequence similarity 26 member E","gene with protein product"
