Hs-ACTA1,2000,1000,T090799-ACTA1,"p1@ACTA1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T084429,2008,0.9990,p7@CASQ1,844,1512,P31415,CASQ1,"calsequestrin 1","gene with protein product"
2,T006780,2006,0.9990,p3@PPP3CB,5532,9315,B7Z6P2,PPP3CB,"protein phosphatase 3 catalytic subunit beta","gene with protein product"
3,T090800,2005,0.9990,p6@ACTA1,58,129,A6NL76,ACTA1,"actin, alpha 1, skeletal muscle","gene with protein product"
4,T188172,2013,0.9985,p4@TMEM38B,55151,25535,Q9NVV0,TMEM38B,"transmembrane protein 38B","gene with protein product"
5,T006805,2004,0.9985,p1@MYOZ1,58529,13752,Q9NP98,MYOZ1,"myozenin 1","gene with protein product"
6,T070728,2004,0.9985,p8@TECR,9524,4551,Q9NZ01,TECR,"trans-2,3-enoyl-CoA reductase","gene with protein product"
7,T038924,2007,0.9980,p23@KTN1,3895,6467,G3V5P0,KTN1,"kinectin 1","gene with protein product"
8,T011398,2006,0.9980,p3@RPUSD4,84881,25898,,RPUSD4,"RNA pseudouridylate synthase domain containing 4","gene with protein product"
9,T050759,2006,0.9980,p21@ALDOA,226,414,P04075,ALDOA,"aldolase, fructose-bisphosphate A","gene with protein product"
10,T150996,2006,0.9975,p2@SLC36A2,153201,18762,E5RGH8,SLC36A2,"solute carrier family 36 member 2","gene with protein product"
11,T016560,2003,0.9975,p19@PYGM,5837,9726,P11217,PYGM,"glycogen phosphorylase, muscle associated","gene with protein product"
12,T169811,1999,0.9975,p1@C7orf53,286006,22036,Q8N8F7,LSMEM1,"leucine rich single-pass membrane protein 1","gene with protein product"
13,T090795,1999,0.9965,p4@ACTA1,58,129,"Q7Z7J6,P68133",ACTA1,"actin, alpha 1, skeletal muscle","gene with protein product"
14,T114543,2003,0.9960,p4@KBTBD10,10324,16905,,KLHL41,"kelch like family member 41","gene with protein product"
15,T094133,1998,0.9960,p4@FHL3,2275,3704,,FHL3,"four and a half LIM domains 3","gene with protein product"
16,T119223,1996,0.9945,p3@SPEG,10290,16901,Q15772,SPEG,"SPEG complex locus","gene with protein product"
