Hs-CCK,2000,1000,T134725-CCK,"p1@CCK"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T071366,2009,1.0000,p1@MAST3,23031,19036,O60307,MAST3,"microtubule associated serine/threonine kinase 3","gene with protein product"
2,T177029,2006,1.0000,p2@STX1A,6804,11433,"E7EPM5,Q16623,Q75ME0",STX1A,"syntaxin 1A","gene with protein product"
3,T047975,2007,1.0000,p2@SV2B,9899,16874,,SV2B,"synaptic vesicle glycoprotein 2B","gene with protein product"
4,T102560,2007,0.9995,p1@CBLN4,140689,16231,Q9NTU7,CBLN4,"cerebellin 4 precursor","gene with protein product"
5,T103092,2004,0.9995,p2@CDH4,1002,1763,G3V1P8,CDH4,"cadherin 4","gene with protein product"
6,T105455,2013,0.9990,p3@C21orf128,150147,23821,Q8N2C9,UMODL1-AS1,"UMODL1 antisense RNA 1","RNA, long non-coding"
7,T131118,2012,0.9990,p1@C3orf80,401097,40048,F5H4A9,C3orf80,"chromosome 3 open reading frame 80","gene with protein product"
8,T095775,2009,0.9990,p7@KCNAB2,8514,6229,Q13303,KCNAB2,"potassium voltage-gated channel subfamily A regulatory beta subunit 2","gene with protein product"
9,T187600,2008,0.9990,p1@KCNS2,3788,6301,Q9ULS6,KCNS2,"potassium voltage-gated channel modifier subfamily S member 2","gene with protein product"
10,T155630,2008,0.9990,p2@ENC1,8507,3345,O14682,ENC1,"ectodermal-neural cortex 1","gene with protein product"
11,T063666,2007,0.9990,p4@MGAT5B,146664,24140,,MGAT5B,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B","gene with protein product"
12,T191131,2007,0.9990,p1@OLFM1,10439,17187,F5GZQ2,OLFM1,"olfactomedin 1","gene with protein product"
13,T011107,2007,0.9990,p7@SCN3B,55800,20665,Q9NY72,SCN3B,"sodium voltage-gated channel beta subunit 3","gene with protein product"
14,T047976,2007,0.9990,p14@SV2B,9899,16874,,SV2B,"synaptic vesicle glycoprotein 2B","gene with protein product"
15,T154338,2006,0.9990,p10@MRPS30,10884,8769,,MRPS30,"mitochondrial ribosomal protein S30","gene with protein product"
16,T126638,2006,0.9990,p4@C2orf55,343990,33454,,KIAA1211L,"KIAA1211 like","gene with protein product"
17,T111652,2006,0.9990,p1@C1QL2,165257,24181,Q7Z5L3,C1QL2,"complement C1q like 2","gene with protein product"
18,T010278,2005,0.9990,p8@FXYD6,53826,4030,E9PJ02,FXYD6,"FXYD domain containing ion transport regulator 6","gene with protein product"
19,T110365,2005,0.9990,p2@CREG2,200407,14272,,CREG2,"cellular repressor of E1A stimulated genes 2","gene with protein product"
20,T015094,2002,0.9990,p1@RTN4RL2,349667,23053,Q86UN3,RTN4RL2,"reticulon 4 receptor-like 2","gene with protein product"
21,T139456,2007,0.9985,p1@TMEM155,132332,26418,,TMEM155,"transmembrane protein 155","gene with protein product"
22,T020489,2006,0.9985,p12@NUAK1,9891,14311,C9JL86,NUAK1,"NUAK family kinase 1","gene with protein product"
23,T131319,2004,0.9985,p2@SLITRK3,22865,23501,O94933,SLITRK3,"SLIT and NTRK like family member 3","gene with protein product"
24,T002791,2010,0.9980,p17@FRMD4A,55691,25491,,FRMD4A,"FERM domain containing 4A","gene with protein product"
25,T150614,2008,0.9980,p7@CAMK2A,815,1460,D6RHX9,CAMK2A,"calcium/calmodulin dependent protein kinase II alpha","gene with protein product"
26,T033473,2007,0.9980,p6@HTR2A,3356,5293,"F5GWE8,P28223,B4DZ79",HTR2A,"5-hydroxytryptamine receptor 2A","gene with protein product"
27,T157137,2005,0.9980,p1@MCHR2,84539,20867,Q969V1,MCHR2,"melanin concentrating hormone receptor 2","gene with protein product"
28,T157136,2005,0.9980,p2@MCHR2,84539,20867,Q969V1,MCHR2,"melanin concentrating hormone receptor 2","gene with protein product"
29,T011802,2003,0.9980,p3@TOLLIP,54472,16476,,TOLLIP,"toll interacting protein","gene with protein product"
30,T155640,2003,0.9975,p18@ENC1,8507,3345,"O14682,D6R9D7,E9PFU0,Q53XS2",ENC1,"ectodermal-neural cortex 1","gene with protein product"
31,T128388,2003,0.9975,p10@KALRN,8997,4814,,KALRN,"kalirin, RhoGEF kinase","gene with protein product"
32,T021973,2002,0.9975,p16@CABP1,9478,1384,Q9NZU7,CABP1,"calcium binding protein 1","gene with protein product"
33,T127355,2001,0.9975,p5@TAGLN3,29114,29868,F5H0F3,TAGLN3,"transgelin 3","gene with protein product"
34,T155646,2000,0.9975,p4@ADCY2,108,233,E9PGA2,ADCY2,"adenylate cyclase 2","gene with protein product"
35,T131119,2001,0.9970,p6@C3orf80,401097,40048,F5H4A9,C3orf80,"chromosome 3 open reading frame 80","gene with protein product"
36,T121640,2001,0.9965,p14@SLC30A3,7781,11014,Q99726,SLC30A3,"solute carrier family 30 member 3","gene with protein product"
37,T110366,1998,0.9965,p1@CREG2,200407,14272,Q8IUH2,CREG2,"cellular repressor of E1A stimulated genes 2","gene with protein product"
38,T033475,1997,0.9960,p1@HTR2A,3356,5293,"F5GWE8,P28223,B4DZ79",HTR2A,"5-hydroxytryptamine receptor 2A","gene with protein product"
39,T175521,1998,0.9955,p22@HECW1,23072,22195,,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","gene with protein product"
40,T188322,1995,0.9955,p4@EPB41L4B,54566,19818,Q9H329,EPB41L4B,"erythrocyte membrane protein band 4.1 like 4B","gene with protein product"
41,T038215,1993,0.9950,p6@LRFN5,145581,20360,Q96NI6,LRFN5,"leucine rich repeat and fibronectin type III domain containing 5","gene with protein product"
42,T010277,2004,0.9945,p5@FXYD6,"53826,100533181",4030,Q9H0Q3,FXYD6,"FXYD domain containing ion transport regulator 6","gene with protein product"
43,T020490,1997,0.9945,p11@NUAK1,9891,14311,C9JL86,NUAK1,"NUAK family kinase 1","gene with protein product"
44,T038443,1994,0.9940,p3@CDKL1,8814,1781,Q00532,CDKL1,"cyclin dependent kinase like 1","gene with protein product"
45,T001384,1992,0.9925,p3@ATRNL1,26033,29063,,ATRNL1,"attractin like 1","gene with protein product"
46,T110364,1988,0.9925,p3@CREG2,200407,14272,,CREG2,"cellular repressor of E1A stimulated genes 2","gene with protein product"
47,T176901,1991,0.9915,p2@WBSCR17,64409,16347,Q6IS24,WBSCR17,"Williams-Beuren syndrome chromosome region 17","gene with protein product"
48,T077161,1990,0.9915,p4@SHANK1,50944,15474,,SHANK1,"SH3 and multiple ankyrin repeat domains 1","gene with protein product"
49,T038217,1988,0.9915,p3@LRFN5,145581,20360,Q96NI6,LRFN5,"leucine rich repeat and fibronectin type III domain containing 5","gene with protein product"
50,T075890,1993,0.9910,p2@PNMAL2,57469,29206,Q9ULN7,PNMAL2,"paraneoplastic Ma antigen family like 2","gene with protein product"
51,T088489,1988,0.9905,p11@MFSD4,148808,25433,,MFSD4A,"major facilitator superfamily domain containing 4A","gene with protein product"
52,T021974,1987,0.9905,p1@CABP1,9478,1384,Q9NZU7,CABP1,"calcium binding protein 1","gene with protein product"
53,T077242,1987,0.9890,p3@KLK7,5650,6368,"B4DHX9,P49862,A8K0U5",KLK7,"kallikrein related peptidase 7","gene with protein product"
54,T125096,1987,0.9890,p14@FBXO41,150726,29409,G3V0Z7,FBXO41,"F-box protein 41","gene with protein product"
55,T047990,1984,0.9890,p13@SV2B,9899,16874,,SV2B,"synaptic vesicle glycoprotein 2B","gene with protein product"
56,T097450,1984,0.9885,p14@LMO4,8543,6644,,LMO4,"LIM domain only 4","gene with protein product"
57,T125085,1982,0.9885,p10@FBXO41,150726,29409,,FBXO41,"F-box protein 41","gene with protein product"
58,T015581,1992,0.9876,p4@DAK,26007,24552,,TKFC,"triokinase and FMN cyclase","gene with protein product"
59,T023219,1986,0.9871,p8@ANKLE2,23141,29101,Q86XL3,ANKLE2,"ankyrin repeat and LEM domain containing 2","gene with protein product"
60,T053901,1984,0.9871,p6@FBXL16,146330,14150,,FBXL16,"F-box and leucine rich repeat protein 16","gene with protein product"
