Hsz-CXCL10,2000,1000,T145702-CXCL10,"p1@CXCL10"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T145710,2006,1.0000,p1@CXCL11,6373,10638,,CXCL11,"C-X-C motif chemokine ligand 11","gene with protein product"
2,T097536,2006,1.0000,p1@GBP1,2633,4182,,GBP1,"guanylate binding protein 1","gene with protein product"
3,T004421,2008,1.0000,p2@CREM,1390,2352,"E9PAR2,C9JZ10,A8K014,Q03060,A8K6A1,E9PAR4,E9PB41",CREM,"cAMP responsive element modulator","gene with protein product"
4,T136545,2012,1.0000,p2@HESX1,8820,4877,Q9UBX0,HESX1,"HESX homeobox 1","gene with protein product"
5,T097616,2014,0.9995,p1@GBP1P1,400759,39561,,GBP1P1,"guanylate binding protein 1 pseudogene 1",pseudogene
6,T158724,2009,0.9995,p2@NCOA7,135112,21081,"Q8N3C8,Q8NI08",NCOA7,"nuclear receptor coactivator 7","gene with protein product"
7,T165406,2003,0.9985,p3@TMEM217,221468,21238,Q8N7C4,TMEM217,"transmembrane protein 217","gene with protein product"
8,T126580,2003,0.9970,p2@VWA3B,200403,28385,,VWA3B,"von Willebrand factor A domain containing 3B","gene with protein product"
9,T126403,2001,0.9970,p1@NEURL3,93082,25162,,NEURL3,"neuralized E3 ubiquitin protein ligase 3","gene with protein product"
10,T145685,1992,0.9950,p1@CXCL9,4283,7098,Q07325,CXCL9,"C-X-C motif chemokine ligand 9","gene with protein product"
11,T015113,1996,0.9940,p8@UBE2L6,9246,12490,E9PQT7,UBE2L6,"ubiquitin conjugating enzyme E2 L6","gene with protein product"
12,T193453,1990,0.9920,p1@CD274,29126,17635,,CD274,"CD274 molecule","gene with protein product"
13,T132765,1991,0.9910,p5@BCL6,604,1001,C9JL16,BCL6,"B-cell CLL/lymphoma 6","gene with protein product"
14,T007981,1990,0.9891,p1@IFIT2,3433,5409,P09913,IFIT2,"interferon induced protein with tetratricopeptide repeats 2","gene with protein product"
15,T081335,1989,0.9891,p1@FCGR1B,2210,3614,Q92637,FCGR1B,"Fc fragment of IgG receptor Ib","gene with protein product"
16,T167211,1981,0.9866,p1@LY86,9450,16837,O95711,LY86,"lymphocyte antigen 86","gene with protein product"
17,T087357,1981,0.9851,p11@DENND1B,163486,28404,,DENND1B,"DENN domain containing 1B","gene with protein product"
18,T188548,1971,0.9816,p1@GNG10,2790,4402,P50151,GNG10,"G protein subunit gamma 10","gene with protein product"
19,T188546,1970,0.9796,p2@GNG10,2790,4402,P50151,GNG10,"G protein subunit gamma 10","gene with protein product"
