Hs-FANCL,2000,1000,T123916-FANCL,"p1@FANCL"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T090136,2008,1.0000,p3@BROX,148362,26512,Q5VW32,BROX,"BRO1 domain and CAAX motif containing","gene with protein product"
2,T124955,2001,1.0000,p2@ZNF638,27332,17894,"C9JBI6,F5H330",ZNF638,"zinc finger protein 638","gene with protein product"
3,T116890,2011,1.0000,p1@CCDC150,284992,26834,"B4DRE1,B4E060",CCDC150,"coiled-coil domain containing 150","gene with protein product"
4,T175555,2008,1.0000,p1@C7orf44,55744,21868,"Q9GZY4,C9JA07,F2Z2J3,F2Z2D1,C9J6J1,F8WBS2",COA1,"cytochrome c oxidase assembly factor 1 homolog","gene with protein product"
5,T124116,2012,1.0000,p1@FAM161A,84140,25808,F8W731,FAM161A,"family with sequence similarity 161 member A","gene with protein product"
6,T090492,2007,0.9995,p2@PARP1,142,270,P09874,PARP1,"poly(ADP-ribose) polymerase 1","gene with protein product"
7,T128356,2005,0.9995,p1@CCDC14,64770,25766,Q49A88,CCDC14,"coiled-coil domain containing 14","gene with protein product"
8,T129808,2004,0.9995,p1@PLS1,5357,9090,"Q14651,C9JVY2,C9J359,C9JAM8,C9JYI1,C9JU08",PLS1,"plastin 1","gene with protein product"
9,T158734,2007,0.9990,p4@TRMT11,60487,21080,,TRMT11,"tRNA methyltransferase 11 homolog","gene with protein product"
10,T059792,2006,0.9990,p2@CBX1,10951,1551,B5MD17,CBX1,"chromobox 1","gene with protein product"
11,T040496,2005,0.9990,p1@ACYP1,97,179,"P07311,A6NDV8,G3V3F8,G3V597",ACYP1,"acylphosphatase 1","gene with protein product"
12,T123314,2005,0.9990,p1@MSH2,4436,7325,"E9PHA6,E9PCI8,E7EU21,E7EQQ1,P43246,Q53RU4,Q0ZAJ2",MSH2,"mutS homolog 2","gene with protein product"
13,T098185,2004,0.9990,p1@PTBP2,58155,17662,B4DSI2,PTBP2,"polypyrimidine tract binding protein 2","gene with protein product"
14,T123325,2004,0.9990,p1@MSH6,2956,7329,,MSH6,"mutS homolog 6","gene with protein product"
15,T156600,2004,0.9990,p1@GPR98,84059,17416,Q8WXG9,ADGRV1,"adhesion G protein-coupled receptor V1","gene with protein product"
16,T097769,2003,0.9990,p1@CDC7,8317,1745,"O00311,F8W802",CDC7,"cell division cycle 7","gene with protein product"
17,T130373,2001,0.9990,p4@SERP1,27230,10759,Q9Y6X1,SERP1,"stress associated endoplasmic reticulum protein 1","gene with protein product"
18,T098472,2008,0.9985,p3@BTBD3,22903,15854,F8WAQ4,BTBD3,"BTB domain containing 3","gene with protein product"
19,T027239,2006,0.9985,p1@PRIM1,5557,9369,"P49642,F5H513,F8VNY2",PRIM1,"primase (DNA) subunit 1","gene with protein product"
20,T076906,2005,0.9985,p4@PNKP,11284,9154,,PNKP,"polynucleotide kinase 3'-phosphatase","gene with protein product"
21,T134638,2005,0.9985,p2@ZNF620,253639,28742,Q6ZNG0,ZNF620,"zinc finger protein 620","gene with protein product"
22,T116889,2004,0.9985,p7@CCDC150,284992,26834,"Q8NCX0,F5H6M2",CCDC150,"coiled-coil domain containing 150","gene with protein product"
23,T022310,2003,0.9985,p1@KNTC1,9735,17255,"P50748,E7ES84",KNTC1,"kinetochore associated 1","gene with protein product"
24,T131132,2001,0.9980,p2@IFT80,57560,29262,"Q9P2H3,C9JUJ1,C9JUI1,C9JSB1,C9J8I0",IFT80,"intraflagellar transport 80","gene with protein product"
25,T097770,2001,0.9980,p2@CDC7,8317,1745,"B1AMW7,O00311,B2R6V2",CDC7,"cell division cycle 7","gene with protein product"
26,T167926,2006,0.9975,p1@HMGN3,9324,12312,Q15651,HMGN3,"high mobility group nucleosomal binding domain 3","gene with protein product"
27,T142400,2004,0.9975,p3@MLF1IP,79682,21348,D6R9S4,CENPU,"centromere protein U","gene with protein product"
28,T118964,2003,0.9975,p1@USP37,57695,20063,"Q86T82,Q86W68",USP37,"ubiquitin specific peptidase 37","gene with protein product"
29,T121090,2001,0.9975,p1@PASK,23178,17270,"G5E9F1,C9J1Z3,F8WEB4,C9J4R3,B7Z7V7,Q96RG2,Q05BE4",PASK,"PAS domain containing serine/threonine kinase","gene with protein product"
30,T199453,1998,0.9975,p2@RPGR,6103,10295,"Q92834,E9PE28,Q3KN84",RPGR,"retinitis pigmentosa GTPase regulator","gene with protein product"
31,T170451,2009,0.9970,p1@POT1,25913,17284,,POT1,"protection of telomeres 1","gene with protein product"
32,T095998,2008,0.9970,p1@ITGB3BP,23421,6157,Q13352,ITGB3BP,"integrin subunit beta 3 binding protein","gene with protein product"
33,T156599,2005,0.9970,p4@GPR98,84059,17416,Q8WXG9,ADGRV1,"adhesion G protein-coupled receptor V1","gene with protein product"
34,T162469,2005,0.9970,p1@CDKAL1,54901,21050,Q5VV42,CDKAL1,"CDK5 regulatory subunit associated protein 1 like 1","gene with protein product"
35,T037233,2006,0.9965,p2@AP1G2,8906,556,B4E3E1,AP1G2,"adaptor related protein complex 1 gamma 2 subunit","gene with protein product"
36,T121210,1998,0.9965,p1@C2orf44,80304,26157,,WDCP,"WD repeat and coiled coil containing","gene with protein product"
37,T112464,1996,0.9965,p1@ZRANB3,84083,25249,E9PBP0,ZRANB3,"zinc finger RANBP2-type containing 3","gene with protein product"
38,T066130,2002,0.9960,p1@RBBP8,5932,9891,"Q99708,A6NKN2",RBBP8,"RB binding protein 8, endonuclease","gene with protein product"
39,T041011,1998,0.9960,p2@STON2,85439,30652,G3V322,STON2,"stonin 2","gene with protein product"
40,T130181,2000,0.9950,p1@HLTF,6596,11099,"Q14527,E7ESN4,F5H3D6,Q05BZ6",HLTF,"helicase like transcription factor","gene with protein product"
41,T187231,2000,0.9950,p1@RBM12B,389677,32310,"E5RJW8,Q8IXT5",RBM12B,"RNA binding motif protein 12B","gene with protein product"
42,T110673,1994,0.9945,p1@MRPS9,64965,14501,P82933,MRPS9,"mitochondrial ribosomal protein S9","gene with protein product"
43,T040384,1998,0.9940,p1@LIN52,91750,19856,"Q52LA3,G3V5T8,B3KN83",LIN52,"lin-52 DREAM MuvB core complex component","gene with protein product"
44,T060777,1999,0.9935,p2@TOM1L1,10040,11983,B4DUW5,TOM1L1,"target of myb1 like 1 membrane trafficking protein","gene with protein product"
45,T079723,1998,0.9935,p1@SASS6,163786,25403,"Q6UVJ0,B4DYM7",SASS6,"SAS-6 centriolar assembly protein","gene with protein product"
46,T003656,1992,0.9930,p1@PRTFDC1,56952,23333,"Q9NRG1,F8WCE0",PRTFDC1,"phosphoribosyl transferase domain containing 1","gene with protein product"
47,T098396,1996,0.9920,p1@C20orf94,128710,16225,Q5VYV7,SLX4IP,"SLX4 interacting protein","gene with protein product"
48,T158735,1989,0.9920,p1@TRMT11,60487,21080,,TRMT11,"tRNA methyltransferase 11 homolog","gene with protein product"
49,T089629,1994,0.9915,p1@KCTD3,51133,21305,"Q9Y597,E9PDU9,E9PDU8",KCTD3,"potassium channel tetramerization domain containing 3","gene with protein product"
50,T059791,1992,0.9915,p13@CBX1,10951,1551,B5MD17,CBX1,"chromobox 1","gene with protein product"
51,T089371,1992,0.9915,p1@INTS7,25896,24484,"Q9NVH2,B4DLZ6",INTS7,"integrator complex subunit 7","gene with protein product"
52,T201384,1990,0.9915,p2@ZNF711,7552,13128,,ZNF711,"zinc finger protein 711","gene with protein product"
53,T162472,1988,0.9915,p6@CDKAL1,54901,21050,Q5VV42,CDKAL1,"CDK5 regulatory subunit associated protein 1 like 1","gene with protein product"
54,T133181,1995,0.9906,p4@OPA1,4976,8140,"E5KLK1,E5KLJ5,E5KLJ9,E5KLJ6,O60313,E5KLK2,E5KLK0,E5KLJ7",OPA1,"OPA1, mitochondrial dynamin like GTPase","gene with protein product"
55,T152098,1991,0.9905,p1@RANBP17,64901,14428,"Q8IU74,Q8IVM9,F5H2U9",RANBP17,"RAN binding protein 17","gene with protein product"
56,T095471,1990,0.9900,p1@CYB5RL,606495,32220,"F8VW03,E9PL89",CYB5RL,"cytochrome b5 reductase like","gene with protein product"
57,T195176,1989,0.9900,p2@FANCC,2176,3584,B1ALR7,FANCC,"Fanconi anemia complementation group C","gene with protein product"
58,T123306,1985,0.9900,p3@EPCAM,4072,11529,,EPCAM,"epithelial cell adhesion molecule","gene with protein product"
59,T093047,1987,0.9895,p1@EYA3,2140,3521,"B4DIR7,B4DNZ7,Q99504,Q8IVX7",EYA3,"EYA transcriptional coactivator and phosphatase 3","gene with protein product"
60,T198757,1985,0.9890,p1@SCML2,10389,10581,B4DZR9,SCML2,"sex comb on midleg-like 2 (Drosophila)","gene with protein product"
