Hs-IFIT5,2000,1000,T008036-IFIT5,"p1@IFIT5"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T037789,2003,1.0000,p1@CFL2,1073,1875,F8WDN3,CFL2,"cofilin 2","gene with protein product"
2,T131960,2009,1.0000,p1@MFN1,55669,18262,"Q8IWA4,F5H236",MFN1,"mitofusin 1","gene with protein product"
3,T038759,2007,1.0000,p1@GMFB,2764,4373,G3V3X4,GMFB,"glia maturation factor beta","gene with protein product"
4,T144037,2005,1.0000,p2@GNPDA2,132789,21526,B4DJF3,GNPDA2,"glucosamine-6-phosphate deaminase 2","gene with protein product"
5,T095243,2012,1.0000,p4@EPS15,2060,3419,"P42566,B1AUU8",EPS15,"epidermal growth factor receptor pathway substrate 15","gene with protein product"
6,T008035,2008,1.0000,p3@IFIT5,24138,13328,B4DDV1,IFIT5,"interferon induced protein with tetratricopeptide repeats 5","gene with protein product"
7,T038449,2008,0.9995,p1@MAP4K5,11183,6867,Q9Y4K4,MAP4K5,"mitogen-activated protein kinase kinase kinase kinase 5","gene with protein product"
8,T006355,2005,0.9995,p1@SAR1A,56681,10534,"Q9NR31,E9PBN0,B4DQ19",SAR1A,"secretion associated Ras related GTPase 1A","gene with protein product"
9,T116502,2012,0.9990,p1@ASNSD1,54529,24910,"C9IYZ1,C9J6C1",ASNSD1,"asparagine synthetase domain containing 1","gene with protein product"
10,T002994,2011,0.9990,p1@FAM188A,80013,23578,Q9H8M7,FAM188A,"family with sequence similarity 188 member A","gene with protein product"
11,T006199,2009,0.9990,p1@KIAA1279,26128,23419,,KIF1BP,"KIF1 binding protein","gene with protein product"
12,T080861,2007,0.9990,p2@BCAS2,10286,975,"O75934,B2R7W3",BCAS2,"BCAS2, pre-mRNA processing factor","gene with protein product"
13,T194870,2002,0.9990,p2@SPTLC1,10558,11277,"O15269,Q96IX6",SPTLC1,"serine palmitoyltransferase long chain base subunit 1","gene with protein product"
14,T001088,2008,0.9985,p1@BBIP1,92482,28093,"E9PIK7,E9PRI7,E9PIY9,E9PM41",BBIP1,"BBSome interacting protein 1","gene with protein product"
15,T075276,2007,0.9985,p1@ZNF229,7772,13022,Q9UJW7,ZNF229,"zinc finger protein 229","gene with protein product"
16,T144422,2005,0.9985,p5@CLOCK,9575,2082,,CLOCK,"clock circadian regulator","gene with protein product"
17,T077594,2002,0.9985,p1@ZNF880,400713,37249,"Q6PDB4,F5H026",ZNF880,"zinc finger protein 880","gene with protein product"
18,T148872,2002,0.9985,p1@SAR1B,51128,10535,"Q9Y6B6,D6RAA2",SAR1B,"secretion associated Ras related GTPase 1B","gene with protein product"
19,T066826,2005,0.9975,p1@ZNF271,10778,13065,NA,ZNF271P,"zinc finger protein 271, pseudogene",pseudogene
20,T008024,2003,0.9975,p1@IFIT1,3434,5407,"P09914,Q5T7J1",IFIT1,"interferon induced protein with tetratricopeptide repeats 1","gene with protein product"
21,T147580,1999,0.9975,p1@SLC25A46,91137,25198,"Q96AG3,B4DTA3,B3KRE6",SLC25A46,"solute carrier family 25 member 46","gene with protein product"
22,T127414,2004,0.9970,p2@SLC35A5,55032,20792,"C9J7U8,Q9BS91",SLC35A5,"solute carrier family 35 member A5","gene with protein product"
23,T146362,2002,0.9970,p1@COPS4,51138,16702,"D6RFN0,D6REK7,D6RD63",COPS4,"COP9 signalosome subunit 4","gene with protein product"
24,T146361,2001,0.9970,p2@COPS4,51138,16702,Q9BT78,COPS4,"COP9 signalosome subunit 4","gene with protein product"
25,T020133,2003,0.9965,p1@CCDC53,51019,24256,"F5H2P1,F5GXZ4,F5H0A7,F5GWI9",WASHC3,"WASH complex subunit 3","gene with protein product"
26,T003217,2001,0.9960,p3@ZMYND11,10771,16966,E7ENI9,ZMYND11,"zinc finger MYND-type containing 11","gene with protein product"
27,T035461,2000,0.9955,p1@CINP,51550,23789,"Q9BW66,F5H7P3",CINP,"cyclin dependent kinase 2 interacting protein","gene with protein product"
28,T199797,2000,0.9955,p1@ZNF673,55634,26007,"C9J804,C9J950",KRBOX4,"KRAB box domain containing 4","gene with protein product"
29,T160428,1998,0.9950,p6@SASH1,23328,19182,F5GYF4,SASH1,"SAM and SH3 domain containing 1","gene with protein product"
30,T177425,2000,0.9945,p3@PHTF2,57157,13411,,PHTF2,"putative homeodomain transcription factor 2","gene with protein product"
31,T185605,1997,0.9945,p2@RAB2A,5862,9763,E9PKL7,RAB2A,"RAB2A, member RAS oncogene family","gene with protein product"
32,T194644,1994,0.9940,p3@SPIN1,10927,11243,,SPIN1,"spindlin 1","gene with protein product"
33,T168372,1995,0.9930,p1@LYRM2,57226,25229,"G3V136,E5RJK7,E5RG38,Q9NU23",LYRM2,"LYR motif containing 2","gene with protein product"
34,T046887,1994,0.9930,p2@MORF4L1,10933,16989,,MORF4L1,"mortality factor 4 like 1","gene with protein product"
35,T151327,1993,0.9930,p1@HAVCR2,84868,18437,E5RFR4,HAVCR2,"hepatitis A virus cellular receptor 2","gene with protein product"
36,T152596,1991,0.9930,p9@RNF44,22838,19180,,RNF44,"ring finger protein 44","gene with protein product"
37,T025054,1990,0.9925,p1@TWF1,5756,9620,"F8W645,F8VRG3",TWF1,"twinfilin actin binding protein 1","gene with protein product"
38,T147818,1989,0.9920,p1@ATG12,9140,588,,ATG12,"autophagy related 12","gene with protein product"
39,T155105,1992,0.9906,p4@SGTB,54557,23567,D6RFW1,SGTB,"small glutamine rich tetratricopeptide repeat containing beta","gene with protein product"
40,T026957,1990,0.9905,p1@WIBG,84305,30258,"Q9BRP8,F8VT68",PYM1,"PYM homolog 1, exon junction complex associated factor","gene with protein product"
41,T085410,1987,0.9900,p1@BLZF1,8548,1065,Q5T532,BLZF1,"basic leucine zipper nuclear factor 1","gene with protein product"
42,T001091,1983,0.9895,p2@SHOC2,8036,15454,,SHOC2,"SHOC2, leucine rich repeat scaffold protein","gene with protein product"
43,T008033,1983,0.9895,p4@IFIT5,24138,13328,Q13325,IFIT5,"interferon induced protein with tetratricopeptide repeats 5","gene with protein product"
44,T033645,1985,0.9885,p1@CAB39L,81617,20290,Q9H9S4,CAB39L,"calcium binding protein 39 like","gene with protein product"
45,T012514,1986,0.9881,p1@UEVLD,55293,30866,Q8IX04,UEVLD,"UEV and lactate/malate dehyrogenase domains","gene with protein product"
46,T201200,1985,0.9881,p1@UPRT,139596,28334,"F8W6E9,Q96BW1",UPRT,"uracil phosphoribosyltransferase homolog","gene with protein product"
47,T199039,1985,0.9881,p4@ZFX,7543,12869,,ZFX,"zinc finger protein, X-linked","gene with protein product"
48,T095368,1984,0.9880,p3@SCP2,6342,10606,"P22307,A6NM69",SCP2,"sterol carrier protein 2","gene with protein product"
49,T081709,1980,0.9880,p4@PDE4DIP,9659,15580,"F8WAP3,E9PPE8,E9PJ64",PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
50,T175046,1985,0.9876,p2@SEPT7,989,1717,"E7EPK1,Q16181,F5GZE5",SEPT7,"septin 7","gene with protein product"
51,T029998,1986,0.9871,p3@POC1B,282809,30836,F8VPF1,POC1B,"POC1 centriolar protein B","gene with protein product"
52,T038700,1983,0.9871,p2@FERMT2,10979,15767,"Q96AC1,B5TJY2",FERMT2,"fermitin family member 2","gene with protein product"
53,T114949,1982,0.9871,p1@SCRN3,79634,30382,"Q0VDG4,B4DI11,F8WBX0,C9JID8,Q0VDG5",SCRN3,"secernin 3","gene with protein product"
54,T177472,1980,0.9870,p1@MAGI2-AS3,100505881,40862,,MAGI2-AS3,"MAGI2 antisense RNA 3","RNA, long non-coding"
55,T160427,1982,0.9861,p5@SASH1,23328,19182,F5GYF4,SASH1,"SAM and SH3 domain containing 1","gene with protein product"
56,T145183,1982,0.9856,p4@GRSF1,2926,4610,F5H5I6,GRSF1,"G-rich RNA sequence binding factor 1","gene with protein product"
57,T139100,1981,0.9836,p2@CAMK2D,817,1462,E9PBG7,CAMK2D,"calcium/calmodulin dependent protein kinase II delta","gene with protein product"
58,T096757,1978,0.9836,p1@PIGK,10026,8965,"A6NEM5,Q92643,B4E2M3,B1AK81",PIGK,"phosphatidylinositol glycan anchor biosynthesis class K","gene with protein product"
59,T008001,1968,0.9811,p1@IFIT3,3437,5411,O14879,IFIT3,"interferon induced protein with tetratricopeptide repeats 3","gene with protein product"
60,T026540,1972,0.9801,p2@MAP3K12,7786,6851,"B3KSS9,G3V1Y2,Q12852",MAP3K12,"mitogen-activated protein kinase kinase kinase 12","gene with protein product"
61,T039007,1970,0.9801,p25@MUDENG,55745,20192,G3V573,AP5M1,"adaptor related protein complex 5 mu 1 subunit","gene with protein product"
62,T159222,1972,0.9796,p5@TBPL1,9519,11589,Q7Z6T9,TBPL1,"TATA-box binding protein like 1","gene with protein product"
63,T144038,1968,0.9796,p1@GNPDA2,132789,21526,"Q8TDQ7,Q2VYF1",GNPDA2,"glucosamine-6-phosphate deaminase 2","gene with protein product"
64,T000742,1968,0.9781,p2@SFR1,119392,29574,Q86XK3,SFR1,"SWI5 dependent homologous recombination repair protein 1","gene with protein product"
65,T147115,1958,0.9780,p2@RAP1GDS1,5910,9859,"P52306,G5E9P9,D6RHH8,D6RF90,D6RB97",RAP1GDS1,"Rap1 GTPase-GDP dissociation stimulator 1","gene with protein product"
66,T008010,1959,0.9771,p8@IFIT3,3437,5411,O14879,IFIT3,"interferon induced protein with tetratricopeptide repeats 3","gene with protein product"
67,T159978,1955,0.9746,p2@VTA1,51534,20954,Q9NP79,VTA1,"vesicle trafficking 1","gene with protein product"
68,T127415,1958,0.9741,p1@SLC35A5,55032,20792,,SLC35A5,"solute carrier family 35 member A5","gene with protein product"
69,T090133,1953,0.9731,p1@AIDA,64853,25761,Q96BJ3,AIDA,"axin interactor, dorsalization associated","gene with protein product"
70,T000936,1951,0.9731,p4@ADD3,120,245,,ADD3,"adducin 3","gene with protein product"
71,T159979,1955,0.9726,p1@VTA1,51534,20954,"Q5TGM0,E7ETQ7,Q9NP79",VTA1,"vesicle trafficking 1","gene with protein product"
72,T195861,1955,0.9726,p3@ARMCX1,51309,18073,Q9P291,ARMCX1,"armadillo repeat containing, X-linked 1","gene with protein product"
73,T184146,1953,0.9721,p1@DCTN6,10671,16964,"E5RIK5,E5RK00,E5RFU3",DCTN6,"dynactin subunit 6","gene with protein product"
74,T009720,1950,0.9711,p7@CRYAB,1410,2389,,CRYAB,"crystallin alpha B","gene with protein product"
75,T168203,1949,0.9711,p3@SYNCRIP,10492,16918,"O60506,Q59GL1",SYNCRIP,"synaptotagmin binding cytoplasmic RNA interacting protein","gene with protein product"
76,T155880,1948,0.9701,p1@WDR41,55255,25601,"D6RB94,D6RIX6,B4DHS8,D6RA22,D6RE66",WDR41,"WD repeat domain 41","gene with protein product"
77,T173841,1952,0.9697,p2@STEAP1B,256227,41907,Q6NZ63,STEAP1B,"STEAP family member 1B","gene with protein product"
78,T050647,1945,0.9691,p4@C16orf53,79447,28707,Q9BTK6,PAGR1,"PAXIP1 associated glutamate rich protein 1","gene with protein product"
79,T008002,1952,0.9687,p3@IFIT3,3437,5411,O14879,IFIT3,"interferon induced protein with tetratricopeptide repeats 3","gene with protein product"
80,T055670,1941,0.9686,p2@PMP22,5376,9118,A8MU75,PMP22,"peripheral myelin protein 22","gene with protein product"
81,T184145,1943,0.9676,p2@DCTN6,10671,16964,E5RK00,DCTN6,"dynactin subunit 6","gene with protein product"
82,T140073,1941,0.9666,p1@SCOC,60592,20335,,SCOC,"short coiled-coil protein","gene with protein product"
83,T167031,1940,0.9666,p5@RAB23,51715,14263,,RAB23,"RAB23, member RAS oncogene family","gene with protein product"
84,T032790,1936,0.9637,p3@SMAD9,4093,6774,,SMAD9,"SMAD family member 9","gene with protein product"
85,T075271,1932,0.9636,"p1@ZFP112,p1@ZNF285","26974,7771","13021,13079","Q9UJU3,Q0VG01",NA,NA,NA
86,T136939,1937,0.9632,p9@PRICKLE2,166336,20340,Q7Z3G6,PRICKLE2,"prickle planar cell polarity protein 2","gene with protein product"
87,T049602,1932,0.9631,p1@GFER,2671,4236,P55789,GFER,"growth factor, augmenter of liver regeneration","gene with protein product"
88,T009328,1935,0.9627,p1@SLC35F2,54733,23615,"Q8IXU6,E9PKZ2,E9PRY2",SLC35F2,"solute carrier family 35 member F2","gene with protein product"
89,T199796,1936,0.9613,p3@ZNF673,55634,26007,,KRBOX4,"KRAB box domain containing 4","gene with protein product"
