Hs-KCNJ9,2000,1000,T084379-KCNJ9,"p1@KCNJ9"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T170563,2006,1.0000,p7@LRRC4,64101,15586,Q9HBW1,LRRC4,"leucine rich repeat containing 4","gene with protein product"
2,T087601,2011,0.9990,p1@PRKCZ,5590,9412,Q05513,PRKCZ,"protein kinase C zeta","gene with protein product"
3,T038502,2007,0.9990,p1@TRIM9,114088,16288,,TRIM9,"tripartite motif containing 9","gene with protein product"
4,T177938,2007,0.9990,p2@ADAM22,53616,201,"E7EPF1,Q9P0K1,Q08AL8",ADAM22,"ADAM metallopeptidase domain 22","gene with protein product"
5,T050395,2006,0.9990,p3@SULT1A1,6817,11453,,SULT1A1,"sulfotransferase family 1A member 1","gene with protein product"
6,T002649,2005,0.9990,p4@GPR123,84435,13838,Q86SQ6,ADGRA1,"adhesion G protein-coupled receptor A1","gene with protein product"
7,T127363,2003,0.9990,p6@TAGLN3,29114,29868,C9JCX3,TAGLN3,"transgelin 3","gene with protein product"
8,T168489,2001,0.9990,p1@FUT9,10690,4020,Q9Y231,FUT9,"fucosyltransferase 9","gene with protein product"
9,T113140,2008,0.9985,p1@KIF5C,3800,6325,"O60282,Q53QT4",KIF5C,"kinesin family member 5C","gene with protein product"
10,T070418,2008,0.9985,p11@CACNA1A,773,1388,"O00555,Q9NS88,B5TYJ1",CACNA1A,"calcium voltage-gated channel subunit alpha1 A","gene with protein product"
11,T073369,2008,0.9985,p9@APLP1,333,597,,APLP1,"amyloid beta precursor like protein 1","gene with protein product"
12,T016542,2004,0.9985,p15@NRXN2,9379,8009,"Q9P2S2,F8W812",NRXN2,"neurexin 2","gene with protein product"
13,T052256,2001,0.9985,p10@GNAO1,2775,4389,P09471,GNAO1,"G protein subunit alpha o1","gene with protein product"
14,T131617,2005,0.9980,p4@SLC7A14,57709,29326,,SLC7A14,"solute carrier family 7 member 14","gene with protein product"
