Hs-LIX1,2000,1000,T157016-LIX1,"p1@LIX1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T157012,2011,1.0000,p3@LIX1,167410,18581,D6RID5,LIX1,"limb and CNS expressed 1","gene with protein product"
2,T024914,2009,0.9990,p13@CNTN1,1272,2171,Q12860,CNTN1,"contactin 1","gene with protein product"
3,T110027,2007,0.9990,p4@MLC1,23209,17082,Q15049,MLC1,"megalencephalic leukoencephalopathy with subcortical cysts 1","gene with protein product"
4,T157015,2005,0.9990,p7@LIX1,167410,18581,D6RID5,LIX1,"limb and CNS expressed 1","gene with protein product"
5,T135353,2004,0.9990,p65@MAP4,4134,6862,B4DSQ1,MAP4,"microtubule associated protein 4","gene with protein product"
6,T019016,2003,0.9990,p4@RAB30,27314,9770,E9PMJ1,RAB30,"RAB30, member RAS oncogene family","gene with protein product"
7,T066394,2007,0.9985,p4@AQP4,361,637,B4DHF5,AQP4,"aquaporin 4","gene with protein product"
8,T133173,2003,0.9985,p5@ATP13A4,84239,25422,B7WPN9,ATP13A4,"ATPase 13A4","gene with protein product"
9,T135354,2005,0.9980,p12@MAP4,4134,6862,B4DSQ1,MAP4,"microtubule associated protein 4","gene with protein product"
10,T135352,2000,0.9980,p13@MAP4,4134,6862,B4DSQ1,MAP4,"microtubule associated protein 4","gene with protein product"
11,T060869,1998,0.9960,p1@ANKFN1,162282,26766,Q8N957,ANKFN1,"ankyrin repeat and fibronectin type III domain containing 1","gene with protein product"
12,T024910,2001,0.9945,p5@CNTN1,1272,2171,Q12860,CNTN1,"contactin 1","gene with protein product"
13,T144058,1994,0.9940,p1@GABRG1,2565,4086,"F5H2S0,Q8N1C3",GABRG1,"gamma-aminobutyric acid type A receptor gamma1 subunit","gene with protein product"
14,T066387,1995,0.9935,p6@AQP4,361,637,P55087,AQP4,"aquaporin 4","gene with protein product"
15,T013230,1986,0.9925,p2@BBOX1,8424,964,,BBOX1,"gamma-butyrobetaine hydroxylase 1","gene with protein product"
16,T013229,1995,0.9911,p5@BBOX1,8424,964,,BBOX1,"gamma-butyrobetaine hydroxylase 1","gene with protein product"
17,T179935,1990,0.9900,p18@TRPS1,7227,12340,E7EVN4,TRPS1,"transcriptional repressor GATA binding 1","gene with protein product"
18,T147883,1987,0.9895,p25@CTNND2,1501,2516,E7EPC8,CTNND2,"catenin delta 2","gene with protein product"
19,T147064,1984,0.9895,p3@BMPR1B,658,1077,O00238,BMPR1B,"bone morphogenetic protein receptor type 1B","gene with protein product"
20,T159494,1984,0.9885,p4@MAP7,9053,6869,B7Z9U7,MAP7,"microtubule associated protein 7","gene with protein product"
21,T000936,1985,0.9881,p4@ADD3,120,245,,ADD3,"adducin 3","gene with protein product"
22,T066396,1983,0.9875,p3@AQP4,361,637,P55087,AQP4,"aquaporin 4","gene with protein product"
23,T183885,1977,0.9846,p26@CLU,1191,2095,,CLU,clusterin,"gene with protein product"
24,T066390,1976,0.9836,p3@CHST9-AS1,147429,26399,,AQP4-AS1,"AQP4 antisense RNA 1","RNA, long non-coding"
25,T018221,1975,0.9831,p1@SYT9,143425,19265,Q86SS6,SYT9,"synaptotagmin 9","gene with protein product"
26,T174569,1972,0.9816,p1@TRIL,,22200,,TRIL,"TLR4 interactor with leucine rich repeats","gene with protein product"
27,T110028,1966,0.9805,p2@MLC1,23209,17082,"A6PVC3,F5H1B9",MLC1,"megalencephalic leukoencephalopathy with subcortical cysts 1","gene with protein product"
28,T066389,1966,0.9781,p7@AQP4,361,637,P55087,AQP4,"aquaporin 4","gene with protein product"
29,T138565,1965,0.9776,p2@BDH2,56898,32389,"Q9BUT1,D6RBF6,D6R9U8",BDH2,"3-hydroxybutyrate dehydrogenase 2","gene with protein product"
30,T127764,1963,0.9761,p4@LSAMP,4045,6705,,LSAMP,"limbic system-associated membrane protein","gene with protein product"
31,T147880,1962,0.9761,p3@CTNND2,1501,2516,"B4DRK2,D6RF55",CTNND2,"catenin delta 2","gene with protein product"
32,T179613,1959,0.9756,p12@OXR1,55074,15822,Q8N573,OXR1,"oxidation resistance 1","gene with protein product"
33,T066393,1958,0.9751,p1@AQP4,361,637,B4DHF5,AQP4,"aquaporin 4","gene with protein product"
34,T066395,1957,0.9751,p2@AQP4,361,637,"F1DSG4,P55087",AQP4,"aquaporin 4","gene with protein product"
35,T062375,1959,0.9746,p5@KCNJ16,3773,6262,"Q9NPI9,Q8N538",KCNJ16,"potassium voltage-gated channel subfamily J member 16","gene with protein product"
36,T005367,1953,0.9746,p1@PCDH15,65217,14674,,PCDH15,"protocadherin related 15","gene with protein product"
