Hs-MFI2,2000,1000,T133565-MFI2,"p1@MFI2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T189895,2008,1.0000,p5@AK1,203,361,Q53EY8,AK1,"adenylate kinase 1","gene with protein product"
2,T042141,2008,1.0000,p1@ALDH1A3,220,409,B4E0M6,ALDH1A3,"aldehyde dehydrogenase 1 family member A3","gene with protein product"
3,T022563,2009,1.0000,p1@FAM101A,"100533183,144347",27051,Q6ZTI6,RFLNA,"refilin A","gene with protein product"
4,T187544,2012,1.0000,p4@MATN2,4147,6908,,MATN2,"matrilin 2","gene with protein product"
5,T062676,2012,1.0000,p2@CDC42EP4,23580,17147,,CDC42EP4,"CDC42 effector protein 4","gene with protein product"
6,T026035,2013,0.9990,p3@NR4A1,3164,7980,,NR4A1,"nuclear receptor subfamily 4 group A member 1","gene with protein product"
7,T013349,2010,0.9990,p3@SLC22A18AS,5003,10965,,SLC22A18AS,"solute carrier family 22 member 18 antisense","gene with protein product"
8,T047020,2008,0.9990,p9@FAH,2184,3579,,FAH,"fumarylacetoacetate hydrolase","gene with protein product"
9,T103115,2007,0.9990,p3@LRRN4,164312,16208,"Q8WUT4,Q6ZMD1",LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
10,T055179,2005,0.9990,p5@DPEP1,1800,3002,P16444,DPEP1,"dipeptidase 1 (renal)","gene with protein product"
11,T108580,2001,0.9985,p4@CARD10,29775,16422,,CARD10,"caspase recruitment domain family member 10","gene with protein product"
12,T161285,2006,0.9975,p2@EZR,7430,12691,"P15311,E7EQR4",EZR,ezrin,"gene with protein product"
13,T055731,1999,0.9970,p2@ADORA2B,136,264,P29275,ADORA2B,"adenosine A2b receptor","gene with protein product"
14,T140566,1997,0.9965,p10@PET112,5188,8849,,GATB,"glutamyl-tRNA amidotransferase subunit B","gene with protein product"
15,T159180,2004,0.9960,p2@TBC1D7,51256,21066,Q5SZL3,TBC1D7,"TBC1 domain family member 7","gene with protein product"
16,T161558,2002,0.9960,p4@SLC22A3,6581,10967,,SLC22A3,"solute carrier family 22 member 3","gene with protein product"
17,T079172,1999,0.9960,p2@ARHGEF18,23370,17090,Q6ZSZ5,ARHGEF18,"Rho/Rac guanine nucleotide exchange factor 18","gene with protein product"
18,T182470,1998,0.9960,p7@SLC39A4,55630,17129,,SLC39A4,"solute carrier family 39 member 4","gene with protein product"
19,T164245,2001,0.9955,p1@NEU1,4758,7758,"E9PIJ4,E9PIF4",NEU1,"neuraminidase 1","gene with protein product"
20,T159182,1999,0.9955,p1@TBC1D7,51256,21066,"Q96MB8,Q2TU37,Q9P0N9,Q5SZL8,Q5SZL4,Q5SZL5,Q5SZL6,Q53F44,Q5JPB9",TBC1D7,"TBC1 domain family member 7","gene with protein product"
21,T097435,1999,0.9955,p22@SAMD11,148398,28706,,SAMD11,"sterile alpha motif domain containing 11","gene with protein product"
22,T023147,1998,0.9955,p2@GALNT9,50614,4131,,GALNT9,"polypeptide N-acetylgalactosaminyltransferase 9","gene with protein product"
23,T039541,1997,0.9955,p4@ZBTB1,22890,20259,"Q9Y2K1,Q5UW39",ZBTB1,"zinc finger and BTB domain containing 1","gene with protein product"
24,T123601,1993,0.9945,p20@SPTBN1,6711,11275,Q01082,SPTBN1,"spectrin beta, non-erythrocytic 1","gene with protein product"
