Hs-PCNP,2000,1000,T126812-PCNP,"p1@PCNP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T054383,2007,1.0000,p1@MPHOSPH6,10200,7214,Q99547,MPHOSPH6,"M-phase phosphoprotein 6","gene with protein product"
2,T039211,2009,1.0000,p1@MNAT1,4331,7181,"P51948,G3V1U8",MNAT1,"MNAT1, CDK activating kinase assembly factor","gene with protein product"
3,T083281,2013,1.0000,p4@GBA,2629,4177,,GBA,"glucosylceramidase beta","gene with protein product"
4,T128476,2006,0.9995,p2@ZNF148,7707,12933,Q9UQR1,ZNF148,"zinc finger protein 148","gene with protein product"
5,T019857,2012,0.9990,p1@JRKL,8690,6200,Q9Y4A0,JRKL,JRK-like,"gene with protein product"
6,T058233,2010,0.9990,p1@SMARCE1,6605,11109,"C0IMW5,B4DGM3,Q969G3",SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1","gene with protein product"
7,T046887,2009,0.9990,p2@MORF4L1,10933,16989,,MORF4L1,"mortality factor 4 like 1","gene with protein product"
8,T137118,2008,0.9990,p1@UBA3,9039,12470,"F8W8D4,F8WAT6,F8WF86,B7Z5F6,Q8TBC4",UBA3,"ubiquitin like modifier activating enzyme 3","gene with protein product"
9,T013269,2008,0.9990,p1@LIN7C,55327,17789,"Q9NUP9,G3V1D4",LIN7C,"lin-7 homolog C, crumbs cell polarity complex component","gene with protein product"
10,T044200,2007,0.9990,p1@COPS2,9318,30747,B4DIH5,COPS2,"COP9 signalosome subunit 2","gene with protein product"
11,T186028,2006,0.9990,p1@VCPIP1,80124,30897,Q96JH7,VCPIP1,"valosin containing protein interacting protein 1","gene with protein product"
12,T021164,2006,0.9990,p2@PTPN11,5781,9644,,PTPN11,"protein tyrosine phosphatase, non-receptor type 11","gene with protein product"
13,T032879,2005,0.9990,p2@UFM1,51569,20597,P61960,UFM1,"ubiquitin fold modifier 1","gene with protein product"
14,T026930,2005,0.9990,p1@SARNP,84324,24432,"P82979,F8VZQ9,F8VS12",SARNP,"SAP domain containing ribonucleoprotein","gene with protein product"
15,T091296,2004,0.9990,p1@GGPS1,9453,4249,"O95749,A8MVQ8",GGPS1,"geranylgeranyl diphosphate synthase 1","gene with protein product"
16,T183923,2003,0.9990,p1@CCDC25,55246,25591,"Q86WR0,E5RI21,B7Z2L8,Q0VGD4,Q0P663,G3V121",CCDC25,"coiled-coil domain containing 25","gene with protein product"
17,T043364,2003,0.9990,p2@SRP14,6727,11299,,SRP14,"signal recognition particle 14","gene with protein product"
18,T033493,2010,0.9985,p1@MED4,29079,17903,Q9NPJ6,MED4,"mediator complex subunit 4","gene with protein product"
19,T040465,2007,0.9985,p1@FCF1,51077,20220,"Q9Y324,G3V1S4,G3V5S9,G3V5D2,G3V5L8,G3V2M5,G3V3N8,Q4FZ45,Q66K47",FCF1,"FCF1 rRNA-processing protein","gene with protein product"
20,T065791,2007,0.9985,p3@CHMP1B,57132,24287,Q7LBR1,CHMP1B,"charged multivesicular body protein 1B","gene with protein product"
21,T041458,2003,0.9985,p1@ATXN3,4287,7106,"D3VVP3,D6RDL9,E9PJN5,D6R9I5,G3V4U9,G3V3T0,G3V390,G3V3R7,G3V3T6,G3V5H3,G3V4F5,G3V328,G3V2G1,G3V3A6,G3V3S5,G3V4B1,G3V4F4,G3V526,G3V2G2",ATXN3,"ataxin 3","gene with protein product"
22,T088532,2003,0.9985,p1@NUCKS1,64710,29923,,NUCKS1,"nuclear casein kinase and cyclin dependent kinase substrate 1","gene with protein product"
23,T184367,2006,0.9980,p1@FBXO25,26260,13596,Q8TCJ0,FBXO25,"F-box protein 25","gene with protein product"
24,T140073,2003,0.9980,p1@SCOC,60592,20335,,SCOC,"short coiled-coil protein","gene with protein product"
25,T138675,2001,0.9980,p2@AIMP1,9255,10648,Q12904,AIMP1,"aminoacyl tRNA synthetase complex interacting multifunctional protein 1","gene with protein product"
26,T021166,2000,0.9980,p3@PTPN11,5781,9644,Q06124,PTPN11,"protein tyrosine phosphatase, non-receptor type 11","gene with protein product"
27,T111590,2002,0.9975,p1@INSIG2,51141,20452,"Q9Y5U4,F8WCG8",INSIG2,"insulin induced gene 2","gene with protein product"
28,T044177,1999,0.9975,p1@EID1,23741,1191,Q9Y6B2,EID1,"EP300 interacting inhibitor of differentiation 1","gene with protein product"
29,T110699,2004,0.9970,p1@C2orf49,79074,28772,"C9J4K0,Q9BVC5",C2orf49,"chromosome 2 open reading frame 49","gene with protein product"
30,T127125,2003,0.9970,p1@BBX,56987,14422,"Q8WY36,C9JA69",BBX,"BBX, HMG-box containing","gene with protein product"
31,T056427,2002,0.9965,p2@PAFAH1B1,5048,8574,P43034,PAFAH1B1,"platelet activating factor acetylhydrolase 1b regulatory subunit 1","gene with protein product"
