Hs-RTN1,2000,1000,T039125-RTN1,"p1@RTN1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T201211,2005,1.0000,p1@MAGEE2,139599,24935,Q8TD90,MAGEE2,"MAGE family member E2","gene with protein product"
2,T039124,2006,1.0000,p6@RTN1,6252,10467,A8MT72,RTN1,"reticulon 1","gene with protein product"
3,T083322,2014,0.9990,p8@RUSC1,23623,17153,,RUSC1,"RUN and SH3 domain containing 1","gene with protein product"
4,T158541,2007,0.9990,p4@CLVS2,134829,23046,Q5SYC1,CLVS2,"clavesin 2","gene with protein product"
5,T008649,2006,0.9990,p3@SLIT1,6585,11085,"O75093,Q5T0V2",SLIT1,"slit guidance ligand 1","gene with protein product"
6,T057080,2005,0.9990,p3@CDK5R1,8851,1775,"Q15078,Q8N619",CDK5R1,"cyclin dependent kinase 5 regulatory subunit 1","gene with protein product"
7,T177824,2005,0.9990,p3@NXPH1,30010,20693,B4DJV1,NXPH1,"neurexophilin 1","gene with protein product"
8,T131118,2005,0.9990,p1@C3orf80,401097,40048,F5H4A9,C3orf80,"chromosome 3 open reading frame 80","gene with protein product"
9,T152525,2003,0.9990,p7@CPLX2,10814,2310,,CPLX2,"complexin 2","gene with protein product"
10,T010275,2002,0.9990,p3@FXYD6,53826,4030,Q9H0Q3,FXYD6,"FXYD domain containing ion transport regulator 6","gene with protein product"
11,T177307,2002,0.9990,p2@YWHAG,7532,12852,P61981,YWHAG,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma","gene with protein product"
12,T039127,2002,0.9990,p3@RTN1,6252,10467,"A8K3B9,Q16799",RTN1,"reticulon 1","gene with protein product"
13,T114058,2005,0.9985,p4@TBR1,10716,11590,,TBR1,"T-box, brain 1","gene with protein product"
14,T025455,2005,0.9985,p1@C12orf68,387856,33749,Q52MB2,CCDC184,"coiled-coil domain containing 184","gene with protein product"
15,T025490,1999,0.9985,p3@CACNB3,784,1403,F8VWK1,CACNB3,"calcium voltage-gated channel auxiliary subunit beta 3","gene with protein product"
16,T000798,2007,0.9980,p1@SORCS3,22986,16699,Q9UPU3,SORCS3,"sortilin related VPS10 domain containing receptor 3","gene with protein product"
17,T050722,2005,0.9980,p1@DOC2A,8448,2985,,DOC2A,"double C2 domain alpha","gene with protein product"
18,T175515,2005,0.9980,p1@HECW1,23072,22195,B4DH42,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","gene with protein product"
19,T140659,2010,0.9975,p2@TRIM2,23321,15974,,TRIM2,"tripartite motif containing 2","gene with protein product"
20,T074273,2006,0.9975,p1@TTC9B,148014,26395,Q8N6N2,TTC9B,"tetratricopeptide repeat domain 9B","gene with protein product"
21,T133816,2004,0.9975,p1@CHL1,10752,1939,C9JEY3,CHL1,"cell adhesion molecule L1 like","gene with protein product"
